DateTime,AddedIPs,RemovedIPs
1525101241,3,23
1525104887,8,26
1525108485,5,17
1525112062,16,22
1525115658,18,5
1525119272,27,10
1525122869,7,4
1525126486,8,10
1525130043,16,11
1525133728,30,7
1525137272,5,5
1525140887,8,7
1525144475,5,40
1525148066,24,19
1525151695,12,14
1525155257,17,13
1525158881,4,6
1525162510,6,31
1525166050,30,5
1525169658,12,9
1525173304,10,4
1525176848,11,4
1525180487,9,19
1525184044,13,7
1525187620,9,4
1525191272,6,4
1525194849,8,3
1525198464,3,19
1525202067,14,11
1525205629,8,12
1525209310,5,9
1525212878,6,9
1525216489,9,18
1525220065,33,10
1525223657,5,3
1525227261,6,22
1525230856,17,29
1525234464,11,32
1525238067,16,5
1525241678,2,12
1525245263,7,19
1525248866,28,11
1525252461,30,10
1525256040,44,6
1525259707,2,1
1525263300,2,8
1525266884,4,8
1525270504,7,65
1525274055,29,8
1525277649,25,7
1525281318,5,7
1525284845,14,3
1525288482,7,19
1525292049,21,14
1525295712,3,6
1525299267,4,25
1525302850,21,13
1525306509,20,17
1525310017,16,3
1525313628,28,6
1525317223,2,33
1525320809,9,10
1525324416,19,8
1525328032,7,17
1525331628,10,4
1525335246,4,14
1525338824,11,17
1525342466,3,10
1525346033,9,5
1525349620,11,1
1525353246,8,21
1525356806,19,2
1525360424,8,6
1525364004,7,5
1525367619,10,5
1525371249,7,11
1525374820,2,3
1525378438,4,13
1525381989,6,32
1525385629,18,13
1525389190,22,3
1525392841,26,3
1525396458,6,4
1525400075,2,14
1525403617,18,26
1525407242,0,15
1525410819,8,3
1525414413,13,9
1525417998,9,7
1525421658,6,1
1525425244,7,5
1525428871,1,25
1525432437,5,16
1525436035,15,8
1525439650,2,16
1525443188,19,2
1525446836,20,4
1525450476,5,11
1525454001,17,5
1525457642,18,3
1525461225,14,7
1525464802,4,2
1525468438,3,2
1525472059,4,4
1525475651,3,51
1525479261,29,15
1525482831,31,7
1525486436,22,5
1525490049,2,25
1525493640,7,4
1525497259,5,20
1525500858,7,28
1525504440,22,10
1525508005,24,8
1525511678,5,9
1525515253,24,3
1525518872,5,7
1525522432,2,4
1525526036,4,8
1525529644,11,29
1525533211,18,6
1525536839,6,2
1525540424,13,7
1525544022,6,9
1525547631,6,13
1525551191,11,2
1525554816,11,5
1525558439,3,5
1525562037,5,9
1525565627,21,6
1525569226,8,16
1525572856,4,6
1525576402,8,31
1525580054,3,11
1525583622,23,10
1525587188,16,1
1525590842,4,5
1525594420,11,4
1525598029,6,9
1525601642,6,14
1525605240,3,7
1525609474,26,8
1525612429,7,4
1525616009,4,3
1525619627,2,2
1525623256,2,16
1525626862,2,13
1525630411,11,9
1525634046,4,25
1525637645,25,4
1525641228,22,2
1525644828,5,7
1525648403,9,1
1525652078,21,4
1525655597,6,3
1525659262,4,4
1525662811,6,29
1525666450,10,5
1525669994,5,25
1525673589,10,4
1525677239,8,6
1525680858,5,5
1525684464,1,22
1525688025,7,26
1525691682,5,35
1525695248,13,10
1525698839,37,9
1525702431,19,12
1525706049,20,2
1525709606,16,9
1525713265,3,8
1525716871,8,11
1525720434,10,17
1525724029,21,24
1525727668,5,6
1525731248,11,4
1525734827,14,6
1525738454,25,23
1525742087,7,5
1525745650,11,17
1525749249,23,34
1525752890,11,15
1525756451,11,4
1525760044,8,18
1525763602,24,10
1525767245,19,10
1525770868,5,15
1525774455,9,4
1525778109,7,14
1525781636,15,18
1525785248,37,3
1525788865,2,3
1525792432,4,5
1525796065,4,10
1525799674,6,39
1525803262,22,3
1525806880,4,4
1525810442,6,4
1525814086,4,12
1525817681,12,30
1525821244,34,5
1525824890,20,13
1525828404,24,1
1525832073,2,4
1525835626,6,29
1525839256,9,15
1525842863,6,24
1525846436,16,3
1525850076,4,10
1525853640,16,16
1525857247,10,6
1525860855,22,4
1525864457,6,3
1525868086,2,9
1525871669,6,6
1525875272,2,25
1525878831,16,10
1525882463,11,2
1525886072,7,7
1525889647,1,7
1525893283,4,31
1525896849,10,18
1525900455,16,9
1525904026,40,7
1525907667,11,6
1525911273,17,1
1525914808,5,4
1525918444,5,16
1525922052,2,32
1525925670,3,10
1525929277,7,46
