DateTime,AddedIPs,RemovedIPs
1523934437,4,1
1523941635,3,0
1523948826,2,2
1523952458,0,1
1523956036,0,2
1523959644,0,1
1523963246,1,3
1523966831,1,0
1523970461,2,0
1523977642,0,1
1523981241,3,0
1523995642,0,2
1524010065,0,3
1524013642,0,1
1524017254,5,0
1524020857,3,0
1524024477,1,0
1524031652,0,1
1524035270,2,5
1524038844,1,1
1524049693,0,3
1524053253,3,1
1524056865,1,0
1524067651,3,3
1524071261,3,0
1524078452,1,0
1524082052,0,2
1524085668,0,4
1524089261,2,0
1524092860,0,2
1524096498,0,0
1524100051,1,0
1524107244,3,0
1524110859,1,0
1524118057,0,1
1524121669,0,3
1524125238,3,4
1524128856,2,0
1524132476,1,0
1524136062,1,0
1524139683,0,1
1524143265,1,4
1524146897,0,1
1524150443,2,1
1524157670,0,1
1524164849,0,2
1524179254,2,0
1524193665,1,2
1524208039,0,1
1524211663,1,0
1524215270,3,0
1524229670,0,1
1524236881,2,0
1524251301,0,1
1524254907,0,3
1524258428,0,1
1524265673,4,0
1524276463,4,0
1524280071,1,0
1524287257,1,0
1524301671,0,2
1524305293,0,2
1524308840,0,6
1524316075,6,0
1524330439,0,6
1524334068,5,0
1524337685,1,0
1524341257,3,0
1524348480,0,1
1524352062,1,0
1524355700,0,1
1524359261,1,0
1524366464,0,2
1524373667,1,1
1524377273,1,2
1524380840,2,0
1524388254,1,0
1524391805,1,1
1524395263,0,2
1524402471,0,4
1524406059,1,1
1524413266,4,0
1524416892,0,2
1524420462,1,1
1524424051,3,0
1524427688,0,1
1524431248,1,1
1524434863,1,0
1524438478,0,4
1524445640,2,0
1524449226,1,2
1524456459,3,0
1524460053,1,1
1524470832,0,3
1524474427,0,5
1524478057,5,0
1524481634,3,0
1524488839,1,0
1524492465,0,2
1524496033,1,4
1524503247,3,1
1524510444,0,1
1524517659,0,4
1524521218,0,1
1524528442,5,0
1524542821,0,5
1524546440,2,0
1524550018,2,0
1524560856,0,2
1524564419,4,0
1524571647,1,0
1524575232,1,0
1524578868,0,2
1524586033,2,2
1524589667,0,2
1524596833,1,0
1524600458,0,4
1524604040,2,0
1524607632,1,0
1524611232,0,1
1524618471,0,2
1524622007,0,1
1524636446,2,0
1524650803,0,2
1524654427,1,0
1524668839,0,1
1524686840,1,0
1524701261,0,1
1524719248,1,0
1524726429,2,0
1524730026,2,0
1524733650,1,0
1524740839,0,1
1524744430,0,2
1524748020,2,2
1524755275,0,1
1524758842,4,0
1524762469,0,2
1524773230,2,2
1524776845,5,0
1524787661,1,0
1524791236,0,5
1524798429,2,1
1524802039,0,1
1524805650,2,1
1524812849,2,2
1524820034,1,0
1524827256,0,4
1524830840,1,0
1524834444,4,1
1524845259,0,1
1524848795,0,6
1524852449,3,0
1524856039,2,0
1524859633,1,0
1524866866,0,1
1524870440,0,2
1524874045,2,0
1524877682,0,1
1524884853,0,1
1524888429,0,3
1524902832,4,0
1524917284,0,3
1524920849,1,0
1524924467,1,1
1524935239,2,1
1524938861,2,0
1524942471,1,0
1524953288,0,2
1524956876,1,4
1524971270,1,0
1524982069,1,0
1524985651,2,1
1524989270,1,0
1524996446,1,0
1525000049,1,1
1525003687,1,3
1525007277,1,0
1525010869,2,0
1525021675,0,4
1525025265,2,3
1525036064,1,0
1525039699,0,2
1525050442,2,1
1525061252,2,0
1525064832,2,2
1525072053,3,0
1525075680,0,1
1525079260,0,1
1525086446,1,3
1525090043,4,0
1525100859,0,2
1525104474,0,4
1525118827,0,1
1525129643,4,0
1525133295,1,0
1525144053,0,4
1525147649,5,1
1525154842,1,0
1525162082,0,5
1525165646,2,0
1525180073,1,1
1525183639,2,0
1525190860,1,0
1525194445,1,2
1525198048,0,2
1525201658,1,0
1525205235,0,2
1525208888,0,1
1525212465,1,0
1525216072,1,0
1525219667,1,0
1525226867,0,1
1525234017,0,3
1525252082,1,0
1525255643,4,0
1525270049,0,5
1525273658,1,0
1525277265,1,0
1525284454,1,0
1525288065,1,0
1525291648,0,1
1525298855,0,2
1525302450,3,1
1525313244,4,0
1525316844,0,2
1525320437,1,0
1525327648,0,4
1525338443,2,2
1525349229,3,0
1525352849,0,2
1525356429,3,0
1525360032,1,0
1525363639,1,2
1525367228,3,0
1525374453,0,1
1525378057,0,1
1525381618,0,5
1525388829,1,0
1525392436,3,0
1525403235,1,1
1525406842,0,4
1525414042,1,0
1525417625,2,1
1525428470,0,1
1525432063,0,2
1525435604,0,1
1525442826,1,0
1525453635,2,0
1525464434,1,0
1525475259,0,3
1525478809,0,1
1525482439,3,0
1525486045,3,0
1525496873,0,2
1525500464,0,3
1525504045,3,1
1525507630,1,0
1525514850,2,0
1525518463,1,3
1525522035,0,1
1525529246,2,1
1525532832,3,0
1525536442,1,0
1525540038,1,0
1525543632,1,0
1525547254,0,2
1525554441,1,0
1525558050,0,1
1525561636,0,1
1525568831,2,0
1525579656,0,2
1525583240,1,6
1525586818,4,0
1525594043,2,0
1525597638,2,0
1525601244,0,2
1525604852,0,1
1525608687,3,1
1525612037,1,2
1525615630,2,0
1525626463,0,1
1525630027,0,3
1525633640,0,4
1525637247,3,0
1525640846,4,0
1525644435,1,0
1525655218,0,1
1525658863,0,2
1525662433,1,1
1525666052,1,0
1525669622,1,1
1525673228,1,0
1525680455,0,2
1525684072,0,1
1525687642,0,5
1525691243,0,1
1525698439,4,0
1525702036,2,0
1525705650,2,0
1525716467,0,3
1525723628,1,5
1525730865,1,0
1525734435,1,0
1525738055,0,1
1525745278,0,1
1525748876,1,1
1525763264,2,0
1525766859,1,0
1525777694,0,1
1525781254,0,1
1525784850,2,0
1525799236,0,4
1525802862,3,0
1525817270,0,2
1525820850,2,0
1525824475,3,0
1525835236,1,0
1525838841,0,2
1525842471,0,1
1525846044,1,0
1525849667,0,4
1525853243,5,0
1525860457,3,0
1525864064,1,0
1525867682,0,1
1525874868,0,4
1525878441,0,3
1525882068,2,0
1525892873,0,1
1525896456,0,2
1525903656,4,0
1525907269,3,0
1525918059,0,2
1525921663,0,5
1525925238,0,1
1525936041,5,0
1525939622,3,0
1525946835,1,0
1525950448,0,2
1525954034,0,1
1525957656,0,1
1525968482,0,3
1525972043,4,1
1525979260,1,0
1525986454,3,0
1525990043,2,0
1525993652,1,2
1526000851,2,0
1526008061,0,5
1526015247,0,1
1526022450,2,0
1526026047,2,0
1526036870,0,2
1526040479,0,1
1526047696,0,5
1526051234,0,2
1526058456,5,0
1526072843,0,5
1526080041,6,0
1526083677,2,0
1526090849,1,0
1526094488,0,2
1526098069,0,3
1526101656,1,0
1526105277,1,2
1526116056,0,1
1526123265,2,0
1526137651,0,2
1526148490,0,1
1526152042,0,2
1526159244,4,0
1526162875,2,0
1526170086,2,0
1526173636,0,1
1526180864,0,4
1526184443,1,1
1526188052,1,2
1526191628,3,0
1526198852,0,1
1526202428,1,1
1526206048,0,3
1526209626,7,0
1526224032,0,8
1526231245,4,0
1526234857,6,0
1526238408,1,0
1526245675,0,3
1526249260,1,3
1526252853,2,0
1526256442,3,2
1526267247,0,1
1526270855,0,5
1526274477,0,1
1526278044,3,0
1526281642,1,0
1526292454,1,1
1526296031,0,2
1526299657,0,2
1526303223,2,0
1526306826,0,1
1526317632,3,2
1526324851,4,0
1526332034,0,2
1526335644,1,0
1526339259,0,5
1526346465,1,0
1526350032,2,2
1526357237,1,0
1526364443,0,1
1526368019,2,0
1526378837,3,0
1526382448,0,1
1526386041,3,0
