DateTime,AddedIPs,RemovedIPs
1521648569,0,2
1521659385,1,0
1521666548,1,0
1521680974,1,0
1521688168,0,1
1521691778,0,1
1521695325,0,3
1521698988,2,0
1521709750,2,0
1521713349,1,1
1521727798,1,0
1521749381,0,1
1521752953,0,1
1521756550,1,0
1521760147,1,0
1521799722,0,1
1521806938,1,1
1521810571,1,1
1521817730,2,0
1521824925,0,1
1521832136,1,1
1521839346,1,0
1521907765,0,1
1521911315,1,1
1521918522,1,0
1521925734,0,1
1521932943,1,0
1521972548,0,1
1521976147,1,0
1521986935,0,1
1521994170,1,1
1521997737,1,0
1522030168,0,1
1522033734,1,0
1522037329,0,1
1522040936,1,0
1522091338,0,1
1522094971,1,1
1522098521,1,0
1522112936,0,1
1522116529,1,0
1522120179,0,1
1522138127,1,0
1522148982,0,1
1522152570,0,1
1522156173,1,0
1522159749,1,0
1522177781,0,1
1522181378,1,0
1522220962,0,1
1522228142,1,0
1522235343,0,1
1522246166,1,0
1522256958,0,1
1522264184,1,0
1522271377,0,1
1522274975,1,0
1522300178,0,1
1522307394,1,0
1522325385,0,1
1522329002,1,1
1522332606,1,0
1522343401,0,1
1522354198,0,1
1522357769,1,0
1522361388,1,0
1522372178,0,1
1522379392,1,0
1522386614,0,1
1522390187,1,0
1522404610,0,1
1522411825,1,1
1522415335,1,0
1522436962,0,1
1522447751,0,1
1522451370,2,0
1522480142,0,1
1522490938,1,0
1522534188,0,1
1522541372,1,0
1522544972,0,1
1522570176,0,1
1522577357,1,0
1522584560,0,1
1522591759,0,1
1522595354,2,0
1522616967,0,1
1522624195,1,0
1522627779,0,1
1522638565,1,0
1522649347,0,1
1522652970,1,0
1522717753,0,1
1522721328,0,1
1522724930,1,0
1522732110,1,0
1522739368,0,2
1522742932,1,0
1522746538,1,1
1522753752,1,0
1522764542,0,1
1522775365,1,1
1522778929,1,0
1522786129,0,1
1522793359,1,0
1522807721,0,1
1522811374,1,0
1522818540,0,1
1522822133,0,1
1522825756,1,0
1522829355,1,0
1522847391,0,1
1522858148,1,0
1522883328,0,1
1522886957,1,0
1522901368,0,1
1522904934,1,0
1522915744,0,1
1522919341,1,0
1522951743,0,1
1522955348,1,0
1522973353,3,0
1522984139,0,1
1522991356,1,0
1523009330,0,1
1523023774,0,1
1523030929,1,0
1523052552,0,1
1523059771,3,0
1523066942,4,0
1523074130,0,1
1523102937,1,1
1523106542,1,0
1523120968,0,1
1523124575,1,0
1523138970,0,1
1523149738,1,0
1523167762,0,4
1523171338,4,0
1523185767,0,1
1523189396,1,0
1523207363,0,1
1523221775,1,1
1523232568,2,0
1523239734,1,1
1523286588,0,1
1523290144,1,0
1523300973,0,1
1523304552,0,1
1523311777,1,0
1523322542,1,0
1523336951,0,1
1523347793,0,1
1523351377,0,1
1523354970,1,4
1523358555,1,0
