DateTime,AddedIPs,RemovedIPs
1522569877,3,0
1522573461,0,1
1522577076,2,0
1522584280,2,2
1522591466,2,0
1522598680,0,4
1522602269,2,0
1522605867,0,1
1522609468,1,1
1522613072,1,0
1522623883,1,2
1522627493,2,0
1522638279,0,1
1522641867,0,1
1522649066,1,0
1522652677,0,3
1522656268,4,0
1522663485,0,1
1522681480,1,0
1522699475,0,1
1522706660,0,1
1522710288,1,0
1522749850,0,1
1522757064,1,1
1522767850,1,0
1522775049,0,1
1522782260,1,0
1522793045,0,1
1522796656,1,0
1522857867,1,0
1522872265,0,1
1522875850,1,0
1522890268,0,1
1522926259,2,0
1522929860,1,0
1522933476,1,0
1522944252,0,2
1522947853,0,2
1522951452,1,0
1522955056,0,1
1522958663,1,0
1522965846,0,1
1522969468,1,1
1522973048,1,1
1522983842,0,1
1522987468,1,2
1522991049,2,0
1523012674,0,1
1523016252,1,0
1523023460,0,2
1523055867,1,0
1523063054,0,1
1523066665,0,1
1523070250,1,0
1523091853,2,0
1523106263,0,2
1523131446,0,2
1523135052,2,2
1523142253,2,1
1523145835,1,1
1523149462,1,0
1523160273,0,2
1523163869,1,2
1523171059,3,0
1523210670,2,0
1523217878,0,1
1523221478,1,0
1523225069,0,2
1523261085,1,0
1523264657,0,1
1523275480,0,1
1523279083,0,1
1523282672,0,1
1523286275,2,0
1523315076,0,2
1523318683,1,1
1523322271,2,0
1523333078,0,1
1523336667,1,0
1523340271,0,1
1523351071,0,1
1523358275,1,4
1523365478,3,0
1523369081,1,0
1523383461,0,1
1523387049,1,0
1523390649,0,2
1523394269,2,0
1523412282,0,1
1523415875,1,0
1523423073,0,1
1523426678,0,1
1523430260,0,1
1523433867,0,3
1523437469,2,0
1523441072,4,0
1523459080,0,2
1523462664,2,0
1523477075,0,1
1523487885,0,3
1523491489,3,0
1523498668,1,0
1523505881,0,1
1523513078,1,0
1523520285,0,1
1523523889,1,0
1523534670,0,1
1523563474,1,0
1523567078,0,1
1523574260,1,0
1523577913,0,1
1523603041,1,0
1523606662,1,0
1523617468,0,1
1523621061,0,2
1523624666,1,0
1523628263,0,1
1523631872,1,1
1523635465,0,1
1523639063,2,0
1523678656,0,2
1523685859,1,0
1523693062,1,1
1523696658,2,2
1523700257,2,0
1523711057,0,2
1523775853,1,0
1523804658,0,1
1523808250,1,0
1523829840,0,1
1523840658,1,0
1523876641,0,1
1523880251,1,0
1523887446,1,0
1523948651,0,1
1523952257,1,0
1523973847,0,1
1523977447,2,0
1523988259,0,2
1523991848,2,1
1523999063,0,1
1524009848,1,0
1524013469,0,2
1524017066,2,1
1524020679,1,0
1524024275,0,2
1524027865,1,0
1524031458,1,0
1524035085,1,0
1524042273,0,1
1524053065,0,1
1524056679,1,0
1524063874,0,1
1524067478,1,0
1524092675,0,0
1524096320,0,0
1524121468,0,2
1524128676,2,2
1524132291,3,2
1524135877,3,0
1524139482,0,1
1524143090,0,1
1524171872,0,3
1524175489,2,1
1524179081,0,1
1524182696,2,0
1524200685,1,0
1524204280,0,1
1524207880,1,0
1524218697,1,0
1524225882,0,1
1524229489,1,0
1524236703,0,1
1524251091,1,0
1524265488,0,1
1524269097,0,1
1524272680,1,0
1524276279,1,0
1524283476,0,1
1524287068,0,1
1524290672,2,4
1524294269,1,1
1524297875,3,0
1524301474,1,0
1524305082,1,0
1524308683,1,0
1524312282,0,1
1524323072,0,2
1524326685,1,0
1524341079,0,1
1524348296,0,3
1524351882,2,1
1524355508,1,0
1524359091,1,0
1524362675,1,0
1524377088,0,1
1524384285,1,0
1524388021,0,1
1524398685,0,1
1524405886,1,0
1524413088,2,1
1524416683,2,0
1524423877,0,1
1524427482,1,0
1524431074,0,2
1524434683,0,1
1524438293,1,0
1524456271,0,1
1524459873,0,1
1524463477,2,0
1524470660,1,0
1524474259,1,0
1524485062,0,1
1524488657,0,1
1524492259,1,0
1524503071,0,1
1524506643,1,0
1524549846,0,2
1524553455,2,0
1524585859,0,1
1524589462,1,0
1524593053,0,1
1524596654,1,0
1524618266,1,0
1524625444,0,1
1524632660,0,1
1524636258,1,2
1524639854,1,0
1524643454,2,0
1524657873,0,1
1524661461,0,2
1524665067,0,1
1524668670,3,0
1524704658,0,2
1524708271,2,0
1524719061,0,1
1524722655,2,0
1524726256,0,1
1524729852,1,1
1524733463,1,0
1524737045,0,1
1524740661,0,2
1524744254,3,1
1524747859,1,0
1524762262,0,1
1524769460,0,1
1524773051,1,0
1524787432,0,1
1524791056,1,0
1524798255,0,2
1524812663,0,3
1524816258,3,1
1524819851,1,0
1524823464,0,1
1524827055,1,0
1524888277,0,1
1524891876,1,0
1524909872,0,1
1524913489,2,0
1524917080,1,0
1524920672,1,1
1524927887,1,0
1524935059,1,1
1524938683,2,0
1524942279,0,2
1524945884,0,1
1524949473,0,1
1524953080,1,1
1524956682,2,0
1524967465,0,1
1524974665,0,1
1524978275,1,0
1524985474,1,0
1524989080,1,0
1525003486,0,1
1525007086,0,1
1525010685,0,1
1525014284,1,0
1525017886,0,2
1525021469,1,0
1525025073,1,3
1525028682,3,0
1525032275,1,1
1525035882,2,0
1525039483,1,0
1525043078,1,1
1525046645,0,1
1525053861,0,1
1525057480,1,2
1525061071,1,0
1525064661,1,1
1525068282,1,0
1525071866,2,1
1525075484,0,1
1525079076,0,2
1525082667,1,0
1525086274,1,2
1525097061,0,1
1525100651,1,1
1525107865,1,1
1525111463,3,0
1525122274,0,1
1525129468,0,2
1525133098,1,1
1525147468,1,2
1525151075,2,0
1525154667,0,1
1525158267,1,0
1525179881,1,4
1525183469,3,0
1525187071,1,0
1525197866,0,1
1525208676,1,1
1525212276,1,1
1525215876,1,0
1525226666,0,1
1525241063,0,2
1525244652,1,2
1525248277,3,0
1525251885,0,1
1525255465,3,1
1525259082,1,0
1525262675,0,1
1525266272,0,2
1525269877,0,1
1525277075,2,1
1525280679,1,0
1525291470,0,1
1525295090,1,1
1525298645,1,0
1525327453,1,0
1525334658,0,1
1525341861,1,1
1525356250,0,1
1525359861,1,0
1525363461,0,1
1525367050,1,0
1525370659,0,1
1525381446,1,0
1525385067,0,2
1525392239,2,0
1525406654,0,2
1525410264,1,0
1525413861,1,0
