DateTime,AddedIPs,RemovedIPs
1525086510,20,8
1525090107,21,4
1525093752,3,5
1525097325,4,3
1525100930,2,18
1525104544,5,14
1525108145,0,14
1525111726,10,12
1525115331,12,2
1525118926,13,8
1525122537,6,2
1525126141,6,8
1525129707,11,5
1525133358,7,3
1525136934,4,3
1525140551,5,2
1525144134,1,9
1525147717,10,9
1525151351,7,9
1525154920,6,10
1525158543,1,6
1525162154,5,19
1525165711,23,2
1525169321,10,3
1525172959,9,1
1525176523,8,3
1525180136,4,13
1525183703,4,4
1525187305,7,3
1525190924,5,3
1525194509,2,0
1525198120,4,14
1525201725,9,10
1525205314,5,5
1525208955,3,5
1525212544,2,7
1525216138,4,16
1525219730,16,9
1525223324,3,3
1525226938,4,6
1525230516,8,3
1525234119,7,16
1525237721,9,2
1525241344,1,4
1525244925,2,15
1525248522,14,9
1525252147,21,6
1525255707,34,2
1525259365,1,1
1525266552,2,1
1525270161,3,45
1525273723,13,6
1525277330,18,6
1525280958,2,5
1525284519,12,1
1525288134,4,18
1525291714,20,10
1525295363,1,4
1525298922,3,9
1525302514,5,11
1525306175,5,13
1525309712,10,1
1525313308,24,6
1525316908,1,10
1525320500,6,8
1525324106,14,5
1525327715,3,14
1525331315,8,3
1525334924,4,10
1525338512,8,13
1525342144,3,7
1525345732,9,3
1525349309,5,2
1525352915,8,15
1525356492,11,1
1525360110,4,4
1525363703,5,2
1525367292,7,4
1525370929,5,12
1525374520,2,2
1525378124,4,11
1525381682,5,12
1525385313,10,9
1525388900,16,1
1525392501,2,4
1525396132,6,4
1525399750,1,12
1525403298,16,13
1525406915,1,4
1525410514,4,0
1525414105,10,9
1525417688,6,7
1525421343,6,2
1525424932,6,2
1525428544,1,19
1525432127,4,7
1525435701,7,7
1525439340,1,15
1525442890,12,6
1525446515,23,4
1525450148,4,4
1525453698,13,4
1525457316,16,3
1525460900,14,2
1525464500,0,1
1525468118,1,2
1525471730,3,1
1525475324,2,40
1525478919,4,10
1525482507,20,4
1525486110,16,6
1525489722,2,5
1525493329,8,2
1525496945,6,15
1525500532,5,10
1525504110,7,6
1525507696,12,8
1525511343,4,9
1525514915,22,1
1525518544,4,2
1525522122,2,0
1525525716,0,6
1525529313,9,28
1525532896,13,4
1525536506,4,5
1525540103,16,4
1525543700,4,7
1525547318,4,11
1525550908,11,1
1525554505,7,4
1525558121,1,6
1525561708,3,6
1525565296,2,7
1525568896,6,14
1525572524,3,3
1525576089,4,10
1525579724,2,7
1525583305,21,4
1525586881,13,0
1525590511,3,3
1525594108,8,1
1525597703,4,9
1525601308,3,16
1525604916,2,3
1525608811,27,2
1525612100,1,0
1525619303,1,1
1525622917,0,17
1525626534,1,11
1525630091,9,5
1525633705,2,23
1525637311,22,2
1525640910,16,1
1525644499,4,5
1525648086,10,0
1525651736,1,0
1525655283,2,1
1525658933,1,0
1525662497,1,16
1525666117,5,2
1525669687,1,22
1525673291,9,2
1525676909,3,6
1525680537,2,1
1525684144,0,14
1525687713,7,17
1525691351,3,11
1525694938,6,4
1525698503,16,4
1525702100,11,11
1525705714,13,0
1525709296,13,6
1525712935,0,5
1525716538,2,5
1525720106,9,11
1525723693,15,20
1525727345,3,2
1525730937,8,2
1525734500,10,5
1525738119,2,14
1525741750,4,3
1525745343,7,13
1525748943,14,11
1525752554,11,6
1525756146,6,4
1525759725,3,15
1525763328,18,9
1525766923,14,6
1525770544,3,5
1525774138,4,1
1525777762,2,8
1525781320,10,14
1525784916,26,2
1525788536,1,1
1525792120,1,3
1525795748,2,7
1525799336,4,32
1525802927,14,1
1525806555,2,1
1525810120,4,1
1525813750,4,7
1525817348,7,27
1525820916,28,4
1525824542,11,5
1525828112,20,1
1525831748,1,2
1525835303,4,6
1525838929,3,8
1525842536,3,18
1525846110,9,2
1525849738,0,3
1525853308,7,13
1525856915,7,6
1525860523,18,3
1525864130,5,1
1525867753,1,6
1525871344,4,3
1525874954,1,15
1525878514,13,9
1525882139,6,2
1525885747,6,6
1525889333,1,5
1525892951,4,25
1525896519,9,8
1525900138,9,6
1525903721,30,5
1525907333,5,3
1525910936,2,1
1525914500,4,0
1525918126,1,15
1525921727,1,6
1525925343,2,6
1525928947,6,33
1525932523,7,4
1525936106,44,0
1525939686,5,0
1525943310,3,2
1525946898,5,2
1525950512,1,10
1525954099,8,0
1525957720,1,4
1525961344,1,6
1525964954,0,8
1525968552,1,35
1525972109,24,9
1525975729,1,1
1525979324,17,3
1525982920,5,1
1525986520,6,7
1525990106,8,0
1525993716,2,4
1525997373,2,2
1526000917,8,8
1526004530,0,5
1526008135,3,10
1526011710,6,2
1526015318,7,20
1526018933,6,1
1526022513,11,2
1526026113,14,4
1526029762,1,4
1526033316,8,0
1526036934,1,0
1526040545,1,10
1526044146,2,5
1526047771,2,30
1526051333,6,8
1526054959,2,8
1526058522,22,11
1526062155,9,2
1526065744,3,8
1526069335,14,1
1526072951,6,17
1526076536,6,4
1526080108,16,4
1526083742,12,9
1526087351,1,6
1526090913,7,2
1526094559,5,11
1526098142,4,15
1526101735,5,1
1526105349,10,27
1526108927,9,8
1526112531,17,3
1526116127,7,3
1526119701,4,7
1526123329,17,7
1526126942,3,4
1526130551,6,5
1526134130,7,3
1526137714,1,22
1526141357,8,4
1526144936,7,8
1526148560,4,12
1526152149,9,9
1526155756,6,10
1526159310,26,5
1526162940,7,3
1526166526,8,0
1526170152,3,1
1526173700,5,8
1526177326,4,1
1526180928,3,15
1526184507,7,10
1526188121,8,8
1526191695,22,2
1526195309,0,2
1526198923,2,7
1526202491,4,3
1526206115,3,18
1526209689,14,5
1526213339,3,2
1526216902,5,6
1526220529,3,1
1526224141,3,33
1526227734,7,3
1526231312,17,4
1526234921,19,1
1526238473,13,3
1526242133,1,0
1526245746,2,3
1526249324,3,4
1526252916,5,24
1526256510,9,7
1526260103,7,4
1526263714,3,15
1526267320,4,3
1526270922,2,14
1526274549,11,12
1526278108,37,0
1526281707,2,0
1526285305,3,2
1526288941,1,0
1526292524,4,22
1526296103,1,8
1526299730,5,7
1526303287,16,1
1526306897,3,14
1526310526,3,4
1526314139,4,3
1526317696,10,13
1526321324,3,6
1526324914,9,4
1526328505,1,8
1526332101,4,13
1526335710,3,2
1526339322,10,25
1526342929,7,0
1526346537,8,4
1526350110,8,4
1526353725,3,2
1526357317,19,8
1526360914,3,5
1526364524,9,5
1526368084,14,3
1526371734,0,13
1526375296,10,2
1526378901,8,9
1526382527,6,7
1526386104,9,0
1526389741,0,5
1526393314,3,13
1526396922,3,10
1526400532,5,19
1526404152,6,7
1526407717,15,10
1526411340,16,1
1526414941,2,6
1526418538,6,5
1526422135,2,7
1526425771,7,21
