DateTime,AddedIPs,RemovedIPs
1525260585,113,74
1525262447,52,101
1525266380,130,110
1525270369,315,101
1525274454,344,98
1525278295,320,70
1525280599,354,284
1525284447,197,136
1525288284,228,128
1525292132,179,109
1525296280,115,101
1525300727,113,90
1525304455,106,70
1525306376,96,70
1525310199,41,73
1525314287,48,53
1525318359,39,55
1525322220,48,89
1525326044,49,66
1525329888,29,68
1525333713,37,50
1525337565,52,83
1525341639,38,78
1525345485,41,108
1525349329,53,51
1525351488,59,96
1525355312,56,339
1525359078,48,368
1525363250,62,346
1525367091,53,250
1525370915,49,180
1525374754,54,273
1525379068,57,325
1525380996,57,213
1525385081,40,230
1525389116,124,117
1525392996,258,94
1525397074,439,47
1525401148,346,53
1525403323,283,46
1525407374,66,46
1525411005,51,51
1525415083,37,49
1525419009,58,56
1525423222,63,43
1525426851,67,46
1525430667,49,43
1525434732,65,51
1525438849,64,83
1525442686,2145,54
1525446994,104,59
1525450817,158,67
1525452983,152,49
1525456846,172,46
1525460922,62,51
1525465016,141,41
1525469091,151,43
1525471006,56,44
1525475427,52,102
1525479284,53,231
1525483192,49,398
1525487199,52,228
1525489476,51,251
1525493325,47,88
1525497170,43,46
1525500996,34,43
1525504833,56,55
1525508903,61,48
1525513240,48,68
1525517069,112,36
1525521153,86,56
1525525006,69,62
1525528849,73,2129
1525532929,66,87
1525536801,59,180
1525540613,51,139
1525544426,56,217
1525546364,56,89
1525550200,64,120
1525554037,73,220
1525557895,61,51
1525562059,37,54
1525566023,47,55
1525567958,48,42
1525572042,42,50
1525576247,31,53
1525580116,55,49
1525582350,44,54
1525586428,51,39
1525590517,173,54
1525594584,145,63
1525598449,83,52
1525602277,53,59
1525606126,85,64
1525608040,87,57
1525611887,90,77
1525615964,3372,46
1525619807,4954,62
1525623885,44,48
1525627967,67,40
1525632949,73,43
1525634928,59,56
1525638751,66,57
1525642611,63,35
1525646440,44,94
1525650278,56,48
1525652208,57,63
1525656043,66,56
1525659875,66,47
1525663711,53,53
1525667569,80,62
1525671410,120,45
1525675240,93,112
1525679078,103,141
1525682907,89,137
1525686744,66,57
1525690577,71,106
1525694433,65,81
1525698273,109,97
1525702112,121,2238
