DateTime,Entries,UniqueIPs
1514592533,3902,3902
1514614584,3907,3907
1514636853,3910,3910
1514658766,3910,3910
1514680814,3912,3912
1514702897,3915,3915
1514724737,3893,3893
1514746586,3867,3867
1514768680,3905,3905
1514790765,3902,3902
1514812612,5628,5628
1514834650,5608,5608
1514856976,5607,5607
1514878857,5602,5602
1514900713,5603,5603
1514922715,5617,5617
1514944592,5619,5619
1514966667,5591,5591
1514988558,5580,5580
1515010794,5564,5564
1515133534,5667,5667
1515155566,5663,5663
1515177770,7921,7921
1515200049,7939,7939
1515222393,7938,7938
1515244606,8343,8343
1515266661,9474,9474
1515288509,9560,9560
1515310364,9554,9554
1515332443,9545,9545
1515354513,9558,9558
1515376598,9656,9656
1515398688,9654,9654
1515420747,8644,8644
1515442610,8645,8645
1515464919,8646,8646
1515486935,8642,8642
1515509144,8636,8636
1515531531,11828,11828
1515553458,12153,12153
1515575618,12156,12156
1515597839,12155,12155
1515620052,12151,12151
1515642126,12115,12115
1515664336,12115,12115
1515686203,12108,12108
1515708079,12115,12115
1515730136,12129,12129
1515752080,12126,12126
1515774301,10364,10364
1515796603,10364,10364
1515818690,10355,10355
1515840737,10323,10323
1515862686,9023,9023
1515884870,9103,9103
1515906770,9260,9260
1515929108,9287,9287
1515951358,9323,9323
1515973752,9270,9270
1515995795,9295,9295
1516017887,9326,9326
1516039905,9431,9431
1516061815,9450,9450
1516083914,9460,9460
1516105963,9484,9484
1516128020,8479,8479
1516150113,8487,8487
1516171955,8498,8498
1516193875,8533,8533
1516215876,8555,8555
1516237777,8568,8568
1516259809,8594,8594
1516281952,8627,8627
1516303946,10155,10155
1516326040,10162,10162
1516348031,10160,10160
1516370433,10158,10158
1516392620,10359,10359
1516414888,10339,10339
1516437033,10338,10338
1516459021,10129,10129
1516481082,10084,10084
1516503138,10015,10015
1516536537,9975,9975
1516558380,9937,9937
1516580410,9916,9916
1516602300,9890,9890
1516624359,9855,9855
1516646410,9762,9762
1516668263,9749,9749
1516690329,9733,9733
1516712170,9708,9708
1516734050,9703,9703
1516756131,9692,9692
1516778175,9679,9679
1516800276,9643,9643
1516822330,9624,9624
1516844193,9610,9610
1516866104,9574,9574
1516888131,9537,9537
1516910205,9512,9512
1516932520,9502,9502
1516954737,9576,9576
1516976663,9577,9577
1516998769,8694,8694
1517020617,7734,7734
1517042669,7735,7735
1517064864,3993,3993
1517087076,4003,4003
1517108931,4110,4110
1517130980,4115,4115
1517152848,4102,4102
1517175310,4127,4127
1517197211,4164,4164
1517219077,4189,4189
1517241159,4765,4765
1517263242,4774,4774
1517285327,4775,4775
1517307392,4797,4797
1517329459,4815,4815
1517351300,4834,4834
1517373162,4848,4848
1517395218,4857,4857
1517417075,4889,4889
1517439145,5539,5539
1517461482,5554,5554
1517483330,5566,5566
1517505407,5586,5586
1517527479,5584,5584
1517549569,5587,5587
1517571639,5631,5631
1517593706,5644,5644
1517615570,5653,5653
1517648660,5666,5666
1517671012,5641,5641
1517693060,5649,5649
1517715399,5565,5565
1517737722,5565,5565
1517760167,5556,5556
1517782108,5535,5535
1517804192,5508,5508
1517826522,5480,5480
1517849019,4938,4938
1517871169,4927,4927
1517893269,4931,4931
1517916392,5012,5012
1517938392,4993,4993
1517960321,4974,4974
1517982286,4962,4962
1518004354,4940,4940
1518037674,4266,4266
1518059555,4256,4256
1518081622,4237,4237
1518103487,4224,4224
1518125572,4220,4220
1518147645,4208,4208
1518169954,4168,4168
1518203079,4153,4153
1518224924,4141,4141
1518246992,4132,4132
1518269063,4621,4621
1518291358,4608,4608
1518313222,4597,4597
1518335080,4587,4587
1518356921,3818,3818
1518378980,4367,4367
1518401285,4367,4367
1518423152,4365,4365
1518445009,4359,4359
1518467263,4355,4355
1518489151,4352,4352
1518511223,4292,4292
1518533086,4148,4148
1518555192,4151,4151
1518577823,4148,4148
1518599807,4157,4157
1518621876,4165,4165
1518644157,4168,4168
1518666282,4220,4220
1518688129,4264,4264
1518710194,4285,4285
1518732530,4287,4287
1518754595,4454,4454
1518776665,4644,4644
1518798750,4640,4640
1518820604,4662,4662
1518842848,4658,4658
1518865001,4133,4133
1518887072,4128,4128
1518909481,4130,4130
1518931719,4130,4130
1518953560,4128,4128
1518975608,4108,4108
1518997700,4109,4109
1519019783,4103,4103
1519042072,4092,4092
1519063954,4106,4106
1519085917,4114,4114
1519107859,4123,4123
1519129939,4128,4128
1519151806,4131,4131
1519173652,4129,4129
1519195959,4120,4120
1519218039,4115,4115
1519240372,4110,4110
1519262671,4090,4090
1519285007,4042,4042
1519307150,3960,3960
1519329386,3956,3956
1519362610,4448,4448
1519384588,4452,4452
1519406683,4492,4492
1519429355,4482,4482
1519451301,4484,4484
1519473157,4485,4485
1519506257,4490,4490
1519528109,4486,4486
1519550189,4483,4483
1519572283,1233,1233
1519594448,1225,1225
1519616680,1265,1265
1519638770,1281,1281
1519661014,2950,2950
1519683163,2936,2936
1519705473,2972,2972
1519727332,3002,3002
1519749564,3049,3049
1519771465,3046,3046
1519793344,3053,3053
1519815385,2930,2930
1519848532,2927,2927
1519870869,2929,2929
1519892915,2926,2926
1519914983,2921,2921
1519937056,2921,2921
1519958904,2291,2291
1519980756,2413,2413
1520002828,2390,2390
1520024923,2391,2391
1520046995,2374,2374
1520069064,2379,2379
1520090916,2379,2379
1520112761,2377,2377
1520134826,2381,2381
1520156668,2375,2375
1520178620,2373,2373
1520211862,2376,2376
1520233765,2377,2377
1520255799,2376,2376
1520277867,669,669
1520299944,637,637
1520322027,597,597
1520344134,563,563
1520366432,544,544
1520388287,1179,1179
1520410356,1179,1179
1520432407,1178,1178
1520454252,1198,1198
1520476351,1199,1199
1520498419,1201,1201
1520520264,1203,1203
1520542371,1204,1204
1520564680,1199,1199
1520587066,1199,1199
1520609093,1204,1204
1520631175,1204,1204
1520653065,1207,1207
1520675064,1205,1205
1520697174,1213,1213
1520719277,1206,1206
1520741328,1216,1216
1520763390,1227,1227
1520785453,1226,1226
1520807553,1228,1228
1520829877,1250,1250
1520852201,1246,1246
1520874263,1099,1099
1520896150,1097,1097
1520918539,1097,1097
1520940491,1088,1088
1520962600,1095,1095
1520984669,1104,1104
1521006742,1101,1101
1521028838,1103,1103
1521050682,1113,1113
1521072754,818,818
1521094852,447,447
1521117038,446,446
1521138987,448,448
1521161121,447,447
1521183134,445,445
1521205252,447,447
1521227556,444,444
1521249431,445,445
1521271708,442,442
1521293789,436,436
1521315876,429,429
1521338207,416,416
1521360265,405,405
1521382455,405,405
1521404423,409,409
1521426500,380,380
1521448660,386,386
1521470674,391,391
1521492818,405,405
1521514877,403,403
1521536904,405,405
1521558759,399,399
1521580811,384,384
1521602662,386,386
1521624741,389,389
1521646821,392,392
1521668855,416,416
1521690751,420,420
1521724763,2149,2149
1521746914,2151,2151
1521768986,2154,2154
1521791073,2152,2152
1521813150,2161,2161
1521846504,2170,2170
1521868358,2172,2172
1521890436,2169,2169
1521912954,2170,2170
1521934823,2201,2201
1521956910,2202,2202
1521978780,2200,2200
1522011858,2200,2200
1522033713,2203,2203
1522055589,2204,2204
1522077606,2203,2203
1522122028,2184,2184
1522143871,2180,2180
1522166209,2188,2188
1522188298,2189,2189
1522233300,2184,2184
1522278326,1374,1374
1522300599,1370,1370
1522322730,998,998
1522344752,512,512
1522366815,510,510
1522388920,506,506
1522411037,497,497
1522433320,490,490
1522455376,488,488
1522477473,487,487
1522499542,483,483
1522521409,481,481
1522543448,448,448
1522565662,447,447
1522587612,445,445
1522631842,405,405
1522654113,372,372
1522676187,364,364
1522698265,359,359
1522720342,350,350
1522742487,340,340
1522764528,331,331
1522786825,293,293
1522808847,281,281
1522830754,60,60
1522853076,1,1
1523318441,3,3
1523340537,16,16
1523362569,19,19
1523384431,22,22
1523406509,24,24
1523428838,27,27
1523450691,30,30
1523472752,33,33
1523494827,35,35
1523516929,36,36
1523539246,38,38
1523561301,40,40
1523583143,42,42
1523627055,44,44
1523649258,47,47
1523671768,52,52
1523693772,53,53
1523715633,54,54
1523737773,55,55
1523772347,57,57
1523894678,59,59
1523916531,60,60
1523938581,53,53
1523960448,51,51
1523982861,52,52
1524004997,54,54
1524027166,53,53
1524049420,52,52
1524071338,49,49
1524115959,48,48
1524138027,47,47
1524159877,49,49
1524181947,47,47
1524204027,46,46
1524226108,46,46
1524247981,47,47
1524270024,43,43
1524291879,46,46
1524313950,46,46
1524336034,49,49
1524357889,51,51
1524379976,50,50
1524402035,51,51
1524424139,52,52
1524446049,66,66
1524468275,68,68
1524490343,71,71
1524512664,74,74
1524534753,76,76
1524556600,76,76
1524578880,78,78
1524600763,76,76
1524622830,166,166
1524644897,166,166
1524667001,167,167
1524688993,166,166
1524711144,166,166
1524733011,168,168
1524754936,170,170
1524776924,169,169
1524798991,173,173
1524820843,171,171
1524842926,173,173
1524865215,175,175
1524887060,174,174
1524908909,173,173
1524930997,173,173
1524953073,173,173
1524975218,178,178
1524997218,179,179
1525019368,177,177
1525041623,180,180
1525063942,178,178
1525086034,179,179
1525108104,177,177
1525130204,182,182
1525152265,184,184
1525174346,188,188
1525196423,187,187
1525218318,123,123
1525240354,94,94
1525262447,92,92
1525284447,91,91
1525306377,92,92
1525328429,90,90
1525350391,91,91
1525372351,89,89
1525394197,92,92
1525416250,89,89
1525438356,90,90
1525460455,182,182
1525482506,181,181
1525504374,180,180
1525526424,180,180
1525548288,180,180
1525570354,179,179
1525592213,177,177
1525636371,2691,2691
1525658441,2692,2692
1525680556,2691,2691
1525702606,2689,2689
1525724924,2687,2687
1525747006,2686,2686
1525769142,2686,2686
1525791163,2687,2687
1525813240,2686,2686
1525835735,2686,2686
1525879718,2685,2685
1525901807,2688,2688
1525923651,2689,2689
1525968073,2688,2688
1525990119,2687,2687
1526012210,2687,2687
1526332107,2080,2080
1526354297,2083,2083
1526376266,2088,2088
1526398122,2094,2094
1526420440,2098,2098
1526442502,3829,3829
1526464349,5050,5050
1526486300,5052,5052
1526508524,5048,5048
1526530581,3906,3906
1526552667,3897,3897
1526574520,3909,3909
1526596573,3921,3921
1526618667,3907,3907
1526640748,3910,3910
1526662590,3871,3871
1526684927,3861,3861
1526706994,3865,3865
1526729081,3861,3861
1526751144,4034,4034
1526772993,4032,4032
1526795459,4038,4038
1526817368,4038,4038
1526839241,4008,4008
1526861449,3989,3989
1526883391,4002,4002
