DateTime,AddedIPs,RemovedIPs
1518503074,1,0
1518509915,1,0
1518530342,1,0
1518542212,0,1
1518553715,1,0
1518557795,1,0
1518559706,1,0
1518563796,0,1
1518573395,1,0
1518575354,0,1
1518577826,0,1
1518581757,1,0
1518583689,1,0
1518587559,2,1
1518589418,0,1
1518591681,4,0
1518595694,0,1
1518607464,1,0
1518616643,0,1
1518636198,1,0
1518640178,0,1
1518644159,0,1
1518646356,0,1
1518650918,1,0
1518655018,2,0
1518659080,0,1
1518667272,0,1
1518671324,0,1
1518673489,41,1
1518675403,2,1
1518677569,0,4
1518693163,0,1
1518722656,0,1
1518724607,1,0
1518735389,0,1
1518739903,0,1
1518741863,0,1
1518754126,1,0
1518760123,0,42
1518762038,0,1
1518781698,2,0
1518798751,1,0
1518810983,0,1
1518833340,1,0
1518835253,1,0
1518839351,0,1
1518841352,1,0
1518868434,0,2
1518872683,1,0
1518874580,1,0
1518886073,0,1
1518888010,1,0
1518904126,1,0
1518918764,0,1
1518920654,1,0
1518923810,0,1
1518957623,1,0
1518959556,0,2
1518962563,1,1
1518974442,0,1
1518982601,2,0
1518984497,4,0
1518990287,0,1
1518998679,1,0
1519006355,1,1
1519029390,1,0
1519035393,1,0
1519042949,0,1
1519047407,0,1
1519069259,0,2
1519078263,0,1
1519084355,1,0
1519086528,1,1
1519094199,1,0
1519100199,1,0
1519125316,0,6
1519144648,1,0
1519171298,0,1
1519173178,0,1
1519177033,2,0
1519192996,1,0
1519201248,1,0
1519231644,0,1
1519244922,1,0
1519250664,0,1
1519262191,0,1
1519264053,1,0
1519266008,2,0
1519273934,1,0
1519279923,0,1
1519284053,1,0
1519291322,1,0
1519295192,1,0
1519301125,35,1
1519313079,1,0
1519331377,0,1
1519339561,1,0
1519345468,0,1
1519349344,1,0
1519352183,0,2
1519354123,0,1
1519359859,0,1
1519377643,0,1
1519381479,0,1
1519387270,0,32
1519389367,0,3
1519391291,1,0
1519397069,1,0
1519398972,0,1
1519410998,1,0
1519426290,0,1
1519434277,0,1
1519436200,1,0
1519455880,0,1
1519465946,1,0
1519476036,0,1
1519484172,0,1
1519490910,1,0
1519496560,0,1
1519521287,1,0
1519523298,0,1
1519529306,0,1
1519550667,0,1
1519558569,1,0
1519564226,1,0
1519576030,0,1
1519607310,0,1
1519617141,1,0
1519620977,1,0
1519625794,1,0
1519644019,0,1
1519649777,0,1
1519652013,1,0
1519687463,1,0
1519695387,1,0
1519703065,1,0
1519706896,1,0
1519708841,0,1
1519712656,0,1
1519734038,1,0
1519737877,0,1
1519751191,0,1
1519774332,0,1
1519776526,1,0
1519778436,1,0
1519780358,1,1
1519786127,1,0
1519788038,0,1
1519793798,0,1
1519797671,1,0
1519801726,1,0
1519820896,0,1
1519834595,1,0
1519851404,1,0
1519862103,0,1
1519864118,0,1
1519867038,0,1
1519872754,0,1
1519880910,1,0
1519882826,0,1
1519888586,0,1
1519921265,0,1
1519938749,0,1
1519946435,1,0
1519948366,1,0
1519965880,0,1
1519983388,1,0
1519997790,1,0
1520001852,1,0
1520017265,2,0
1520019162,2,0
1520021066,1,0
1520032599,1,1
1520066714,1,0
1520068640,0,1
1520070557,1,0
1520076310,0,1
1520084202,0,1
1520088034,0,1
1520103678,0,2
1520105651,1,2
1520107481,0,1
1520119001,0,1
1520151159,1,0
1520153082,0,1
1520156896,0,1
1520191959,0,1
1520193883,1,0
1520218147,1,0
1520237610,0,1
1520247182,1,0
1520280591,0,1
1520286766,1,0
1520304319,1,1
1520308164,1,0
1520310033,1,0
1520333557,0,1
1520341278,1,0
1520373973,0,1
1520385454,1,0
1520387301,1,0
1520391149,0,1
1520394980,0,1
1520397036,0,1
1520403631,1,0
1520423075,1,0
1520426905,0,1
1520443222,1,0
1520472073,0,1
1520489417,0,1
1520509950,1,2
1520515944,1,0
1520530107,0,1
1520541613,3,0
1520565643,1,0
1520577186,1,0
1520596623,0,1
1520601371,0,1
1520624900,1,0
1520626817,0,3
1520651303,0,1
1520663077,3,1
1520672664,1,0
1520674620,1,0
1520689990,1,0
1520711307,0,1
1520713218,3,0
1520726916,1,0
1520742749,12,0
