DateTime,AddedIPs,RemovedIPs
1520060922,2,1
1520064794,0,1
1520070557,0,1
1520080424,0,1
1520082324,1,0
1520086181,1,2
1520088035,1,1
1520089960,0,1
1520094051,1,0
1520099795,1,0
1520107481,1,0
1520111323,1,0
1520119001,1,0
1520129797,1,0
1520135553,0,1
1520139393,0,1
1520147297,0,2
1520151160,1,0
1520168467,0,1
1520170357,0,1
1520172292,0,1
1520174200,0,1
1520180211,0,1
1520193883,0,1
1520197705,0,1
1520206361,0,1
1520214324,1,0
1520216222,0,1
1520221967,1,0
1520225834,1,0
1520227733,1,0
1520235666,1,0
1520237611,0,1
1520254887,0,1
1520264698,1,0
1520296572,2,0
1520300476,0,1
1520308164,0,1
1520311992,0,1
1520319769,1,0
1520323962,0,1
1520325872,2,0
1520333557,0,1
1520339324,1,1
1520341281,1,0
1520343162,1,0
1520349151,1,0
1520351082,0,1
1520383471,0,1
1520405550,0,1
1520407463,1,0
1520411305,0,1
1520413276,1,1
1520424996,1,0
1520428826,0,1
1520436505,0,1
1520463861,0,1
1520469942,2,0
1520472073,0,1
1520489418,1,0
1520491294,1,0
1520493297,0,1
1520495310,1,0
1520499462,0,1
1520503885,1,0
1520505862,2,0
1520509951,1,0
1520511877,0,1
1520533942,1,0
1520549306,2,0
1520551232,1,0
1520555076,0,2
1520567689,2,0
1520575309,0,1
1520579135,0,1
1520590891,0,1
1520594785,1,0
1520596623,1,1
1520617233,0,1
1520621084,0,1
1520624900,1,0
1520630666,1,0
1520632595,2,0
1520635551,1,2
1520639434,0,1
1520653208,1,2
1520661154,1,0
1520688991,3,0
1520696675,0,1
1520700506,1,0
1520704344,2,0
1520711307,0,1
1520717060,0,1
1520718885,1,3
1520720696,0,1
1520722634,1,0
1520726916,2,0
1520736998,1,0
1520740877,0,1
1520746584,0,1
1520754502,1,0
1520764106,1,0
1520768189,1,0
1520770123,1,0
1520773961,0,1
1520776227,1,2
1520785967,0,1
1520791730,0,2
1520796040,1,0
1520809472,0,1
1520813558,0,1
1520823158,0,1
1520849326,0,1
1520851266,1,1
1520855154,0,2
1520859078,1,0
1520861062,0,1
1520865211,1,0
1520877397,1,1
1520881453,0,1
1520885292,1,0
1520889872,0,1
1520892099,1,0
1520893960,1,0
1520900190,1,0
1520905965,1,0
1520910078,1,0
1520916024,1,0
1520921782,0,1
1520929492,1,0
1520933299,0,1
1520937148,1,1
1520944825,1,0
1520946747,0,1
1520952518,0,1
1520964062,0,1
1520966030,2,0
1520968126,1,0
1520970267,2,1
1520974355,1,0
1520976271,2,0
1520978178,1,1
1520982081,0,1
1520993548,0,1
1520995456,1,1
1520997383,1,0
1520999297,1,0
1521001223,1,1
1521015863,0,2
1521022718,1,0
1521024523,0,1
1521047483,1,0
1521053304,0,2
1521056982,0,2
1521058917,2,0
1521060756,0,1
1521062821,0,2
1521064877,0,1
1521078740,1,0
1521080690,1,1
1521082558,0,1
1521086359,0,2
1521088333,0,1
1521097856,1,0
1521109458,0,1
1521116509,1,0
1521118593,0,1
1521120959,1,0
1521125005,1,0
1521144745,0,2
1521150501,1,0
1521161555,0,1
1521163454,0,1
1521167287,0,1
1521176907,2,0
1521182664,0,1
1521190572,1,0
1521199471,2,0
1521201475,0,1
1521205266,0,1
1521212895,0,1
1521218907,0,1
1521224673,2,0
1521226589,1,0
1521234277,1,0
1521236197,0,1
1521238124,1,0
1521247490,1,0
1521261300,1,0
1521263290,0,2
1521272733,1,0
1521276556,0,1
1521278429,1,0
1521286093,1,2
1521311186,0,1
1521313113,1,1
1521315036,1,0
1521316970,1,0
1521318884,1,0
1521325002,0,1
1521334570,0,1
1521348284,0,1
1521350183,1,0
1521356071,1,0
1521360266,1,0
1521364120,0,1
1521367944,0,1
1521369868,1,0
1521371785,0,1
1521377573,1,0
1521381374,2,0
1521383306,1,0
1521398676,1,0
1521400602,1,2
1521402739,0,1
1521406577,0,1
1521413730,1,0
1521423631,1,0
1521429392,1,0
1521431417,1,0
1521443077,0,1
1521446901,0,1
1521450990,0,1
1521452918,1,0
1521462500,1,0
1521464491,1,1
1521468282,0,2
1521483898,0,1
1521485782,0,1
1521487746,1,0
1521500505,0,1
1521508337,1,0
1521510265,0,1
1521516489,0,3
1521526234,0,1
1521532096,1,0
1521533921,1,0
1521539767,0,1
1521547728,0,1
1521549639,0,2
1521551564,0,1
1521573275,1,1
1521589252,1,0
1521595376,0,1
1521603399,2,0
1521607139,1,0
1521618593,1,1
1521620438,1,1
1521626369,1,0
1521641651,1,0
1521658984,0,1
1521662889,1,0
1521675578,0,1
1521689568,1,1
1521691474,1,0
1521693621,0,1
1521703630,1,1
1521713780,0,1
1521719787,1,0
1521723685,1,0
1521727483,0,1
1521733238,1,0
1521746916,0,2
1521750139,0,1
1521760088,2,0
1521766105,2,0
1521768026,1,0
1521775703,1,1
1521777701,0,1
1521785401,1,0
1521789233,0,1
1521793138,1,0
1521801870,1,0
1521803772,1,0
1521807881,0,1
1521809784,0,1
1521821079,0,1
1521836668,1,0
1521845707,2,2
1521851779,0,1
1521853704,0,1
1521855861,0,1
1521861608,1,1
1521871467,0,1
1521879381,1,1
1521888983,1,0
1521890902,0,1
1521892917,1,0
1521894743,1,0
1521908197,1,0
1521910105,1,0
1521918979,1,0
1521920900,1,0
1521923443,1,1
1521926200,2,0
1521928324,0,1
1521930262,0,1
1521933394,1,1
1521947925,0,1
1521962905,1,0
1521967716,1,1
1521976347,0,1
1521984804,0,1
1521986835,1,0
1521990574,0,1
1521994409,2,1
1521996253,0,1
1522005719,0,1
1522008763,0,1
1522011671,0,2
1522013843,1,0
1522017904,0,1
1522023631,2,0
1522031312,3,0
1522046919,0,1
1522054588,1,1
1522056547,1,0
1522065140,1,0
1522068929,2,0
1522080858,0,2
1522084600,0,1
1522086518,1,0
1522088421,1,0
1522090356,1,0
1522094198,1,0
1522096105,0,1
