DateTime,Entries,UniqueIPs
1518074673,9,9
1518089296,8,8
1518095544,9,9
1518101314,8,8
1518103299,7,7
1518111186,6,6
1518128923,5,5
1518136848,4,4
1518138984,3,3
1518158920,2,2
1518160840,1,1
1518181272,0,0
1518245775,1,1
1518287841,2,2
1518293568,3,3
1518319734,4,4
1518333877,3,3
1518373774,2,2
1518379956,1,1
1518391312,2,2
1518405394,1,1
1518419301,2,2
1518477413,1,1
1518483678,2,2
1518495391,4,4
1518504978,3,3
1518506925,4,4
1518524124,5,5
1518555688,6,6
1518566389,7,7
1518571499,6,6
1518581757,5,5
1518591682,4,4
1518597888,3,3
1518611298,2,2
1518643010,1,1
1518648940,0,0
1518651394,1,1
1518678997,3,3
1518687159,4,4
1518710670,5,5
1518737560,4,4
1518756274,5,5
1518764198,4,4
1518770206,5,5
1518774041,4,4
1518796417,3,3
1518842194,2,2
1518844118,1,1
1518853708,0,0
1518882976,1,1
1518888759,2,2
1518947860,3,3
1518976486,2,2
1519035394,1,1
1519078264,2,2
1519088521,1,1
1519098004,2,2
1519131128,3,3
1519151808,5,5
1519161526,8,8
1519165541,7,7
1519167378,9,9
1519171364,10,10
1519177034,11,11
1519178918,12,12
1519185191,13,13
1519189076,14,14
1519192996,17,17
1519194986,19,19
1519197088,20,20
1519205321,21,21
1519215415,22,22
1519217568,21,21
1519221682,23,23
1519223557,24,24
1519229552,25,25
1519231644,26,26
1519235542,27,27
1519237467,27,27
1519239672,26,26
1519241547,28,28
1519247787,26,26
1519249707,27,27
1519251625,29,29
1519253804,27,27
1519258607,26,26
1519262672,27,27
1519265798,26,26
1519271959,24,24
1519273934,25,25
1519275793,26,26
1519277776,26,26
1519279923,23,23
1519281884,22,22
1519284053,22,22
1519291323,24,24
1519293164,26,26
1519301126,26,26
1519304918,27,27
1519307152,25,25
1519311172,24,24
1519315310,25,25
1519317336,23,23
1519319553,24,24
1519323635,24,24
1519325556,25,25
1519327474,23,23
1519329387,24,24
1519331377,25,25
1519335446,25,25
1519337558,23,23
1519343567,24,24
1519345469,25,25
1519349344,24,24
1519354124,25,25
1519357962,24,24
1519359859,25,25
1519362097,23,23
1519363940,21,21
1519369727,20,20
1519371618,21,21
1519373810,22,22
1519375697,21,21
1519377643,19,19
1519379532,18,18
1519389368,16,16
1519391292,15,15
1519393231,16,16
1519400963,15,15
1519403067,14,14
1519405294,13,13
1519410999,12,12
1519413164,11,11
1519417136,10,10
1519430177,9,9
1519432096,8,8
1519441948,7,7
1519445793,6,6
1519452076,7,7
1519453941,6,6
1519457805,5,5
1519459722,4,4
1519463800,3,3
1519469790,4,4
1519480120,3,3
1519504334,2,2
1519519465,3,3
1519539413,2,2
1519554731,1,1
1519560400,3,3
1519606349,2,2
1519618119,3,3
1519646934,1,1
1519653013,2,2
1519683624,5,5
1519701855,7,7
1519705691,6,6
1519731790,7,7
1519739849,6,6
1519768334,3,3
1519770278,4,4
1519776527,5,5
1519778437,7,7
1519789960,6,6
1519793798,7,7
1519799788,6,6
1519817066,5,5
1519858156,4,4
1519862103,3,3
1519864119,1,1
1519878694,0,0
1519884263,1,1
1519893901,2,2
1519970666,1,1
1519972585,2,2
1519980252,3,3
1520059019,2,2
1520064794,0,0
1520084202,1,1
1520099795,2,2
1520103686,3,3
1520147298,4,4
1520172293,3,3
1520180211,4,4
1520185954,4,4
1520199631,3,3
1520227733,4,4
1520233767,3,3
1520254887,4,4
1520266858,3,3
1520270724,2,2
1520313873,1,1
1520339324,0,0
1520388987,1,1
1520391150,2,2
1520475932,2,2
1520477906,1,1
1520495310,2,2
1520497508,3,3
1520563840,2,2
1520582976,1,1
1520585049,1,1
1520630666,2,2
1520671698,1,1
1520701496,2,2
1520717060,1,1
1520773961,2,2
1520782102,3,3
1520787948,2,2
1520797941,3,3
1520861062,2,2
1520867325,1,1
1520873324,2,2
1520883319,1,1
1520958266,0,0
1521014665,1,1
1521058918,2,2
1521101668,1,1
1521122927,2,2
1521144745,1,1
1521159634,2,2
1521186506,3,3
1521225149,4,4
1521246513,2,2
1521262105,3,3
1521267868,4,4
1521273669,3,3
1521283236,4,4
1521311187,4,4
1521348284,3,3
1521354016,2,2
1521369868,1,1
1521394836,0,0
1521405805,1,1
1521425552,2,2
1521437316,3,3
1521443078,4,4
1521481945,5,5
1521492820,4,4
1521510265,3,3
1521524229,2,2
1521530143,1,1
1521564993,0,0
1521603627,1,1
1521672264,2,2
1521690752,1,1
1521715961,2,2
1521735482,3,3
1521756110,2,2
1521805712,3,3
1521821079,2,2
1521834508,3,3
1521840745,4,4
1521898581,4,4
1521900504,5,5
1521919958,4,4
1521927634,3,3
1521929539,2,2
1521941070,4,4
1521984804,3,3
1521986835,2,2
1521998244,3,3
1522017905,4,4
1522027688,3,3
1522043057,2,2
1522058535,4,4
1522060816,5,5
1522070899,6,6
1522074999,7,7
1522076920,8,8
1522078835,9,9
1522080859,10,10
1522084600,9,9
1522086519,11,11
1522088421,12,12
1522090356,13,13
1522092267,15,15
1522096106,16,16
1522100290,17,17
1522104525,17,17
1522112238,20,20
1522114091,22,22
1522116279,23,23
1522120102,24,24
1522123959,25,25
1522125879,27,27
1522131854,28,28
1522133770,29,29
1522141471,31,31
1522145321,28,28
1522147938,29,29
1522152118,31,31
1522157958,30,30
1522160197,30,30
1522166211,32,32
1522171950,32,32
1522173886,31,31
1522175784,33,33
1522177721,34,34
1522179629,34,34
1522183471,33,33
1522185396,34,34
1522187321,35,35
1522192677,34,34
1522194516,32,32
1522198586,31,31
1522201726,29,29
1522205884,30,30
1522211112,33,33
1522215489,32,32
1522219703,34,34
1522223614,33,33
1522226697,32,32
1522238697,31,31
1522241087,19,19
1522244676,32,32
1522247821,29,29
1522253617,27,27
1522276482,15,15
1522288593,14,14
1522296287,9,9
1522300108,7,7
1522303955,4,4
1522307787,3,3
1522315473,2,2
1522323153,1,1
1522325050,0,0
1523411343,1,1
1523498190,0,0
1523907633,1,1
1523995707,0,0
1524396757,1,1
1524483888,0,0
1524794190,1,1
1524881299,0,0
1525046481,1,1
1525062269,2,2
1525108807,3,3
1525134045,2,2
1525137887,3,3
1525149451,2,2
1525194265,1,1
1525214195,2,2
1525222159,1,1
1525237977,2,2
1525260588,3,3
1525294355,4,4
1525298198,3,3
1525324133,2,2
1525347404,1,1
1525379071,0,0
1525390610,1,1
1525477250,0,0
1525484189,1,1
1525519728,2,2
1525572434,1,1
1525576592,2,2
1525602281,2,2
1525661802,1,1
1525673337,2,2
1525677170,3,3
1525688693,2,2
1525707869,3,3
1525760906,2,2
1525764752,1,1
1525792671,0,0
1525840367,1,1
1525923653,2,2
1525927486,1,1
1526010274,0,0
1526322767,16,16
1526324681,17,17
1526326615,18,18
1526328506,17,17
1526333068,18,18
1526334899,16,16
1526336890,14,14
1526340761,15,15
1526342561,17,17
1526348922,13,13
1526350838,14,14
1526352778,15,15
1526358529,14,14
1526362611,13,13
1526364762,13,13
1526372657,15,15
1526374895,17,17
1526378691,18,18
1526382632,21,21
1526384932,22,22
1526393266,23,23
1526395228,23,23
1526397403,24,24
1526401181,25,25
1526403387,24,24
1526405314,26,26
1526411349,25,25
1526413232,24,24
1526417813,23,23
1526421736,22,22
1526427644,21,21
1526429564,20,20
1526435321,22,22
1526437241,22,22
1526439177,21,21
1526450688,20,20
1526458342,18,18
1526460280,16,16
1526462207,17,17
1526466040,17,17
1526467941,18,18
1526469873,15,15
1526471798,14,14
1526475698,15,15
1526477562,16,16
1526481382,14,14
1526483304,12,12
1526487174,12,12
1526491235,11,11
1526493143,12,12
1526504674,13,13
1526506604,14,14
1526511720,15,15
1526513800,16,16
1526515724,16,16
1526517637,17,17
1526519562,18,18
1526521458,16,16
1526523409,15,15
1526540681,16,16
1526542575,17,17
1526546437,18,18
1526548364,17,17
1526550265,18,18
1526552202,17,17
1526554092,18,18
1526556037,19,19
1526562085,19,19
1526564201,20,20
1526574029,19,19
1526575946,18,18
1526579782,17,17
1526581705,18,18
1526587477,17,17
1526591306,17,17
1526593232,16,16
1526597938,15,15
1526599953,14,14
1526601915,13,13
1526603802,12,12
1526605775,11,11
1526615334,12,12
1526627800,11,11
1526629716,10,10
1526631633,9,9
1526635474,10,10
1526637376,9,9
1526642202,7,7
1526648537,6,6
1526650357,4,4
1526668367,3,3
1526670267,4,4
1526677965,4,4
1526681812,5,5
1526689965,6,6
1526701722,5,5
1526722841,4,4
1526749966,5,5
1526752027,6,6
1526757868,5,5
1526763876,4,4
1526767702,3,3
1526777317,2,2
1526779211,3,3
1526783075,4,4
1526818108,41,41
1526820026,43,43
1526829641,45,45
1526835398,44,44
1526837322,45,45
1526839296,46,46
1526843086,48,48
1526844977,49,49
1526846929,50,50
1526850771,51,51
1526852684,53,53
1526857490,54,54
1526859383,55,55
1526861452,58,58
1526863457,59,59
1526865384,60,60
1526867290,61,61
1526869157,60,60
1526871131,61,61
1526873020,62,62
1526874968,64,64
1526886788,65,65
1526888678,66,66
1526890587,67,67
