DateTime,AddedIPs,RemovedIPs
1521146671,1,0
1521148591,3,1
1521150502,0,2
1521152430,0,1
1521154350,1,2
1521156427,1,2
1521160632,2,0
1521162682,1,1
1521166826,2,2
1521168789,1,3
1521172638,1,0
1521189871,0,1
1521195698,0,1
1521199471,1,0
1521201475,0,3
1521203320,1,4
1521205276,0,2
1521207150,1,2
1521209059,0,1
1521210990,1,1
1521212895,0,2
1521215070,0,3
1521218908,1,0
1521220827,0,1
1521222754,1,1
1521226590,1,0
1521228508,0,1
1521230487,0,1
1521232356,0,1
1521234278,1,2
1521236197,1,1
1521240027,2,0
1521241900,0,1
1521243851,0,1
1521247491,0,2
1521249433,0,1
1521251316,1,0
1521253437,0,2
1521255370,0,1
1521259320,0,1
1521276556,1,0
1521286093,1,1
1521288128,1,0
1521289958,1,1
1521291986,1,0
1521293791,0,1
1521295828,2,1
1521299691,1,0
1521301586,1,0
1521305426,0,1
1521307354,1,0
1521309280,1,1
1521311187,1,0
1521313114,1,1
1521320921,0,1
1521323062,1,1
1521326941,0,2
1521328888,2,0
1521332656,1,0
1521334571,1,0
1521336490,1,0
1521338484,0,1
1521342270,1,0
1521344425,1,0
1521362193,0,1
1521371786,1,1
1521375631,0,1
1521377574,1,1
1521379471,1,0
1521383307,0,2
1521385276,0,1
1521387144,2,1
1521389070,1,0
1521390990,1,0
1521392945,0,1
1521394836,0,1
1521396747,1,0
1521398676,1,1
1521400603,0,1
1521408493,1,0
1521410482,2,1
1521413731,4,0
1521415691,1,2
1521417591,1,0
1521419542,0,2
1521421437,0,1
1521425553,1,0
1521427479,1,1
1521431418,0,1
1521433479,1,0
1521443078,1,0
1521454823,1,0
1521458664,1,2
1521460589,1,0
1521462501,2,0
1521464493,0,1
1521466347,0,1
1521472118,0,1
1521474030,0,2
1521477881,1,1
1521481945,0,1
1521485783,1,1
1521490709,1,0
1521492820,1,0
1521494671,0,1
1521496572,2,1
1521498490,2,3
1521500532,0,3
1521502365,1,0
1521504512,0,1
1521508338,1,0
1521510266,2,1
1521512467,1,0
1521514487,1,1
1521516490,1,0
1521518301,0,1
1521528038,0,1
1521541586,0,1
1521545466,0,1
1521547728,1,3
1521549640,1,0
1521551564,1,0
1521555390,2,0
1521557329,1,0
1521561170,2,0
1521564994,0,1
1521568888,1,0
1521570986,2,0
1521573276,1,1
1521577464,0,1
1521579402,1,1
1521581558,0,1
1521583482,1,1
1521585395,2,1
1521587323,1,0
1521589253,1,1
1521593321,1,1
1521597369,1,2
1521599256,1,1
1521601325,2,1
1521603399,0,1
1521607140,1,0
1521610969,2,0
1521614782,1,0
1521620438,1,0
1521632170,1,1
1521634028,1,0
1521636010,1,1
1521637857,0,1
1521639774,0,1
1521641652,1,2
1521643461,0,1
1521645492,1,0
1521647294,1,2
1521649341,2,0
1521654988,1,1
1521657035,0,1
1521658985,2,1
1521660925,1,1
1521662889,1,0
1521666734,1,1
1521668857,0,1
1521670875,0,1
1521672810,1,1
1521675579,1,2
1521679472,1,0
1521682428,1,2
1521685712,1,1
1521687754,0,2
1521693622,0,1
1521697455,0,2
1521701566,0,1
1521705870,0,1
1521713781,1,0
1521717863,0,1
1521719788,2,1
1521723687,1,1
1521725545,1,0
1521729400,0,1
1521731329,1,1
1521733239,2,1
1521735483,2,2
1521737310,1,0
1521739218,1,0
1521741156,1,1
1521744973,2,1
1521746917,0,1
1521748867,0,1
1521750997,1,1
1521752920,1,0
1521754834,2,1
1521758921,0,1
1521762756,1,1
1521764670,0,1
1521768511,0,1
1521770508,0,1
1521776199,1,0
1521797308,1,0
1521799833,0,1
1521801871,1,0
1521803773,2,0
1521805713,0,1
1521807882,0,1
1521809785,0,1
1521811707,0,1
1521815121,2,0
1521816976,1,0
1521818908,1,2
1521821079,0,2
1521822999,1,2
1521824924,1,1
1521826825,1,0
1521828755,0,1
1521830693,1,1
1521832587,0,1
1521836669,0,1
1521838896,1,1
