DateTime,Entries,UniqueIPs
1521144746,38,38
1521146671,39,39
1521148591,41,41
1521150502,39,39
1521152430,38,38
1521154350,37,37
1521156427,36,36
1521160632,38,38
1521162682,38,38
1521166826,38,38
1521168789,36,36
1521172638,37,37
1521189871,36,36
1521195698,35,35
1521199471,36,36
1521201475,33,33
1521203320,30,30
1521205276,28,28
1521207150,27,27
1521209059,26,26
1521210990,26,26
1521212895,24,24
1521215070,21,21
1521218908,22,22
1521220827,21,21
1521222754,21,21
1521226590,22,22
1521228508,21,21
1521230487,20,20
1521232356,19,19
1521234278,18,18
1521236197,18,18
1521240027,20,20
1521241900,19,19
1521243851,18,18
1521247491,16,16
1521249433,15,15
1521251316,16,16
1521253437,14,14
1521255370,13,13
1521259320,12,12
1521276556,13,13
1521286093,13,13
1521288128,14,14
1521289958,14,14
1521291986,15,15
1521293791,14,14
1521295828,15,15
1521299691,16,16
1521301586,17,17
1521305426,16,16
1521307354,17,17
1521309280,17,17
1521311187,18,18
1521313114,18,18
1521320921,17,17
1521323062,17,17
1521326941,15,15
1521328888,17,17
1521332656,18,18
1521334571,19,19
1521336490,20,20
1521338484,19,19
1521342270,20,20
1521344425,21,21
1521362193,20,20
1521371786,20,20
1521375631,19,19
1521377574,19,19
1521379471,20,20
1521383307,18,18
1521385276,17,17
1521387144,18,18
1521389070,19,19
1521390990,20,20
1521392945,19,19
1521394836,18,18
1521396747,19,19
1521398676,19,19
1521400603,18,18
1521408493,19,19
1521410482,20,20
1521413731,24,24
1521415691,23,23
1521417591,24,24
1521419542,22,22
1521421437,21,21
1521425553,22,22
1521427479,22,22
1521431418,21,21
1521433479,22,22
1521443078,23,23
1521454823,24,24
1521458664,23,23
1521460589,24,24
1521462501,26,26
1521464493,25,25
1521466347,24,24
1521472118,23,23
1521474030,21,21
1521477881,21,21
1521481945,20,20
1521485783,20,20
1521490709,21,21
1521492820,22,22
1521494671,21,21
1521496572,22,22
1521498490,21,21
1521500532,18,18
1521502365,19,19
1521504512,18,18
1521508338,19,19
1521510266,20,20
1521512467,21,21
1521514487,21,21
1521516490,22,22
1521518301,21,21
1521528038,20,20
1521541586,19,19
1521545466,18,18
1521547728,16,16
1521549640,17,17
1521551564,18,18
1521555390,20,20
1521557329,21,21
1521561170,23,23
1521564994,22,22
1521568888,23,23
1521570986,25,25
1521573276,25,25
1521577464,24,24
1521579402,24,24
1521581558,23,23
1521583482,23,23
1521585395,24,24
1521587323,25,25
1521589253,25,25
1521593321,25,25
1521597369,24,24
1521599256,24,24
1521601325,25,25
1521603399,24,24
1521607140,25,25
1521610969,27,27
1521614782,28,28
1521620438,29,29
1521632170,29,29
1521634028,30,30
1521636010,30,30
1521637857,29,29
1521639774,28,28
1521641652,27,27
1521643461,26,26
1521645492,27,27
1521647294,26,26
1521649341,28,28
1521654988,28,28
1521657035,27,27
1521658985,28,28
1521660925,28,28
1521662889,29,29
1521666734,29,29
1521668857,28,28
1521670875,27,27
1521672810,27,27
1521675579,26,26
1521679472,27,27
1521682428,26,26
1521685712,26,26
1521687754,24,24
1521693622,23,23
1521697455,21,21
1521701566,20,20
1521705870,19,19
1521713781,20,20
1521717863,19,19
1521719788,20,20
1521723687,20,20
1521725545,21,21
1521729400,20,20
1521731329,20,20
1521733239,21,21
1521735483,21,21
1521737310,22,22
1521739218,23,23
1521741156,23,23
1521744973,24,24
1521746917,23,23
1521748867,22,22
