DateTime,AddedIPs,RemovedIPs
1521472118,0,11
1521477882,0,1
1521483899,13,0
1521487747,72,0
1521490710,12,0
1521492821,10,0
1521528039,0,1
1521532097,1,0
1521539768,0,1
1521553471,0,1
1521555390,2,0
1521559222,11,0
1521561171,18,0
1521563075,5,0
1521564994,1,0
1521566907,1,0
1521570987,0,10
1521573276,0,43
1521575464,0,3
1521577464,0,6
1521579402,0,4
1521581558,2,0
1521583482,1,0
1521589253,1,0
1521595377,1,0
1521618594,1,1
1521637857,1,0
1521641652,0,1
1521643461,0,1
1521645492,0,21
1521647294,0,46
1521649341,0,8
1521651267,0,1
1521653185,0,1
1521668857,2,3
1521670924,9,0
1521675579,0,1
1521682428,0,1
1521685712,1,0
1521687755,1,0
1521693622,1,0
1521705870,0,1
1521713781,59,0
1521715961,10,0
1521717864,6,0
1521723688,0,1
1521733240,1,0
1521754834,0,2
1521758921,0,9
1521764670,1,0
1521770510,0,1
1521774266,0,1
1521780033,0,1
1521787705,2,0
1521789634,2,0
1521791545,1,0
1521795385,1,0
1521799834,0,38
1521801872,0,30
1521803773,0,6
1521811707,1,0
1521816976,1,0
1521818909,0,1
1521838896,0,1
1521849876,18,0
1521851780,0,1
1521873624,0,1
1521875556,0,3
1521877477,1,1
1521881321,0,1
1521887073,4,0
1521890903,2,0
1521894744,1,0
1521898582,0,1
1521904349,0,1
1521912264,1,0
1521918074,6,0
1521919958,5,0
1521921866,74,0
1521927634,1,0
1521929540,2,0
1521935297,0,14
1521941071,1,0
1521971551,0,1
1521973468,1,7
1521976348,0,1
1521978263,0,1
1521984805,0,1
1521986836,1,0
1521998245,2,1
1522005721,1,8
1522008764,2,78
1522013844,14,1
1522015769,50,2
1522017906,9,0
1522019792,1,0
1522021759,52,0
1522027689,1,1
1522029512,3,0
1522060817,0,1
1522067061,1,0
1522073075,0,1
1522076921,1,0
1522084601,1,2
1522088422,13,1
1522090357,25,0
1522092268,32,1
1522094199,15,1
1522100291,2,11
1522102398,0,39
1522104526,0,5
1522107849,0,20
1522110132,0,17
1522114092,0,1
1522116280,2,3
1522137717,1,0
1522152119,0,1
1522160197,1,0
1522162116,0,1
1522171951,0,5
1522173887,0,3
1522175785,1,42
1522177722,0,7
1522179630,0,63
1522183472,14,2
1522185397,12,0
1522187322,15,0
1522189654,56,0
1522192678,1,0
1522201727,0,2
1522214233,1,0
1522226699,0,1
1522241088,0,2
1522244677,2,0
1522247824,0,1
1522276483,0,41
1522278329,0,57
1522282518,0,1
1522294355,0,1
1523358994,3,0
1523362836,650,0
1523366674,820,0
1523370503,766,0
1523374350,8,0
1523393790,431,0
1523397645,160,0
1523401719,2,0
1523446847,0,16
1523450696,7,783
1523454525,0,721
1523458374,80,664
1523469890,0,58
1523473726,55,0
1523477586,160,0
1523481434,2,178
1523485249,0,4
1523490233,0,1
1523534905,0,16
1523542605,0,263
1523546419,0,222
1523557981,0,3
1523562177,0,212
1523566131,187,3
1523569962,318,0
1523574988,52,0
1523628512,68,0
1523632369,264,0
1523634264,274,0
1523646876,16,0
1523649261,44,0
1523653080,0,145
1523656956,0,30
1523661165,0,50
1523702709,2,0
1523706573,122,0
1523710368,123,0
1523714206,0,114
1523718042,0,182
1523721893,0,65
1523725727,6,0
1523733399,0,81
1523737232,0,23
1523896107,16,784
1523899950,58,0
1523911490,3,0
1523986109,0,76
1523995708,0,3
1524069890,1,0
1524073717,314,0
1524077562,449,0
1524081393,282,0
1524085259,136,0
1524093934,10,0
1524123315,0,0
1524146420,1,0
1524150572,50,0
1524154600,17,0
1524158613,0,6
1524160839,0,287
1524164692,0,394
1524168525,0,253
1524172391,0,126
1524180311,0,7
1524205129,13,0
1524209041,7,0
1524232956,0,2
1524236777,0,85
1524240668,34,21
1524244480,26,0
1524248607,21,0
1524291553,0,14
1524295441,0,8
1524299549,100,0
1524303390,1,0
1524307226,7,0
1524326941,0,17
1524330753,0,28
1524334607,0,9
1524382845,0,6
1524386674,0,174
1524390501,0,20
1524392421,0,12
1524419801,1,0
1524423632,170,0
1524427491,256,0
1524431324,1,0
1524489891,5,0
1524491788,189,0
1524495659,378,0
1524499474,396,0
1524503309,176,0
1524507171,0,6
1524510998,0,149
1524514828,306,205
1524518727,10,0
1524575820,0,18
1524579634,0,246
1524583490,79,391
1524587306,406,428
1524591639,270,112
1524593557,244,0
1524597399,176,29
1524601255,190,75
1524605083,4,9
1524671692,0,315
1524675641,0,316
1524677817,0,245
1524681893,103,129
1524685708,292,310
1524689803,134,185
1524693631,187,0
1524753897,109,0
1524757713,44,0
1524769237,0,126
1524773078,0,341
1524776927,0,142
1524780767,0,180
1524829943,20,0
1524834292,334,0
1524838614,0,17
1524842583,0,124
1524844837,0,17
1524860200,23,0
1524864035,111,0
1524869851,214,0
1524875556,193,0
1524918045,0,32
1524921871,0,333
1524923786,11,0
1524927863,234,0
1524931991,145,0
1524935811,157,0
1524939644,116,0
1524943462,135,0
1524947323,228,16
1524951165,225,127
1524955253,0,109
1524959055,0,66
1524962903,0,70
1524967000,8,0
1525009243,0,4
1525013306,0,213
1525017154,0,150
1525021584,0,149
1525025432,0,155
1525029864,0,172
1525031805,0,211
1525036078,0,252
1525039938,91,92
1525043773,12,0
1525055551,0,8
1525082448,23,0
1525094513,290,0
1525096368,271,0
1525100189,60,0
1525115545,103,0
1525119408,271,0
1525122217,20,0
1525126382,0,96
1525130207,0,4
1525168637,0,19
1525180594,0,291
1525184561,0,272
1525186592,0,58
1525194266,1,0
1525198540,84,0
1525202675,132,110
1525206499,85,272
1525210358,135,20
1525214195,26,0
1525268447,156,0
1525272398,289,0
1525276416,211,0
1525280602,263,5
1525284451,193,20
1525288288,173,72
1525292135,155,44
1525294355,21,20
1525298199,17,9
1525355315,0,203
1525359081,0,262
1525363254,0,221
1525365175,1,151
1525369016,0,141
1525372831,0,203
1525376915,0,312
1525381000,0,128
1525385085,0,149
1525389120,35,0
1525392999,195,0
1525397077,309,0
1525399246,233,0
1525403327,244,0
1525407378,4,0
1525450821,18,7
1525452987,50,0
1525456849,45,0
1525469094,8,0
1525473174,1,3
1525477251,0,131
1525481088,0,280
1525485169,0,180
1525489480,0,226
1525493328,0,67
1525536804,0,36
1525540616,0,64
1525544429,0,110
1525548291,0,35
1525555972,0,9
1525559814,11,0
1525562062,2,1
1525588596,5,0
1525596516,1,0
1525600368,7,0
1525644539,0,7
1525648372,0,1
1525673338,0,5
1525684846,0,10
1525686748,0,3
1525764753,1,0
1525768592,41,0
1525772431,12,0
1525776512,7,0
1525810834,204,0
1525814685,310,0
1525819134,329,0
1525821159,168,0
1525825266,131,0
1525852353,0,17
1525856182,2,9
1525860285,175,7
1525864109,169,3
1525868005,228,0
1525872037,3,0
1525893629,0,8
1525897473,0,176
1525901306,0,157
1525905584,0,245
1525909480,0,146
1525913564,0,67
1525943558,0,6
1525947631,0,323
1525951703,0,329
1525953581,0,287
1525960124,1,0
1525972128,165,0
1525976198,242,0
1525980039,195,0
1525987724,226,0
1525991871,150,0
1525996121,51,0
1526031855,0,1030
1526322768,3,0
1526328507,0,1
1526331053,1,0
1526334900,1,0
1526336891,24,0
1526344595,0,1
1526356618,1,0
1526374897,0,1
1526382633,21,0
1526384933,9,0
1526387093,6,0
1526388985,5,0
1526415823,6,1
1526419690,2,0
1526421736,0,7
1526423807,0,5
1526443023,1,1
1526460281,1,0
1526467942,0,14
1526469874,0,8
1526471799,0,14
1526473842,1,13
1526475698,0,5
1526498919,1,0
1526502747,0,6
1526506605,0,2
1526529161,0,1
1526531081,1,0
1526540682,1,0
1526542575,1,0
1526548364,0,1
1526560101,0,1
1526585570,1,1
1526589407,1,0
1526601916,1,0
1526605776,6,0
1526607635,1,0
1526613430,1,0
1526617287,0,1
1526627800,0,2
1526629717,1,0
1526631634,1,0
1526633555,1,0
1526643155,2,0
1526651315,2,0
1526655266,1,0
1526657316,2,0
1526663438,2,0
1526671710,0,1
1526673683,3,0
1526675547,0,1
1526677468,3,0
1526689208,0,1
1526691129,0,1
1526693051,2,6
1526696214,1,0
1526700274,0,1
1526702197,2,0
1526704104,2,0
1526707949,2,0
1526709890,1,0
1526715620,1,1
1526717579,3,1
1526719467,2,1
1526721391,2,0
1526729678,1,2
1526735663,1,0
1526737608,0,2
1526741516,0,1
1526743453,1,2
1526745387,1,0
1526749296,0,2
1526753011,2,0
1526754971,1,0
1526760617,0,3
1526762439,1,0
1526764463,0,3
1526779005,0,2
1526782833,0,1
1526786761,1,0
1526788596,0,2
1526790503,0,2
1526794368,0,2
1526796297,0,1
1526802044,0,1
1526803968,0,3
1526805882,0,2
1526807808,0,2
1526813560,4,0
1526815840,1,0
1526817697,0,1
1526821982,2,1
1526827697,6,0
1526829642,9,1
1526831568,0,1
1526835399,1,0
1526837323,1,0
1526839297,1,2
1526841160,0,1
1526843087,5,0
1526844978,5,0
1526846930,8,0
1526848840,5,1
1526873021,0,1
1526886789,1,0
1526892565,2,0
1526894427,102,0
1526896377,225,0
