DateTime,AddedIPs,RemovedIPs
1524487864,0,1
1524491789,0,1
1524503309,1,1
1524507172,0,1
1524514828,1,2
1524516755,0,1
1524520848,1,0
1524525173,0,1
1524532830,0,1
1524554185,3,1
1524558028,0,1
1524561885,1,0
1524569792,0,1
1524573631,1,0
1524575821,1,0
1524579635,3,0
1524583491,1,0
1524587306,0,1
1524603170,0,1
1524609236,0,1
1524612993,2,0
1524628371,1,0
1524640108,0,1
1524643961,0,1
1524647817,0,1
1524651867,2,0
1524657648,1,1
1524661506,1,1
1524665583,1,2
1524669653,1,1
1524673731,1,0
1524691714,2,0
1524699648,0,1
1524707314,0,1
1524715018,1,1
1524724854,0,1
1524736359,0,2
1524740238,1,0
1524744045,0,1
1524747880,0,1
1524751981,0,1
1524755799,2,0
1524759641,0,2
1524763488,1,0
1524776927,0,2
1524784605,1,0
1524788427,1,1
1524792269,1,0
1524799953,1,1
1524826112,0,1
1524829943,1,0
1524834292,2,0
1524842583,0,1
1524848677,1,1
1524852524,1,0
1524856379,1,0
1524873651,0,1
1524877475,1,1
1524881300,1,0
1524885154,1,1
1524888997,2,0
1524910357,2,0
1524914204,5,0
1524918046,3,2
1524921872,2,1
1524930055,1,0
1524933888,0,1
1524937711,0,1
1524941552,1,1
1524945403,1,0
1524962903,0,1
1524967000,1,1
1524970834,1,1
1524974671,0,1
1524995773,1,1
1524999648,0,6
1525003493,1,3
1525007331,1,1
1525011165,0,1
1525015239,2,0
1525019371,0,2
1525029864,0,2
1525051706,1,0
1525055552,0,1
1525059390,0,1
1525070905,1,0
1525074775,1,0
1525078586,1,0
1525082448,0,1
1525088434,0,1
1525092274,0,1
1525104022,0,1
1525111706,1,0
1525126382,1,0
1525130208,2,0
1525134047,0,1
1525137888,1,2
1525141736,2,0
1525151317,1,0
1525159019,1,0
1525162849,0,2
1525184561,2,0
1525188498,1,0
1525196173,0,1
1525200753,1,0
1525210358,0,1
1525218322,0,2
1525226074,0,1
1525229863,0,2
1525233826,2,0
1525237978,1,1
1525245619,2,0
1525247566,2,1
1525262451,1,0
1525266384,1,0
1525270373,0,1
1525274458,0,3
1525288288,0,1
1525304459,1,0
1525314291,1,0
1525318363,0,2
1525326048,0,1
1525329892,1,3
1525333717,1,1
1525337569,1,0
1525341643,1,0
1525343572,1,0
1525351492,1,2
1525355316,1,0
1525359082,1,0
1525363255,1,0
1525367095,1,0
1525374758,2,0
1525389120,2,1
1525399246,0,1
1525407379,3,0
1525415087,0,1
1525419013,0,1
1525421059,1,0
1525425033,0,2
1525436690,0,1
1525444754,0,2
1525450821,0,1
1525454909,1,0
1525458771,0,1
1525463092,1,3
1525473175,1,2
1525477251,2,0
1525485170,1,0
1525489480,2,0
1525491395,2,1
1525495234,1,1
1525502915,2,0
1525507015,1,2
1525511121,2,0
1525519237,1,0
1525521156,1,0
1525528852,1,0
1525540617,1,0
1525544429,0,1
1525552140,1,0
1525554040,1,0
1525557899,1,0
1525562063,2,2
1525566027,0,1
1525570107,0,1
1525574218,0,1
1525576251,0,2
1525580120,0,1
1525584529,0,1
1525592668,0,2
1525596516,0,3
1525602282,0,1
1525606130,0,2
1525614019,1,0
1525617882,0,1
1525625804,1,0
1525627972,0,1
1525636849,1,0
1525640691,1,2
1525644540,0,1
1525650282,1,2
1525654123,2,0
1525657986,9,0
1525661803,17,0
1525665650,8,1
1525669476,6,0
1525673338,10,0
1525677171,6,0
1525681073,11,0
1525684846,7,0
1525686748,11,0
1525690582,8,0
1525694438,10,0
1525698277,5,1
1525702117,5,0
1525705961,11,0
1525710331,7,0
1525712445,4,1
1525716294,10,0
1525720127,11,1
1525723972,9,0
1525727808,7,1
1525731640,11,0
1525735706,8,0
1525739794,5,1
1525743629,2,5
1525745554,7,14
1525749392,12,10
1525753230,4,5
1525757078,3,8
1525760907,0,6
1525764753,1,7
1525768593,0,10
1525772431,1,8
1525776512,0,10
1525780597,0,8
1525784500,1,6
1525786714,0,4
1525790679,1,8
1525794521,2,10
1525798477,1,4
1525802199,1,10
1525806764,1,9
1525808939,0,9
1525812760,0,10
1525816599,0,5
1525821159,1,16
1525825266,1,8
1525829081,0,4
1525832894,1,6
1525835081,0,12
1525838939,0,11
1525842764,0,1
1525846600,0,2
1525858097,0,1
1525864109,1,0
1525868006,1,1
1525872037,0,1
1525876110,1,1
1525879948,0,2
1525887882,1,0
1525891711,0,1
1525893630,0,1
1525901306,1,0
1525905585,1,0
1525909480,0,2
1525917396,1,1
1525919561,1,0
1525953582,0,1
1525961811,1,1
1525971324,0,1
1525975253,0,1
1525979291,1,0
1525983392,1,0
1525987227,1,1
1525991067,1,1
1525993903,2,1
1525998279,1,0
1526002364,0,1
1526004290,1,1
1526008380,1,0
1526012213,1,0
1526016280,1,0
1526020106,1,0
1526027803,4,0
1526029960,1,0
1526031855,0,18
1526322769,52,0
1526324683,3,1
1526326616,2,1
1526331054,0,2
1526333069,0,1
1526334901,1,1
1526336892,1,0
1526338777,1,1
1526340762,2,1
1526344595,1,1
1526346664,1,1
1526348924,1,1
1526352779,1,1
1526356618,1,0
1526362612,1,1
1526366687,0,1
1526368833,1,0
1526370762,1,0
1526372658,1,0
1526374897,3,2
1526376763,0,1
1526378692,0,1
1526380581,1,1
1526384933,1,0
1526387093,1,1
1526388986,0,1
1526391167,0,3
1526393267,0,1
1526395229,2,0
1526399290,0,1
1526403388,1,0
1526405315,1,0
1526407307,3,3
1526409395,0,2
1526411350,1,1
1526413233,1,0
1526417814,2,0
1526419691,1,0
1526421737,0,1
1526423808,0,1
1526425724,1,1
1526427645,0,1
1526429565,1,1
1526431485,2,0
1526435322,0,2
1526437242,1,0
1526439178,1,2
1526441081,3,3
1526443024,0,3
1526444919,0,2
1526446902,0,1
1526448765,1,2
1526454543,1,0
1526456438,1,1
1526458343,0,2
1526460281,1,3
1526462208,1,1
1526466041,1,0
1526469874,1,0
