DateTime,AddedIPs,RemovedIPs
1522035370,1,2
1522037306,4,0
1522039211,185,5
1522041205,9,3
1522043058,17,103
1522045046,3,1
1522046921,144,1
1522048868,7,1
1522050750,27,0
1522052744,3,50
1522054590,37,3
1522056549,1,1
1522058539,1,1
1522060817,3,0
1522062995,2,1
1522065142,13,1
1522067061,2,0
1522068931,3,2
1522070900,54,2
1522073075,5,27
1522075000,2,0
1522076921,102,2
1522078836,132,2
1522080860,0,3
1522082675,4,2
1522084602,2,0
1522086520,5,1
1522088423,11,2
1522090358,2,2
1522092269,4,1
1522094200,0,1
1522096108,2,0
1522100292,4,7
1522102398,2,3
1522104526,3,8
1522107849,3,9
1522110133,3,114
1522112240,3,32
1522116280,1,1
1522118174,0,1
1522120103,1,1
1522122032,5,0
1522123960,2,5
1522125880,19,176
1522129720,3,11
1522131855,4,1
1522133771,2,31
1522135710,4,6
1522137717,0,4
1522139554,0,1
1522141472,2,5
1522143399,4,2
1522145322,0,32
1522147940,41,40
1522149868,1,2
1522152120,3,13
1522154151,5,4
1522156090,2,2
1522157959,24,6
1522160198,1,2
1522162117,551,9
1522164029,3,5
1522166212,11,1
1522168101,2,30
1522170091,1,5
1522171951,1,3
1522173887,1,135
1522175785,3,12
1522177722,4,4
1522179630,1,3
1522181562,3,2
1522183473,30,2
1522185398,5,3
1522187323,2,2
1522189655,3,76
1522192679,4,3
1522194518,2,4
1522196782,0,2
1522198588,1,3
1522201728,2,4
1522203886,1,1
1522205938,1,0
1522214289,39,32
1522216477,2,2
1522219705,1,181
1522223616,2,5
1522226700,21,1
1522238699,17,48
1522241089,1,940
1522244677,816,0
1522247826,0,782
1522249715,0,5
1522251622,0,2
1522253619,0,13
1522276483,0,89
1522278330,0,4
1522282519,0,32
1522284755,0,1
1522288594,0,4
1522292435,0,2
1522296289,0,2
1522300110,0,38
1522303956,0,2
1522307788,0,207
1522311630,0,3
1522315474,0,21
1522319307,0,14
1522323154,0,4
1522326975,0,1
1522328894,0,1
1523310809,1,0
1523330185,1,0
1523340049,1,0
1523343867,1,0
1523399873,0,1
1523405550,1,0
1523409402,1,0
1523413590,0,1
1523421375,1,0
1523429312,1,1
1523433147,0,1
1523436983,1,0
1523441067,1,0
1523462212,4,0
1523466051,7,0
1523469891,8,0
1523481434,13,0
1523488140,0,1
1523496026,0,1
1523507802,0,1
1523511655,1,0
1523515473,0,1
1523523158,0,1
1523527124,0,1
1523556029,0,1
1523568022,0,31
1523595629,0,1
1523632370,1,0
1523638834,1,0
1523671771,1,0
1523681555,1,0
1523700792,1,0
1523721894,0,1
1523725728,0,1
1523756663,0,1
1523769872,0,1
1523779797,0,1
1523979874,1,0
1524010838,2,0
1524069394,0,1
1524071342,12,0
1524093935,0,2
1524123316,0,0
1524156514,0,12
1524249865,1,0
1524339389,0,1
1524372951,1,0
1524442176,1,0
1524461961,0,1
1524474296,1,0
1524478123,1,0
1524489891,2,0
1524499475,1,0
1524503309,52,0
1524507172,6,0
1524514829,1,0
1524529008,0,1
1524559972,0,1
1524563811,0,1
1524575821,0,2
1524585405,4,0
1524589500,0,53
1524593557,1,6
1524601256,0,1
1524663328,1,0
1524675642,0,4
1524677818,0,1
1524747880,0,1
1524777973,1,0
1524781837,19,0
1524864036,0,20
1524883455,1,0
1524968903,0,1
1525080018,1,0
1525166671,0,1
1525212493,2,0
1525298200,0,2
1525359082,1,0
1525446998,1,1
1525531001,0,1
1525589082,1,0
1525601799,1,0
1525619074,1,0
1525623329,1,0
1525631080,1,0
1525657987,1,0
1525677171,1,1
1525688695,0,1
1525705961,0,1
1525710331,0,1
1525718213,0,1
1525729734,1,0
1525745554,0,1
1525762839,0,1
1525814686,0,1
1525879722,1,0
1525955803,1,0
1525967568,0,1
1525998279,1,0
1526031856,0,2
1526322769,919,0
1526324683,15,6
1526326617,5,7
1526328508,7,8
1526331054,10,12
1526333070,10,3
1526334901,1476,2
1526336892,13,2
1526338777,36,2
1526340762,7,4
1526342563,5,2
1526344596,5,2
1526346664,7,3
1526348924,5,4
1526350840,0,2
1526352779,4,3
1526354678,3,5
1526356619,8,3
1526358530,5,29
1526360537,65,1
1526362612,3,9
1526364764,7,22
1526366688,7,9
1526368833,9,18
1526370763,4,4
1526372658,6,2
1526374897,15,6
1526376763,14,5
1526378693,7,17
1526380581,3,1
1526382633,3,4
1526384933,9,3
1526387094,2,2
1526388986,7,5
1526391167,6,2
1526393267,2,4
1526395230,3,5
1526397404,4,1
1526399291,146,2
1526401182,1,0
1526403388,886,4
1526405316,2165,1
1526407308,57,3
1526409396,0,2
1526411352,2,9
1526413233,3,1
1526415823,2,6
1526417814,4,1
1526419691,284,21
1526421737,1,1014
1526423808,1,39
1526425725,436,5
1526427645,482,3
1526429565,134,1
1526431485,10,2
1526433402,2,1
1526435323,6,2
1526437243,1,0
1526439179,2,1
1526441081,3,1
1526443024,3,3
1526444920,2,62
1526446902,62,57
1526448766,4,2
1526450689,3,3
1526452596,0,1
1526454544,1,4
1526456438,6,1
1526458343,5,3
1526460282,21,2
1526462209,0,4
1526464123,3,9
1526466041,3,2
1526469875,2,3
1526471800,24,3
1526473843,5,28
1526475699,3,4
1526477564,2,3
1526479469,1,1
1526481384,2,1
1526483306,7,1
1526485217,2,125
1526487176,33,1
1526489304,3,1
1526491237,3,1
1526493145,4,51
1526495075,2,1
1526497000,4,2
1526498920,3,1
1526500899,6,2
1526502748,2,2
1526504675,11,3
1526506606,3,298
1526508528,4,2
1526511721,4,30
1526513801,32,556
1526515726,557,4
1526517638,5,2
1526519564,11,3
1526521460,11,3
1526523410,2,1
1526525322,6,2
1526527233,3,0
1526529162,2,3
1526531082,3,1
1526532998,13,2
1526534905,10,3
1526536904,5,1
1526538760,7,2
1526540682,6,1
1526542576,4,3
1526544530,5,6
1526546439,7,21
1526548365,7,2
1526550267,7,0
1526552204,4,2
1526554094,10,1
1526556038,4,2
1526557957,5,5
1526560102,2,27
1526562087,24,3
1526564203,5,5
1526566097,5,0
1526568013,368,2
1526569939,5,7
1526571853,3,995
1526574031,8,2026
1526575948,6,2
1526577879,5,5
1526579784,2,3
1526581707,3,3
1526583702,12,5
1526585571,0,5
1526587478,28,2
1526589407,29,3
1526591307,3,8
1526593233,58,3
1526595161,6,2
1526597940,3,5
1526599955,108,5
1526601917,0,3
1526603804,1,5
1526605777,4,1
1526607636,1,2
1526609613,5,1
1526611458,8,3
1526613431,6,1
1526615335,52,1
1526617287,5,1
1526619157,59,11
1526621174,2,5
1526622980,3,2
1526624963,39,9
1526627801,5,4
1526629718,3,2
1526631635,1,3
