DateTime,Entries,UniqueIPs
1522033409,1024,1024
1522035370,1023,1023
1522037306,1027,1027
1522039211,1207,1207
1522041205,1213,1213
1522043058,1127,1127
1522045046,1129,1129
1522046921,1272,1272
1522048868,1278,1278
1522050750,1305,1305
1522052744,1258,1258
1522054590,1292,1292
1522056549,1292,1292
1522058539,1292,1292
1522060817,1295,1295
1522062995,1296,1296
1522065142,1308,1308
1522067061,1310,1310
1522068931,1311,1311
1522070900,1363,1363
1522073075,1341,1341
1522075000,1343,1343
1522076921,1443,1443
1522078836,1573,1573
1522080860,1570,1570
1522082675,1572,1572
1522084602,1574,1574
1522086520,1578,1578
1522088423,1587,1587
1522090358,1587,1587
1522092269,1590,1590
1522094200,1589,1589
1522096108,1591,1591
1522100292,1588,1588
1522102398,1587,1587
1522104526,1582,1582
1522107849,1576,1576
1522110133,1465,1465
1522112240,1436,1436
1522116280,1436,1436
1522118174,1435,1435
1522120103,1435,1435
1522122032,1440,1440
1522123960,1437,1437
1522125880,1280,1280
1522129720,1272,1272
1522131855,1275,1275
1522133771,1246,1246
1522135710,1244,1244
1522137717,1240,1240
1522139554,1239,1239
1522141472,1236,1236
1522143399,1238,1238
1522145322,1206,1206
1522147940,1207,1207
1522149868,1206,1206
1522152120,1196,1196
1522154151,1197,1197
1522156090,1197,1197
1522157959,1215,1215
1522160198,1214,1214
1522162117,1756,1756
1522164029,1754,1754
1522166212,1764,1764
1522168101,1736,1736
1522170091,1732,1732
1522171951,1730,1730
1522173887,1596,1596
1522175785,1587,1587
1522177722,1587,1587
1522179630,1585,1585
1522181562,1586,1586
1522183473,1614,1614
1522185398,1616,1616
1522187323,1616,1616
1522189655,1543,1543
1522192679,1544,1544
1522194518,1542,1542
1522196782,1540,1540
1522198588,1538,1538
1522201728,1536,1536
1522203886,1536,1536
1522205938,1537,1537
1522214289,1544,1544
1522216477,1544,1544
1522219705,1364,1364
1522223616,1361,1361
1522226700,1381,1381
1522238699,1350,1350
1522241089,411,411
1522244677,1227,1227
1522247826,445,445
1522249715,440,440
1522251622,438,438
1522253619,425,425
1522276483,336,336
1522278330,332,332
1522282519,300,300
1522284755,299,299
1522288594,295,295
1522292435,293,293
1522296289,291,291
1522300110,253,253
1522303956,251,251
1522307788,44,44
1522311630,41,41
1522315474,20,20
1522319307,6,6
1522323154,2,2
1522326975,1,1
1522328894,0,0
1523310809,1,1
1523330185,2,2
1523340049,3,3
1523343867,4,4
1523399873,3,3
1523405550,4,4
1523409402,5,5
1523413590,4,4
1523421375,5,5
1523429312,5,5
1523433147,4,4
1523436983,5,5
1523441067,6,6
1523462212,10,10
1523466051,17,17
1523469891,25,25
1523481434,38,38
1523488140,37,37
1523496026,36,36
1523507802,35,35
1523511655,36,36
1523515473,35,35
1523523158,34,34
1523527124,33,33
1523556029,32,32
1523568022,1,1
1523595629,0,0
1523632370,1,1
1523638834,2,2
1523671771,3,3
1523681555,4,4
1523700792,5,5
1523721894,4,4
1523725728,3,3
1523756663,2,2
1523769872,1,1
1523779797,0,0
1523979874,1,1
1524010838,3,3
1524069394,2,2
1524071342,14,14
1524093935,12,12
1524156514,0,0
1524249865,1,1
1524339389,0,0
1524372951,1,1
1524442176,2,2
1524461961,1,1
1524474296,2,2
1524478123,3,3
1524489891,5,5
1524499475,6,6
1524503309,58,58
1524507172,64,64
1524514829,65,65
1524529008,64,64
1524559972,63,63
1524563811,62,62
1524575821,60,60
1524585405,64,64
1524589500,11,11
1524593557,6,6
1524601256,5,5
1524663328,6,6
1524675642,2,2
1524677818,1,1
1524747880,0,0
1524777973,1,1
1524781837,20,20
1524864036,0,0
1524883455,1,1
1524968903,0,0
1525080018,1,1
1525166671,0,0
1525212493,2,2
1525298200,0,0
1525359082,1,1
1525446998,1,1
1525531001,0,0
1525589082,1,1
1525601799,2,2
1525619074,3,3
1525623329,4,4
1525631080,5,5
1525657987,6,6
1525677171,6,6
1525688695,5,5
1525705961,4,4
1525710331,3,3
1525718213,2,2
1525729734,3,3
1525745554,2,2
1525762839,1,1
1525814686,0,0
1525879722,1,1
1525955803,2,2
1525967568,1,1
1525998279,2,2
1526031856,0,0
1526322769,919,919
1526324683,928,928
1526326617,926,926
1526328508,925,925
1526331054,923,923
1526333070,930,930
1526334901,2404,2404
1526336892,2415,2415
1526338777,2449,2449
1526340762,2452,2452
1526342563,2455,2455
1526344596,2458,2458
1526346664,2462,2462
1526348924,2463,2463
1526350840,2461,2461
1526352779,2462,2462
1526354678,2460,2460
1526356619,2465,2465
1526358530,2441,2441
1526360537,2505,2505
1526362612,2499,2499
1526364764,2484,2484
1526366688,2482,2482
1526368833,2473,2473
1526370763,2473,2473
1526372658,2477,2477
1526374897,2486,2486
1526376763,2495,2495
1526378693,2485,2485
1526380581,2487,2487
