DateTime,AddedIPs,RemovedIPs
1522175786,6,12
1522177723,6,5
1522179631,1,5
1522181563,3,2
1522183474,30,2
1522185400,7,5
1522187324,4,2
1522189656,4,76
1522191694,2,2
1522193540,2,2
1522195714,2,6
1522199549,3,5
1522201728,1,3
1522203895,1,2
1522205941,1,1
1522211435,9,11
1522214292,38,26
1522216479,3,3
1522219705,1,181
1522223616,4,7
1522226702,21,1
1522233615,17,14
1522238700,3,39
1522241089,1,961
1522244678,837,0
1522247828,0,785
1522249715,0,7
1522251622,0,7
1522253621,0,16
1522276484,0,101
1522278330,0,20
1522282519,0,32
1522284756,0,1
1522288595,0,5
1522292436,0,2
1522296290,0,6
1522300111,0,40
1522303957,0,5
1522307789,0,208
1522311631,0,4
1522315475,0,27
1522319308,0,10
1522323155,0,3
1522325052,0,4
1523310809,1,0
1523330186,1,0
1523340050,1,0
1523343868,1,0
1523355391,3,0
1523359475,8,0
1523399873,7,1
1523405550,1,0
1523409403,1,0
1523413590,0,1
1523421376,1,0
1523429312,1,1
1523433147,0,1
1523436984,1,0
1523441068,1,0
1523444913,0,11
1523462212,4,0
1523466052,7,0
1523469892,8,0
1523481435,13,0
1523485250,0,4
1523488140,0,1
1523496027,0,1
1523507802,1,1
1523511656,1,0
1523515473,0,1
1523523158,0,1
1523527125,0,1
1523538767,0,2
1523546420,0,1
1523556030,0,1
1523568022,0,31
1523571866,4,0
1523595629,0,1
1523599477,0,1
1523638834,2,0
1523659181,0,3
1523671771,1,0
1523681556,1,0
1523700793,1,0
1523721894,0,1
1523725729,2,1
1523756664,0,1
1523769872,0,1
1523779797,0,4
1523908838,1,0
1523970507,4,0
1523982287,1,0
1524000270,0,1
1524010839,2,0
1524059302,0,4
1524067503,0,1
1524071343,12,0
1524093935,1,0
1524095893,1,2
1524123316,0,0
1524129179,1,0
1524154601,2,0
1524158614,0,12
1524168526,5,0
1524180312,0,1
1524216892,0,1
1524238603,0,2
1524246539,3,0
1524252766,1,0
1524256617,1,5
1524305305,2,0
1524334607,0,1
1524338425,0,1
1524342278,1,0
1524346098,0,2
1524375142,1,0
1524394368,0,4
1524427492,0,1
1524442177,1,0
1524459652,0,1
1524474297,1,0
1524478124,1,0
1524481971,6,0
1524489892,2,0
1524499475,1,0
1524503310,53,0
1524507173,5,0
1524514829,1,0
1524518729,1,0
1524525173,30,0
1524529009,0,1
1524561886,0,1
1524565956,0,1
1524575822,0,2
1524587307,4,5
1524591640,1,53
1524595494,0,1
1524603171,0,2
1524611099,0,36
1524665584,1,0
1524673731,0,4
1524675643,0,1
1524747880,0,1
1524755335,2,0
1524759642,1,0
1524775001,41,0
1524778853,1,0
1524782679,24,0
1524834293,18,0
1524844838,0,3
1524860201,3,28
1524869852,0,28
1524877476,1,0
1524885155,1,0
1524945404,0,31
1524962904,0,1
1524967001,5,0
1524970835,7,1
1525019372,10,0
1525053652,0,5
1525057473,0,7
1525082448,1,0
1525105955,0,10
1525162850,21,0
1525170529,0,1
1525190421,2,0
1525194267,2,0
1525216359,2,0
1525249732,0,15
1525274459,5,0
1525278300,0,6
1525280603,0,4
1525300731,0,2
1525353424,14,0
1525361199,1,5
1525440757,0,14
1525446999,1,1
1525466932,3,0
1525532934,0,1
1525550204,0,3
1525586188,1,0
1525590048,1,0
1525602283,1,0
1525619813,1,0
1525623891,1,0
1525634932,1,0
1525640692,3,0
1525659879,1,0
1525675247,0,1
1525679083,1,1
1525686749,0,1
1525705962,0,1
1525710332,0,1
1525720128,0,1
1525727809,0,3
1525731641,1,0
1525745555,0,1
1525762840,0,1
1525816601,8,1
1525854279,29,0
1525868007,2,0
1525881907,1,0
1525903250,0,2
1525939482,0,29
1525955804,0,8
1525957725,1,0
1525969384,0,1
1525996122,1,0
1526031856,0,2
1526322770,1066,0
1526324683,18,8
1526326617,12,13
1526328508,12,13
1526331054,14,14
1526333070,13,17
1526334902,1476,3
1526336893,15,9
1526338778,39,5
1526340763,13,8
1526342563,8,7
1526344596,8,13
1526346665,14,5
1526348924,4,9
1526350841,2,5
1526352780,6,3
1526354679,5,9
1526356619,8,5
1526358530,9,33
1526360538,67,4
1526362613,3,11
1526364765,8,22
1526366688,12,10
1526368833,11,22
1526370763,6,6
1526372659,7,4
1526374898,19,7
1526376763,15,7
1526378693,8,17
1526380582,7,5
1526382634,4,5
1526384934,10,5
1526387094,10,3
1526388987,16,12
1526391167,9,2
1526393268,4,4
1526395230,8,6
1526397405,6,1
1526399291,146,9
1526401182,3,3
1526403389,889,8
1526405316,2159,3
1526407308,58,5
1526409396,0,6
1526411352,4,9
1526413233,5,8
1526415824,3,14
1526417815,8,3
1526419692,283,24
1526421738,3,1009
1526423809,4,41
1526425725,433,8
1526427646,477,8
1526429566,134,4
1526431486,12,3
1526433403,4,7
1526435323,9,2
1526437243,2,2
1526439180,3,3
1526441082,6,3
1526443025,3,3
1526444920,2,65
1526446903,62,61
1526448767,4,2
1526450690,3,4
1526452596,2,4
1526454544,1,7
1526456439,8,3
1526458344,7,6
1526460282,22,4
1526462210,0,8
1526464124,5,10
1526466042,3,3
1526467943,1,3
1526469876,4,5
1526471800,25,4
1526473843,6,36
1526475700,3,13
1526477565,2,7
1526479469,2,2
1526481385,3,4
1526483306,8,6
1526485217,2,125
1526487176,34,2
1526489305,4,3
1526491237,3,2
1526493145,4,52
1526495076,5,1
1526497001,4,3
1526498921,5,2
1526500899,10,3
1526502749,8,2
1526504676,13,5
1526506606,5,298
1526508529,4,4
1526511722,10,34
1526513802,36,551
1526515727,555,6
1526517639,9,4
1526519564,13,4
1526521460,12,6
1526523411,11,2
1526525323,6,3
1526527234,4,3
1526529163,5,4
1526531083,7,1
1526532999,15,2
1526534906,11,3
1526536904,6,1
1526538761,9,4
1526540683,8,1
1526542577,8,5
1526544530,6,7
1526546439,18,22
1526548366,8,1
1526550267,8,2
1526552204,4,2
1526554094,10,2
1526556039,7,3
1526557958,5,6
1526560103,2,27
1526562087,25,3
1526564203,5,6
1526566097,10,1
1526568014,370,2
1526569940,6,9
1526571854,4,998
1526574031,11,2022
1526575948,7,3
1526577879,6,5
1526579784,2,3
1526581707,5,5
1526583702,15,6
1526585571,1,8
1526587479,30,7
1526589408,28,9
1526591308,4,9
1526593234,59,5
1526595161,6,2
1526597940,5,11
1526599955,108,7
1526601918,1,8
1526603804,2,8
1526605777,5,5
1526607636,1,4
1526609613,6,10
1526611458,13,3
1526613431,5,3
1526615336,52,3
1526617288,7,3
1526619157,60,13
1526621174,2,6
1526622980,3,4
1526624964,40,12
1526627802,8,7
1526629718,3,4
1526631635,1,9
1526633556,4,14
1526635476,3,7
1526637378,5,4
1526639322,3,3
1526641290,4,10
1526643156,3,7
1526645081,5,2
1526647235,5,19
1526649382,6,10
1526651316,6,5
