DateTime,AddedIPs,RemovedIPs
1515771874,0,83
1515781733,0,123
1515807012,0,1
1515817015,1,0
1515820836,0,96
1515836679,0,123
1515838833,0,1
1515842665,9,1
1515844617,13,0
1515846535,1,0
1515872224,5,0
1515874193,1,0
1515877987,5,0
1515879891,6,0
1515891468,0,1
1515902987,0,1
1515922585,4,0
1515924427,6,0
1515926231,21,0
1515930045,0,9
1515932097,0,14
1515953566,7,0
1515955486,1,0
1515959334,0,6
1515962119,13,0
1515964099,1,0
1515966071,0,11
1516005864,1,0
1516009965,12,9
1516011874,1,19
1516013788,5,2
1516041166,0,8
1516045000,10,0
1516047391,0,13
1516049308,0,1
1516051135,5,0
1516082481,7,0
1516084359,7,0
1516092044,0,1
1516096110,0,9
1516098042,0,5
1516100172,0,5
1516108369,1,0
1516110275,10,0
1516116051,10,0
1516117967,1,0
1516130190,0,10
1516137870,11,5
1516145809,1,0
1516147696,14,0
1516153986,1,0
1516165738,8,0
1516167639,0,7
1516171725,0,7
1516186135,7,0
1516193878,0,1
1516195818,0,10
1516201540,7,0
1516203528,0,11
1516219678,11,0
1516225626,0,11
1516231703,10,1
1516233549,0,14
1516249028,16,0
1516252956,0,8
1516258931,10,0
1516272838,0,7
1516284826,13,0
1516286658,5,5
1516288706,0,2
1516305552,0,11
1516318141,14,10
1516330371,0,1
1516334850,0,16
1516339259,9,0
1516345285,0,10
1516347152,17,0
1516368994,10,0
1516370940,0,13
1516372845,0,5
1516378845,16,0
1516395874,14,0
1516403804,0,14
1516425089,0,9
1516434979,0,17
1516439573,1,0
1516443838,16,0
1516445825,24,0
1516454071,0,10
1516455883,1,0
1516465726,1,16
1516471478,7,0
1516477237,16,0
1516481083,0,14
1516498823,10,0
1516500760,1,0
1516502669,1,0
1516508445,16,0
1516512256,0,1
1516525872,0,1
1516527851,9,0
1516529777,0,16
1516531693,0,21
1516533632,0,3
1516537480,15,0
1516541652,0,1
1516547339,1,0
1516554994,8,0
1516558835,1,7
1516562688,0,1
1516564574,0,15
1516574221,11,0
1516582599,9,0
1516584503,0,10
1516588346,0,1
1516590280,0,1
1516594101,0,16
1516601793,1,0
1516603710,9,0
1516605623,3,0
1516613306,0,9
1516617134,8,0
1516624840,0,15
1516628795,1,0
1516632530,0,1
1516642369,0,8
1516646176,0,1
1516648132,20,1
1516658481,9,0
1516660369,0,10
1516662285,0,1
1516668024,0,8
1516669955,0,1
1516681475,11,0
1516691070,0,12
1516704505,0,8
1516734767,0,20
1516744365,1,9
1516768146,0,11
1516830268,0,1
1516893863,0,1
1517020185,1,0
1517039467,1,0
1517108481,1,0
1517110350,1,0
1517125726,0,1
1517131699,0,1
1517158346,1,0
1517167971,1,0
1517195075,0,1
1517196988,0,1
1517220934,1,0
1517232526,1,0
1517254133,0,1
1517256240,1,0
1517295864,1,0
1517306343,0,1
1517318210,0,1
1517325953,1,0
1517331866,0,1
1517341537,0,1
1517365047,1,0
1517382328,0,1
1517409863,1,0
1517413830,1,1
1517451147,0,1
1517472289,1,0
1517481863,1,0
1517499609,0,1
1517511135,1,0
1517553407,0,1
1517559173,0,1
1517567302,0,1
1517593249,1,0
1517595168,1,0
1517597083,0,1
1517598988,1,0
1517622513,1,0
1517630483,1,0
1517634289,1,0
1517641940,1,0
1517679166,1,1
1517681072,0,1
1517684938,0,1
1517710137,1,1
1517715876,0,1
1517719718,1,0
1517721642,0,1
1517729305,0,1
1517743223,1,0
1517748994,1,0
1517773965,1,0
1517783665,1,0
1517796086,0,1
1517807567,0,1
1517830835,0,2
1517834664,0,1
1517852749,1,0
1517856643,1,0
1517860892,0,1
1517870414,0,1
1517899093,1,0
1517910653,1,0
1517925381,1,0
1517936902,0,1
1517942917,0,1
1517950598,1,0
1517985164,0,1
1517996682,0,1
1518037678,0,1
1518048179,1,0
1518077549,1,0
1518111189,0,1
1518113078,1,0
1518134946,0,1
1518166588,0,1
1518199942,0,1
1518241955,1,0
1518263901,1,0
1518325725,1,0
1518329808,0,1
1518331970,1,0
1518351589,0,1
1518413796,0,1
1518421945,1,0
1518423885,0,1
1518439235,2,0
1518455069,1,0
1518506928,0,1
1518524127,0,1
1518526251,0,1
1518540275,0,1
1518603761,1,0
1518648942,1,0
1518691234,0,1
1518734933,0,1
1518791574,1,0
1518802168,1,0
1518846022,1,0
1518859466,1,0
1518865468,1,0
1518877969,0,1
1518889935,0,1
1518908201,1,0
1518933163,0,1
1518947862,0,1
1518951689,0,1
1518964725,1,0
1518974446,1,0
1518994108,1,0
1519045274,1,0
1519061064,0,1
1519080523,0,1
1519131130,1,1
1519173181,0,1
1519205323,0,1
1519217570,0,1
1519253807,1,0
1519273936,1,0
1519339564,0,1
1519347403,1,0
1519432098,1,0
1519434280,0,1
1519463803,0,1
1519519467,0,1
1519545030,1,0
1519605380,1,0
1519668076,1,0
1519674055,1,0
1519692015,0,1
1519701858,0,1
1519719643,1,0
1519753217,0,1
1519759236,0,1
1519774807,1,0
1519804109,0,1
1519849493,1,0
1519862106,0,1
1519899154,1,0
1519920288,1,0
1519935889,0,1
1519977381,1,0
1519983391,1,0
1519985307,0,1
1519993960,1,0
1520005711,1,0
1520007635,0,1
1520017280,1,0
1520022976,1,0
1520061859,1,0
1520063883,0,1
1520069665,1,1
1520079250,0,1
1520081415,1,0
1520085159,1,0
1520088999,1,0
1520090919,1,0
1520093085,0,1
1520103146,0,1
1520108904,0,1
1520141806,1,0
1520147798,0,1
1520155522,0,1
1520167094,0,1
1520170873,0,1
1520178623,0,1
1520194351,1,0
1520227735,0,1
1520233769,1,0
1520247184,1,0
1520251014,0,1
1520280594,0,1
1520288719,1,0
1520319772,0,1
1520325875,1,0
1520333560,0,1
1520353014,1,0
1520379627,1,0
1520422100,1,0
1520427871,0,1
1520433622,2,0
1520439617,0,2
1520465793,0,1
1520509953,0,1
1520519956,0,2
1520533945,1,0
1520582978,1,0
1520620103,0,1
1520668890,2,1
1520686146,1,0
1520689992,1,0
1520754505,0,1
1520764109,1,0
1520772024,1,0
1520773963,0,1
1520776229,0,1
1520782104,0,1
1520819327,1,0
1520848373,1,0
1520850285,0,1
1520857954,0,1
1520905967,0,1
1520935294,0,1
1520937150,1,0
1520958268,1,0
1520995458,1,0
1521006975,1,0
1521026436,1,0
1521038173,1,0
1521043624,0,1
1521080693,0,1
1521113293,0,1
1521120961,0,1
1521253438,0,1
1521297635,0,1
1521369871,1,0
1521443080,1,0
1521456752,0,1
1521462503,1,0
1521481947,1,0
1521496574,1,0
1521547730,0,1
1521566909,0,1
1521583484,0,1
1521593323,1,0
1521618596,1,0
1521622414,1,0
1521645494,0,1
1521705872,0,1
1521707800,0,1
1521727488,1,0
1521735486,2,0
1521737313,0,1
1521739220,1,0
1521793481,1,0
1521815122,0,1
1521824926,0,1
1521879384,0,1
1521885158,1,0
1521892924,0,1
1521912266,1,0
1521916100,0,1
1521971553,0,1
1522000059,0,1
1522023634,1,0
1522073076,1,0
1522088424,1,0
1522110134,0,1
1522135711,1,0
1522157960,0,1
1522171952,1,0
1522173888,1,0
1522175786,1,0
1522185401,1,0
1522216483,0,1
1522223617,0,1
1522238701,1,0
1522241090,0,1
1522243434,1,0
1522276484,0,2
1522292437,0,1
1522315476,0,1
1522319309,0,1
1522325053,0,1
1523307089,0,0
1524810067,1,0
1524844839,1,0
1524848679,1,0
1524871706,1,0
1524898854,0,1
1524931993,0,1
1524935813,0,1
1524957143,0,1
1524998690,1,0
1525084599,0,1
1525894128,2,0
1525906579,2,0
1525914526,1,0
1525920526,1,0
1525932297,1,0
1525940444,1,0
1525991873,0,2
1526000207,0,2
1526008382,0,1
1526018208,0,1
1526023967,0,2
1526031147,1,0
1526033097,0,1
1526322770,14,0
1526324684,0,1
1526331055,0,1
1526336893,0,1
1526340763,0,1
1526346665,0,2
1526352782,0,1
1526358531,1,0
1526370764,1,0
1526372659,1,0
1526374898,1,0
1526393269,1,0
1526397405,1,3
1526401183,1,0
1526411354,1,0
1526425726,1,0
1526427647,1,0
1526429567,7,1
1526435324,1,0
1526439181,1,0
1526441083,1,0
1526446904,0,1
1526454545,0,1
1526460283,1,0
1526462211,1,0
1526481386,1,0
1526483307,1,0
1526487177,0,1
1526493146,1,0
1526498921,0,1
1526502750,1,0
1526506607,0,1
1526508531,1,0
1526511723,0,1
1526513803,0,1
1526515727,0,7
1526525323,0,1
1526538761,0,1
1526542577,0,1
1526548366,12,1
1526550268,0,1
1526552205,0,1
1526574032,1,0
1526579785,0,1
1526581708,0,1
1526589409,0,1
1526593234,0,1
1526597941,3,0
1526605778,1,1
1526607637,0,2
1526617289,1,0
1526627802,1,0
1526633557,0,12
1526657317,1,0
1526661162,0,1
1526673697,1,0
1526685472,1,0
1526700275,1,0
1526715622,0,1
1526739627,1,0
1526747291,1,0
1526758813,0,1
1526778088,0,2
1526788124,1,0
1526816225,1,0
1526831570,1,0
1526833483,0,1
1526867292,0,1
1526886791,0,1
1526888681,0,1
1526890590,1,1
1526896378,1,0
