DateTime,AddedIPs,RemovedIPs
1521480060,2,1
1521481948,1,1
1521483901,0,3
1521485785,2,2
1521487749,2,0
1521490712,1,3
1521492824,1,3
1521494674,1,2
1521496575,0,3
1521498493,0,2
1521500537,0,3
1521502368,0,6
1521504515,2,2
1521506415,1,1
1521510269,1,3
1521512470,1,5
1521514491,0,2
1521516494,1,1
1521518305,2,0
1521520353,1,0
1521524233,3,0
1521526238,3,0
1521532099,0,1
1521533924,1,0
1521539770,1,0
1521541589,0,1
1521543398,1,0
1521545469,1,0
1521549642,1,0
1521551567,0,2
1521553473,2,3
1521555393,0,1
1521559225,0,4
1521561174,0,1
1521563077,0,1
1521564996,1,0
1521566909,0,3
1521570989,1,0
1521573279,0,4
1521577467,0,1
1521579405,2,1
1521581564,2,1
1521585397,1,0
1521587326,2,0
1521589255,1,0
1521591510,1,2
1521593324,2,1
1521595379,0,1
1521599258,2,1
1521601331,3,0
1521603402,1,1
1521605308,1,3
1521609156,1,0
1521610971,1,3
1521612971,0,3
1521616598,1,0
1521620441,0,1
1521622415,3,0
1521626372,0,1
1521630207,2,1
1521632173,3,1
1521634031,1,0
1521636014,2,1
1521639777,0,1
1521641655,0,1
1521651270,1,1
1521653188,1,0
1521654991,3,0
1521657038,3,1
1521666737,0,3
1521668860,0,1
1521670968,4,1
1521672812,0,1
1521675581,1,2
1521677563,0,1
1521679474,0,2
1521685714,1,2
1521687758,0,3
1521689571,1,1
1521691477,0,1
1521695543,0,1
1521697458,0,1
1521701568,0,1
1521709723,0,3
1521715965,0,1
1521717867,0,3
1521719791,0,2
1521721719,1,2
1521723694,1,0
1521727489,1,0
1521733243,5,0
1521737314,2,1
1521739221,1,0
1521741158,0,4
1521743079,0,2
1521744976,2,1
1521746919,2,0
1521748921,2,0
1521754837,1,0
1521756741,4,4
1521760825,0,1
1521766579,2,0
1521770514,3,0
1521772359,3,1
1521774269,1,0
1521776202,3,1
1521780037,2,0
1521781949,1,0
1521783895,1,0
1521785799,1,0
1521787709,1,0
1521791548,1,0
1521793483,1,0
1521807885,0,1
1521811710,0,1
1521815124,2,1
1521816979,2,0
1521818914,0,2
1521821082,2,3
1521823001,3,2
1521824927,0,1
1521826827,4,0
1521828757,3,0
1521830696,1,1
1521832589,1,2
1521834510,2,3
1521836671,1,0
1521838899,1,0
1521842689,4,4
1521845710,0,1
1521847953,2,0
1521851782,2,1
1521853707,1,1
1521855864,2,0
1521857782,3,5
1521859709,1,1
1521861611,0,2
1521863546,1,1
1521865454,3,2
1521867495,1,1
1521869540,0,1
1521871470,0,1
1521873626,1,1
1521877479,0,1
1521881322,0,1
1521887075,1,0
1521890905,2,0
1521892924,1,0
1521894746,1,0
1521896687,2,0
1521898584,1,0
1521900506,1,0
1521904353,1,0
1521906274,2,0
1521908199,1,0
1521910108,1,0
1521916101,2,0
1521918077,1,0
1521923822,1,0
1521925710,1,0
1521927637,3,0
1521931461,0,25
1521933397,1,2
1521935300,1,0
1521939137,0,3
1521941074,0,1
1521942980,1,3
1521944912,0,2
1521946938,0,1
1521951153,2,2
1521956914,1,3
1521961100,1,1
1521973470,0,1
1521976350,1,1
1521978265,0,2
1521984807,1,4
1521986838,0,2
1521990578,0,1
1521994411,0,3
1521996256,0,1
1521998247,3,0
1522005724,3,3
1522011682,3,2
1522013846,4,2
1522015771,0,1
1522019794,0,1
1522021762,0,1
1522027691,0,1
1522037308,0,2
1522043060,0,1
1522046923,0,1
1522054591,1,0
1522056552,2,0
1522062996,0,1
1522068933,0,1
1522070902,1,0
1522076923,1,0
1522078838,1,0
1522080863,1,0
1522084603,1,2
1522086521,1,1
1522088424,1,1
1522090359,0,1
1522092271,1,1
1522094201,1,0
1522096110,1,0
1522100294,3,5
1522102400,1,0
1522104528,2,0
1522107851,1,0
1522114094,2,0
1522122033,3,0
1522131857,3,0
1522133772,1,0
1522135711,3,0
1522139555,1,0
1522141474,0,1
1522143401,0,1
1522145324,2,0
1522147941,2,0
1522149869,3,0
1522152121,1,0
1522156092,1,0
1522157961,0,1
1522160199,2,0
1522162118,0,1
1522164030,2,0
1522166214,1,1
1522168103,1,1
1522170093,1,3
1522171953,1,0
1522173889,1,2
1522175787,1,0
1522179632,2,1
1522181564,0,2
1522183475,2,0
1522185402,0,2
1522187325,0,1
1522189660,2,1
1522191808,0,3
1522193785,2,0
1522195716,1,0
1522197622,1,0
1522199551,0,1
1522201730,0,1
1522214297,2,3
1522216486,0,2
1522219707,1,1
1522223618,1,4
1522238704,3,10
1522241091,0,13
1522243435,13,0
1522247833,0,3
1522249717,0,1
1522251624,0,1
1522253623,0,1
1522276485,0,9
1522278331,0,2
1522282521,0,3
1522286693,0,1
1522300114,0,1
1522307792,0,1
1522311635,0,1
1522319311,0,1
1522323158,0,2
1522325055,0,1
1523307090,0,0
1526322771,171,0
1526324685,3,7
1526326619,4,6
1526328509,2,9
1526331056,1,8
1526333071,6,6
1526334903,5,10
1526336894,3,5
1526338779,4,1
1526340764,2,2
1526342565,1,6
1526344598,2,7
1526346666,0,3
1526348926,6,8
1526350842,1,3
1526352805,0,1
1526354681,4,6
1526356621,1,4
1526358533,1,6
1526360540,1,10
1526362615,4,1
1526364767,2,2
1526366691,3,3
1526368835,1,4
1526370765,1,0
1526372661,0,1
1526374900,2,2
1526378695,0,3
1526380584,1,2
1526382635,1,2
1526384936,3,1
1526387096,4,1
1526388989,2,1
1526391169,1,3
1526393270,0,3
1526395232,3,6
1526397407,1,4
1526399293,1,2
1526401185,5,2
1526403391,4,4
1526405318,2,2
1526407310,2,6
1526409398,4,6
1526411355,1,4
1526413235,2,4
1526415825,3,1
1526417816,3,2
1526419693,3,5
1526421739,3,6
1526423810,11,5
1526425727,1,2
1526427648,2,3
1526429567,1,2
1526431487,5,0
1526433405,8,1
1526435325,3,5
1526437245,7,1
1526439182,6,0
1526441084,0,3
1526443026,2,1
1526444922,1,1
1526446905,3,1
1526448768,1,4
1526450692,4,2
1526452598,1,2
1526454547,4,3
1526456441,1,1
1526460285,1,0
1526462212,1,2
1526464126,6,0
1526467946,0,1
1526469878,0,3
1526471803,1,2
1526473845,2,3
1526475702,1,2
1526477567,0,1
1526479471,1,0
1526481387,0,2
1526485219,7,2
1526487179,4,2
1526489307,1,6
1526491239,6,2
1526493147,5,2
1526495077,10,1
1526497002,2,3
1526498922,3,3
1526500901,0,2
1526502751,1,2
1526504678,1,5
1526506608,0,1
1526508532,2,4
1526511724,10,10
1526513803,0,4
1526517640,0,5
1526519566,0,9
1526521462,0,3
1526523412,0,7
1526525324,0,5
1526527235,0,1
1526529164,0,2
1526533001,0,4
1526534907,0,2
1526536906,0,4
1526538763,0,1
1526540685,0,4
1526542579,0,1
1526548368,0,2
1526550270,0,6
1526557960,0,1
1526560105,0,2
1526562089,5,1
1526564205,2,0
1526566099,3,1
1526569942,0,1
1526571856,0,7
1526574033,1,4
1526575950,7,1
1526577881,4,7
1526579786,2,3
1526581709,1,11
1526583704,2,2
1526585573,3,2
1526587480,4,0
1526589409,0,1
1526591309,3,1
1526593235,3,0
1526595163,1,1
1526597942,1,9
1526599957,1,0
1526603806,1,0
1526619159,1,0
1526621176,1,0
1526626879,1,0
1526628842,1,0
1526630713,2,0
1526632643,2,0
1526642203,2,0
1526648538,0,5
1526650358,2,2
1526652286,0,2
1526654173,1,1
1526658254,3,0
1526660440,4,1
1526662339,0,7
1526664274,0,5
1526666203,0,2
1526668368,0,2
1526670268,0,2
1526672211,0,3
1526674133,2,4
1526676064,2,0
1526677967,2,4
1526679871,1,2
1526681814,1,2
1526685882,1,1
1526688084,1,0
1526689966,2,1
1526691869,1,0
1526693781,1,0
1526695923,1,0
1526697888,5,0
1526699810,1,0
1526701723,1,0
1526705566,2,1
1526707482,0,1
1526713314,2,1
1526715146,2,1
1526717084,2,2
1526718999,0,2
1526720931,3,0
1526728601,0,2
1526736524,1,2
1526740367,3,1
1526744184,0,1
1526746159,0,3
1526748021,0,3
1526749967,2,0
1526755930,3,0
1526757869,2,0
1526759770,4,0
1526761690,5,3
1526763877,1,1
1526765782,1,3
1526771571,2,1
1526775401,1,1
1526777319,1,2
1526779212,1,2
