DateTime,AddedIPs,RemovedIPs
1522319312,0,3
1522323158,0,5
1522325056,0,4
1523316752,1,0
1523320598,1,0
1523328254,1,0
1523332098,1,0
1523351550,1,0
1523363319,1,0
1523382521,1,0
1523386606,1,0
1523405554,0,2
1523415637,0,1
1523419481,0,1
1523436990,0,1
1523441072,1,0
1523448753,1,1
1523460272,1,0
1523475633,0,1
1523479476,2,0
1523527131,0,1
1523531091,0,1
1523546427,1,1
1523554116,1,0
1523566135,0,2
1523603575,1,0
1523634268,0,1
1523638836,0,1
1523696916,0,1
1523708447,1,0
1523733403,2,0
1523745665,1,0
1523776610,0,1
1523913342,1,4
1523937893,1,0
1523995712,1,0
1523998436,2,1
1524007001,2,0
1524026211,0,1
1524045382,1,0
1524080916,0,1
1524084760,0,1
1524088593,1,0
1524093939,1,2
1524123319,0,0
1524131091,0,1
1524158618,1,0
1524172395,0,1
1524176203,1,1
1524180315,0,1
1524195664,1,0
1524232960,1,0
1524240673,2,0
1524244485,0,1
1524248613,1,0
1524262360,1,0
1524281788,0,1
1524285477,1,0
1524309166,1,0
1524320895,0,1
1524326946,0,2
1524334611,0,1
1524349967,0,1
1524354063,0,1
1524361715,2,0
1524373245,2,1
1524380909,1,0
1524388617,1,0
1524392425,0,1
1524396287,1,0
1524400476,2,0
1524406362,2,0
1524450160,0,2
1524455797,1,0
1524459655,0,2
1524468283,0,1
1524470215,2,0
1524474300,0,1
1524481974,0,1
1524485803,3,0
1524491792,0,2
1524540522,0,1
1524556117,0,1
1524571730,0,5
1524579639,1,0
1524583494,1,0
1524589504,1,0
1524643965,1,0
1524667467,0,1
1524671696,0,1
1524675646,0,1
1524697741,1,0
1524716921,2,0
1524726783,0,1
1524730601,0,1
1524734456,1,0
1524765401,1,0
1524780771,1,0
1524788430,0,1
1524801877,1,2
1524809559,1,0
1524821308,0,1
1524826114,1,0
1524829945,1,0
1524852527,0,1
1524860204,1,0
1524864039,1,0
1524869855,0,1
1524871708,1,0
1524887067,2,0
1524890993,0,1
1524906530,0,1
1524914205,0,1
1524918048,0,1
1524939648,2,0
1524943466,1,0
1524947327,0,1
1524951169,0,1
1524955256,1,0
1524959059,0,1
1524974675,0,2
1525001568,1,0
1525005411,1,0
1525019375,1,0
1525023426,1,0
1525027717,2,2
1525041861,0,1
1525049791,2,0
1525053655,1,0
1525086518,0,1
1525090360,1,1
1525102135,1,0
1525105958,1,1
1525113632,0,2
1525117478,0,1
1525122220,2,0
1525134052,1,0
1525137892,0,2
1525141740,0,1
1525164849,3,0
1525168641,1,0
1525176756,0,1
1525184565,2,0
1525186596,2,0
1525190424,0,1
1525194269,0,1
1525202679,0,1
1525206503,0,1
1525210362,0,1
1525214199,1,0
1525218325,0,1
1525245623,1,0
1525253819,2,3
1525255745,0,1
1525264507,1,0
1525272402,1,4
1525298203,3,1
1525302555,1,0
1525327978,1,0
1525331879,0,1
1525335664,1,0
1525339751,0,2
1525347409,0,1
1525359086,3,1
1525385089,0,3
1525389125,0,1
1525403331,1,0
1525415091,0,1
1525419017,1,1
1525423229,1,0
1525447002,0,3
1525497178,2,0
1525507019,0,1
1525526933,1,1
1525531005,5,0
1525546371,1,0
1525584534,0,2
1525594593,2,1
1525602287,1,0
1525609970,2,0
1525617886,0,4
1525621732,4,0
1525632954,0,1
1525656050,1,0
1525665654,1,0
1525669481,2,0
1525673343,2,0
1525681078,0,2
1525688699,0,1
1525696358,0,2
1525700208,0,1
1525704038,0,4
1525707875,2,0
1525716299,1,0
1525753234,0,1
1525757082,0,2
1525760910,0,2
1525778434,1,0
1525782505,1,0
1525794525,0,3
1525802203,3,1
1525806769,2,0
1525810839,2,0
1525816605,1,0
1525832899,0,1
1525838945,1,0
1525854283,1,0
1525862229,0,1
1525869862,0,1
1525889817,6,3
1525893634,2,1
1525897475,2,2
1525901309,2,0
1525905587,2,1
1525923658,1,1
1525927491,2,0
1525949766,1,0
1525977323,0,4
1525981141,0,1
1525985321,0,3
1525989170,6,1
1525993908,1,0
1526004295,1,0
1526012216,0,1
1526016283,0,1
1526029964,1,0
1526031859,0,18
1526322772,134,0
1526324686,10,3
1526326619,4,3
1526328510,4,1
1526331057,13,8
1526333072,8,4
1526334904,4,1
1526336895,8,2
1526338780,4,2
1526340765,0,2
1526342565,2,0
1526344598,10,0
1526346667,6,0
1526348927,12,0
1526350843,3,1
1526352837,6,3
1526354682,6,0
1526356622,8,3
1526358533,5,1
1526360541,2,0
1526362616,4,0
1526364768,13,2
1526366691,9,4
1526368836,11,2
1526370766,5,4
1526372661,9,1
1526374900,7,3
1526376766,5,4
1526378696,2,0
1526380584,4,4
1526382636,5,3
1526384936,7,10
1526387097,9,3
1526388989,0,1
1526391170,5,1
1526393271,1,9
1526395233,3,6
1526397407,6,9
1526399294,1,5
1526401185,3,3
1526403391,6,7
1526405319,1,9
1526407311,4,2
1526409399,0,1
1526411356,1,11
1526413236,1,5
1526415826,0,7
1526417817,5,12
1526419694,2,5
1526421740,2,5
1526423811,2,8
1526425728,3,1
1526427648,3,0
1526429568,1,6
1526431488,1,8
1526433405,0,7
1526435326,2,10
1526437246,1,3
1526439183,6,6
1526441085,3,5
1526443027,0,7
1526444923,2,5
1526446905,3,2
1526448769,4,3
1526450692,3,12
1526452598,3,8
1526454547,3,10
1526456442,3,5
1526458347,4,9
1526460286,3,6
1526462213,8,6
1526464127,6,4
1526466045,4,4
1526467946,8,4
1526469879,3,4
1526471803,3,5
1526473846,6,5
1526475703,6,1
1526477568,4,2
1526479472,4,1
1526481388,4,2
1526483310,6,4
1526485220,5,5
1526487179,8,1
1526489308,8,10
1526491240,5,1
1526493148,4,4
1526495078,4,0
1526497003,9,1
1526498923,5,1
1526500902,4,0
1526502752,3,3
1526504678,6,6
1526506609,5,2
1526508534,5,1
1526511725,9,6
1526513804,3,3
1526515729,5,1
1526517641,4,1
1526519567,4,0
1526521463,7,2
1526523413,3,1
1526525325,15,5
1526527236,4,3
1526529165,5,1
1526531085,4,2
1526533001,3,3
1526534908,4,4
1526536907,1,3
1526538763,1,3
1526540686,5,2
1526542579,6,3
1526544532,5,4
1526546442,1,3
1526548368,4,9
1526550270,3,6
1526552207,1,3
1526554096,3,9
1526556041,5,3
1526557960,1,3
1526560105,3,8
1526562089,4,6
1526564206,5,4
1526566100,1,4
1526568017,1,4
1526569942,2,9
1526571857,6,3
1526574035,0,10
1526575951,4,7
1526577881,6,5
1526579787,5,3
1526581709,0,5
1526583704,0,10
1526585573,4,5
1526587481,2,3
1526589410,4,4
1526591310,1,5
1526593236,1,5
1526595163,2,6
1526597942,18,6
1526599957,5,4
1526601920,2,4
1526603806,0,6
1526605779,0,4
1526607638,0,4
1526609615,0,6
1526611460,0,12
1526613433,3,6
1526615338,0,4
1526617290,0,5
1526619159,0,3
1526621177,0,5
1526622982,1,1
1526626890,0,5
1526628843,1,7
1526630713,0,5
1526632644,0,1
1526634523,2,4
1526636465,1,3
1526638367,0,1
1526640334,0,3
1526642204,0,5
1526644169,0,1
1526646359,0,3
1526648539,0,5
1526650359,0,4
1526652287,0,1
1526654173,0,1
1526656399,0,3
1526658255,0,5
1526662339,1,5
1526664275,1,5
1526666204,0,5
1526670269,0,3
1526672212,0,2
1526674134,1,1
1526676064,0,3
1526677967,0,1
1526679872,0,1
1526681815,0,2
1526683962,0,6
1526685882,0,6
1526688100,0,4
1526691869,2,0
1526693782,0,1
1526695972,1,0
1526697889,1,1
1526699811,0,3
1526701724,3,0
1526703626,1,0
1526707482,1,0
1526709431,0,1
1526711311,1,0
1526715146,2,1
1526717085,2,0
1526720932,1,2
1526722842,1,1
1526726688,1,0
1526730516,1,0
1526732451,1,0
1526734603,1,0
1526736524,1,0
1526738496,2,0
1526740367,1,0
1526742286,1,0
1526744185,1,0
1526748021,0,1
1526752029,1,1
1526755930,1,0
1526759770,1,1
1526761690,1,0
1526765783,2,0
1526767704,4,0
1526769579,0,1
1526773459,2,0
1526779213,0,2
1526781134,1,0
1526783077,1,0
1526787152,1,1
1526789087,1,2
1526790995,1,1
1526792926,1,0
1526796771,2,1
1526798667,2,1
1526800589,1,0
1526802541,0,2
1526806357,1,2
1526808289,3,1
1526810188,2,0
1526812107,2,0
1526814093,6,1
1526816226,12,1
1526818111,7,1
1526820029,3,1
1526821985,4,1
1526823862,6,2
1526825801,0,1
1526827701,3,1
1526829645,4,0
1526831571,4,0
1526833485,4,0
1526835402,10,0
1526837325,11,0
1526839300,3,1
1526841163,7,0
1526843090,10,1
1526844981,4,1
1526846933,5,0
1526848843,1,0
1526850775,4,1
1526852688,6,3
1526854605,4,2
1526857493,10,1
1526859387,5,2
1526861456,8,0
1526863461,5,0
1526865388,7,0
1526867294,8,1
1526869161,5,1
1526871135,5,0
1526873024,1,0
1526874972,13,0
1526876823,12,2
1526878910,9,3
1526881000,9,0
1526882937,0,2
1526884838,14,2
1526886792,9,2
1526888682,7,0
1526890592,4,1
1526892568,6,1
1526894430,8,2
1526896380,4,3
