DateTime,AddedIPs,RemovedIPs
1521855864,0,1
1521857782,1,0
1521859709,0,1
1521861611,2,0
1521863547,0,1
1521865454,0,1
1521867496,1,1
1521869540,0,1
1521871470,0,1
1521873626,0,1
1521875558,1,1
1521877479,1,0
1521879385,0,1
1521881323,1,0
1521885159,1,0
1521887076,2,1
1521888986,1,0
1521890905,1,1
1521892924,0,1
1521898584,1,0
1521902423,2,0
1521904353,2,0
1521906274,0,1
1521908200,0,1
1521919961,1,0
1521921869,1,0
1521925711,1,0
1521933398,1,0
1521935300,0,1
1521941074,1,0
1521944913,0,1
1521951153,1,0
1521956914,0,3
1521962909,0,1
1521971554,3,3
1521973470,0,2
1521976350,2,2
1521978266,0,1
1521984807,0,1
1521986838,1,0
1521988710,1,1
1521990578,0,2
1521994412,2,0
1521998247,1,0
1522000060,1,0
1522005724,1,1
1522008767,2,3
1522011682,2,1
1522013846,1,1
1522019794,1,1
1522021762,1,0
1522027692,0,1
1522035372,1,0
1522037309,0,1
1522041207,1,0
1522043060,1,0
1522048870,4,0
1522050752,1,1
1522054592,2,0
1522056552,1,1
1522058541,0,1
1522060819,4,1
1522062997,1,1
1522065144,1,0
1522073077,2,1
1522075002,0,1
1522078838,1,1
1522080863,1,1
1522086522,0,2
1522088425,1,0
1522096110,2,3
1522100294,1,2
1522104528,1,0
1522107851,0,2
1522114094,1,0
1522116282,1,0
1522122034,0,1
1522129721,0,1
1522133773,1,2
1522135712,0,2
1522137719,0,1
1522139555,1,0
1522141474,0,2
1522143401,0,1
1522145324,1,0
1522147941,0,4
1522149869,0,1
1522152122,0,1
1522157961,0,1
1522160200,1,1
1522164030,1,0
1522166214,0,1
1522168103,0,1
1522171953,1,0
1522173889,0,2
1522179632,2,0
1522181565,3,0
1522183476,2,1
1522185402,1,0
1522195716,1,0
1522199551,1,1
1522203901,1,1
1522214297,2,0
1522216487,0,1
1522219708,3,0
1522238706,2,2
1522241092,0,8
1522243435,9,0
1522247834,0,3
1522251624,0,1
1522276485,0,9
1522282522,0,1
1522288597,0,2
1522292439,0,1
1522300114,0,2
1522303960,0,2
1522307792,0,3
1522311635,0,1
1522319311,0,2
1522323158,0,1
1522325055,0,1
1523425961,1,0
1523488388,1,0
1523513569,0,1
1523571871,0,1
1524067506,1,0
1524113780,1,0
1524121461,1,0
1524123319,0,0
1524154604,0,1
1524201328,0,1
1524205134,0,1
1524292824,1,0
1524341319,1,0
1524382849,0,1
1524412114,1,0
1524427495,0,1
1524497572,0,1
1524514832,1,0
1524603173,0,1
1524663331,1,0
1524677821,1,0
1524713073,2,0
1524749936,0,1
1524765401,0,1
1524769242,1,0
1524798046,0,2
1524813643,1,0
1524842586,2,0
1524856382,0,1
1524887067,1,0
1524898855,0,1
1524927866,1,2
1524974674,0,1
1524982367,1,0
1525005410,1,0
1525009246,1,0
1525017157,0,1
1525025435,1,0
1525051709,1,0
1525055555,1,0
1525067075,0,1
1525094516,0,2
1525100191,1,0
1525104025,1,0
1525111708,0,1
1525115548,1,0
1525122220,1,0
1525137892,0,1
1525141739,0,1
1525149456,1,0
1525164848,1,0
1525172627,1,0
1525186595,0,1
1525190423,0,1
1525198544,1,0
1525202679,0,1
1525206502,1,0
1525210361,0,1
1525237982,0,1
1525249734,1,0
1525253818,0,1
1525255744,0,1
1525284454,0,1
1525292139,1,0
1525294359,0,1
1525335663,0,1
1525347409,1,0
1525372835,1,0
1525376919,0,1
1525393003,1,0
1525397081,1,0
1525401155,1,0
1525419016,1,0
1525434739,0,1
1525450824,1,0
1525460929,0,1
1525469098,1,0
1525477255,0,1
1525481092,1,0
1525485173,0,2
1525504840,0,1
1525519241,1,0
1525531004,1,0
1525534848,1,1
1525557903,0,1
1525562067,1,0
1525570111,0,1
1525602286,0,1
1525617886,0,1
1525621731,0,1
1525646447,0,1
1525723478,1,0
1525770042,1,0
1525778194,1,0
1525810838,0,1
1525856186,0,1
1525862228,0,1
1525887886,1,0
1525895560,4,0
1525899392,2,0
1525903251,1,0
1525919565,1,0
1525923658,2,0
1525937321,1,0
1525977322,0,1
1525979295,0,1
1525983396,0,3
1525987231,0,2
1525991071,0,1
1526004295,1,1
1526008385,0,2
1526025886,0,1
1526031858,0,1
1526322772,71,0
1526324685,0,1
1526326619,3,0
1526328510,1,1
1526331056,0,2
1526333072,3,1
1526334904,4,2
1526336895,2,6
1526340765,4,0
1526342565,0,3
1526344598,2,2
1526346666,3,2
1526348926,0,1
1526350842,0,1
1526352832,1,3
1526354681,2,2
1526356622,1,0
1526358533,2,0
1526360540,2,2
