DateTime,Entries,UniqueIPs
1521853707,22,22
1521855864,21,21
1521857782,22,22
1521859709,21,21
1521861611,23,23
1521863547,22,22
1521865454,21,21
1521867496,21,21
1521869540,20,20
1521871470,19,19
1521873626,18,18
1521875558,18,18
1521877479,19,19
1521879385,18,18
1521881323,19,19
1521885159,20,20
1521887076,21,21
1521888986,22,22
1521890905,22,22
1521892924,21,21
1521898584,22,22
1521902423,24,24
1521904353,26,26
1521906274,25,25
1521908200,24,24
1521919961,25,25
1521921869,26,26
1521925711,27,27
1521933398,28,28
1521935300,27,27
1521941074,28,28
1521944913,27,27
1521951153,28,28
1521956914,25,25
1521962909,24,24
1521971554,24,24
1521973470,22,22
1521976350,22,22
1521978266,21,21
1521984807,20,20
1521986838,21,21
1521988710,21,21
1521990578,19,19
1521994412,21,21
1521998247,22,22
1522000060,23,23
1522005724,23,23
1522008767,22,22
1522011682,23,23
1522013846,23,23
1522019794,23,23
1522021762,24,24
1522027692,23,23
1522035372,24,24
1522037309,23,23
1522041207,24,24
1522043060,25,25
1522048870,29,29
1522050752,29,29
1522054592,31,31
1522056552,31,31
1522058541,30,30
1522060819,33,33
1522062997,33,33
1522065144,34,34
1522073077,35,35
1522075002,34,34
1522078838,34,34
1522080863,34,34
1522086522,32,32
1522088425,33,33
1522096110,32,32
1522100294,31,31
1522104528,32,32
1522107851,30,30
1522114094,31,31
1522116282,32,32
1522122034,31,31
1522129721,30,30
1522133773,29,29
1522135712,27,27
1522137719,26,26
1522139555,27,27
1522141474,25,25
1522143401,24,24
1522145324,25,25
1522147941,21,21
1522149869,20,20
1522152122,19,19
1522157961,18,18
1522160200,18,18
1522164030,19,19
1522166214,18,18
1522168103,17,17
1522171953,18,18
1522173889,16,16
1522179632,18,18
1522181565,21,21
1522183476,22,22
1522185402,23,23
1522195716,24,24
1522199551,24,24
1522203901,24,24
1522214297,26,26
1522216487,25,25
1522219708,28,28
1522238706,28,28
1522241092,20,20
1522243435,29,29
1522247834,26,26
1522251624,25,25
1522276485,16,16
1522282522,15,15
1522288597,13,13
1522292439,12,12
1522300114,10,10
1522303960,8,8
1522307792,5,5
1522311635,4,4
1522319311,2,2
1522323158,1,1
1522325055,0,0
1523425961,1,1
1523488388,2,2
1523513569,1,1
1523571871,0,0
1524067506,1,1
1524113780,2,2
1524121461,3,3
1524154604,2,2
1524201328,1,1
1524205134,0,0
1524292824,1,1
1524341319,2,2
1524382849,1,1
1524412114,2,2
1524427495,1,1
1524497572,0,0
1524514832,1,1
1524603173,0,0
1524663331,1,1
1524677821,2,2
1524713073,4,4
1524749936,3,3
1524765401,2,2
1524769242,3,3
1524798046,1,1
1524813643,2,2
1524842586,4,4
1524856382,3,3
1524887067,4,4
1524898855,3,3
1524927866,2,2
1524974674,1,1
1524982367,2,2
1525005410,3,3
1525009246,4,4
1525017157,3,3
1525025435,4,4
1525051709,5,5
1525055555,6,6
1525067075,5,5
1525094516,3,3
1525100191,4,4
1525104025,5,5
1525111708,4,4
1525115548,5,5
1525122220,6,6
1525137892,5,5
1525141739,4,4
1525149456,5,5
1525164848,6,6
1525172627,7,7
1525186595,6,6
1525190423,5,5
1525198544,6,6
1525202679,5,5
1525206502,6,6
