DateTime,Entries,UniqueIPs
1517641943,7,7
1517645795,8,8
1517653704,9,9
1517669304,7,7
1517675412,6,6
1517691172,5,5
1517710141,6,6
1517713966,6,6
1517715880,5,5
1517725471,7,7
1517727388,6,6
1517731285,5,5
1517741335,4,4
1517756677,5,5
1517762530,6,6
1517796088,5,5
1517799878,4,4
1517811421,2,2
1517813336,3,3
1517843554,2,2
1517845479,3,3
1517849304,2,2
1517857471,3,3
1517884606,4,4
1517898022,3,3
1517901875,4,4
1517916394,5,5
1517930208,6,6
1517932289,5,5
1517944356,4,4
1517950115,5,5
1517971235,4,4
1517988507,4,4
1518002525,3,3
1518008202,4,4
1518017777,4,4
1518037682,3,3
1518046111,4,4
1518048182,5,5
1518054290,6,6
1518069875,7,7
1518073731,6,6
1518095548,5,5
1518105133,5,5
1518132917,3,3
1518138988,4,4
1518140912,3,3
1518149080,4,4
1518157054,3,3
1518176190,4,4
1518190120,3,3
1518196126,4,4
1518217968,5,5
1518225889,4,4
1518235971,3,3
1518237889,4,4
1518244009,5,5
1518261862,4,4
1518269571,5,5
1518281784,4,4
1518287845,5,5
1518303680,4,4
1518323840,3,3
1518331971,2,2
1518351590,3,3
1518355975,2,2
1518357889,3,3
1518361938,4,4
1518373777,3,3
1518437092,4,4
1518439237,3,3
1518443081,2,2
1518446932,1,1
1518458936,2,2
1518462768,3,3
1518469514,4,4
1518489623,5,5
1518524130,4,4
1518532151,5,5
1518534237,6,6
1518546039,5,5
1518549880,4,4
1518555697,3,3
1518573401,4,4
1518577831,3,3
1518619222,1,1
1518631008,2,2
1518644939,3,3
1518659086,2,2
1518669427,3,3
1518709280,5,5
1518717195,4,4
1518733011,3,3
1518755081,2,2
1518773290,3,3
1518791577,4,4
1518796423,2,2
1518828288,3,3
1518849871,4,4
1518859470,4,4
1518867398,5,5
1518877972,4,4
1518896174,5,5
1518914682,4,4
1518937000,3,3
1518941043,4,4
1518947865,3,3
1518953567,2,2
1518965236,3,3
1518967226,4,4
1518983068,3,3
1518985004,4,4
1518990741,5,5
1519011642,6,6
1519028913,6,6
1519050363,5,5
1519054100,4,4
1519058216,5,5
1519062264,6,6
1519071881,5,5
1519076440,4,4
1519092277,5,5
1519096117,6,6
1519098008,5,5
1519113683,6,6
1519115545,5,5
1519144652,4,4
1519149735,3,3
1519159714,4,4
1519171371,5,5
1519178921,4,4
1519182976,3,3
1519190903,4,4
