DateTime,AddedIPs,RemovedIPs
1519813711,1,0
1519815677,1,0
1519825241,2,0
1519830989,1,1
1519833749,0,1
1519837761,0,1
1519839638,0,1
1519855298,0,1
1519858161,1,0
1519866122,0,1
1519867963,3,0
1519876129,0,1
1519879954,0,1
1519881874,0,2
1519883806,0,1
1519889581,0,1
1519893404,1,0
1519897233,1,0
1519899156,0,1
1519901096,0,1
1519903000,0,1
1519908755,1,0
1519912593,0,2
1519914526,1,0
1519916479,0,1
1519926018,1,0
1519944527,0,1
1519946440,6,0
1519954350,1,2
1519960141,2,0
1519973544,3,0
1519977382,2,0
1519979553,0,1
1519985309,1,1
1519989149,1,0
1519995869,1,1
1519999861,0,1
1520005713,2,0
1520007637,2,0
1520009559,5,0
1520011478,1,1
1520022978,2,0
1520032604,0,6
1520034995,1,0
1520040785,0,1
1520044630,1,0
1520046530,0,2
1520048482,1,0
1520059986,0,3
1520063885,0,2
1520071583,0,1
1520075426,0,1
1520081418,0,1
1520090922,0,1
1520093088,0,2
1520095007,0,2
1520097069,0,5
1520099056,1,0
1520108906,0,2
1520122614,0,1
1520132232,1,1
1520134123,0,1
1520145871,1,0
1520165086,1,0
1520170875,1,0
1520172760,1,0
1520178625,1,0
1520186506,0,1
1520188351,1,0
1520208544,1,0
1520218151,0,1
1520225838,1,0
1520231844,0,1
1520252978,0,1
1520256813,0,1
1520260875,0,1
1520264703,1,1
1520274702,0,1
1520286771,1,0
1520296578,0,1
1520311998,0,1
1520313878,2,0
1520325877,0,1
1520351086,0,1
1520371957,0,1
1520394986,1,0
1520400808,0,2
1520424077,1,0
1520441777,2,0
1520465795,1,0
1520474107,1,0
1520481782,0,1
1520505866,1,0
1520509955,0,1
1520528187,0,2
1520551237,0,1
1520553140,1,0
1520558900,1,0
1520561805,0,1
1520569698,1,0
1520590895,0,1
1520610509,1,0
1520612426,1,0
1520620105,1,0
1520622078,5,0
1520627785,1,0
1520641282,0,1
1520645145,0,1
1520655437,0,1
1520697701,0,1
1520699549,0,1
1520705547,1,1
1520707485,0,4
1520713222,0,1
1520718889,1,0
1520720699,1,0
1520738912,0,1
1520776231,2,0
1520780202,1,0
1520789797,1,0
1520791735,0,1
1520807561,0,1
1520856081,1,0
1520861798,0,1
1520863722,0,1
1520867797,0,1
1520876652,1,1
1520892104,1,0
1520898017,2,0
1520941003,0,1
1520968130,1,0
1520970271,1,0
1520976275,1,0
1520980097,0,1
1520983969,0,2
1520987781,1,0
