DateTime,Entries,UniqueIPs
1519811774,13,13
1519813711,14,14
1519815677,15,15
1519825241,17,17
1519830989,17,17
1519833749,16,16
1519837761,15,15
1519839638,14,14
1519855298,13,13
1519858161,14,14
1519866122,13,13
1519867963,16,16
1519876129,15,15
1519879954,14,14
1519881874,12,12
1519883806,11,11
1519889581,10,10
1519893404,11,11
1519897233,12,12
1519899156,11,11
1519901096,10,10
1519903000,9,9
1519908755,10,10
1519912593,8,8
1519914526,9,9
1519916479,8,8
1519926018,9,9
1519944527,8,8
1519946440,14,14
1519954350,13,13
1519960141,15,15
1519973544,18,18
1519977382,20,20
1519979553,19,19
1519985309,19,19
1519989149,20,20
1519995869,20,20
1519999861,19,19
1520005713,21,21
1520007637,23,23
1520009559,28,28
1520011478,28,28
1520022978,30,30
1520032604,24,24
1520034995,25,25
1520040785,24,24
1520044630,25,25
1520046530,23,23
1520048482,24,24
1520059986,21,21
1520063885,19,19
1520071583,18,18
1520075426,17,17
1520081418,16,16
1520090922,15,15
1520093088,13,13
1520095007,11,11
1520097069,6,6
1520099056,7,7
1520108906,5,5
1520122614,4,4
1520132232,4,4
1520134123,3,3
1520145871,4,4
1520165086,5,5
1520170875,6,6
1520172760,7,7
1520178625,8,8
1520186506,7,7
1520188351,8,8
1520208544,9,9
1520218151,8,8
1520225838,9,9
1520231844,8,8
1520252978,7,7
1520256813,6,6
1520260875,5,5
1520264703,5,5
1520274702,4,4
1520286771,5,5
1520296578,4,4
1520311998,3,3
1520313878,5,5
1520325877,4,4
1520351086,3,3
1520371957,2,2
1520394986,3,3
1520400808,1,1
1520424077,2,2
1520441777,4,4
1520465795,5,5
1520474107,6,6
1520481782,5,5
1520505866,6,6
1520509955,5,5
1520528187,3,3
1520551237,2,2
1520553140,3,3
1520558900,4,4
1520561805,3,3
1520569698,4,4
1520590895,3,3
1520610509,4,4
1520612426,5,5
1520620105,6,6
1520622078,11,11
1520627785,12,12
1520641282,11,11
1520645145,10,10
1520655437,9,9
1520697701,8,8
1520699549,7,7
1520705547,7,7
1520707485,3,3
1520713222,2,2
1520718889,3,3
1520720699,4,4
1520738912,3,3
1520776231,5,5
1520780202,6,6
1520789797,7,7
1520791735,6,6
1520807561,5,5
1520856081,6,6
1520861798,5,5
1520863722,4,4
1520867797,3,3
1520876652,3,3
1520892104,4,4
1520898017,6,6
1520941003,5,5
1520968130,6,6
1520970271,7,7
1520976275,8,8
1520980097,7,7
1520983969,5,5
1520987781,6,6
1520993553,5,5
1521016608,6,6
1521028348,8,8
1521030267,13,13
1521039985,14,14
1521043626,16,16
1521055113,15,15
1521056986,14,14
1521062826,13,13
1521074859,12,12
1521078745,13,13
1521096013,14,14
1521101672,13,13
1521103480,14,14
1521116514,8,8
1521118598,9,9
1521129177,8,8
1521131073,8,8
1521140918,9,9
1521148595,10,10
1521150505,10,10
1521164993,10,10
1521182188,9,9
1521186022,8,8
1521189874,7,7
1521201479,6,6
1521205281,5,5
1521216991,5,5
1521226594,4,4
1521234282,5,5
1521236202,4,4
1521238129,3,3
1521243855,4,4
1521247494,5,5
1521251319,4,4
1521253440,5,5
1521270757,7,7
1521274578,8,8
1521303522,7,7
1521320924,6,6
1521323066,7,7
1521325005,8,8
1521328891,8,8
1521334574,10,10
1521338488,11,11
1521340336,10,10
1521354020,11,11
1521356076,12,12
1521360270,11,11
1521362197,12,12
1521373698,13,13
1521410488,12,12
1521413734,11,11
1521415694,10,10
1521417594,11,11
1521419546,12,12
1521421441,9,9
1521425557,8,8
1521429396,9,9
1521431422,10,10
1521441150,9,9
1521443082,8,8
1521444998,9,9
1521446905,10,10
1521449087,10,10
1521458668,9,9
1521460593,10,10
1521483903,11,11
1521504516,11,11
1521506416,10,10
1521510270,11,11
1521514492,12,12
1521516495,10,10
1521518306,11,11
1521526239,12,12
1521528043,11,11
1521532101,10,10
1521533926,9,9
1521535932,8,8
1521539772,9,9
1521547732,8,8
1521549644,9,9
1521568892,10,10
1521570990,9,9
1521579406,10,10
1521581565,11,11
1521591511,10,10
1521595380,10,10
1521599259,9,9
1521601332,11,11
1521603403,12,12
1521605309,11,11
1521612972,11,11
1521626373,10,10
1521636015,9,9
1521653189,10,10
1521654992,10,10
1521664760,9,9
1521666738,8,8
1521677564,9,9
1521682431,8,8
1521687759,6,6
1521689572,5,5
1521693628,6,6
1521695544,7,7
1521699390,6,6
1521701569,7,7
1521705873,8,8
1521721721,9,9
1521741160,8,8
1521743080,7,7
1521746921,8,8
1521758925,10,10
1521762760,9,9
1521780038,8,8
1521781951,7,7
1521787713,10,10
1521789638,11,11
1521791549,12,12
1521793484,11,11
1521799839,12,12
1521807886,11,11
1521832590,10,10
1521838900,11,11
1521845711,9,9
1521849879,10,10
1521861612,11,11
1521863547,12,12
1521865455,13,13
1521873627,9,9
1521875559,7,7
1521877480,7,7
1521879386,8,8
1521881323,9,9
1521887076,8,8
1521902424,9,9
1521919962,10,10
1521925711,9,9
1521935301,8,8
1521951154,7,7
1521956915,6,6
1521971555,5,5
1521988711,4,4
1521998248,5,5
1522005725,4,4
1522008768,6,6
1522013847,7,7
1522015772,8,8
1522037310,7,7
1522058542,7,7
1522065145,9,9
1522067064,10,10
1522084605,9,9
1522094202,8,8
1522100295,7,7
1522102401,6,6
1522107853,7,7
1522129722,8,8
1522135712,7,7
1522143402,6,6
1522152123,4,4
1522154153,3,3
1522157962,4,4
1522181566,4,4
1522191811,3,3
1522216492,3,3
1522241093,3,3
1522243436,4,4
1522246751,4,4
1522249719,3,3
1522303961,2,2
1522313555,0,0
1526322773,36,36
1526324686,38,38
1526328511,37,37
1526331057,35,35
1526333073,36,36
1526334905,38,38
1526342566,37,37
1526344599,41,41
1526346667,41,41
1526348927,43,43
1526350843,43,43
1526352839,41,41
1526358534,41,41
1526360541,41,41
1526362616,39,39
1526364768,41,41
1526366692,43,43
1526368837,44,44
1526370767,44,44
1526374901,46,46
1526376766,49,49
1526380585,48,48
1526382636,49,49
1526384937,51,51
1526387098,50,50
1526391171,49,49
1526393271,49,49
1526395233,48,48
1526401186,49,49
1526403392,47,47
1526405320,49,49
1526407312,48,48
1526409400,46,46
1526411356,45,45
1526413236,46,46
1526417818,47,47
1526419694,47,47
1526421740,47,47
1526425728,50,50
1526427649,51,51
1526429569,50,50
1526431489,49,49
1526433406,48,48
1526435326,47,47
1526437247,46,46
1526439188,47,47
1526443028,48,48
1526444923,46,46
1526446906,47,47
1526448769,54,54
1526450693,54,54
