DateTime,AddedIPs,RemovedIPs
1517536576,1,1
1517546436,0,1
1517554122,0,2
1517559874,0,1
1517566018,1,0
1517575947,1,0
1517581700,1,0
1517583679,0,1
1517604744,1,2
1517612554,0,1
1517620624,0,1
1517622517,0,1
1517624435,1,0
1517638130,1,0
1517651566,0,1
1517655693,1,0
1517663555,0,1
1517667392,0,1
1517677301,1,0
1517691174,0,1
1517710142,2,1
1517719720,1,0
1517725472,0,1
1517727389,1,0
1517741336,1,1
1517758587,1,0
1517762531,0,1
1517781860,1,0
1517783667,1,0
1517791972,1,0
1517796090,0,2
1517805651,0,1
1517807572,2,0
1517811422,1,0
1517813338,0,1
1517829850,1,1
1517833695,1,0
1517837484,1,0
1517845481,0,1
1517859407,1,0
1517867324,0,1
1517869227,0,1
1517878927,0,1
1517894207,0,2
1517898023,0,1
1517916396,0,1
1517920109,0,1
1517924182,0,1
1517940270,1,0
1517946271,0,1
1517965474,1,0
1517980836,1,0
1517988509,1,0
1517998609,1,0
1518002526,1,0
1518019731,2,0
1518027410,0,1
1518041458,1,0
1518050447,0,1
1518065780,0,1
1518069876,1,0
1518075620,0,1
1518083317,1,1
1518089058,0,1
1518097463,1,0
1518107317,0,2
1518124612,1,0
1518128928,0,1
1518136853,1,0
1518143009,1,0
1518151031,1,0
1518157056,0,1
1518160846,1,0
1518170483,1,1
1518180028,1,0
1518183858,1,1
1518190121,1,0
1518198017,1,0
1518209783,1,0
1518211728,0,1
1518220124,1,0
1518222058,0,1
1518229976,0,1
1518235973,1,1
1518246084,0,1
1518247886,1,0
1518256151,0,1
1518267712,0,1
1518269573,0,1
1518275858,0,1
1518285683,0,1
1518295500,0,1
1518308006,0,1
1518315910,1,0
1518321678,0,1
1518333882,0,1
1518355977,2,0
1518361939,1,0
1518371567,1,0
1518390110,1,0
1518402037,0,1
1518443082,0,2
1518446933,0,1
1518456986,1,0
1518458937,0,1
1518475459,0,1
1518495395,1,0
1518544131,0,1
1518566395,1,0
1518569239,1,0
1518575361,1,0
1518577833,1,0
1518581764,0,1
1518619224,1,0
1518629095,1,0
1518650927,1,1
1518656924,0,1
1518663164,0,2
1518675409,1,0
1518691237,1,0
1518705421,0,1
1518715222,0,1
1518717196,1,0
1518719350,1,0
1518721305,1,0
1518723273,1,0
1518730842,1,0
1518733013,1,0
1518736994,0,1
1518743351,1,0
1518747161,1,0
1518749076,1,0
1518757319,1,0
1518761546,0,1
1518777407,0,1
1518804317,0,2
1518808110,0,1
1518810030,0,1
1518814139,1,0
1518816306,0,1
1518820151,0,1
1518826365,1,0
1518828289,0,1
1518832124,0,1
1518836187,0,1
1518844125,0,1
1518865473,1,0
1518889938,1,0
1518900042,0,1
1518908204,1,0
1518912771,0,1
1518914683,1,0
1518949707,1,0
1518951694,0,1
1518955499,1,0
1518973466,1,0
1518975382,0,1
1518985005,1,0
1518995828,0,1
1518997703,1,0
1518999782,0,1
1519015512,1,0
1519031806,1,0
1519035880,0,1
1519042076,0,1
1519050364,1,0
1519060126,0,1
1519071883,0,1
1519080528,1,0
1519082447,1,0
1519084362,0,1
1519102128,0,1
1519119385,0,1
1519136904,0,1
1519163559,1,0
1519167383,0,1
1519169300,0,1
1519187068,1,0
1519197094,1,0
1519241552,1,0
1519249712,0,1
1519271965,2,0
1519273941,0,1
1519284059,0,1
1519301131,2,0
1519317340,1,0
1519319558,1,0
1519323640,3,0
1519329394,0,1
1519333309,1,0
1519357969,0,2
1519385368,0,2
1519405301,0,1
1519407146,1,1
1519409195,0,3
1519419135,0,1
1519441954,1,0
1519469795,1,0
1519474141,1,0
1519494758,1,1
1519527398,0,1
1519529312,1,0
1519550673,1,0
1519556645,0,1
1519560405,0,1
