DateTime,AddedIPs,RemovedIPs
1525260595,14,13
1525262459,20,34
1525266391,101,7
1525270380,265,17
1525274464,253,18
1525278305,149,7
1525280609,319,196
1525284457,151,67
1525288294,189,74
1525292142,114,31
1525296289,106,40
1525300737,41,10
1525304465,55,11
1525308282,42,16
1525312379,13,9
1525316452,9,14
1525320305,11,16
1525324140,8,13
1525327981,12,27
1525331882,10,13
1525335667,7,10
1525339754,9,19
1525341650,9,14
1525345495,14,15
1525349339,14,15
1525353430,13,116
1525357256,18,287
1525361204,20,275
1525365182,21,190
1525369023,10,180
1525372839,10,210
1525376922,11,318
1525381007,8,135
1525385092,9,220
1525389127,41,78
1525393006,205,50
1525395158,315,8
1525399254,203,9
1525403334,277,7
1525407386,36,12
1525411016,6,10
1525415093,6,11
1525417185,15,13
1525421065,11,6
1525425039,17,2
1525428854,18,8
1525432751,8,12
1525436696,7,19
1525440763,22,28
1525442696,10,18
1525447004,22,26
1525450827,53,22
1525454915,39,8
1525458777,37,9
1525463098,11,5
1525466937,7,8
1525471016,10,12
1525475437,12,16
1525477258,5,174
1525481094,7,280
1525485176,4,164
1525489486,5,231
1525493335,6,72
1525497180,9,5
1525501006,6,9
1525504843,8,13
1525507021,17,9
1525511127,14,18
1525515164,12,14
1525519244,12,9
1525523093,14,7
1525526935,6,18
1525531007,10,11
1525532939,11,14
1525536811,9,60
1525540623,6,97
1525544436,15,100
1525548298,12,22
1525552146,13,8
1525555978,12,14
1525559821,15,10
1525564129,5,6
1525567967,3,7
1525572053,4,4
1525576258,6,8
1525580127,13,8
1525582361,4,10
1525586440,7,6
1525590528,15,9
1525594596,7,13
1525598460,19,17
1525602290,10,16
1525604206,15,14
1525608053,7,10
1525611898,9,5
1525615976,7,10
1525619820,13,17
1525623898,8,7
1525627979,12,5
1525632956,15,14
1525634936,8,12
1525638759,6,22
1525642622,14,12
1525646450,12,14
1525650288,10,4
1525654129,9,5
1525657993,4,7
1525661810,7,6
1525665657,10,12
1525669483,10,5
1525673346,13,7
1525677179,24,14
1525681081,42,8
1525684854,13,18
1525688703,11,9
1525690590,16,20
1525694447,14,12
1525698285,10,8
1525702125,12,7
1525705968,10,12
1525710338,11,9
1525714373,2,9
1525718220,5,12
1525722049,4,8
1525725888,17,10
1525729738,8,9
1525733793,13,7
1525737651,22,13
1525741713,20,10
1525745560,10,5
1525749398,8,8
1525753238,11,10
1525755160,11,10
1525759004,11,13
1525762846,16,30
1525766704,33,34
1525770517,28,15
1525774605,25,10
1525778437,19,18
1525782508,19,12
1525786721,19,8
1525788885,14,8
1525792679,16,12
1525796508,5,12
1525800383,11,4
1525804553,14,3
1525808946,38,7
1525812767,318,15
1525816607,345,5
1525819142,261,16
1525823105,158,14
1525827169,39,16
1525830979,2,9
1525835088,8,4
1525838947,6,16
1525842772,13,9
1525846608,5,9
1525850432,9,14
1525854286,28,31
1525858104,315,19
1525860292,195,21
1525864117,196,17
1525868014,190,16
1525872045,10,20
1525876117,7,10
1525879955,11,18
1525883807,12,6
1525887890,11,8
1525891718,15,15
1525895563,10,16
1525899394,17,153
1525901311,11,180
1525905589,7,224
1525909486,7,174
1525913570,9,39
1525917402,13,5
1525921489,7,5
1525925577,14,10
1525929413,6,9
1525933243,8,8
1525937324,10,7
1525939487,8,18
1525943566,6,381
1525947641,17,304
1525951711,7,341
1525955810,15,296
1525957732,16,8
1525961819,10,12
1525965635,14,5
1525969390,13,14
1525973315,246,8
1525977326,210,11
1525981144,174,6
1525985323,50,17
1525989173,218,13
1525993911,182,5
1525996129,2,4
1526000213,13,13
1526004298,8,11
1526008388,6,8
1526012218,13,11
1526016286,10,7
1526020110,8,9
1526023971,7,12
1526025889,10,7
1526029967,26,6
1526031861,0,1333
1526322775,1335,0
1526324688,28,17
1526326621,35,10
1526328513,15,16
1526331059,39,14
1526333075,28,17
1526334907,18,16
1526336898,44,18
1526338782,28,8
1526340767,20,12
1526342568,16,243
1526344601,31,12
1526346669,44,10
1526348929,45,9
1526350845,27,14
1526352841,29,15
1526354684,24,24
1526356624,28,26
1526358536,38,17
1526360543,31,16
1526362618,43,23
1526364770,54,29
1526366694,37,42
1526368839,56,21
1526370769,51,36
1526372664,32,21
1526374903,64,24
1526376768,48,19
1526378698,40,25
1526380587,42,30
1526382638,59,51
1526384939,64,28
1526387099,59,23
1526388992,39,15
1526391172,30,18
1526393273,32,22
1526395235,35,19
1526397410,47,26
1526399296,30,16
1526401188,27,16
1526403394,30,24
1526405322,35,22
1526407313,35,12
1526409402,33,30
1526411358,48,30
1526413238,62,30
1526415828,55,24
1526417819,71,36
1526419695,15,18
1526421742,46,31
1526423813,31,35
1526425730,31,26
1526427651,18,16
1526429570,20,18
1526431491,18,25
1526433408,30,45
1526435328,30,37
1526437249,22,27
1526439190,38,27
1526441087,27,21
1526443030,38,23
1526444925,36,40
1526446908,28,26
1526448771,32,31
1526450695,19,52
1526452601,35,42
1526454550,46,32
1526456444,46,58
1526458350,48,37
1526460289,52,35
1526462216,43,60
1526464130,36,51
1526466048,32,42
1526467949,31,54
1526469881,28,46
1526471806,27,74
1526473849,42,65
1526475706,42,31
1526477570,34,21
1526479475,38,28
1526481390,46,28
1526483312,49,41
1526485223,35,34
1526487182,24,23
1526489310,44,37
1526491243,28,33
1526493151,20,33
1526495081,20,33
1526497006,24,38
1526498926,16,72
1526500904,22,41
1526502755,18,77
1526504681,26,30
1526506612,29,23
1526508537,32,41
1526511727,37,52
1526513807,32,28
1526515731,36,18
