DateTime,AddedIPs,RemovedIPs
1521481951,1,1
1521483905,0,3
1521485788,2,2
1521487753,2,0
1521490715,1,3
1521492826,1,3
1521494677,1,2
1521496578,0,3
1521498497,0,2
1521500540,0,3
1521502371,0,6
1521504518,2,2
1521506419,1,1
1521510272,1,3
1521512473,1,5
1521514494,0,2
1521516496,1,1
1521518307,3,0
1521524236,3,0
1521526241,3,0
1521532103,0,1
1521533927,1,0
1521539773,1,0
1521541592,0,1
1521543401,1,0
1521545472,1,0
1521549646,1,0
1521551570,0,2
1521553477,2,3
1521555396,0,1
1521559228,0,4
1521561177,0,1
1521563080,0,1
1521564999,1,0
1521566912,0,3
1521570992,1,0
1521573282,0,4
1521577470,0,1
1521579408,2,1
1521581567,2,1
1521585400,1,0
1521587328,2,0
1521589258,1,0
1521591513,1,2
1521593327,2,1
1521595383,0,1
1521599261,2,1
1521601334,3,0
1521603405,1,1
1521605310,1,3
1521609158,1,0
1521610975,1,3
1521612973,0,3
1521616601,1,0
1521620444,0,1
1521622417,3,0
1521626375,0,1
1521630210,2,1
1521632176,3,1
1521634034,1,0
1521636017,2,1
1521639781,0,1
1521641659,0,1
1521651273,1,1
1521653191,1,0
1521654994,3,0
1521657041,3,1
1521666740,0,3
1521668863,0,1
1521670971,4,1
1521672815,0,1
1521675584,1,2
1521677566,0,1
1521679477,0,2
1521685718,1,2
1521687772,0,3
1521689573,1,1
1521691480,0,1
1521695546,0,1
1521697462,0,1
1521701571,0,1
1521709725,0,3
1521715968,0,1
1521717870,0,3
1521719795,0,2
1521721722,1,2
1521723697,1,0
1521727492,1,0
1521733247,5,0
1521737317,2,1
1521739224,1,0
1521741161,0,4
1521743081,0,2
1521744980,2,1
1521746923,2,0
1521748925,2,0
1521754840,1,0
1521756744,4,4
1521760828,0,1
1521766582,2,0
1521770517,3,0
1521772363,3,1
1521774273,1,0
1521776205,3,1
1521780040,2,0
1521781953,1,0
1521783898,1,0
1521785802,1,0
1521787715,1,0
1521791551,1,0
1521793486,1,0
1521807888,0,1
1521811712,0,1
1521815126,2,1
1521816981,2,0
1521818918,0,2
1521821085,2,3
1521823004,3,2
1521824932,0,1
1521826830,4,0
1521828760,3,0
1521830699,1,1
1521832592,1,2
1521834513,2,3
1521836674,1,0
1521838902,1,0
1521842691,4,4
1521845713,0,1
1521847956,2,0
1521851784,2,1
1521853709,1,1
1521855866,2,0
1521857784,3,5
