DateTime,AddedIPs,RemovedIPs
1519757329,1,0
1519771012,1,1
1519777000,1,0
1519786590,1,0
1519796185,0,1
1519806027,1,0
1519819500,1,0
1519830991,1,0
1519843745,1,1
1519855300,1,0
1519862110,0,1
1519872015,1,0
1519874202,1,1
1519881876,1,0
1519883808,1,0
1519893406,0,1
1519897235,1,0
1519906850,0,2
1519908757,1,0
1519912596,1,0
1519916482,0,1
1519930127,1,1
1519941690,0,1
1519958195,0,1
1519969707,1,0
1519971651,0,1
1519973546,1,0
1519981492,1,0
1519983395,0,1
1519987230,1,0
1519992085,1,0
1519993964,0,2
1519999864,0,1
1520015317,1,1
1520019169,1,0
1520028767,1,1
1520032606,1,0
1520040788,1,0
1520056206,0,1
1520059988,0,1
1520067740,0,1
1520073486,0,1
1520079254,0,1
1520101231,1,1
1520108908,0,1
1520116609,0,1
1520120580,0,1
1520122616,1,0
1520126452,0,1
1520143787,1,0
1520145873,2,0
1520165088,1,0
1520180683,1,0
1520186508,1,0
1520188353,0,1
1520208546,0,1
1520225840,1,0
1520229762,0,1
1520231846,0,1
1520233773,0,1
1520251017,0,1
1520266865,0,1
1520272690,0,1
1520276761,1,0
1520290599,1,0
1520304327,1,0
1520312000,0,1
1520327809,1,0
1520331644,1,0
1520345419,0,1
1520362878,0,1
1520376513,0,1
1520385462,1,0
1520414186,0,1
1520416343,1,0
1520429796,0,1
1520431708,1,0
1520455965,1,0
1520461958,0,1
1520467991,1,0
1520472080,0,1
1520507787,1,0
1520517889,0,1
1520523997,1,0
1520533949,1,0
1520541621,0,1
1520553142,0,1
1520564682,1,0
1520570419,1,0
1520581940,1,0
1520583879,0,1
1520585791,2,0
1520593725,0,1
1520609548,0,1
1520611469,1,0
1520621086,1,1
1520630668,1,0
1520643158,1,0
1520649287,1,0
1520651309,0,1
1520655438,0,1
1520668895,0,1
1520670783,0,1
1520672669,0,1
1520697703,0,1
1520707487,0,1
1520722640,1,0
1520730996,0,1
1520737003,0,1
1520787955,1,0
1520796046,1,0
1520801792,0,1
1520809478,0,1
1520828932,1,0
1520842352,3,0
1520846443,2,0
1520848377,1,0
1520854103,4,0
1520856084,6,0
1520869719,2,0
1520873787,0,1
1520882680,1,1
1520892106,1,0
1520902105,1,0
1520904021,2,0
1520916030,0,1
1520919878,1,0
1520927575,0,3
1520929498,1,0
1520931387,0,1
1520933305,0,2
1520941005,0,9
1520942911,0,1
1520954427,2,0
1520956344,0,2
1520968133,1,0
1520978185,0,1
1520987783,1,1
1520989719,0,2
1520991622,1,0
1520999303,0,1
1521001229,1,0
1521005069,0,1
1521012766,1,0
1521016611,0,1
1521026440,1,0
1521028350,1,0
1521039987,1,0
1521041799,2,2
1521043628,1,0
1521047491,1,0
1521049458,1,0
1521055115,1,0
1521062828,1,0
1521074862,1,1
1521076820,0,1
1521084502,1,0
1521088339,0,1
1521092180,1,0
1521094114,1,0
1521099861,1,1
1521109465,0,1
1521113297,0,1
1521125012,0,1
1521127234,1,2
1521129179,0,1
1521131075,0,1
1521133324,0,1
1521135160,0,1
1521142826,0,1
1521160638,0,1
1521162687,1,0
1521170664,0,1
1521178359,0,2
1521180302,0,1
1521186024,0,1
1521216993,1,0
1521238132,1,0
1521241906,0,2
1521249439,0,1
1521253443,1,0
1521261309,1,0
1521295834,1,0
1521297640,1,0
1521303524,1,1
1521320926,2,0
1521325007,0,1
1521326947,1,0
1521334576,1,0
1521338491,0,1
1521348291,0,1
1521367950,1,0
1521381380,0,1
1521389075,0,1
1521406583,0,2
1521413737,0,2
1521421444,1,1
1521445000,1,0
1521452925,2,0
1521454830,0,1
1521458670,1,0
1521460596,1,0
1521466354,1,0
1521468289,1,0
1521472124,1,0
1521475966,1,0
1521487753,1,0
1521508345,0,1
1521522165,1,0
1521524236,1,0
1521532103,0,1
1521537858,1,1
1521539774,0,1
1521545473,0,1
1521547279,0,1
1521553144,0,1
1521555185,0,1
1521558978,0,1
1521566655,2,1
1521570536,1,0
1521574355,0,1
1521578176,1,0
1521581063,3,0
1521582984,1,0
1521589947,1,0
1521593775,1,0
1521595734,1,0
1521597695,1,0
1521601727,2,0
1521605547,1,0
1521607464,0,1
1521609397,2,0
1521611310,1,1
1521613221,1,0
1521617063,1,0
1521618994,2,0
1521620900,2,0
1521624745,2,1
1521626686,2,0
1521628581,2,0
1521634372,1,0
1521636271,1,0
1521645875,1,0
1521653550,0,2
1521657401,0,1
1521661248,1,0
1521665073,0,1
1521667080,0,3
1521672815,0,1
1521677566,0,1
1521679477,0,1
1521682433,0,1
1521685718,0,1
1521687772,0,2
1521693631,1,1
1521695546,0,2
1521697462,0,1
1521699393,0,1
1521703635,0,1
1521705875,1,2
1521707804,0,2
1521709725,0,1
1521711888,0,2
1521713787,0,3
1521715968,1,0
1521721723,0,2
1521723697,1,0
1521733248,0,1
1521746923,0,1
1521752928,1,0
1521762762,1,0
1521772363,1,0
1521778125,0,1
1521791552,0,1
1521793486,1,0
1521801879,0,1
1521807888,1,0
1521809791,0,1
1521840751,0,1
1521845713,1,0
1521857784,0,1
1521871472,0,1
1521879388,0,1
1521883227,2,0
1521894750,0,1
1521929546,0,1
1521962912,0,2
1521977051,1,0
1522028427,1,0
1522032285,1,0
1522047886,1,0
1522055592,3,0
1522065147,0,1
1522070905,1,0
1522084607,1,0
1522092274,1,0
1522094204,2,0
1522096113,1,0
1522104532,1,0
1522112244,2,0
1522118178,0,1
1522131860,1,0
1522133776,0,1
1522137722,0,1
1522145327,0,1
1522147944,0,2
1522157964,0,1
1522170096,0,1
1522175791,1,0
1522179635,0,2
1522181569,0,2
1522189664,1,0
1522191815,0,1
1522193790,1,0
1522197627,0,1
1522199556,0,1
1522214301,2,0
1522217580,0,1
1522241096,0,1
1522243438,1,0
1522276489,0,1
1522278335,0,1
1522282527,0,1
1522298209,0,2
1523452601,1,0
1523538304,0,1
1523587479,1,0
1523647722,1,0
1523675799,0,1
1523685400,1,0
1523733406,0,1
1523769876,0,1
1524100364,1,0
1524123322,0,0
1524186051,0,1
1524299556,1,0
1524349971,1,0
1524386682,0,1
1524435157,0,1
1524591866,1,0
1524677824,0,1
1525682919,1,0
1525792680,0,1
1525859805,1,0
1525945815,0,1
1525977632,1,0
1526004299,1,0
1526031862,0,2
1526322777,19,0
1526331060,2,0
1526333076,1,0
1526334908,1,0
1526336899,0,1
1526346670,1,0
1526348930,3,1
1526356625,0,1
1526360544,1,0
1526362619,0,1
1526364771,1,0
1526366695,0,1
1526378699,0,1
1526380588,0,1
1526388993,0,1
1526393274,2,1
1526395236,1,0
1526397411,1,0
1526399297,1,0
1526401189,1,0
1526411361,0,1
1526413239,1,0
1526417820,0,3
1526421743,2,0
1526425731,1,0
1526427652,1,1
1526431492,1,1
1526433409,1,0
1526435329,0,3
1526439192,3,0
1526443031,0,1
1526444926,1,0
1526446909,1,0
1526448772,0,1
1526450696,1,1
1526454551,1,0
1526462217,1,0
1526464131,1,0
1526471807,1,0
1526475707,0,1
1526477572,0,1
1526479476,1,1
1526481392,1,0
1526487183,0,1
1526493152,1,0
1526497007,1,0
1526498927,1,0
1526508539,0,1
1526511729,0,1
1526513808,1,1
1526517645,1,1
1526525328,0,2
1526527239,0,1
1526531088,0,2
1526533005,0,1
1526536910,1,1
1526542583,1,1
1526544535,1,0
1526546445,1,0
1526550274,0,1
1526554099,0,1
1526557963,0,1
1526560108,1,0
1526562092,1,0
1526568020,0,1
1526574038,0,1
1526575954,2,0
1526577884,0,1
