DateTime,AddedIPs,RemovedIPs
1525253823,10,3
1525255749,8,8
1525260596,8,3
1525264511,14,10
1525268454,16,8
1525272405,18,10
1525276424,15,9
1525280610,2,4
1525284459,4,2
1525288296,4,4
1525292143,1,1
1525294363,5,2
1525298206,4,8
1525302559,4,1
1525306389,3,4
1525310210,5,3
1525314299,6,3
1525316453,4,3
1525320306,5,3
1525324141,4,4
1525327982,3,4
1525331883,4,3
1525335668,4,5
1525339755,4,9
1525343580,14,11
1525347413,6,6
1525351499,8,11
1525355324,8,14
1525359090,1,17
1525363264,7,12
1525365183,3,3
1525369024,2,3
1525372840,1,3
1525376923,6,4
1525381009,2,3
1525385093,3,4
1525389129,2,3
1525393007,1,3
1525395160,1,3
1525399255,1,7
1525403335,1,4
1525407387,2,6
1525411017,3,2
1525415094,6,4
1525417186,7,6
1525421066,3,3
1525425040,6,0
1525428855,15,5
1525432752,5,8
1525436697,14,14
1525440764,13,8
1525444761,4,4
1525448920,7,11
1525452994,0,2
1525456857,4,1
1525460933,2,3
1525465028,7,2
1525469102,2,3
1525471017,1,4
1525475438,1,2
1525479295,5,2
1525483203,2,1
1525487210,0,1
1525489487,3,1
1525493336,1,2
1525497182,1,5
1525501007,6,5
1525504844,2,7
1525508913,12,7
1525513251,5,7
1525517079,7,9
1525521163,2,6
1525525017,6,10
1525528861,4,9
1525532941,5,7
1525536812,6,8
1525540624,2,0
1525544437,5,4
1525548299,3,3
1525552147,4,7
1525555980,2,4
1525559822,5,1
1525562071,3,1
1525566036,0,5
1525570115,2,0
1525574227,1,0
1525578261,2,5
1525582362,7,1
1525586441,3,3
1525590529,7,2
1525592676,2,5
1525596524,6,15
1525600377,8,9
1525604208,9,2
1525608054,1,4
1525611899,1,5
1525615977,7,4
1525619822,5,7
1525623900,4,4
1525625812,3,2
1525629862,2,5
1525634938,5,4
1525638761,0,2
1525640699,4,1
1525644549,1,5
1525648380,4,4
1525652219,6,0
1525656054,2,3
1525659886,0,1
1525663723,5,2
1525667581,4,6
1525671422,12,3
1525675255,4,3
1525679091,20,3
1525682920,16,6
1525686757,6,5
1525690591,7,14
1525694448,6,5
1525698287,7,1
1525702126,7,7
1525705970,5,4
1525710339,6,4
1525714375,0,4
1525718222,4,7
1525722050,4,1
1525725889,4,3
1525729739,3,1
1525733795,4,1
1525737652,7,8
1525741715,10,5
1525745561,3,1
1525749399,2,4
1525753239,3,3
1525755161,4,8
1525759005,4,6
1525762847,4,9
1525766705,2,21
1525770518,7,12
1525774606,11,5
1525778438,8,8
1525782509,12,7
1525786722,7,6
1525790687,13,7
1525794529,3,4
1525798485,3,3
1525802207,6,2
1525806773,1,6
1525808947,1,2
1525812768,1,3
1525816609,4,4
1525821168,4,3
1525825275,2,7
1525829090,3,12
1525832903,1,3
1525835090,4,3
1525838949,0,4
1525842774,5,4
1525846610,6,3
1525850433,6,3
1525854287,4,4
1525858105,5,5
1525862232,8,11
1525865945,4,5
1525869866,3,8
1525873965,8,6
1525878054,2,16
1525881915,6,2
1525885830,3,6
1525889821,2,3
1525893638,3,0
1525897479,3,2
1525901312,4,3
1525905590,0,4
1525909488,1,5
1525913571,4,1
1525917403,2,3
1525919569,1,4
1525923662,4,2
1525927494,5,4
1525931325,4,5
1525935405,5,4
1525939488,4,7
1525943567,4,0
1525947642,9,10
1525951712,8,3
1525955811,10,4
1525957733,10,7
1525961820,7,5
1525965636,3,0
1525969391,5,7
1525973316,6,3
1525977327,9,2
1525981145,3,1
1525985325,3,4
1525989174,1,4
1525993912,4,1
1525996130,1,0
1526000214,1,4
1526004299,3,3
1526008389,2,1
1526012219,8,2
1526016287,5,3
1526020111,3,5
1526023972,5,6
1526025890,7,4
1526029968,12,4
1526031862,0,142
1526322777,579,0
1526324689,6,3
1526326623,5,2
1526328514,4,8
1526331060,9,4
1526333076,8,6
1526334908,4,8
1526336899,10,0
1526338784,7,2
1526340769,4,2
1526342569,8,249
1526344602,8,3
1526346670,8,3
1526348930,11,3
1526350846,8,5
1526352843,11,3
1526354685,8,3
