DateTime,AddedIPs,RemovedIPs
1521809792,0,2
1521811714,0,1
1521815127,0,2
1521816982,1,1
1521818919,2,1
1521821086,1,0
1521823005,1,3
1521824934,0,1
1521826831,0,2
1521828761,2,1
1521830703,0,1
1521832593,1,1
1521834514,1,2
1521836675,0,1
1521838903,0,1
1521840752,0,1
1521842692,1,0
1521845714,3,1
1521847957,1,2
1521849881,1,0
1521851785,1,1
1521853710,0,1
1521855868,2,1
1521857785,0,2
1521859713,0,3
1521861615,0,3
1521863550,1,3
1521865457,1,1
1521867499,0,1
1521869544,0,2
1521871473,2,8
1521873629,1,0
1521875562,2,3
1521877483,2,1
1521879388,1,0
1521881326,1,1
1521883228,0,1
1521885162,1,1
1521887079,0,1
1521890909,0,2
1521892928,0,1
1521894751,1,0
1521896691,4,0
1521902427,1,1
1521904357,0,1
1521906279,1,1
1521908203,1,1
1521910112,0,1
1521914201,0,1
1521916105,1,1
1521918081,2,1
1521919965,1,1
1521925714,1,0
1521929547,0,1
1521931465,0,2
1521933401,1,1
1521935304,0,2
1521937232,2,0
1521939141,1,1
1521941078,1,2
1521942984,2,0
1521944916,1,0
1521946941,2,0
1521951157,1,2
1521956918,1,2
1521961104,0,3
1521962912,2,2
1521971558,3,3
1521978269,2,0
1521984811,3,5
1521988714,0,1
1521994417,0,2
1522005727,1,2
1522010769,0,1
1522012585,1,0
1522014752,1,0
1522016679,3,0
1522018576,2,1
1522020768,3,0
1522022690,0,2
1522024580,1,1
1522026514,1,1
1522028428,1,1
1522030361,0,2
1522032286,3,2
1522034202,2,2
1522038038,1,1
1522039945,1,0
1522041997,0,1
1522044090,2,1
1522046043,2,0
1522047887,6,0
1522049789,4,2
1522051701,1,0
1522053619,1,0
1522055593,8,1
1522057468,1,1
1522059413,1,0
1522061384,2,0
1522063227,4,1
1522065148,1,1
1522067067,2,1
1522068937,1,0
1522070906,2,1
1522073081,1,1
1522075007,1,0
1522076929,3,0
1522080868,1,0
1522082682,2,0
1522084608,1,0
1522086526,0,2
1522092275,0,1
1522094205,2,0
1522098250,0,1
1522100298,0,1
1522102404,2,1
1522104534,3,2
1522107855,1,3
1522110141,0,1
1522112245,3,0
1522114098,1,2
1522116285,3,0
1522118179,2,1
1522120108,0,3
1522122038,1,1
1522123966,0,1
1522125885,1,0
1522127806,1,1
1522129725,2,0
1522131861,3,3
1522133777,3,5
1522135716,0,3
1522137722,2,3
1522139559,6,1
1522141478,1,5
1522143405,2,2
1522145328,1,2
1522147945,2,3
1522149873,4,3
1522152126,6,1
1522154156,1,2
1522156096,2,1
1522157965,3,2
1522160203,2,2
1522162122,1,1
1522164034,3,3
1522166217,0,1
1522168107,1,2
1522170097,1,0
1522171957,5,1
1522173893,2,0
1522175792,1,0
1522177728,1,1
1522179636,1,1
1522181571,1,1
1522183481,2,0
1522185408,1,0
1522189666,0,2
1522191817,1,3
1522193791,2,1
1522195722,2,0
1522197628,1,2
1522199557,1,1
1522201736,2,2
1522204197,0,3
1522206287,5,0
1522208397,0,1
1522214303,4,2
1522216783,0,3
1522219713,3,4
1522221770,1,1
1522223624,3,2
1522241097,6,48
1522243439,22,0
1522246765,0,6
1522249723,0,3
1522251628,0,1
1522276490,0,17
1522278336,0,1
1522282528,0,3
1522286697,0,4
1522288602,0,2
1522292444,0,2
1522296297,0,4
1522300119,0,1
1522303964,0,2
1522307797,0,4
1522311640,0,4
1522323163,0,3
1522325059,0,2
1523313880,1,0
1523329492,1,0
1523370040,1,0
1523401727,1,0
1523405558,0,1
1523415642,1,1
1523423320,1,0
1523456432,0,1
1523488151,0,1
1523502042,0,1
1523507811,0,1
1523753804,1,0
1523776614,0,1
1524080609,1,0
1524123323,0,0
1524166603,0,1
1524604136,1,0
1524693639,0,1
1524789893,1,0
