DateTime,AddedIPs,RemovedIPs
1524898861,5,12
1524902687,2,0
1524906536,4,1
1524910366,3,3
1524914208,3,4
1524918052,1,0
1524921877,6,0
1524925954,1,0
1524930063,12,3
1524933896,3,3
1524937719,1,2
1524941559,5,2
1524945411,1,0
1524949273,1,1
1524953083,5,1
1524957150,0,1
1524960993,2,0
1524964824,0,4
1524967007,2,4
1524970841,7,5
1524974679,1,6
1524978513,2,1
1524982372,1,0
1524986184,1,4
1524990027,2,2
1524993869,2,3
1524997726,3,4
1525001573,14,2
1525005416,1,2
1525007340,2,6
1525011174,2,1
1525015248,1,11
1525019381,0,4
1525023432,0,1
1525027722,6,4
1525031815,1,1
1525036087,2,2
1525038024,1,5
1525041865,1,0
1525045699,3,2
1525053660,1,1
1525057481,4,6
1525061319,2,1
1525065179,2,3
1525069025,1,1
1525072833,1,0
1525076673,2,3
1525080521,4,2
1525084603,0,3
1525086522,1,15
1525090365,1,0
1525094522,4,2
1525098288,0,2
1525105963,1,0
1525109797,1,0
1525113637,2,6
1525117483,0,1
1525122225,17,3
1525126391,3,2
1525134057,3,3
1525137897,2,0
1525141746,0,2
1525145603,0,3
1525149461,2,4
1525153312,1,1
1525157114,3,1
1525160951,5,1
1525164852,1,3
1525168645,1,1
1525172632,2,3
1525176760,3,0
1525180602,2,5
1525184569,3,0
1525186600,2,0
1525190428,1,0
1525194273,0,2
1525198550,1,1
1525202684,0,1
1525206508,2,2
1525210368,1,17
1525218331,1,2
1525222168,0,1
1525226083,4,2
1525229872,1,0
1525233835,1,0
1525237988,3,2
1525241822,3,1
1525245628,1,4
1525249740,1,5
1525253825,1,0
1525255751,1,1
1525260598,3,2
1525264513,2,4
1525268456,0,4
1525272407,2,1
1525276426,1,2
1525280612,1,0
1525284460,1,1
1525288297,1,0
1525292145,1,0
1525294365,0,3
1525298208,1,0
1525302561,4,2
1525306391,2,0
1525314301,1,4
1525316456,3,1
1525320309,3,2
1525324143,7,2
1525327984,0,3
1525331885,1,1
1525335671,1,1
1525339757,3,1
1525343582,4,2
1525347415,0,2
1525351501,2,2
1525355326,1,1
1525359092,2,1
1525363266,2,1
1525365186,3,1
1525369026,0,1
1525372842,0,1
1525376925,2,1
1525381011,2,0
1525385095,1,1
1525389131,3,3
1525393010,3,1
1525395162,0,1
1525399257,4,1
1525403338,2,3
1525407389,3,3
1525411019,0,4
1525415096,1,3
1525417188,2,0
1525421068,3,2
1525425043,2,2
1525428857,2,4
1525432754,1,0
1525436700,2,2
1525440766,0,2
1525444763,1,1
1525448922,4,3
1525452996,2,1
1525460935,1,0
1525469104,0,1
1525471019,1,2
1525475440,2,4
1525479297,2,5
1525483205,4,1
1525487212,2,3
1525489489,4,2
1525493338,0,3
1525497184,2,0
1525501009,0,3
1525504846,0,1
1525508914,1,2
1525513253,6,3
1525517081,2,1
1525521165,0,1
1525525019,2,2
1525528863,1,2
1525532943,1,2
1525536814,1,2
1525540626,0,2
1525548301,0,1
1525552149,1,1
1525559825,2,1
1525562073,1,2
1525566038,3,2
1525570117,1,3
1525574229,3,5
1525578263,2,2
1525582364,0,1
1525586443,2,0
1525590532,2,0
1525592678,0,1
1525596526,1,2
1525600379,2,4
1525604210,2,2
1525608056,1,0
1525611901,1,2
1525615979,0,1
1525619824,0,2
1525623902,2,0
1525625815,2,0
1525638762,1,0
1525640701,0,1
1525644551,2,1
1525648382,1,2
1525652221,0,3
1525656056,2,1
1525659888,1,2
1525663724,2,2
1525667584,3,0
1525671424,0,2
1525675258,2,2
1525679093,2,0
1525682922,2,2
1525686759,3,2
1525690593,4,2
1525694451,4,1
1525698289,0,1
1525702128,1,0
1525710342,1,2
1525714377,0,1
1525718224,0,1
1525722052,1,0
1525725891,1,1
1525729740,3,3
1525733796,1,1
1525737653,3,0
1525741716,3,1
1525745563,3,1
1525749401,0,1
1525753240,0,2
1525755163,0,2
1525759006,2,0
1525762848,1,2
1525766707,1,2
1525770520,0,3
1525774607,0,3
1525778440,0,3
1525782510,0,4
1525786724,0,1
1525790689,1,1
1525794531,1,1
1525802209,2,0
1525808949,0,1
1525812769,1,1
1525816611,1,2
