DateTime,Entries,UniqueIPs
1524898861,46,46
1524902687,48,48
1524906536,51,51
1524910366,51,51
1524914208,50,50
1524918052,51,51
1524921877,57,57
1524925954,58,58
1524930063,67,67
1524933896,67,67
1524937719,66,66
1524941559,69,69
1524945411,70,70
1524949273,70,70
1524953083,74,74
1524957150,73,73
1524960993,75,75
1524964824,71,71
1524967007,69,69
1524970841,71,71
1524974679,66,66
1524978513,67,67
1524982372,68,68
1524986184,65,65
1524990027,65,65
1524993869,64,64
1524997726,63,63
1525001573,75,75
1525005416,74,74
1525007340,70,70
1525011174,71,71
1525015248,61,61
1525019381,57,57
1525023432,56,56
1525027722,58,58
1525031815,58,58
1525036087,58,58
1525038024,54,54
1525041865,55,55
1525045699,56,56
1525053660,56,56
1525057481,54,54
1525061319,55,55
1525065179,54,54
1525069025,54,54
1525072833,55,55
1525076673,54,54
1525080521,56,56
1525084603,53,53
1525086522,39,39
1525090365,40,40
1525094522,42,42
1525098288,40,40
1525105963,41,41
1525109797,42,42
1525113637,38,38
1525117483,37,37
1525122225,51,51
1525126391,52,52
1525134057,52,52
1525137897,54,54
1525141746,52,52
1525145603,49,49
1525149461,47,47
1525153312,47,47
1525157114,49,49
1525160951,53,53
1525164852,51,51
1525168645,51,51
1525172632,50,50
1525176760,53,53
1525180602,50,50
1525184569,53,53
1525186600,55,55
1525190428,56,56
1525194273,54,54
1525198550,54,54
1525202684,53,53
1525206508,53,53
1525210368,37,37
1525218331,36,36
1525222168,35,35
1525226083,37,37
1525229872,38,38
1525233835,39,39
1525237988,40,40
1525241822,42,42
1525245628,39,39
1525249740,35,35
1525253825,36,36
1525255751,36,36
1525260598,37,37
1525264513,35,35
1525268456,31,31
1525272407,32,32
1525276426,31,31
1525280612,32,32
1525284460,32,32
1525288297,33,33
1525292145,34,34
1525294365,31,31
1525298208,32,32
1525302561,34,34
1525306391,36,36
1525314301,33,33
1525316456,35,35
1525320309,36,36
1525324143,41,41
1525327984,38,38
1525331885,38,38
1525335671,38,38
1525339757,40,40
1525343582,42,42
1525347415,40,40
1525351501,40,40
1525355326,40,40
1525359092,41,41
1525363266,42,42
1525365186,44,44
1525369026,43,43
1525372842,42,42
1525376925,43,43
1525381011,45,45
1525385095,45,45
1525389131,45,45
1525393010,47,47
1525395162,46,46
1525399257,49,49
1525403338,48,48
1525407389,48,48
1525411019,44,44
1525415096,42,42
1525417188,44,44
1525421068,45,45
1525425043,45,45
1525428857,43,43
1525432754,44,44
1525436700,44,44
1525440766,42,42
1525444763,42,42
1525448922,43,43
1525452996,44,44
1525460935,45,45
1525469104,44,44
1525471019,43,43
1525475440,41,41
1525479297,38,38
1525483205,41,41
1525487212,40,40
1525489489,42,42
1525493338,39,39
1525497184,41,41
1525501009,38,38
1525504846,37,37
1525508914,36,36
1525513253,39,39
1525517081,40,40
1525521165,39,39
1525525019,39,39
1525528863,38,38
1525532943,37,37
1525536814,36,36
1525540626,34,34
1525548301,33,33
1525552149,33,33
1525559825,34,34
1525562073,33,33
1525566038,34,34
1525570117,32,32
1525574229,30,30
1525578263,30,30
1525582364,29,29
1525586443,31,31
1525590532,33,33
1525592678,32,32
1525596526,31,31
1525600379,29,29
1525604210,29,29
1525608056,30,30
1525611901,29,29
1525615979,28,28
1525619824,26,26
1525623902,28,28
1525625815,30,30
1525638762,31,31
1525640701,30,30
1525644551,31,31
1525648382,30,30
1525652221,27,27
1525656056,28,28
1525659888,27,27
1525663724,27,27
1525667584,30,30
1525671424,28,28
1525675258,28,28
1525679093,30,30
1525682922,30,30
1525686759,31,31
1525690593,33,33
1525694451,36,36
1525698289,35,35
1525702128,36,36
1525710342,35,35
1525714377,34,34
1525718224,33,33
1525722052,34,34
1525725891,34,34
1525729740,34,34
1525733796,34,34
1525737653,37,37
1525741716,39,39
1525745563,41,41
1525749401,40,40
1525753240,38,38
1525755163,36,36
1525759006,38,38
1525762848,37,37
1525766707,36,36
1525770520,33,33
1525774607,30,30
1525778440,27,27
1525782510,23,23
1525786724,22,22
1525790689,22,22
1525794531,22,22
1525802209,24,24
1525808949,23,23
1525812769,23,23
1525816611,22,22
1525821169,20,20
1525825277,17,17
1525829092,15,15
1525832904,13,13
1525835091,14,14
1525842775,15,15
1525846612,14,14
1525850435,14,14
1525854289,15,15
1525862234,16,16
1525873967,17,17
1525878056,16,16
1525881917,17,17
1525885832,18,18
1525889823,17,17
1525893640,18,18
1525901313,17,17
1525905591,18,18
1525913573,19,19
1525917405,19,19
1525919570,18,18
1525923664,18,18
1525927496,19,19
1525931327,21,21
1525935407,20,20
