DateTime,AddedIPs,RemovedIPs
1519490918,1,0
1519500453,0,1
1519510098,1,0
1519513388,1,0
1519519473,0,1
1519525483,1,1
1519529315,1,0
1519548770,1,0
1519556648,1,0
1519571919,0,1
1519573720,0,1
1519576038,0,1
1519578119,1,0
1519588133,1,0
1519596095,0,1
1519600107,0,1
1519605946,1,0
1519612097,0,1
1519614081,0,1
1519635408,0,1
1519643094,0,1
1519648835,1,0
1519658910,1,0
1519665129,0,1
1519674752,0,1
1519693969,0,1
1519699928,1,0
1519723498,1,0
1519734050,0,1
1519735883,1,0
1519746276,0,1
1519759242,2,0
1519765295,1,0
1519786592,1,1
1519792357,1,0
1519809885,0,1
1519815682,1,0
1519821386,0,1
1519825245,2,0
1519833753,1,0
1519845751,0,2
1519851411,0,1
1519855302,1,0
1519872017,0,1
1519878037,0,1
1519897237,2,0
1519903003,0,1
1519908759,1,0
1519912597,0,2
1519918354,0,1
1519928210,1,0
1519932039,2,0
1519941692,0,1
1519944531,1,0
1519958197,1,0
1519969708,1,0
1519979558,1,0
1519981494,1,0
1519983397,0,2
1519992086,1,0
1519993965,0,1
1520015318,0,1
1520019171,0,2
1520030662,0,1
1520044634,0,1
1520056207,0,1
1520059989,1,0
1520065819,0,1
1520067741,0,1
1520077335,0,1
1520132237,1,0
1520143789,1,0
1520145875,1,1
1520170879,1,0
1520192433,3,0
1520218154,0,1
1520231848,0,2
1520256817,0,1
1520274706,1,0
1520276763,1,0
1520278608,0,3
1520286776,1,0
1520323971,3,0
1520325881,1,0
1520329717,2,0
1520331646,1,0
1520358774,1,0
1520360910,0,1
1520362880,1,1
1520370774,3,0
1520372662,0,1
1520376515,1,0
1520399797,1,0
1520411310,0,3
1520413301,0,1
1520415160,0,1
1520417326,0,2
1520446457,0,1
1520448276,0,1
1520455967,1,0
1520457863,0,3
1520463869,0,1
1520475940,1,0
1520485583,0,1
1520507789,1,0
1520523998,1,0
1520530115,1,0
1520541622,0,1
1520562789,0,1
1520595619,0,1
1520601375,1,0
1520611471,0,1
1520615310,0,1
1520619145,1,0
1520632598,1,0
1520655440,1,0
1520686151,0,1
1520705550,0,1
1520718891,0,1
1520738916,0,1
1520806123,3,0
1520864336,1,0
1520877399,1,0
1520883320,1,0
1520885294,1,0
1520889880,2,0
1520893968,0,3
1520911943,1,0
1520925632,2,0
1520931388,1,0
1520937156,3,0
1520948694,1,0
1520950602,2,0
1520952526,1,1
1520954429,2,0
1520956345,1,0
1520958274,3,0
1520960216,1,0
1520962113,5,0
1520964078,3,1
1520966038,2,0
1520968134,0,1
1520972437,0,1
1520976279,0,2
1520995464,2,0
1520999304,0,1
1521012767,0,2
1521018529,2,1
1521020445,1,0
1521024530,0,3
1521026442,1,0
1521036187,0,1
1521038178,2,2
1521039989,1,2
1521041801,0,2
1521043630,0,2
1521045480,0,2
1521047493,0,3
1521049460,2,3
1521051276,2,3
1521053313,0,1
1521055117,5,0
1521056990,2,0
1521058926,3,0
1521060765,1,0
1521062830,3,0
1521064896,1,0
1521066745,3,0
1521068547,3,0
1521071090,4,0
1521072989,1,0
1521074863,2,0
1521076822,1,0
1521078749,3,0
1521080698,2,0
1521082567,2,2
1521084504,1,0
1521086368,3,0
1521088340,1,0
1521092181,6,0
1521094116,1,0
1521096017,1,0
1521105482,0,2
1521107560,2,1
1521113299,0,1
1521125013,0,2
1521127235,0,1
1521137111,0,4
1521140922,0,4
1521142827,0,3
1521144752,0,3
1521146678,0,1
1521148598,0,2
1521150509,0,1
1521152437,0,2
1521154356,0,5
1521156435,0,4
1521158562,0,1
1521160639,0,1
1521162688,1,2
1521164996,0,2
1521166833,0,2
1521168796,0,3
1521170665,0,1
1521172645,0,2
1521174503,0,2
1521176535,1,0
1521178361,0,6
1521180303,0,1
1521182191,0,1
1521187999,1,0
1521193708,0,2
1521201483,1,0
1521205285,1,0
1521224681,1,0
1521241908,1,0
1521249440,0,1
1521261311,0,1
1521274581,0,1
1521278436,1,0
1521282275,1,0
1521288135,0,1
1521291995,0,1
1521299698,1,0
1521311194,0,1
1521328895,0,1
1521360273,1,0
1521364127,0,1
1521369876,0,1
1521375638,1,0
1521387152,0,1
1521439309,1,0
1521446909,0,1
1521449091,1,0
1521462509,0,1
1521477890,2,0
1521526243,0,1
1521532105,4,0
1521535935,0,1
1521543406,1,0
1521560815,3,0
1521562817,0,2
1521615170,1,0
1521618996,0,4
1521620902,1,0
1521630532,0,1
1521636273,1,0
1521642039,2,0
1521647804,0,3
1521701573,0,1
1521707807,0,1
1521721725,0,1
1521727494,0,2
1521730458,1,0
1521811714,1,0
1521816983,0,1
1521842693,1,0
1521855868,1,0
1521859713,1,0
1521892929,1,0
1521898588,0,1
1521904357,1,0
1521906280,1,0
1521908204,1,0
1521910112,1,0
1521912271,1,0
1521914202,1,0
1521929547,0,1
1521941079,0,1
1521946942,0,1
1521951157,1,0
1521978269,0,1
1521994418,0,3
1521996260,0,1
1521998252,0,1
1522000064,0,1
1522032286,0,1
1522047381,1,0
1522054106,1,0
1522073082,3,0
1522078843,1,0
1522096115,1,0
1522104535,1,0
1522107856,3,0
1522131861,1,0
1522133777,2,1
1522135716,1,0
1522139560,1,1
1522149874,2,0
1522152127,2,0
1522154157,2,0
1522157965,0,3
1522162122,4,0
1522164034,1,1
1522181571,0,1
1522189666,1,1
1522193792,1,3
1522195723,1,0
1522220275,0,3
1522223625,0,1
1522241098,1,12
1522243439,5,0
1522249724,0,4
1522251629,0,1
1522278336,0,1
1522282530,0,2
1522325060,0,1
1523307097,0,0
1526322779,24,0
1526324691,2,0
1526326624,2,0
1526328515,3,0
1526331062,1,0
1526333078,1,0
1526336901,1,0
1526342571,1,0
1526344604,0,1
1526350848,1,0
1526352898,1,0
1526357775,4,0
1526362085,2,1
1526364285,2,0
1526366198,1,1
1526368118,1,0
1526369959,2,1
1526371938,0,2
1526373989,3,3
1526375812,2,1
1526377864,2,1
1526379854,1,1
1526381707,1,1
1526383608,1,3
1526385707,1,1
1526389368,0,1
1526391175,2,0
1526393277,4,0
1526395238,3,1
1526397413,1,0
1526399299,1,0
1526401191,2,2
1526403397,3,2
1526405325,2,0
1526407316,1,1
1526411364,1,2
1526413241,3,2
1526415832,2,4
1526417823,1,1
1526419699,1,0
1526421745,2,0
1526423816,0,1
1526429573,0,1
1526431494,1,0
1526433411,4,0
1526437252,2,1
1526439194,9,1
1526441091,1,0
1526443033,5,2
1526444929,0,2
1526448775,1,2
1526450698,2,2
1526452604,3,1
1526454553,2,1
1526456447,3,2
1526458353,7,0
1526460292,0,3
1526462219,1,2
1526464133,2,2
1526466051,0,1
1526467952,1,1
1526469885,2,1
1526471809,1,1
1526473852,1,0
1526475709,2,0
1526477574,3,2
1526479478,7,4
1526481393,3,2
1526483315,5,2
1526485226,1,1
1526487185,4,1
1526489313,1,3
1526491246,1,3
1526495084,0,1
1526498929,0,4
1526500908,0,1
1526502758,0,1
1526504684,1,1
1526506615,1,2
1526508542,0,1
1526511732,3,0
1526517647,0,1
1526519572,0,2
1526521468,0,2
1526523419,0,2
1526525330,0,7
1526527241,0,3
1526529170,0,4
1526531089,0,1
1526534913,0,1
1526536912,1,2
1526538768,0,2
1526540692,0,3
1526542584,0,3
1526544537,1,7
1526548373,0,1
1526550276,1,1
1526552211,0,1
1526554101,2,1
1526556046,1,2
1526557965,3,1
1526560110,5,1
1526562094,8,2
1526564210,8,6
1526566105,4,5
1526568022,1,3
1526569947,1,4
1526571862,0,2
1526574039,0,4
1526575956,0,1
1526591315,0,1
1526593241,1,1
1526597948,0,2
1526599963,0,1
1526609620,1,0
1526611466,1,0
1526615342,1,0
1526619164,1,0
1526622987,0,1
1526628848,2,0
1526630718,1,1
1526636469,1,1
1526638371,1,0
1526640339,3,2
1526642209,2,1
1526644175,3,1
1526646364,8,7
1526648544,3,8
1526650364,2,8
1526652293,3,4
1526654177,3,1
1526656404,0,1
1526658259,3,0
1526660446,1,0
1526662344,4,0
1526666209,2,0
1526670273,4,0
1526674138,1,0
1526676069,4,0
1526679876,0,1
1526685886,1,0
1526695977,2,1
1526697893,0,1
1526699815,1,0
1526701728,0,1
1526705570,1,1
1526713319,1,0
1526715151,1,2
1526717089,0,1
1526720936,1,0
1526722846,0,1
1526724756,0,1
1526726692,0,3
1526728609,0,2
1526730520,0,3
1526732456,0,6
1526734607,0,5
1526736529,0,1
