DateTime,AddedIPs,RemovedIPs
1521607941,0,1
1521613694,0,1
1521627150,1,1
1521630988,0,1
1521632897,0,1
1521636753,0,2
1521638673,0,1
1521646351,0,3
1521648268,0,1
1521652142,0,1
1521655955,2,0
1521657864,1,0
1521659801,0,1
1521664105,2,0
1521666095,1,4
1521668864,1,0
1521672818,1,0
1521685723,0,2
1521693634,1,0
1521707808,1,0
1521709728,1,0
1521713790,1,1
1521719798,2,0
1521739227,1,0
1521743085,0,3
1521748928,1,0
1521751007,0,2
1521752931,0,1
1521754843,1,1
1521758930,1,1
1521760832,1,0
1521780044,0,1
1521789645,2,0
1521793490,0,1
1521795395,0,1
1521799845,0,1
1521805732,0,2
1521807891,1,0
1521815129,1,0
1521816985,1,0
1521824936,0,1
1521826832,1,0
1521828763,1,0
1521830705,1,0
1521836677,0,1
1521840753,0,1
1521845716,0,1
1521847959,1,1
1521849883,3,0
1521857787,1,0
1521859714,1,0
1521861616,1,0
1521873631,1,0
1521875563,0,2
1521892930,1,1
1521894752,4,0
1521900511,1,0
1521902428,1,2
1521906281,1,0
1521912272,0,1
1521916106,1,1
1521918083,0,1
1521927643,1,0
1521929549,2,0
1521933403,0,1
1521935306,1,3
1521937234,1,0
1521944918,1,1
1521946943,0,1
1521951158,0,1
1521956920,2,0
1521961107,2,1
1521994420,6,8
1522005729,2,1
1522012586,0,1
1522014754,1,1
1522016682,0,1
1522020769,1,1
1522024581,3,1
1522030363,0,1
1522032288,1,0
1522034204,1,0
1522038040,1,0
1522041999,0,2
1522046045,0,1
1522047889,0,1
1522049791,1,0
1522055595,0,2
1522063229,1,1
1522067068,1,1
1522075008,0,1
1522076931,0,1
1522088430,1,2
1522100299,2,1
1522107857,1,0
1522110144,0,3
1522112247,1,0
1522114099,1,0
1522116287,1,0
1522118181,0,1
1522120110,0,1
1522123967,1,0
1522125886,1,1
1522135717,0,1
1522149875,0,1
1522152128,0,1
1522156098,1,0
1522168109,1,0
1522173894,1,1
1522177730,1,0
1522187333,0,2
1522193795,0,2
1522197632,0,1
1522199560,0,1
1522201738,0,1
1522204340,2,0
1522206289,1,0
1522212617,4,2
1522228529,2,0
1522241100,1,4
1522243440,3,0
1522253630,0,1
1522276492,0,2
1522292447,0,3
1522296300,0,3
1522300122,0,1
1522315485,0,2
1522325062,0,1
1523314867,1,0
1523318697,2,0
1523330200,1,0
1523338108,1,0
1523341956,1,0
1523404588,0,2
1523408447,0,1
1523418265,0,1
1523422101,0,1
1523427882,0,1
1523441572,1,0
1523465099,3,0
1523468926,2,0
1523476641,1,0
1523492210,1,0
1523496037,1,0
1523500153,1,0
1523505892,2,0
1523529155,0,1
1523540685,1,0
1523552208,0,5
1523564198,1,0
1523568030,1,1
1523581802,0,2
1523585568,1,1
1523593482,1,2
1523624689,0,1
1523639960,1,0
1523649647,0,1
1523653472,1,1
1523665020,1,0
1523672512,0,1
1523680195,0,1
1523711329,1,0
1523724752,0,1
1523728589,1,0
1523740102,2,1
1523893763,1,4
1523897633,1,0
1523901458,1,0
1523909585,1,1
1523913348,0,1
1523960912,1,0
1523984201,0,1
1523995720,1,1
1524021402,0,1
1524032941,1,0
1524047310,0,1
1524051269,1,0
1524069405,1,0
1524095902,1,0
1524100367,2,0
1524104208,1,0
1524119459,0,1
1524123325,0,0
1524131097,1,0
1524138827,0,1
1524142567,1,0
1524150583,1,1
1524158625,0,1
1524176209,1,0
1524182208,0,1
