DateTime,Entries,UniqueIPs
1521606140,20,20
1521607941,19,19
1521613694,18,18
1521627150,18,18
1521630988,17,17
1521632897,16,16
1521636753,14,14
1521638673,13,13
1521646351,10,10
1521648268,9,9
1521652142,8,8
1521655955,10,10
1521657864,11,11
1521659801,10,10
1521664105,12,12
1521666095,9,9
1521668864,10,10
1521672818,11,11
1521685723,9,9
1521693634,10,10
1521707808,11,11
1521709728,12,12
1521713790,12,12
1521719798,14,14
1521739227,15,15
1521743085,12,12
1521748928,13,13
1521751007,11,11
1521752931,10,10
1521754843,10,10
1521758930,10,10
1521760832,11,11
1521780044,10,10
1521789645,12,12
1521793490,11,11
1521795395,10,10
1521799845,9,9
1521805732,7,7
1521807891,8,8
1521815129,9,9
1521816985,10,10
1521824936,9,9
1521826832,10,10
1521828763,11,11
1521830705,12,12
1521836677,11,11
1521840753,10,10
1521845716,9,9
1521847959,9,9
1521849883,12,12
1521857787,13,13
1521859714,14,14
1521861616,15,15
1521873631,16,16
1521875563,14,14
1521892930,14,14
1521894752,18,18
1521900511,19,19
1521902428,18,18
1521906281,19,19
1521912272,18,18
1521916106,18,18
1521918083,17,17
1521927643,18,18
1521929549,20,20
1521933403,19,19
1521935306,17,17
1521937234,18,18
1521944918,18,18
1521946943,17,17
1521951158,16,16
1521956920,18,18
1521961107,19,19
1521994420,17,17
1522005729,18,18
1522012586,17,17
1522014754,17,17
1522016682,16,16
1522020769,16,16
1522024581,18,18
1522030363,17,17
1522032288,18,18
1522034204,19,19
1522038040,20,20
1522041999,18,18
1522046045,17,17
1522047889,16,16
1522049791,17,17
1522055595,15,15
1522063229,15,15
1522067068,15,15
1522075008,14,14
1522076931,13,13
1522088430,12,12
1522100299,13,13
1522107857,14,14
1522110144,11,11
1522112247,12,12
1522114099,13,13
1522116287,14,14
1522118181,13,13
1522120110,12,12
1522123967,13,13
1522125886,13,13
1522135717,12,12
1522149875,11,11
1522152128,10,10
1522156098,11,11
1522168109,12,12
1522173894,12,12
1522177730,13,13
1522187333,11,11
1522193795,9,9
1522197632,8,8
1522199560,7,7
1522201738,6,6
1522204340,8,8
1522206289,9,9
1522212617,11,11
1522228529,13,13
1522241100,10,10
1522243440,13,13
1522253630,12,12
1522276492,10,10
1522292447,7,7
1522296300,4,4
1522300122,3,3
1522315485,1,1
1522325062,0,0
1523314867,1,1
1523318697,3,3
1523330200,4,4
1523338108,5,5
1523341956,6,6
1523404588,4,4
1523408447,3,3
1523418265,2,2
1523422101,1,1
1523427882,0,0
1523441572,1,1
1523465099,4,4
1523468926,6,6
1523476641,7,7
1523492210,8,8
1523496037,9,9
1523500153,10,10
1523505892,12,12
1523529155,11,11
1523540685,12,12
1523552208,7,7
1523564198,8,8
1523568030,8,8
1523581802,6,6
1523585568,6,6
1523593482,5,5
1523624689,4,4
1523639960,5,5
1523649647,4,4
1523653472,4,4
1523665020,5,5
1523672512,4,4
1523680195,3,3
1523711329,4,4
1523724752,3,3
1523728589,4,4
1523740102,5,5
1523893763,2,2
1523897633,3,3
1523901458,4,4
1523909585,4,4
1523913348,3,3
1523960912,4,4
1523984201,3,3
1523995720,3,3
1524021402,2,2
1524032941,3,3
1524047310,2,2
1524051269,3,3
1524069405,4,4
1524095902,5,5
1524100367,7,7
1524104208,8,8
1524119459,7,7
1524131097,8,8
1524138827,7,7
1524142567,8,8
1524150583,8,8
1524158625,7,7
1524176209,8,8
1524182208,7,7
1524186055,7,7
1524189904,6,6
1524193743,5,5
1524213176,6,6
1524216903,5,5
1524236788,3,3
1524250845,4,4
1524258542,5,5
1524262366,5,5
1524270041,4,4
1524305315,5,5
1524338435,4,4
1524342287,3,3
1524349974,5,5
1524361721,8,8
1524369412,9,9
1524377116,8,8
1524384784,7,7
1524392432,6,6
1524396294,7,7
1524400483,8,8
1524433237,9,9
1524438165,8,8
1524442187,7,7
1524450167,4,4
1524455804,3,3
1524478134,4,4
1524481981,3,3
1524491799,2,2
1524499485,4,4
1524503320,57,57
1524507183,59,59
1524518738,60,60
1524523226,59,59
