DateTime,AddedIPs,RemovedIPs
1524104210,1,0
1524115698,2,1
1524123327,0,0
1524127258,0,1
1524134860,0,1
1524142569,0,4
1524150585,1,0
1524154614,0,1
1524158627,1,0
1524160853,1,0
1524164706,1,1
1524168538,1,0
1524172404,1,0
1524180324,2,1
1524182210,0,1
1524186058,2,0
1524189906,0,1
1524201339,0,2
1524213178,1,0
1524220984,1,0
1524228975,2,0
1524236790,0,1
1524244493,0,1
1524248621,1,2
1524254686,0,1
1524258543,0,1
1524262368,2,1
1524274117,0,1
1524293546,1,0
1524297641,1,0
1524301496,0,1
1524309174,0,1
1524317073,0,2
1524318958,0,1
1524334620,0,1
1524338436,1,0
1524346109,1,0
1524349976,0,2
1524354071,1,1
1524369413,1,0
1524373254,1,0
1524380917,0,1
1524384786,0,1
1524388626,3,0
1524402535,1,0
1524410214,1,0
1524417907,1,0
1524425563,0,1
1524429402,0,1
1524438167,1,1
1524455806,0,1
1524459665,0,1
1524474309,0,3
1524478136,1,0
1524489904,0,1
1524495672,0,1
1524503322,0,1
1524514841,3,0
1524518740,2,0
1524523228,1,0
1524527121,1,0
1524532843,1,0
1524552311,1,0
1524563823,0,1
1524585417,1,0
1524601270,0,3
1524605095,0,2
1524609248,0,2
1524616851,1,0
1524620704,0,1
1524628383,1,0
1524636309,0,1
1524651879,1,0
1524655717,1,0
1524667476,2,0
1524671706,1,1
1524675658,2,0
1524683813,1,0
1524689816,1,0
1524705430,0,1
1524713082,1,0
1524716930,0,1
1524720765,1,0
1524728702,2,0
1524736371,0,1
1524740250,1,1
1524744059,0,1
1524747892,1,0
1524751994,0,1
1524755810,0,1
1524759654,2,2
1524763501,0,1
1524767319,0,1
1524775012,0,1
1524801886,0,1
1524805726,0,1
1524813651,0,2
1524817484,1,0
1524825162,0,1
1524828098,1,0
1524836486,0,1
1524844851,0,1
1524848686,0,1
1524850609,1,0
1524854433,1,0
1524877487,2,0
1524885166,1,0
1524892866,1,0
1524902691,1,0
1524906540,1,1
1524914210,1,1
1524918057,3,0
1524925958,1,0
1524930066,2,0
1524937722,0,1
1524941563,0,1
1524945415,1,0
1524957154,1,0
1524964827,0,2
1524970844,0,1
1524978516,0,1
1524986187,1,0
1524990030,0,1
1524993873,0,1
1525001577,0,1
1525005420,1,3
1525011178,0,1
1525015251,1,2
1525031820,0,1
1525038027,1,0
1525041869,3,1
1525045703,1,0
1525061323,2,0
1525072837,0,1
1525082458,1,0
1525086526,1,0
1525090368,0,1
1525102143,0,1
1525126395,0,1
1525130221,0,3
1525134060,0,1
1525141749,3,0
1525145607,0,2
1525153316,1,0
1525157116,1,0
1525160953,1,0
1525172635,1,1
1525176763,1,0
1525186603,1,0
1525194277,2,0
1525210372,1,0
1525227902,0,3
1525239900,0,1
1525243719,2,1
1525247578,0,1
1525260602,1,2
1525262468,3,1
1525270387,1,0
1525274469,0,1
1525280615,0,2
1525296296,1,1
1525300743,1,0
1525320313,1,0
1525327988,1,0
1525331889,0,2
1525335675,1,0
1525345502,0,1
1525349346,0,3
1525357264,0,1
1525365190,1,0
1525376930,1,0
1525381016,0,1
1525385100,1,0
1525389136,2,1
1525397092,1,0
1525407394,1,1
1525411024,1,0
1525415100,0,1
1525423239,0,1
1525447012,2,0
1525453000,1,1
1525456864,1,0
1525465034,0,1
1525473188,0,1
1525477264,1,2
1525479301,0,1
1525491407,0,1
1525495246,2,0
1525499089,2,1
1525502926,1,0
1525507027,1,0
1525532946,3,2
1525540630,0,1
1525544442,0,1
1525559829,2,0
1525564137,0,1
1525576265,2,0
1525580135,0,1
1525582369,0,2
1525586448,0,1
1525590536,0,1
1525594603,0,1
1525598468,1,0
1525611906,1,0
1525619830,0,3
1525627988,3,0
1525646457,0,2
1525654136,1,0
1525661817,0,2
1525669491,1,0
1525684862,1,1
1525698294,0,1
1525702133,1,0
1525714382,0,3
1525718229,1,0
1525722057,1,0
1525741720,0,1
1525745567,1,0
1525749405,1,0
1525755167,0,1
1525759010,1,0
1525770525,1,1
1525774612,1,0
1525790693,0,1
1525798491,1,0
1525802214,0,1
1525808954,0,1
1525829096,1,0
1525832909,0,1
1525835097,0,1
1525846616,2,1
1525854294,1,0
1525858112,0,1
1525862239,0,1
1525873972,1,0
1525878061,2,0
1525881922,2,0
1525885837,0,1
1525913577,0,1
1525919575,2,0
1525931331,0,1
1525935411,0,1
1525943573,0,1
1525947649,1,0
1525957739,1,0
1525961826,1,2
1525965642,0,3
1525985331,1,0
1526004306,1,1
1526008395,0,1
1526031867,0,5
1526322784,35,0
1526324694,2,1
1526326627,2,1
1526333081,1,1
1526334914,0,1
1526336905,2,0
1526338789,1,0
1526340774,2,0
1526344607,1,1
1526348935,1,1
1526350851,1,1
1526352902,1,1
1526354894,1,2
1526356915,0,1
1526358746,0,5
1526362625,1,2
1526366702,1,2
1526368845,1,2
1526370776,4,1
1526372669,2,0
1526374909,2,0
1526376773,1,0
1526378704,1,0
1526380593,1,1
1526382643,1,0
1526384945,2,2
1526387106,2,1
1526388997,1,2
1526391178,2,0
1526393280,1,0
1526395240,3,0
1526399302,0,2
1526401193,3,0
1526403400,1,0
1526407319,2,0
1526409408,4,1
1526411370,1,2
1526413244,3,2
1526415836,1,0
1526417827,1,0
1526419702,2,0
1526421749,1,0
1526423820,2,2
1526425736,0,1
1526427658,1,1
1526431498,0,1
1526435335,0,1
1526437256,1,1
1526439198,1,1
1526441095,0,2
1526443036,1,0
1526444933,1,0
1526448779,1,2
1526450702,3,0
1526452608,2,0
1526454557,0,2
1526456451,0,2
1526458357,1,3
1526460296,0,2
1526462223,0,1
1526464137,0,1
1526466055,1,2
1526469890,0,1
1526471814,1,2
1526473857,1,1
1526475714,1,1
1526477579,0,2
1526479483,1,1
1526481398,0,3
1526483320,4,0
1526485231,1,0
1526487190,0,1
1526489318,1,1
1526493159,1,1
1526495088,1,4
1526497014,1,1
1526498934,1,1
1526500913,1,3
1526502763,3,0
1526504689,4,1
1526506619,1,2
1526508548,1,1
1526511737,2,1
1526513814,0,1
1526515738,1,0
1526519576,0,1
1526523424,1,1
1526525334,0,2
1526529175,0,1
1526531093,0,1
1526534917,0,1
1526536916,0,2
1526538773,0,3
1526540696,1,0
1526544541,1,1
1526546450,1,1
1526548376,1,0
1526552214,0,1
1526554104,1,0
1526557968,0,1
1526560113,0,2
1526562097,2,0
1526564214,1,0
1526568027,1,0
1526569952,3,4
1526571867,2,1
1526574045,1,0
1526575960,1,2
1526577891,2,1
1526579796,0,1
1526581720,2,1
1526583713,0,1
1526585583,96,1
1526587490,102,2
1526589419,0,3
1526591319,1,2
1526593245,3,1
1526595173,1,2
1526597952,2,2
1526601929,1,1
1526603815,3,0
1526605789,1,0
1526607647,1,0
1526609623,1,1
1526613441,1,0
1526617297,1,0
1526619167,1,0
1526622990,2,0
1526624974,1,0
1526626899,0,1
1526628851,2,0
1526630721,1,0
1526632652,1,1
1526634531,1,1
1526636473,1,0
1526638374,1,0
1526640342,2,1
1526646367,1,0
1526648547,1,2
1526650367,2,0
1526652296,1,1
1526654180,0,1
1526656407,2,3
1526658262,0,1
1526660450,2,1
1526662347,0,1
1526664282,2,2
1526668375,2,1
1526672219,0,165
1526674141,0,34
1526677975,0,1
1526679879,0,3
1526681822,0,2
1526683969,0,1
1526688134,1,0
1526689974,0,3
1526691877,0,1
1526693789,0,1
1526695980,1,1
1526697896,1,1
1526701731,1,0
1526703633,2,1
1526705573,0,1
1526709438,1,2
1526711319,2,1
1526715154,0,2
1526717092,0,1
1526719007,0,1
1526720939,1,1
1526722849,3,2
1526724759,0,1
1526726695,0,2
1526728614,1,0
1526730523,1,1
1526732460,1,1
1526734611,1,1
1526736532,2,3
1526738503,1,1
1526740375,1,0
1526742294,0,2
1526744193,2,1
1526746168,2,1
1526748030,1,1
1526749976,1,2
1526752037,2,1
1526754037,1,2
1526755939,1,0
1526759778,1,0
1526761699,2,0
1526763886,2,0
1526767712,2,0
1526769587,1,0
1526771580,1,0
1526773468,1,1
1526775410,1,1
1526777328,1,0
1526781142,1,1
1526783085,0,1
1526787160,1,0
1526789101,0,2
1526791003,3,1
1526792934,6,0
1526794835,1,1
1526796779,1,0
1526798676,0,2
1526800598,1,0
1526804448,3,0
1526806366,0,1
1526808299,1,2
1526810198,0,1
1526812117,2,0
1526814102,0,1
1526816236,1,0
1526818120,2,1
1526820038,2,2
1526821994,5,1
1526823871,0,1
1526825810,1,1
1526827710,2,0
1526829653,2,0
1526831578,3,2
1526833492,2,1
1526835409,2,1
1526837332,3,3
1526839307,1,1
1526841170,1,1
1526844989,2,0
1526846939,1,1
1526848849,2,2
1526850781,1,1
1526852694,0,1
1526854611,1,2
1526857500,0,2
1526859394,2,1
1526861463,0,2
1526863468,0,1
1526867301,0,1
1526871142,1,0
1526873031,0,1
1526874980,2,0
1526876831,2,0
1526878918,2,8
1526881008,2,1
1526882950,0,2
1526884846,1,0
1526886799,1,2
1526890599,3,2
1526894437,2,3
1526896388,332,0
