DateTime,Entries,UniqueIPs
1525251638,1537,1537
1525255754,1524,1524
1525260601,1560,1560
1525262466,1538,1538
1525266397,1520,1520
1525270386,1506,1506
1525274469,1522,1522
1525278311,1617,1617
1525280615,1589,1589
1525284464,1553,1553
1525288300,1546,1546
1525292148,1523,1523
1525296295,1513,1513
1525300742,1468,1468
1525304471,1463,1463
1525308288,1443,1443
1525312385,1432,1432
1525316459,1424,1424
1525320313,1405,1405
1525324147,1385,1385
1525327987,1371,1371
1525331888,1350,1350
1525335674,1328,1328
1525339760,1310,1310
1525341657,1293,1293
1525345501,1226,1226
1525349346,1227,1227
1525353437,1224,1224
1525357263,1211,1211
1525361211,1150,1150
1525365190,1022,1022
1525369030,1014,1014
1525372846,1012,1012
1525376929,1014,1014
1525381015,1006,1006
1525385099,992,992
1525389135,978,978
1525393014,973,973
1525397091,1064,1064
1525399261,1153,1153
1525403341,1142,1142
1525407393,1160,1160
1525411024,1173,1173
1525415100,1160,1160
1525419026,1154,1154
1525423238,1161,1161
1525426868,1164,1164
1525430682,1170,1170
1525434749,1194,1194
1525438868,1188,1188
1525442702,3295,3295
1525447011,3313,3313
1525450833,3344,3344
1525453000,3375,3375
1525456863,3429,3429
1525460939,3449,3449
1525465033,3548,3548
1525469107,3626,3626
1525473187,3629,3629
1525477264,3642,3642
1525481570,3615,3615
1525485657,3533,3533
1525489492,3556,3556
1525493341,3545,3545
1525497187,3540,3540
1525501012,3527,3527
1525504849,3535,3535
1525507027,3539,3539
1525511132,3531,3531
1525515170,3563,3563
1525519249,3606,3606
1525523098,3626,3626
1525526940,1564,1564
1525531013,1581,1581
1525534856,1580,1580
1525538703,1586,1586
1525542528,1550,1550
1525546378,1550,1550
1525550215,1500,1500
1525554055,1362,1362
1525557914,1362,1362
1525562077,1344,1344
1525566042,1345,1345
1525570121,1360,1360
1525572060,1349,1349
1525576264,1342,1342
1525580135,1335,1335
1525584542,1329,1329
1525588610,1354,1354
1525592681,1475,1475
1525596529,1522,1522
1525598467,1531,1531
1525602297,1539,1539
1525606143,1537,1537
1525609980,1534,1534
1525614033,1917,1917
1525617897,8349,8349
1525621742,9760,9760
1525625820,9761,9761
1525629866,9769,9769
1525632962,9773,9773
1525636860,9770,9770
1525640705,9780,9780
1525644555,9732,9732
1525648386,9735,9735
1525652225,9716,9716
1525656060,9690,9690
1525658000,9683,9683
1525661816,9685,9685
1525665664,9662,9662
1525669490,9658,9658
1525673355,9664,9664
1525677187,9573,9573
1525681089,9477,9477
1525684862,9477,9477
1525688711,9439,9439
1525692520,9415,9415
1525696369,9398,9398
1525700218,9368,9368
1525704049,2775,2775
1525707885,1275,1275
1525712459,1291,1291
1525716309,1301,1301
1525720142,1312,1312
1525723986,1316,1316
1525725895,1383,1383
1525729743,1400,1400
1525733799,1430,1430
1525737656,1438,1438
1525741720,1476,1476
1525745567,1517,1517
1525749404,1527,1527
1525753244,1527,1527
1525755166,1539,1539
1525759009,1541,1541
1525762852,1552,1552
1525766711,1550,1550
1525770524,1562,1562
1525774612,1569,1569
1525778444,1586,1586
1525782514,1596,1596
1525786727,1550,1550
1525790692,1534,1534
1525794535,1515,1515
1525798490,1514,1514
1525802213,1519,1519
1525806779,1513,1513
1525808953,1537,1537
1525812773,1503,1503
1525816615,1497,1497
1525821174,1478,1478
1525825280,1477,1477
1525829095,1440,1440
1525832908,1439,1439
1525835096,1431,1431
1525838955,1418,1418
1525842780,1403,1403
1525846616,1387,1387
1525850439,1352,1352
1525854293,1332,1332
1525858111,1430,1430
1525862238,1562,1562
1525865950,1752,1752
1525869871,1778,1778
1525873971,1797,1797
1525878060,1815,1815
1525881921,1854,1854
1525885836,1904,1904
1525889827,1937,1937
1525893644,1972,1972
1525897482,1970,1970
1525901316,1996,1996
1525905594,2018,2018
1525909493,2041,2041
1525913576,2064,2064
1525917409,2067,2067
1525919574,2076,2076
1525923667,2074,2074
1525927499,2086,2086
1525931331,2090,2090
1525935410,2098,2098
1525939494,2120,2120
1525943573,2103,2103
1525947648,2018,2018
1525951717,1805,1805
1525955817,1768,1768
1525957739,1742,1742
1525961826,1737,1737
1525965642,1699,1699
1525969397,1681,1681
1525973321,1662,1662
1525977333,1637,1637
1525981151,1709,1709
1525985330,1719,1719
1525989180,1703,1703
1525993917,1704,1704
1525996136,1691,1691
1526000219,1682,1682
1526004305,1652,1652
1526008394,1661,1661
1526012223,1643,1643
1526016291,1618,1618
1526018216,1604,1604
1526022058,1580,1580
1526025894,1556,1556
1526029972,1525,1525
1526031866,0,0
1526322783,13839,13839
1526324693,13861,13861
1526326627,13891,13891
1526328518,13848,13848
1526331064,13908,13908
1526333081,13960,13960
1526334913,13970,13970
1526336904,13925,13925
1526338788,13956,13956
1526340773,13965,13965
1526342573,13207,13207
1526344606,11318,11318
1526346674,9860,9860
1526348934,9863,9863
1526350850,9847,9847
1526352901,9839,9839
1526354894,9824,9824
1526356914,9821,9821
1526358745,9822,9822
1526360550,9823,9823
1526362624,9819,9819
1526364777,9825,9825
1526366701,9818,9818
1526368845,9872,9872
1526370775,5305,5305
1526372668,4225,4225
1526374908,4203,4203
1526376772,4221,4221
1526378703,4210,4210
1526380592,4229,4229
1526382643,4263,4263
1526384944,4280,4280
1526387106,4273,4273
1526388997,4275,4275
1526391177,4280,4280
1526393279,4276,4276
1526395240,4266,4266
1526397415,4266,4266
1526399301,4251,4251
1526401193,4247,4247
1526403399,4237,4237
1526405327,4220,4220
1526407319,4203,4203
1526409407,4158,4158
1526411369,4159,4159
1526413243,4142,4142
1526415835,4141,4141
1526417826,4157,4157
1526419702,4321,4321
1526421749,4371,4371
1526423819,4325,4325
1526425736,6024,6024
1526427657,13890,13890
1526429577,20004,20004
1526431497,19997,19997
1526433414,19971,19971
1526435335,19962,19962
1526437256,19946,19946
1526439197,19938,19938
1526441094,19925,19925
1526443036,19935,19935
1526444932,19930,19930
1526446914,19915,19915
1526448778,19907,19907
1526450701,19911,19911
1526452607,19901,19901
1526454556,21208,21208
1526456451,26716,26716
1526458357,31660,31660
1526460295,31653,31653
1526462223,31599,31599
1526464136,31651,31651
1526466054,31597,31597
1526467956,31557,31557
1526469889,31565,31565
1526471813,31500,31500
1526473856,31466,31466
1526475713,31494,31494
1526477578,31495,31495
1526479482,31499,31499
1526481397,31497,31497
1526483319,31482,31482
1526485230,31471,31471
1526487189,31464,31464
1526489317,31451,31451
1526491250,31441,31441
1526493158,31444,31444
1526495088,31573,31573
1526497013,31647,31647
1526498933,31690,31690
1526500912,31698,31698
1526502762,31727,31727
1526504688,31608,31608
1526506619,31442,31442
1526508547,31386,31386
1526511736,32682,32682
1526513814,25458,25458
1526515738,19624,19624
1526517650,19627,19627
1526519575,19602,19602
1526521472,19592,19592
1526523422,19615,19615
1526525334,19625,19625
1526527244,19646,19646
1526529174,19631,19631
1526531093,19630,19630
1526533010,19639,19639
1526534916,19658,19658
1526536915,19659,19659
1526538772,19666,19666
1526540695,19094,19094
1526542588,12643,12643
1526544540,6340,6340
1526546449,5857,5857
1526548376,5839,5839
1526550279,5772,5772
1526552214,5798,5798
1526554103,5789,5789
1526556049,5766,5766
1526557968,5765,5765
1526560113,5766,5766
1526562097,5884,5884
1526564213,6495,6495
1526566108,12831,12831
1526568026,19158,19158
1526569951,19703,19703
1526571866,19688,19688
1526574044,19676,19676
1526575959,19670,19670
1526577890,19676,19676
1526579795,19678,19678
1526581719,19652,19652
1526583713,19647,19647
1526585582,19773,19773
1526587489,20223,20223
1526589419,20149,20149
1526591319,20141,20141
1526593245,20126,20126
1526595172,20154,20154
1526597951,18590,18590
1526599967,18614,18614
1526601929,18667,18667
1526603815,18629,18629
1526605788,18626,18626
1526607646,18629,18629
1526609623,18609,18609
1526611469,18598,18598
1526613440,18572,18572
1526615344,18551,18551
1526617297,18529,18529
1526619166,18522,18522
1526621184,18499,18499
1526622989,18492,18492
1526624974,18498,18498
1526626899,18499,18499
1526628850,18498,18498
1526630721,18533,18533
1526632651,18527,18527
1526634530,18547,18547
1526636472,18549,18549
1526638374,18516,18516
1526640342,18541,18541
1526642211,18533,18533
1526644177,18524,18524
1526646366,18540,18540
1526648546,18517,18517
1526650367,18470,18470
1526652295,11902,11902
1526654179,5636,5636
1526656406,4216,4216
1526658261,4205,4205
1526660449,4190,4190
1526662347,4179,4179
1526664282,4149,4149
1526666211,4139,4139
1526668375,4147,4147
1526670276,4165,4165
1526672218,3871,3871
1526674140,3359,3359
1526676072,3422,3422
1526677974,3479,3479
1526679878,3515,3515
1526681821,3235,3235
1526683968,3275,3275
1526685889,3305,3305
1526688133,3235,3235
1526689973,3266,3266
1526691876,3273,3273
1526693789,3267,3267
1526695980,3256,3256
1526697895,3248,3248
1526699818,3253,3253
1526701730,3254,3254
1526703632,3266,3266
1526705573,3281,3281
1526707490,3281,3281
1526709438,3260,3260
1526711318,3263,3263
1526713322,3321,3321
1526715154,3326,3326
1526717091,3290,3290
1526719006,3311,3311
1526720939,3291,3291
1526722849,3309,3309
1526724758,4152,4152
1526726695,4170,4170
1526728613,4191,4191
1526730523,4206,4206
1526732460,4194,4194
1526734610,4252,4252
1526736532,4271,4271
1526738503,4287,4287
1526740374,4308,4308
1526742294,4326,4326
1526744193,4362,4362
1526746168,4389,4389
1526748030,4403,4403
1526749975,4445,4445
1526752037,4464,4464
1526754036,4481,4481
1526755939,4492,4492
1526757877,4505,4505
1526759778,4506,4506
1526761698,4526,4526
1526763885,4559,4559
1526765790,4571,4571
1526767712,4599,4599
1526769586,4606,4606
1526771580,4686,4686
1526773467,4696,4696
1526775409,4730,4730
1526777327,4761,4761
1526779221,4766,4766
1526781142,4782,4782
1526783084,4811,4811
1526784989,4838,4838
1526787159,4859,4859
1526789100,4862,4862
1526791002,4861,4861
1526792934,4886,4886
1526794834,4894,4894
