DateTime,AddedIPs,RemovedIPs
1521402751,1,0
1521406589,1,1
1521408504,1,3
1521410497,4,1
1521413743,1,2
1521420504,0,2
1521424587,1,1
1521426506,1,0
1521428495,1,0
1521432269,0,2
1521434190,0,1
1521438031,0,1
1521442105,0,1
1521444025,1,0
1521445948,0,1
1521449788,0,1
1521451696,0,2
1521460346,0,2
1521466093,1,1
1521467957,0,1
1521469942,1,2
1521475974,0,1
1521477895,2,0
1521480072,2,1
1521481958,2,0
1521485796,4,0
1521487762,1,1
1521490725,1,0
1521492834,1,1
1521494685,4,0
1521496585,2,5
1521498504,3,0
1521500547,3,1
1521506201,2,0
1521508106,3,0
1521510027,3,0
1521511949,2,2
1521513890,1,0
1521515784,0,1
1521519620,2,0
1521521546,2,0
1521523476,3,0
1521525376,1,0
1521529310,0,1
1521531137,1,0
1521538817,2,0
1521542656,1,0
1521544577,3,0
1521550334,2,0
1521552275,1,1
1521556092,4,1
1521558109,1,0
1521561874,2,0
1521563773,2,1
1521565717,2,3
1521567616,1,2
1521570239,1,0
1521572384,0,4
1521574362,0,1
1521576384,2,1
1521580599,1,4
1521582526,1,2
1521584417,0,4
1521586354,1,3
1521592401,1,2
1521594511,1,3
1521596432,0,3
1521598338,0,2
1521600272,0,1
1521602193,1,0
1521606143,0,2
1521607944,0,2
1521609873,0,3
1521611804,1,1
1521615718,2,0
1521617557,0,1
1521619475,1,0
1521625219,0,2
1521629067,0,1
1521630991,1,3
1521632900,1,0
1521636756,0,2
1521638677,0,1
1521640581,3,0
1521642515,0,4
1521644485,0,1
1521648273,0,2
1521650219,0,2
1521652145,1,2
1521654041,0,1
1521655958,0,1
1521657867,2,0
1521661891,1,2
1521664108,1,0
1521668867,0,2
1521670974,0,1
1521672820,1,0
1521679482,1,1
1521682438,0,1
1521685725,2,0
1521689579,0,1
1521691486,1,0
1521693637,2,0
1521697467,1,1
1521701577,0,2
1521705880,1,1
1521707811,1,0
1521711894,1,0
1521715977,1,0
1521717877,0,1
1521719802,0,1
1521721729,2,0
1521725558,0,2
1521727499,3,1
1521737323,1,1
1521744987,0,2
1521748932,1,1
1521751011,0,1
1521752935,2,0
1521754847,1,0
1521758934,1,1
1521762768,2,0
1521764683,0,1
1521766589,1,0
1521768524,1,0
1521770525,1,2
1521772370,4,0
1521774282,2,0
1521776212,1,1
1521780048,1,2
1521783906,0,1
1521791558,0,1
1521793494,1,1
1521799850,1,1
1521803786,0,1
1521807895,1,1
1521809797,0,1
1521815132,1,3
1521816987,3,0
1521818923,1,0
1521821091,1,0
1521823010,1,1
1521834518,1,0
1521836680,2,1
1521838907,0,2
1521840756,0,1
1521842697,1,0
1521845718,0,1
1521849886,1,2
1521853714,1,1
1521855872,0,1
1521857789,0,4
1521859717,3,3
1521863554,1,1
1521865461,0,1
1521867502,1,0
1521869548,1,0
1521879393,0,1
1521887084,0,1
1521890913,1,0
1521892932,1,1
1521894755,1,0
1521900514,1,1
1521902431,2,3
1521906284,0,1
1521908207,1,2
1521916109,1,0
1521919969,0,1
1521921878,0,2
1521923831,1,0
1521927646,1,0
1521929551,0,1
1521931469,1,0
1521933406,1,0
1521935309,0,1
1521937237,2,0
1521941082,0,1
1521942989,1,0
1521944921,1,0
1521946947,0,3
1521951161,1,1
1521956924,0,2
1521977054,1,1
1521985314,2,3
1521988108,0,1
1521991065,0,1
1521993870,1,0
1521996767,0,1
1522005732,1,1
1522008775,1,0
1522010773,0,1
1522012589,0,1
1522014756,2,0
1522016684,0,1
1522020771,0,1
1522022697,1,1
1522024584,0,1
1522030365,0,1
1522032290,2,1
1522038042,0,1
1522039949,2,0
1522059417,1,0
1522061391,1,1
1522067072,0,1
1522068941,1,1
1522073086,1,0
1522078847,1,0
1522080874,0,1
1522086532,1,0
1522088433,0,1
1522092280,1,0
1522096120,0,1
1522100303,0,2
1522104540,1,0
1522110149,0,1
1522120113,3,2
1522125889,0,1
1522127811,0,1
1522131865,1,0
1522145331,1,1
1522147949,1,1
1522149877,1,0
1522154161,1,1
1522157969,0,1
1522160207,1,0
1522164038,3,0
1522166222,1,1
1522168112,1,0
1522173897,1,1
1522175797,2,0
1522177733,1,0
1522179640,0,1
1522185417,1,0
1522191826,0,1
1522206294,0,3
1522212811,4,0
1522214811,1,0
1522220282,1,1
1522223632,1,0
1522241108,1,14
1522243445,10,0
1522246773,0,1
1522253634,0,5
1522276495,0,5
1522296305,0,4
1522303971,0,2
1522311648,0,1
1522325066,0,1
1523307104,0,0
1526322785,141,0
1526324696,4,3
1526326629,8,6
1526328520,4,4
1526331067,4,3
1526333083,5,12
1526334916,5,1
1526336907,4,8
1526338791,3,3
1526340776,6,4
1526342576,2,5
1526344609,3,10
1526346677,7,2
1526348937,0,6
1526350853,1,2
1526352946,4,0
1526354897,4,4
1526356917,2,2
1526358748,5,5
1526360553,3,3
1526362628,1,2
1526364780,0,1
1526366705,5,2
1526368848,6,4
1526370778,1,2
1526372671,5,3
1526374911,5,2
1526376775,0,2
1526378707,1,0
1526380595,5,5
1526384947,2,2
1526387109,1,2
1526389000,3,8
1526391180,3,0
1526393283,1,0
1526395243,4,1
1526397418,2,2
1526399304,0,3
1526401197,1,3
1526403402,1,5
1526405330,0,3
1526407322,1,4
1526409410,2,4
1526411374,1,2
1526413246,1,8
1526415838,0,7
1526417829,3,2
1526419705,3,5
1526421752,0,5
1526423822,3,5
1526425738,0,3
1526427660,3,5
1526429580,1,3
1526431500,2,1
1526433417,2,7
1526435338,3,0
1526437259,1,1
1526439201,2,3
1526441097,1,4
1526443038,2,2
1526444936,0,6
1526446916,0,3
1526448781,1,1
1526450705,2,0
1526452610,2,4
1526454559,1,4
1526456454,1,4
1526458360,1,3
1526460299,3,3
1526462226,1,4
1526464140,2,1
1526466058,0,1
1526467959,0,4
1526469893,2,1
1526471817,1,1
1526473860,0,1
1526475717,0,3
1526477583,0,3
1526479486,1,1
1526481401,2,4
1526483324,2,2
1526487193,2,1
1526489321,1,1
1526493162,0,1
1526495092,3,1
1526497017,0,2
1526498937,0,1
1526500916,4,0
1526502767,1,0
1526504692,2,5
1526506623,3,1
1526511740,5,3
1526513817,3,2
1526515741,4,2
1526517654,4,2
1526519579,2,2
1526521475,4,3
1526523427,10,1
1526525337,0,1
1526527248,2,2
1526529177,2,2
1526531096,4,0
1526533013,3,0
1526534920,1,1
1526536919,3,2
1526538776,4,2
1526540699,4,1
1526542591,5,1
1526544543,1,1
1526546452,2,2
1526548378,1,2
1526550282,3,2
1526556052,7,2
1526557971,1,1
1526560116,1,0
1526562100,3,0
1526564216,0,1
1526566112,3,1
1526568029,2,1
1526569954,1,2
1526571870,1,0
1526574048,3,2
1526575963,1,1
1526577894,2,0
1526579799,3,0
1526581724,2,3
1526583716,3,0
1526585586,2,2
1526587493,3,2
1526589422,0,1
1526591323,1,2
1526593248,1,3
1526597955,2,5
1526599970,1,3
1526601932,0,4
1526603818,0,4
1526605791,1,2
1526607649,0,3
1526609626,1,11
1526611472,3,0
1526613443,0,2
1526615347,1,2
1526617299,2,4
1526619169,1,3
1526621186,0,1
1526622992,1,3
1526624977,1,3
1526626901,1,4
1526628853,0,5
1526630724,0,2
1526632654,0,2
1526634533,0,1
1526636475,1,3
1526642214,0,6
1526644180,0,2
1526646369,1,0
1526648549,0,4
1526650369,1,0
1526652298,2,2
1526654181,3,3
1526656409,0,1
1526658264,0,1
1526660452,0,3
1526662350,0,1
1526664285,0,2
1526666214,1,3
1526668378,0,2
1526670278,0,3
1526672221,0,3
1526674143,0,2
1526677977,1,1
1526679881,2,1
1526681825,1,1
1526683971,1,1
1526685891,2,1
1526688136,1,0
1526689976,1,0
1526691879,0,1
1526693791,1,0
1526695982,2,1
1526697898,0,3
1526699820,3,0
1526701733,0,1
1526703635,1,2
1526705575,1,1
1526707492,1,0
1526709440,1,2
1526711322,1,0
1526713325,1,1
1526715157,1,0
1526720941,1,0
1526722851,1,1
1526724761,2,0
1526726698,1,0
1526732463,3,1
1526736535,1,1
1526738506,2,2
1526740377,1,2
1526742296,1,1
1526746171,1,0
1526748033,1,0
1526754039,2,1
1526755941,1,0
1526757880,1,0
1526761701,1,0
1526763888,0,1
1526765793,1,2
1526769589,0,1
1526771583,2,3
1526775412,1,2
1526779224,0,1
1526781145,0,1
1526783087,2,1
1526784992,1,3
1526787161,3,0
1526789105,0,1
1526792936,0,2
1526796781,0,1
1526798677,0,1
1526800600,0,2
1526802553,1,0
1526804450,1,0
1526808301,0,2
1526810200,0,1
1526812119,0,1
1526814103,2,1
1526818122,0,3
1526820040,2,0
1526821996,0,1
1526823873,0,2
1526827712,1,1
1526829656,2,1
1526833494,0,1
1526835412,1,1
1526839309,0,1
1526841172,0,1
1526843100,0,2
1526848850,0,1
1526852695,0,1
1526854613,1,0
1526857502,2,1
1526859396,0,1
1526861464,0,1
1526863470,1,0
1526869171,0,2
1526871143,0,1
1526873033,0,3
1526874981,3,0
1526888691,1,1
1526892578,0,1
1526896390,1,0
