DateTime,Entries,UniqueIPs
1521400613,27,27
1521402751,28,28
1521406589,28,28
1521408504,26,26
1521410497,29,29
1521413743,28,28
1521420504,26,26
1521424587,26,26
1521426506,27,27
1521428495,28,28
1521432269,26,26
1521434190,25,25
1521438031,24,24
1521442105,23,23
1521444025,24,24
1521445948,23,23
1521449788,22,22
1521451696,20,20
1521460346,18,18
1521466093,18,18
1521467957,17,17
1521469942,16,16
1521475974,15,15
1521477895,17,17
1521480072,18,18
1521481958,20,20
1521485796,24,24
1521487762,24,24
1521490725,25,25
1521492834,25,25
1521494685,29,29
1521496585,26,26
1521498504,29,29
1521500547,31,31
1521506201,33,33
1521508106,36,36
1521510027,39,39
1521511949,39,39
1521513890,40,40
1521515784,39,39
1521519620,41,41
1521521546,43,43
1521523476,46,46
1521525376,47,47
1521529310,46,46
1521531137,47,47
1521538817,49,49
1521542656,50,50
1521544577,53,53
1521550334,55,55
1521552275,55,55
1521556092,58,58
1521558109,59,59
1521561874,61,61
1521563773,62,62
1521565717,61,61
1521567616,60,60
1521570239,61,61
1521572384,57,57
1521574362,56,56
1521576384,57,57
1521580599,54,54
1521582526,53,53
1521584417,49,49
1521586354,47,47
1521592401,46,46
1521594511,44,44
1521596432,41,41
1521598338,39,39
1521600272,38,38
1521602193,39,39
1521606143,37,37
1521607944,35,35
1521609873,32,32
1521611804,32,32
1521615718,34,34
1521617557,33,33
1521619475,34,34
1521625219,32,32
1521629067,31,31
1521630991,29,29
1521632900,30,30
1521636756,28,28
1521638677,27,27
1521640581,30,30
1521642515,26,26
1521644485,25,25
1521648273,23,23
1521650219,21,21
1521652145,20,20
1521654041,19,19
1521655958,18,18
1521657867,20,20
1521661891,19,19
1521664108,20,20
1521668867,18,18
1521670974,17,17
1521672820,18,18
1521679482,18,18
1521682438,17,17
1521685725,19,19
1521689579,18,18
1521691486,19,19
1521693637,21,21
1521697467,21,21
1521701577,19,19
1521705880,19,19
1521707811,20,20
1521711894,21,21
1521715977,22,22
1521717877,21,21
1521719802,20,20
1521721729,22,22
1521725558,20,20
1521727499,22,22
1521737323,22,22
1521744987,20,20
1521748932,20,20
1521751011,19,19
1521752935,21,21
1521754847,22,22
1521758934,22,22
1521762768,24,24
1521764683,23,23
1521766589,24,24
1521768524,25,25
1521770525,24,24
1521772370,28,28
1521774282,30,30
1521776212,30,30
1521780048,29,29
1521783906,28,28
1521791558,27,27
1521793494,27,27
1521799850,27,27
1521803786,26,26
1521807895,26,26
1521809797,25,25
1521815132,23,23
1521816987,26,26
1521818923,27,27
1521821091,28,28
1521823010,28,28
1521834518,29,29
1521836680,30,30
1521838907,28,28
1521840756,27,27
1521842697,28,28
1521845718,27,27
1521849886,26,26
1521853714,26,26
1521855872,25,25
1521857789,21,21
