DateTime,Entries,UniqueIPs
1517940277,7,7
1517950125,6,6
1517953960,7,7
1517965481,6,6
1517967397,7,7
1517988516,8,8
1517990490,7,7
1517996371,5,5
1518002535,4,4
1518006286,5,5
1518008211,6,6
1518048191,5,5
1518052378,4,4
1518058128,3,3
1518061973,4,4
1518067962,5,5
1518073740,6,6
1518075628,5,5
1518085257,6,6
1518093342,5,5
1518095557,6,6
1518114995,7,7
1518146824,6,6
1518155111,5,5
1518158933,4,4
1518172376,3,3
1518180036,4,4
1518181840,2,2
1518202113,1,1
1518209790,2,2
1518231879,3,3
1518234062,4,4
1518244018,5,5
1518265715,4,4
1518267719,5,5
1518277962,6,6
1518287853,7,7
1518295508,6,6
1518303689,7,7
1518319748,6,6
1518321687,5,5
1518323850,6,6
1518327911,8,8
1518331980,9,9
1518354085,8,8
1518355985,9,9
1518363871,8,8
1518369759,77,77
1518373785,76,76
1518382147,77,77
1518385962,76,76
1518390118,75,75
1518392266,76,76
1518394150,77,77
1518409719,76,76
1518413808,75,75
1518415742,74,74
1518417873,74,74
1518423896,76,76
1518441172,75,75
1518456995,6,6
1518460960,7,7
1518466608,6,6
1518479584,5,5
1518481470,4,4
1518495404,5,5
1518503088,4,4
1518510768,2,2
1518514613,3,3
1518516535,4,4
1518526263,5,5
1518534247,6,6
1518546049,5,5
1518549889,6,6
1518581773,5,5
1518583705,6,6
1518599822,5,5
1518601745,4,4
1518607478,5,5
1518611311,4,4
1518621183,3,3
1518634893,2,2
1518667292,3,3
1518671339,2,2
1518695069,1,1
1518725099,2,2
1518741415,3,3
1518751013,4,4
1518753183,3,3
1518763379,4,4
1518793505,5,5
1518812236,4,4
1518828299,3,3
1518838371,2,2
1518844134,4,4
1518849881,3,3
1518879880,2,2
1518886087,4,4
1518931235,3,3
1518973474,1,1
1518985013,0,0
1519015520,1,1
1519021246,2,2
1519088536,3,3
1519098018,4,4
1519102137,3,3
1519105987,4,4
1519107873,3,3
1519119393,4,4
1519140789,5,5
1519144661,6,6
1519167390,7,7
1519175085,6,6
1519187076,7,7
1519193010,5,5
1519197102,6,6
1519205335,5,5
1519227675,4,4
1519253817,3,3
1519262204,4,4
1519264067,5,5
1519266021,8,8
1519269898,9,9
1519273947,8,8
1519275815,7,7
1519284067,6,6
1519302992,7,7
1519304931,8,8
1519307163,9,9
1519327490,10,10
1519343581,11,11
1519347414,10,10
1519349358,9,9
1519351318,8,8
1519353176,7,7
1519355077,6,6
1519390112,7,7
1519392029,6,6
1519393968,5,5
1519406208,74,74
1519413867,73,73
1519430190,72,72
1519432111,73,73
1519438127,72,72
1519441962,71,71
1519445806,72,72
1519461875,73,73
1519478217,72,72
1519490924,73,73
1519492845,5,5
1519498591,7,7
1519500458,8,8
1519506270,9,9
1519513394,11,11
1519517473,10,10
1519521300,11,11
1519533408,10,10
1519539426,11,11
1519545040,12,12
1519546843,11,11
1519578124,10,10
1519579945,9,9
1519584052,7,7
1519586218,6,6
1519594100,5,5
1519596100,7,7
1519597943,5,5
1519607977,4,4
1519612103,5,5
1519625807,4,4
1519631584,3,3
1519682499,1,1
1519686276,2,2
1519690132,3,3
1519699935,2,2
1519746282,3,3
1519767172,4,4
1519772938,3,3
1519777007,2,2
1519800041,3,3
1519804118,4,4
1519830997,3,3
1519837769,4,4
1519851415,5,5
1519853352,4,4
1519887699,3,3
1519891489,3,3
1519899164,4,4
1519914535,73,73
1519920299,74,74
1519924122,73,73
1519937792,72,72
1519948379,73,73
1519954357,74,74
1519958201,75,75
1519962034,76,76
1519977391,75,75
1519981499,76,76
1519987236,75,75
1519989158,76,76
1519999873,77,77
1520005721,76,76
1520022986,77,77
1520024938,78,78
1520030667,79,79
1520035004,78,78
1520040795,77,77
1520044639,76,76
1520048490,75,75
1520067746,74,74
1520085171,75,75
1520087179,74,74
1520093096,73,73
1520112777,72,72
1520116616,71,71
1520153556,72,72
1520170883,72,72
1520182674,3,3
1520190351,2,2
1520200366,4,4
1520241459,3,3
1520256822,2,2
1520286783,2,2
1520317726,3,3
1520325886,4,4
1520331651,5,5
1520339337,6,6
1520349165,5,5
1520364785,6,6
1520374586,5,5
1520376520,6,6
1520403641,5,5
1520405559,7,7
1520411316,6,6
1520419235,5,5
1520425007,4,4
1520430765,5,5
1520452126,4,4
1520479758,5,5
1520485589,7,7
1520493311,5,5
1520501486,4,4
1520507794,5,5
1520517897,4,4
1520521947,5,5
1520528197,6,6
1520530121,7,7
1520566605,6,6
1520572365,4,4
1520593732,3,3
1520597558,4,4
1520609554,3,3
1520617241,2,2
1520641290,3,3
1520643165,2,2
1520680376,3,3
1520684209,2,2
1520690002,3,3
1520707492,4,4
1520726929,3,3
1520768201,2,2
1520776239,2,2
1520793881,1,1
1520799901,2,2
1520815486,71,71
1520823170,72,72
1520825096,73,73
1520834678,74,74
1520857964,75,75
1520861806,74,74
1520884590,73,73
1520902112,4,4
1520905977,5,5
1520908018,4,4
1520910107,5,5
1520911948,4,4
1520937161,5,5
1520942918,6,6
1520944838,6,6
1520948698,10,10
1520991630,9,9
1520993561,10,10
1520995468,9,9
1521001235,8,8
1521024535,8,8
1521028355,10,10
1521030274,9,9
1521032367,8,8
1521034348,4,4
1521053319,5,5
1521055122,6,6
1521078754,5,5
1521097870,6,6
