DateTime,Entries,UniqueIPs
1525100203,130,130
1525104037,131,131
1525107873,130,130
1525111721,129,129
1525115560,127,127
1525124190,127,127
1525128296,126,126
1525132136,127,127
1525135987,128,128
1525139808,125,125
1525143654,124,124
1525147496,123,123
1525155188,134,134
1525159030,144,144
1525162860,143,143
1525166683,143,143
1525170540,143,143
1525172638,142,142
1525176766,166,166
1525180608,153,153
1525184575,150,150
1525188510,139,139
1525192348,138,138
1525196187,139,139
1525200771,137,137
1525204605,137,137
1525208452,137,137
1525216375,139,139
1525218339,140,140
1525222176,138,138
1525226090,139,139
1525241830,128,128
1525245636,119,119
1525253832,119,119
1525255759,120,120
1525260607,118,118
1525264521,84,84
1525268465,50,50
1525272414,18,18
1525276434,17,17
1525280620,16,16
1525288305,17,17
1525292153,15,15
1525298216,19,19
1525302568,18,18
1525306400,17,17
1525310219,17,17
1525324152,18,18
1525331893,19,19
1525335679,18,18
1525343590,15,15
1525347424,17,17
1525351510,20,20
1525359101,18,18
1525363275,17,17
1525365195,18,18
1525372851,18,18
1525376934,19,19
1525381020,21,21
1525385105,20,20
1525389140,19,19
1525393019,19,19
1525397097,18,18
1525399268,19,19
1525403347,20,20
1525411029,19,19
1525415109,21,21
1525419031,20,20
1525426873,21,21
1525430687,23,23
1525434755,26,26
1525438873,24,24
1525442707,29,29
1525447016,61,61
1525450838,83,83
1525453005,110,110
1525456869,123,123
1525460944,122,122
1525465038,122,122
1525469113,123,123
1525473192,121,121
1525475448,124,124
1525479306,123,123
1525487586,120,120
1525491412,121,121
1525502930,120,120
1525511137,121,121
1525515175,119,119
1525519254,120,120
1525523104,115,115
1525525027,115,115
1525528871,105,105
1525532951,76,76
1525536821,49,49
1525540634,22,22
1525544447,17,17
1525552156,16,16
1525555990,16,16
1525559834,14,14
1525567978,15,15
1525576270,13,13
1525590540,11,11
1525594607,13,13
1525598473,13,13
1525602303,16,16
1525606149,14,14
1525609986,25,25
1525611910,35,35
1525623913,36,36
1525627993,35,35
