DateTime,AddedIPs,RemovedIPs
1526464110,7,0
1526465088,10,21
1526466027,15,0
1526466745,6,8
1526467462,9,6
1526468179,7,13
1526468928,13,4
1526469864,12,16
1526470830,2,9
1526471789,8,8
1526472761,12,5
1526473711,8,7
1526474670,6,9
1526475636,8,7
1526476591,3,14
1526477552,12,6
1526478262,4,6
1526478983,4,10
1526479699,13,13
1526480429,4,9
1526481142,5,0
1526481866,10,7
1526482829,6,15
1526483542,6,0
1526484272,4,4
1526484980,11,6
1526485703,8,27
1526486672,12,14
1526487377,7,0
1526488845,17,31
1526489537,9,14
1526490267,2,0
1526491225,11,16
1526491943,7,4
1526492675,3,11
1526493378,2,7
1526494116,5,0
1526495064,12,14
1526496028,17,5
1526496990,7,9
1526497957,10,12
1526498909,20,10
1526499868,7,5
1526500835,10,7
1526501787,6,19
1526502736,16,0
1526503455,6,11
1526504200,3,24
1526504890,5,0
1526505621,8,12
1526506594,8,13
1526507551,2,8
1526508517,10,19
1526509463,11,7
1526510632,16,12
1526512365,9,12
1526513060,11,0
1526513788,7,14
1526514748,11,6
1526515712,8,8
1526516666,6,6
1526517625,10,9
1526518586,11,10
1526519551,12,12
1526520261,12,11
1526520984,12,11
1526521701,9,0
1526522431,14,17
1526523398,8,13
1526524348,12,10
1526525310,8,14
1526526274,6,7
1526527221,22,14
1526528194,13,10
1526529150,13,11
1526530115,9,12
1526531069,14,3
1526532029,6,8
1526532987,8,8
1526533955,13,3
1526534661,11,7
1526535391,10,7
1526536102,4,0
1526536828,5,10
1526537795,9,5
1526538748,7,8
1526539713,13,11
1526540670,12,5
1526541635,10,13
1526542342,6,6
1526543070,9,8
1526543776,8,0
1526544519,13,10
1526545465,5,3
1526546427,4,5
1526547408,9,15
1526548354,10,11
1526549061,12,12
1526549782,5,6
1526550503,9,0
1526551243,4,3
1526552192,7,18
1526553152,7,17
1526553860,8,0
1526554585,9,11
1526555302,11,0
1526556027,7,12
1526556993,5,12
1526557946,11,6
1526558916,11,7
1526559636,6,4
1526560345,6,9
1526561064,9,0
1526562036,7,7
1526563002,8,19
1526564190,6,3
1526564910,6,4
1526565875,9,3
1526566827,8,6
1526567790,10,17
1526568769,5,5
1526569714,10,9
1526570666,6,8
1526571626,6,12
1526572586,5,15
1526573587,18,7
1526574511,12,17
1526575467,5,6
1526576432,10,2
1526577398,12,11
1526578355,19,19
1526579310,9,4
1526580276,11,7
1526581227,6,10
1526582194,11,15
1526583171,11,3
1526584114,18,6
1526584818,1,6
1526585551,6,9
1526586262,12,0
1526586984,13,32
1526587950,6,12
1526588662,9,11
1526589388,7,6
1526590097,4,11
1526590830,4,5
1526591796,5,7
1526592747,6,13
1526593717,8,12
1526594678,2,7
1526595623,14,20
1526596342,5,33
1526598365,12,17
1526598996,8,6
1526599944,9,3
1526600661,6,15
1526601380,6,9
1526602111,1,0
1526602826,4,8
1526603792,12,13
1526604743,10,8
1526605712,5,9
1526606666,18,21
1526607625,7,11
1526608587,24,16
