DateTime,AddedIPs,RemovedIPs
1526464110,62,66
1526465088,71,38
1526466027,52,61
1526466745,38,38
1526467462,46,43
1526468179,38,45
1526468928,51,57
1526469864,66,52
1526470830,35,56
1526471789,60,46
1526472761,58,38
1526473711,55,50
1526474670,42,44
1526475636,49,45
1526476591,31,42
1526477552,55,54
1526478262,43,31
1526478983,30,29
1526479699,38,35
1526480429,35,34
1526481142,32,51
1526481866,54,33
1526482829,41,42
1526483542,46,46
1526484272,41,38
1526484980,36,43
1526485703,39,39
1526486672,51,60
1526487377,51,47
1526488845,65,52
1526489537,40,43
1526490267,32,30
1526491225,54,40
1526491943,26,35
1526492675,36,29
1526493378,27,42
1526494116,47,43
1526495064,47,45
1526496028,56,45
1526496990,30,32
1526497957,47,47
1526498909,52,51
1526499868,45,42
1526500835,52,62
1526501787,37,36
1526502736,37,52
1526503455,43,40
1526504200,37,36
1526504890,26,44
1526505621,39,42
1526506594,43,41
1526507551,40,49
1526508517,43,64
1526509463,62,48
1526510632,54,89
1526512365,63,43
1526513060,33,53
1526513788,47,82
1526514748,91,62
1526515712,46,52
1526516666,44,34
1526517625,54,57
1526518586,47,43
1526519551,50,32
1526520261,34,29
1526520984,28,57
1526521701,41,43
1526522431,59,44
1526523398,38,45
1526524348,47,56
1526525310,47,52
1526526274,48,21
1526527221,46,57
1526528194,44,57
1526529150,56,50
1526530115,42,47
1526531069,50,45
1526532029,46,48
1526532987,45,51
1526533955,47,70
1526534661,62,36
1526535391,47,41
1526536102,45,61
1526536828,57,40
1526537795,49,64
1526538748,47,52
1526539713,63,45
1526540670,41,69
1526541635,62,53
1526542342,50,50
1526543070,54,49
1526543776,51,50
1526544519,58,42
1526545465,49,60
1526546427,49,84
1526547408,81,59
1526548354,73,57
1526549061,46,56
1526549782,56,41
1526550503,49,49
1526551243,47,67
1526552192,39,38
1526553152,37,67
1526553860,64,33
1526554585,35,59
1526555302,85,50
1526556027,56,28
1526556993,40,54
1526557946,72,47
1526558916,47,56
1526559636,48,39
1526560345,32,27
1526561064,42,43
1526562036,52,43
1526563002,48,49
1526564190,47,47
1526564910,37,40
1526565875,37,61
1526566827,71,36
1526567790,38,100
1526568769,90,44
1526569714,56,34
1526570666,38,58
1526571626,48,60
1526572586,45,45
1526573587,72,44
1526574511,44,37
1526575467,34,58
1526576432,55,48
1526577398,51,34
1526578355,66,45
1526579310,31,58
1526580276,68,44
1526581227,38,31
1526582194,38,47
1526583171,53,44
1526584114,47,60
1526584818,35,58
1526585551,61,54
1526586262,46,49
1526586984,54,43
1526587950,49,49
1526588662,29,31
1526589388,30,32
1526590097,32,41
1526590830,35,33
1526591796,24,48
1526592747,34,32
1526593717,45,55
1526594678,40,34
1526595623,52,49
1526596342,36,31
1526598365,51,75
1526598996,50,30
1526599944,35,44
1526600661,26,56
1526601380,44,36
1526602111,29,44
1526602826,34,26
1526603792,38,49
1526604743,43,34
1526605712,34,42
1526606666,48,35
1526607625,51,53
1526608587,53,41
1526609559,41,47
1526610507,53,65
1526611218,77,42
1526611947,49,35
1526612664,33,55
1526613380,65,39
1526614349,51,45
1526615306,44,51
1526616273,53,33
1526617234,36,59
1526618192,44,46
1526619147,64,35
1526620113,26,56
1526621065,40,54
1526622029,50,45
1526622758,62,40
1526623482,38,32
1526624177,34,37
1526624902,38,57
1526625866,62,47
1526626833,41,46
1526627791,48,46
1526628751,41,23
1526629708,40,49
1526630704,45,95
1526631625,93,32
1526632590,27,24
1526633544,31,52
1526634511,49,48
1526635465,40,33
1526636181,31,39
1526636910,29,23
1526637626,29,34
1526638356,28,96
1526639311,93,24
1526640267,42,51
1526641230,48,41
1526642194,83,36
1526643145,42,99
1526643859,56,45
1526644589,42,51
1526645300,36,34
1526647022,66,54
1526647951,27,33
1526648918,50,47
1526649617,41,40
1526650349,41,27
1526651305,38,47
1526652277,38,45
1526653233,47,33
1526653941,34,32
1526654668,32,38
1526655633,36,42
1526656389,52,43
1526657306,43,48
1526658023,47,26
1526658746,42,36
1526659466,47,37
1526660430,40,48
1526661151,26,34
1526661866,23,30
1526662582,48,34
1526663317,28,38
1526664265,49,43
1526664980,34,31
1526665703,31,24
1526666439,31,26
1526667393,25,34
1526668358,46,32
1526669060,36,32
1526669779,27,40
1526670504,35,41
1526671224,42,29
1526672199,42,48
1526673153,31,60
1526674123,73,61
1526675066,59,42
1526676054,29,35
1526676983,32,44
1526677956,42,57
1526678661,41,29
1526679381,25,34
1526680101,35,39
1526680831,31,31
1526681804,41,38
1526683055,42,33
1526683951,40,46
1526684919,33,30
1526685870,35,50
1526686579,38,40
1526687304,36,31
1526688047,37,33
1526688992,45,38
1526689954,41,45
1526690663,40,36
1526691380,35,26
1526692099,37,33
1526692832,39,30
1526693551,27,54
1526694263,40,35
1526695226,36,42
1526696191,46,42
1526696896,27,41
1526697877,40,37
1526698836,36,35
1526699800,34,43
1526700746,46,57
1526701459,46,36
1526702181,26,25
1526703152,27,88
1526703863,70,31
1526704589,34,24
1526705556,34,43
1526706512,37,56
1526707470,42,34
1526708425,42,56
1526709163,38,36
1526709874,45,25
1526710820,43,34
1526711542,35,45
1526712264,59,35
1526712977,43,36
1526713703,26,33
1526714668,37,56
1526715380,54,34
1526716102,53,33
1526716828,39,44
1526717546,44,59
1526718270,43,39
1526718989,43,48
1526719944,57,39
1526720921,40,47
1526721867,49,44
1526722830,53,51
1526723540,50,51
1526724278,48,66
1526724977,65,27
1526725705,36,47
1526726678,54,47
1526727637,47,50
1526728589,57,38
1526729540,36,40
1526730505,23,40
1526731479,58,52
1526732440,46,44
1526733382,59,45
1526734592,47,46
1526735548,39,59
1526736513,50,45
1526737466,56,43
1526738176,26,24
1526738905,28,42
1526739617,52,41
1526740355,54,46
1526741060,45,35
1526741792,47,31
1526742501,30,46
1526743223,32,33
1526743945,39,49
1526744666,36,30
1526745377,39,33
1526746146,39,43
1526747065,50,50
1526747779,37,50
1526748501,38,42
1526749229,37,40
1526749957,35,62
1526750680,64,28
1526751380,35,57
1526752343,46,37
1526753319,43,30
1526754017,38,40
1526754752,48,30
1526755725,46,44
1526756427,32,31
1526757152,32,36
1526757859,39,30
1526758582,47,42
1526759556,38,42
1526760521,22,52
1526761470,53,37
1526762429,34,37
1526763395,44,39
1526764354,56,41
1526765315,34,48
1526766018,38,37
1526766745,33,44
1526767468,31,35
1526768198,39,47
1526769550,45,111
1526770346,36,42
1526771063,38,41
1526772018,49,31
1526772985,32,44
1526773687,54,32
1526774424,42,28
1526775158,31,39
1526775862,22,33
1526776580,36,29
1526777308,27,23
1526778026,27,52
1526778995,70,42
1526779947,41,40
1526780910,40,48
1526781620,34,33
1526782347,37,42
1526783066,46,35
1526783791,22,30
1526784738,32,36
1526785722,28,26
1526786752,25,55
1526787624,60,41
1526788587,33,35
1526789539,30,44
1526790254,39,32
1526790974,26,45
1526791690,42,22
1526792422,37,38
1526793384,31,42
1526794357,32,38
1526795308,49,31
1526796287,37,37
1526797222,32,45
1526798194,46,45
1526799152,48,38
1526800116,54,44
1526801066,44,53
1526802035,45,43
1526802984,56,49
1526803959,51,35
1526804907,49,52
1526805872,53,40
1526806828,56,35
1526807798,36,38
1526808751,44,47
1526809712,42,46
1526810674,54,35
1526811630,57,44
1526812593,44,66
1526813551,33,46
1526814516,40,60
1526816205,79,48
1526816899,42,50
1526817651,40,36
1526818595,46,53
1526819551,41,35
1526820513,47,49
1526821221,54,30
1526821964,21,47
1526822664,46,48
1526823624,69,49
