DateTime,Entries,UniqueIPs
1526464110,8465,8465
1526465088,8498,8498
1526466027,8489,8489
1526466745,8489,8489
1526467462,8492,8492
1526468179,8485,8485
1526468928,8479,8479
1526469864,8493,8493
1526470830,8472,8472
1526471789,8486,8486
1526472761,8506,8506
1526473711,8511,8511
1526474670,8509,8509
1526475636,8513,8513
1526476591,8502,8502
1526477552,8503,8503
1526478262,8515,8515
1526478983,8516,8516
1526479699,8519,8519
1526480429,8520,8520
1526481142,8501,8501
1526481866,8522,8522
1526482829,8521,8521
1526483542,8521,8521
1526484272,8524,8524
1526484980,8517,8517
1526485703,8517,8517
1526486672,8508,8508
1526487377,8512,8512
1526488845,8525,8525
1526489537,8522,8522
1526490267,8524,8524
1526491225,8538,8538
1526491943,8529,8529
1526492675,8536,8536
1526493378,8521,8521
1526494116,8525,8525
1526495064,8527,8527
1526496028,8538,8538
1526496990,8536,8536
1526497957,8536,8536
1526498909,8537,8537
1526499868,8540,8540
1526500835,8530,8530
1526501787,8531,8531
1526502736,8516,8516
1526503455,8519,8519
1526504200,8520,8520
1526504890,8502,8502
1526505621,8499,8499
1526506594,8501,8501
1526507551,8492,8492
1526508517,8471,8471
1526509463,8485,8485
1526510632,8450,8450
1526512365,8470,8470
1526513060,8450,8450
1526513788,8415,8415
1526514748,8444,8444
1526515712,8438,8438
1526516666,8448,8448
1526517625,8445,8445
1526518586,8449,8449
1526519551,8467,8467
1526520261,8472,8472
1526520984,8443,8443
1526521701,8441,8441
1526522431,8456,8456
1526523398,8449,8449
1526524348,8440,8440
1526525310,8435,8435
1526526274,8462,8462
1526527221,8451,8451
1526528194,8438,8438
1526529150,8444,8444
1526530115,8439,8439
1526531069,8444,8444
1526532029,8442,8442
1526532987,8436,8436
1526533955,8413,8413
1526534661,8439,8439
1526535391,8445,8445
1526536102,8429,8429
1526536828,8446,8446
1526537795,8431,8431
1526538748,8426,8426
1526539713,8444,8444
1526540670,8416,8416
1526541635,8425,8425
1526542342,8425,8425
1526543070,8430,8430
1526543776,8431,8431
1526544519,8447,8447
1526545465,8436,8436
1526546427,8401,8401
1526547408,8423,8423
1526548354,8439,8439
1526549061,8429,8429
1526549782,8444,8444
1526550503,8444,8444
1526551243,8424,8424
1526552192,8425,8425
1526553152,8395,8395
1526553860,8426,8426
1526554585,8402,8402
1526555302,8437,8437
1526556027,8465,8465
1526556993,8451,8451
1526557946,8476,8476
1526558916,8467,8467
1526559636,8476,8476
1526560345,8481,8481
1526561064,8480,8480
1526562036,8489,8489
1526563002,8488,8488
1526564190,8488,8488
1526564910,8485,8485
1526565875,8461,8461
1526566827,8496,8496
1526567790,8434,8434
1526568769,8480,8480
1526569714,8502,8502
1526570666,8482,8482
1526571626,8470,8470
1526572586,8470,8470
1526573587,8498,8498
1526574511,8505,8505
1526575467,8481,8481
1526576432,8488,8488
1526577398,8505,8505
1526578355,8526,8526
1526579310,8499,8499
1526580276,8523,8523
1526581227,8530,8530
1526582194,8521,8521
1526583171,8530,8530
1526584114,8517,8517
1526584818,8494,8494
1526585551,8501,8501
1526586262,8498,8498
1526586984,8509,8509
1526587950,8509,8509
1526588662,8507,8507
1526589388,8505,8505
1526590097,8496,8496
1526590830,8498,8498
1526591796,8474,8474
1526592747,8476,8476
1526593717,8466,8466
1526594678,8472,8472
1526595623,8475,8475
1526596342,8480,8480
1526598365,8456,8456
1526598996,8476,8476
1526599944,8467,8467
1526600661,8437,8437
1526601380,8445,8445
1526602111,8430,8430
1526602826,8438,8438
1526603792,8427,8427
1526604743,8436,8436
1526605712,8428,8428
1526606666,8441,8441
1526607625,8439,8439
1526608587,8451,8451
1526609559,8445,8445
1526610507,8433,8433
1526611218,8468,8468
1526611947,8482,8482
1526612664,8460,8460
1526613380,8486,8486
1526614349,8492,8492
1526615306,8485,8485
1526616273,8505,8505
1526617234,8482,8482
1526618192,8480,8480
1526619147,8509,8509
1526620113,8479,8479
1526621065,8465,8465
1526622029,8470,8470
1526622758,8492,8492
1526623482,8498,8498
1526624177,8495,8495
1526624902,8476,8476
1526625866,8491,8491
1526626833,8486,8486
1526627791,8488,8488
1526628751,8506,8506
1526629708,8497,8497
1526630704,8447,8447
1526631625,8508,8508
1526632590,8511,8511
1526633544,8490,8490
1526634511,8491,8491
1526635465,8498,8498
1526636181,8490,8490
1526636910,8496,8496
1526637626,8491,8491
1526638356,8423,8423
1526639311,8492,8492
1526640267,8483,8483
1526641230,8490,8490
1526642194,8537,8537
1526643145,8480,8480
1526643859,8491,8491
1526644589,8482,8482
1526645300,8484,8484
1526647022,8496,8496
1526647951,8490,8490
1526648918,8493,8493
1526649617,8494,8494
1526650349,8508,8508
1526651305,8499,8499
1526652277,8492,8492
1526653233,8506,8506
1526653941,8508,8508
1526654668,8502,8502
1526655633,8496,8496
1526656389,8505,8505
1526657306,8500,8500
1526658023,8521,8521
1526658746,8527,8527
1526659466,8537,8537
1526660430,8529,8529
1526661151,8521,8521
1526661866,8514,8514
1526662582,8528,8528
1526663317,8518,8518
1526664265,8524,8524
1526664980,8527,8527
1526665703,8534,8534
1526666439,8539,8539
1526667393,8530,8530
1526668358,8544,8544
1526669060,8548,8548
1526669779,8535,8535
1526670504,8529,8529
1526671224,8542,8542
1526672199,8536,8536
1526673153,8507,8507
1526674123,8519,8519
1526675066,8536,8536
1526676054,8530,8530
1526676983,8518,8518
1526677956,8503,8503
1526678661,8515,8515
1526679381,8506,8506
1526680101,8502,8502
1526680831,8502,8502
1526681804,8505,8505
1526683055,8514,8514
1526683951,8508,8508
1526684919,8511,8511
1526685870,8496,8496
1526686579,8494,8494
1526687304,8499,8499
1526688047,8503,8503
1526688992,8510,8510
1526689954,8506,8506
1526690663,8510,8510
1526691380,8519,8519
1526692099,8523,8523
1526692832,8532,8532
1526693551,8505,8505
1526694263,8510,8510
1526695226,8504,8504
1526696191,8508,8508
1526696896,8494,8494
1526697877,8497,8497
1526698836,8498,8498
1526699800,8489,8489
1526700746,8478,8478
1526701459,8488,8488
1526702181,8489,8489
1526703152,8428,8428
1526703863,8467,8467
1526704589,8477,8477
1526705556,8468,8468
1526706512,8449,8449
1526707470,8457,8457
1526708425,8443,8443
1526709163,8445,8445
1526709874,8465,8465
1526710820,8474,8474
1526711542,8464,8464
1526712264,8488,8488
1526712977,8495,8495
1526713703,8488,8488
1526714668,8469,8469
1526715380,8489,8489
1526716102,8509,8509
1526716828,8504,8504
1526717546,8489,8489
1526718270,8493,8493
1526718989,8488,8488
1526719944,8506,8506
1526720921,8499,8499
1526721867,8504,8504
1526722830,8506,8506
1526723540,8505,8505
1526724278,8487,8487
1526724977,8525,8525
1526725705,8514,8514
1526726678,8521,8521
1526727637,8518,8518
1526728589,8537,8537
1526729540,8533,8533
1526730505,8516,8516
1526731479,8522,8522
1526732440,8524,8524
1526733382,8538,8538
1526734592,8539,8539
1526735548,8519,8519
1526736513,8524,8524
1526737466,8537,8537
1526738176,8539,8539
1526738905,8525,8525
1526739617,8536,8536
1526740355,8544,8544
1526741060,8554,8554
1526741792,8570,8570
1526742501,8554,8554
1526743223,8553,8553
1526743945,8543,8543
1526744666,8549,8549
1526745377,8555,8555
1526746146,8551,8551
1526747065,8551,8551
1526747779,8538,8538
1526748501,8534,8534
1526749229,8531,8531
1526749957,8504,8504
1526750680,8540,8540
1526751380,8518,8518
1526752343,8527,8527
1526753319,8540,8540
1526754017,8538,8538
1526754752,8556,8556
1526755725,8558,8558
1526756427,8559,8559
1526757152,8555,8555
1526757859,8564,8564
1526758582,8569,8569
1526759556,8565,8565
1526760521,8535,8535
1526761470,8551,8551
1526762429,8548,8548
1526763395,8553,8553
1526764354,8568,8568
1526765315,8554,8554
1526766018,8555,8555
1526766745,8544,8544
1526767468,8540,8540
1526768198,8532,8532
1526769550,8466,8466
1526770346,8460,8460
1526771063,8457,8457
1526772018,8475,8475
1526772985,8463,8463
1526773687,8485,8485
1526774424,8499,8499
1526775158,8491,8491
1526775862,8480,8480
1526776580,8487,8487
1526777308,8491,8491
1526778026,8466,8466
1526778995,8494,8494
1526779947,8495,8495
1526780910,8487,8487
1526781620,8488,8488
1526782347,8483,8483
1526783066,8494,8494
1526783791,8486,8486
1526784738,8482,8482
1526785722,8484,8484
1526786752,8454,8454
1526787624,8473,8473
1526788587,8471,8471
1526789539,8457,8457
1526790254,8464,8464
1526790974,8445,8445
1526791690,8465,8465
1526792422,8464,8464
1526793384,8453,8453
1526794357,8447,8447
1526795308,8465,8465
1526796287,8465,8465
1526797222,8452,8452
1526798194,8453,8453
1526799152,8463,8463
1526800116,8473,8473
1526801066,8464,8464
1526802035,8466,8466
1526802984,8473,8473
1526803959,8489,8489
1526804907,8486,8486
1526805872,8499,8499
1526806828,8520,8520
1526807798,8518,8518
1526808751,8515,8515
1526809712,8511,8511
1526810674,8530,8530
1526811630,8543,8543
1526812593,8521,8521
1526813551,8508,8508
1526814516,8488,8488
1526816205,8519,8519
1526816899,8511,8511
1526817651,8515,8515
1526818595,8508,8508
1526819551,8514,8514
1526820513,8512,8512
1526821221,8536,8536
1526821964,8510,8510
1526822664,8508,8508
1526823624,8528,8528
1526824342,8524,8524
1526825077,8501,8501
1526825787,8495,8495
1526826757,8483,8483
1526827462,8486,8486
1526828180,8490,8490
1526828902,8494,8494
1526829629,8497,8497
1526830589,8490,8490
1526831557,8482,8482
1526832545,8486,8486
1526833468,8480,8480
1526834425,8486,8486
1526835389,8477,8477
1526836354,8486,8486
1526837313,8503,8503
1526838266,8485,8485
1526838976,8489,8489
1526839704,8487,8487
1526840417,8503,8503
1526841150,8502,8502
1526842110,8502,8502
1526843077,8500,8500
1526844028,8505,8505
1526844741,8505,8505
1526845464,8509,8509
1526846188,8504,8504
1526846920,8502,8502
1526847863,8502,8502
1526848830,8498,8498
1526849786,8523,8523
1526850759,8503,8503
1526851726,8524,8524
1526852672,8496,8496
1526853631,8495,8495
1526854592,8507,8507
1526855549,8508,8508
1526857972,8476,8476
1526858672,8485,8485
1526859373,8477,8477
1526860337,8481,8481
1526861311,8488,8488
1526862264,8501,8501
1526863225,8510,8510
1526864184,8507,8507
1526865152,8516,8516
1526866105,8521,8521
1526867070,8507,8507
1526868033,8503,8503
1526868992,8510,8510
1526869950,8503,8503
1526870660,8504,8504
1526871387,8507,8507
1526872099,8489,8489
1526872825,8487,8487
1526873799,8467,8467
1526874743,8489,8489
1526875711,8488,8488
1526876666,8484,8484
1526877636,8476,8476
1526878340,8464,8464
1526879076,8481,8481
1526879777,8421,8421
1526880502,8481,8481
1526881466,8480,8480
1526882176,8490,8490
1526882913,8465,8465
1526883616,8482,8482
1526884351,8481,8481
1526885309,8499,8499
1526886017,8499,8499
1526886754,8491,8491
1526887464,8513,8513
1526888182,8514,8514
1526889144,8519,8519
1526890111,8513,8513
1526891064,8510,8510
1526892032,8510,8510
1526892985,8523,8523
1526893952,8502,8502
1526894931,8508,8508
1526895866,8515,8515
1526896829,8500,8500
1526897804,8516,8516
