DateTime,Entries,UniqueIPs
1526199277,8714,8714
1526200841,8696,8696
1526202872,8694,8694
1526204157,8687,8687
1526205281,8687,8687
1526206461,8687,8687
1526208091,8681,8681
1526209535,8676,8676
1526211037,8677,8677
1526212149,8676,8676
1526213283,8674,8674
1526215344,8676,8676
1526216199,8675,8675
1526218104,8677,8677
1526218951,8672,8672
1526220328,8671,8671
1526221525,8671,8671
1526222738,8667,8667
1526223940,8665,8665
1526225442,8659,8659
1526226143,8660,8660
1526228076,8656,8656
1526228903,8657,8657
1526230230,8643,8643
1526231442,8641,8641
1526232939,8636,8636
1526234193,8638,8638
1526235339,8629,8629
1526237835,8628,8628
1526238862,8622,8622
1526240543,8610,8610
1526241388,8610,8610
1526242482,8606,8606
1526244047,8604,8604
1526245544,8588,8588
1526247332,8580,8580
1526249425,8569,8569
1526251358,8571,8571
1526252735,8570,8570
1526253942,8572,8572
1526256883,8552,8552
1526258440,8545,8545
1526260472,8546,8546
1526261731,8536,8536
1526263852,8535,8535
1526264909,8537,8537
1526266620,8534,8534
1526267750,8532,8532
1526269132,8525,8525
1526271342,8517,8517
1526272131,8518,8518
1526272955,8512,8512
1526273789,8514,8514
1526274894,8516,8516
1526276270,8514,8514
1526278240,8514,8514
1526280159,8514,8514
1526280999,8514,8514
1526282075,8514,8514
1526282918,8516,8516
1526283763,8515,8515
1526285673,8517,8517
1526287358,8512,8512
1526289263,8517,8517
1526290537,8520,8520
1526291726,8522,8522
1526292872,8519,8519
1526293703,8520,8520
1526295386,8510,8510
1526296536,8512,8512
1526297725,8514,8514
1526298937,8518,8518
1526300075,8519,8519
1526300903,8522,8522
1526301767,8524,8524
1526304512,8526,8526
1526306191,8520,8520
1526307311,8520,8520
1526308613,8515,8515
1526309797,8514,8514
1526310870,8508,8508
1526312432,8510,8510
1526313399,8511,8511
1526314537,8510,8510
1526316158,8509,8509
1526318077,8509,8509
1526320600,8508,8508
1526321673,8507,8507
1526322864,8510,8510
1526323365,8511,8511
1526324738,8513,8513
1526326961,8512,8512
1526328944,8517,8517
1526330476,8522,8522
1526332478,8532,8532
1526333321,8538,8538
1526334989,8568,8568
1526336069,8578,8578
1526337331,8590,8590
1526338542,8604,8604
1526339712,8619,8619
1526340935,8628,8628
1526342133,8642,8642
1526343333,8656,8656
1526344840,8672,8672
1526346871,8696,8696
1526348563,8717,8717
1526349972,8728,8728
1526352046,8729,8729
1526353564,8728,8728
1526354735,8731,8731
1526356279,8729,8729
1526357449,8730,8730
1526358649,8732,8732
1526359361,8731,8731
1526360756,8734,8734
1526362966,8736,8736
1526363789,8742,8742
1526364873,8741,8741
1526366436,8743,8743
1526368464,8752,8752
1526369726,8748,8748
1526370997,8751,8751
1526372068,8753,8753
1526373640,8758,8758
1526375672,8758,8758
1526376931,8757,8757
1526378033,8758,8758
1526379334,8760,8760
1526380836,8758,8758
1526381788,8759,8759
1526382872,8757,8757
1526384560,8760,8760
1526385733,8762,8762
1526387302,8764,8764
1526388156,8762,8762
1526388998,8765,8765
1526390071,8765,8765
1526391757,8768,8768
1526392608,8770,8770
1526393672,8771,8771
1526394927,8773,8773
1526397341,8776,8776
1526398861,8775,8775
1526399793,8776,8776
1526400930,8774,8774
1526402556,8774,8774
1526403393,8776,8776
1526404518,8773,8773
1526405312,8773,8773
1526406165,8775,8775
1526406991,8775,8775
1526408922,8776,8776
1526410239,8779,8779
1526411404,8779,8779
1526412521,8781,8781
1526413357,8779,8779
1526416107,8782,8782
1526417800,8781,8781
1526418936,8782,8782
1526419707,8784,8784
1526420832,8781,8781
1526424166,8779,8779
1526425542,8780,8780
1526426916,8784,8784
1526427756,8782,8782
1526429453,8781,8781
1526430699,8781,8781
1526431831,8783,8783
1526433280,8784,8784
1526436168,8786,8786
1526438588,8785,8785
1526440475,8787,8787
1526442228,8788,8788
1526443845,8792,8792
1526445756,8791,8791
1526447094,8788,8788
1526448459,8790,8790
1526449367,8788,8788
1526451042,8788,8788
1526453435,8785,8785
1526454636,8783,8783
1526455842,8782,8782
1526456565,8783,8783
1526458475,8785,8785
1526459304,8786,8786
1526460165,8783,8783
1526462071,8782,8782
1526463747,8781,8781
1526464629,8782,8782
1526465664,8781,8781
1526466926,8778,8778
1526468141,8785,8785
1526469283,8787,8787
1526470450,8785,8785
1526471569,8787,8787
1526472863,8785,8785
1526474550,8783,8783
1526475763,8784,8784
1526477134,8785,8785
1526478148,8782,8782
1526479841,8780,8780
1526481742,8779,8779
1526483160,8778,8778
1526485344,8778,8778
1526486203,8779,8779
1526488102,8778,8778
1526488953,8779,8779
1526489786,8782,8782
1526490915,8782,8782
1526492556,8780,8780
1526493397,8781,8781
1526494536,8780,8780
1526495322,8781,8781
1526496939,8776,8776
1526498131,8775,8775
1526498905,8776,8776
1526501404,8770,8770
1526502532,8773,8773
1526504385,8729,8729
1526506118,8730,8730
1526507688,8714,8714
1526508940,8690,8690
1526511549,8653,8653
1526512779,8658,8658
1526514033,8649,8649
1526516082,8647,8647
1526517750,8651,8651
1526519675,8649,8649
1526521242,8667,8667
1526522189,8682,8682
1526523284,8691,8691
1526524537,8701,8701
1526525739,8720,8720
1526526958,8730,8730
1526527722,8746,8746
1526528549,8748,8748
1526529849,8758,8758
1526531314,8772,8772
1526532993,8785,8785
1526534077,8790,8790
1526535358,8798,8798
1526536535,8811,8811
1526537678,8812,8812
1526539235,8818,8818
1526540737,8829,8829
1526542950,8821,8821
1526543791,8825,8825
1526544875,8829,8829
1526546134,8828,8828
1526547326,8827,8827
1526548536,8825,8825
1526550561,8819,8819
1526552064,8817,8817
1526552904,8818,8818
1526554315,8817,8817
1526555663,8816,8816
1526556592,8814,8814
1526558188,8815,8815
1526559341,8811,8811
1526560963,8811,8811
1526562335,8811,8811
1526563836,8809,8809
1526565057,8814,8814
1526566470,8816,8816
1526568152,8820,8820
1526568990,8821,8821
1526570065,8820,8820
1526571472,8819,8819
1526573665,8816,8816
1526574505,8817,8817
1526576192,8813,8813
1526577270,8814,8814
1526578436,8813,8813
1526579741,8814,8814
1526580870,8811,8811
1526582133,8811,8811
1526583753,8812,8812
1526586338,8813,8813
1526589762,8808,8808
1526591670,8810,8810
1526595275,8809,8809
1526597786,8806,8806
1526598941,8805,8805
1526600435,8803,8803
1526602241,8805,8805
1526604635,8805,8805
1526605833,8806,8806
1526606920,8809,8809
1526608173,8808,8808
1526609436,8811,8811
1526611351,8811,8811
1526612190,8812,8812
1526613268,8809,8809
1526614398,8807,8807
1526614963,8806,8806
1526615796,8807,8807
1526616864,8807,8807
1526618566,8808,8808
1526619390,8809,8809
1526621319,8812,8812
1526622993,8811,8811
1526624155,8811,8811
1526624912,8812,8812
1526626226,8810,8810
1526627677,8809,8809
1526629347,8807,8807
1526631039,8809,8809
1526632957,8808,8808
1526633803,8809,8809
1526634864,8808,8808
1526636158,8810,8810
1526638223,8806,8806
1526640158,8807,8807
1526641313,8813,8813
1526642449,8821,8821
1526643637,8835,8835
1526644596,8841,8841
1526645739,8849,8849
1526647344,8865,8865
1526648553,8866,8866
1526650110,8878,8878
1526651738,8888,8888
1526652932,8898,8898
1526654073,8902,8902
1526655557,8916,8916
1526656472,8925,8925
1526657309,8931,8931
1526658462,8940,8940
1526659838,8950,8950
1526661330,8964,8964
1526662528,8975,8975
1526663737,8985,8985
1526665240,8990,8990
1526667339,8999,8999
1526668523,9003,9003
1526669742,9017,9017
1526670940,9031,9031
1526672137,9037,9037
1526672554,9039,9039
1526673746,9046,9046
1526674899,9052,9052
1526675316,9059,9059
1526676153,9059,9059
1526678075,9070,9070
1526679760,9077,9077
1526680592,9078,9078
1526681676,9081,9081
1526682852,9075,9075
1526684184,9070,9070
1526686130,9060,9060
1526687259,9031,9031
1526688874,9029,9029
1526690545,9008,9008
1526692469,8991,8991
1526694146,8969,8969
1526696068,8953,8953
1526697755,8923,8923
1526699683,8917,8917
1526701162,8900,8900
1526703280,8885,8885
1526704946,8867,8867
1526706874,8859,8859
1526708561,8839,8839
1526709396,8840,8840
1526710484,8823,8823
1526712336,8822,8822
1526713446,8818,8818
1526714924,8818,8818
1526715755,8816,8816
1526716583,8817,8817
1526717663,8817,8817
1526718512,8818,8818
1526720141,8816,8816
1526721265,8815,8815
1526722581,8816,8816
1526724930,8818,8818
1526726441,8816,8816
1526728474,8817,8817
1526730033,8825,8825
1526730998,8826,8826
1526732141,8832,8832
1526732912,8837,8837
1526735665,8843,8843
1526736926,8851,8851
1526737344,8853,8853
1526738193,8860,8860
1526739344,8862,8862
1526740530,8863,8863
1526740953,8867,8867
1526742868,8874,8874
1526743723,8879,8879
1526744552,8881,8881
1526746236,8880,8880
1526747439,8876,8876
1526748988,8877,8877
1526750922,8878,8878
1526752536,8875,8875
1526753673,8872,8872
1526755352,8870,8870
1526756204,8871,8871
1526757335,8872,8872
1526758848,8873,8873
1526760268,8869,8869
1526761539,8866,8866
1526762736,8859,8859
1526764026,8851,8851
1526764477,8850,8850
1526765314,8847,8847
1526767001,8846,8846
1526768147,8847,8847
1526769749,8848,8848
1526771136,8846,8846
1526772333,8847,8847
1526773546,8848,8848
1526775037,8848,8848
1526776860,8844,8844
1526778866,8843,8843
1526780546,8845,8845
1526782117,8851,8851
1526783266,8851,8851
1526784937,8849,8849
1526786079,8850,8850
1526787754,8846,8846
1526789312,8849,8849
1526790507,8850,8850
1526791831,8850,8850
1526793273,8850,8850
1526794129,8852,8852
1526794970,8852,8852
1526795789,8853,8853
1526796955,8853,8853
1526798450,8851,8851
1526799946,8851,8851
1526802344,8849,8849
1526803562,8849,8849
1526804926,8848,8848
1526805757,8844,8844
1526807685,8843,8843
1526808507,8843,8843
1526809348,8840,8840
1526811265,8835,8835
1526812537,8825,8825
1526813755,8822,8822
1526814886,8814,8814
1526816446,8810,8810
1526818237,8802,8802
1526819462,8795,8795
1526821849,8780,8780
1526823050,8776,8776
1526825680,8763,8763
1526826508,8766,8766
1526828203,8750,8750
1526829340,8745,8745
1526830950,8725,8725
1526831804,8725,8725
1526833714,8719,8719
1526835389,8696,8696
1526836551,8690,8690
1526837308,8692,8692
1526839492,8668,8668
1526840624,8669,8669
1526841941,8651,8651
1526843093,8644,8644
1526845255,8633,8633
1526846200,8634,8634
1526847285,8625,8625
1526848558,8613,8613
1526850353,8613,8613
1526851737,8616,8616
1526853033,8610,8610
1526854479,8606,8606
1526857534,8603,8603
1526858089,8604,8604
1526859758,8606,8606
1526860609,8607,8607
1526862507,8609,8609
1526863382,8607,8607
1526864769,8606,8606
1526866962,8604,8604
1526867796,8606,8606
1526868946,8608,8608
1526870599,8606,8606
1526872249,8604,8604
1526874171,8603,8603
1526876073,8601,8601
1526877756,8595,8595
1526878599,8596,8596
1526879743,8593,8593
1526881359,8592,8592
1526883054,8591,8591
1526884377,8592,8592
1526885739,8592,8592
1526886941,8592,8592
1526887708,8593,8593
1526889344,8593,8593
1526890542,8593,8593
1526892309,8591,8591
1526894143,8589,8589
1526895238,8590,8590
