DateTime,AddedIPs,RemovedIPs
1526248799,111,111
1526251328,177,112
1526252711,62,83
1526253926,76,1
1526256853,185,177
1526258407,132,104
1526260446,151,68
1526261707,137,115
1526263816,159,138
1526264887,118,1
1526266599,127,89
1526267708,73,142
1526269105,120,125
1526271314,212,93
1526272104,58,0
1526272929,75,154
1526273766,64,0
1526274866,60,57
1526276251,152,115
1526278212,156,119
1526280127,163,133
1526280966,58,1
1526282046,88,167
1526282886,59,1
1526283733,77,149
1526284567,58,0
1526285645,87,137
1526287327,241,212
1526289246,823,115
1526290507,510,140
1526291707,348,53
1526292853,138,100
1526293686,54,0
1526295369,95,177
1526296513,59,93
1526297707,310,121
1526298906,509,0
1526300052,328,168
1526300886,71,1
1526301741,52,199
1526304486,186,83
1526306166,127,137
1526307264,90,85
1526308595,104,99
1526309767,74,36
1526310852,55,71
1526312409,132,90
1526313367,145,2
1526314507,137,77
1526316131,290,136
1526318046,294,60
1526318886,76,1
1526320572,138,121
1526321646,117,84
1526322839,94,92
1526323334,42,0
1526325608,231,141
1526326931,132,160
1526327766,44,0
1526328907,70,63
1526330437,120,91
1526332446,140,41
1526333288,81,0
1526334966,167,61
1526336047,79,87
1526337306,109,72
1526338511,101,24
1526339615,90,38
1526340907,129,116
1526342107,96,38
1526343306,161,49
1526344810,179,135
1526346846,197,46
1526348534,165,53
1526349937,101,80
1526351043,89,0
1526352197,54,85
1526353516,97,99
1526354713,101,0
1526356256,105,93
1526357412,74,95
1526358618,103,99
1526359331,70,29
1526360720,97,107
1526362932,147,126
1526363766,58,1
1526364846,74,105
1526366410,104,174
1526368446,156,95
1526369707,103,151
1526370967,155,0
1526372046,85,166
1526373615,221,111
1526375647,232,39
1526376907,93,109
1526378010,116,1
1526379306,152,109
1526380807,132,161
1526381766,77,0
1526382846,78,80
1526384529,168,160
1526385702,92,69
1526386446,57,0
1526387286,89,2
1526388129,92,167
1526388968,87,0
1526390046,142,87
1526391731,108,122
1526392572,80,1
1526393646,100,73
1526394906,98,127
1526395328,22,0
1526396166,70,0
1526397307,63,168
1526398832,65,175
1526399766,62,0
1526400907,74,93
1526402531,127,113
1526403651,78,81
1526405286,237,1
1526406127,66,121
1526406967,83,1
1526408887,152,72
1526410211,104,186
1526410847,34,102
1526412486,101,0
1526413330,39,143
1526416087,168,129
1526417767,122,127
1526418907,78,73
1526419687,37,0
1526420791,51,130
1526422213,94,48
1526423286,37,0
1526424130,39,80
1526425518,64,95
1526426886,56,1
1526427730,43,175
1526429426,85,99
1526430677,115,165
1526431811,67,0
1526432167,31,0
1526433246,70,109
1526434086,54,0
1526434930,36,214
1526436113,59,65
1526437840,92,106
1526438555,45,68
1526440447,112,113
1526442195,102,127
1526443818,91,133
1526445729,98,200
1526447065,108,87
1526448425,77,0
1526449340,57,197
1526451013,119,99
