DateTime,Entries,UniqueIPs
1526240547,4789,4789
1526241392,4829,4829
1526242486,4811,4811
1526244051,4834,4834
1526245548,4867,4867
1526246075,4882,4882
1526247336,4892,4892
1526249434,4880,4880
1526251362,4912,4912
1526252738,4882,4882
1526253946,4889,4889
1526256887,4880,4880
1526258448,4921,4921
1526260475,4972,4972
1526261734,5041,5041
1526263856,5073,5073
1526264913,5135,5135
1526266624,5172,5172
1526267754,5164,5164
1526269136,5155,5155
1526271346,5236,5236
1526272134,5266,5266
1526272959,5232,5232
1526273792,5246,5246
1526274897,5244,5244
1526276274,5260,5260
1526278244,5274,5274
1526280165,5277,5277
1526281002,5303,5303
1526282078,5258,5258
1526282921,5266,5266
1526283766,5236,5236
1526284599,5258,5258
1526285676,5226,5226
1526287363,5208,5208
1526289266,5205,5205
1526290541,5212,5212
1526291729,5216,5216
1526292875,5224,5224
1526293707,5241,5241
1526295390,5222,5222
1526296540,5206,5206
1526297729,5211,5211
1526298940,5259,5259
1526300077,5258,5258
1526300906,5290,5290
1526301774,5233,5233
1526304515,5256,5256
1526306195,5247,5247
1526307314,5276,5276
1526308617,5277,5277
1526309806,5305,5305
1526310873,5314,5314
1526312438,5342,5342
1526313403,5381,5381
1526314540,5381,5381
1526316165,5407,5407
1526318080,5452,5452
1526318915,5469,5469
1526320603,5467,5467
1526321676,5461,5461
1526322872,5436,5436
1526323369,5444,5444
1526324742,5407,5407
1526326969,5454,5454
1526327794,5459,5459
1526328948,5440,5440
1526330487,5460,5460
1526332482,5504,5504
1526333325,5533,5533
1526334993,5581,5581
1526336072,5592,5592
1526337334,5612,5612
1526338546,5664,5664
1526339728,5707,5707
1526340941,5715,5715
1526342137,5725,5725
1526343337,5757,5757
1526344845,5753,5753
1526346875,5825,5825
1526348569,5887,5887
1526349976,5913,5913
1526352051,5953,5953
1526353575,5977,5977
1526354739,6012,6012
1526356292,6006,6006
1526357452,5989,5989
1526358656,5955,5955
1526359365,5985,5985
1526360762,5989,5989
1526362972,5976,5976
1526363793,5992,5992
1526364876,5961,5961
1526366441,5922,5922
1526368467,5923,5923
1526369729,5845,5845
1526371003,5885,5885
1526372072,5825,5825
1526373647,5927,5927
1526375675,6027,6027
1526376935,6027,6027
1526378039,6072,6072
1526379338,6139,6139
1526380841,6163,6163
1526381791,6180,6180
1526382875,6186,6186
1526384566,6171,6171
1526385738,6162,6162
1526386479,6187,6187
1526387306,6236,6236
1526388162,6183,6183
1526389002,6222,6222
1526390074,6215,6215
1526391767,6196,6196
1526392612,6233,6233
1526393675,6236,6236
1526394931,6216,6216
1526395366,6242,6242
1526396195,6267,6267
1526397344,6192,6192
1526398868,6125,6125
1526399796,6144,6144
1526400934,6142,6142
1526402563,6127,6127
1526403397,6148,6148
1526404528,6209,6209
1526405315,6305,6305
1526406174,6285,6285
1526406996,6324,6324
1526408926,6385,6385
1526410243,6352,6352
1526411419,6327,6327
1526412525,6356,6356
1526413361,6320,6320
1526416110,6302,6302
1526417804,6321,6321
1526418941,6335,6335
1526419711,6348,6348
1526420841,6292,6292
1526422241,6298,6298
1526423307,6299,6299
1526424172,6308,6308
1526425547,6310,6310
1526426920,6330,6330
1526427763,6260,6260
1526429467,6249,6249
1526430706,6189,6189
1526431835,6216,6216
1526432198,6229,6229
1526433283,6210,6210
1526434107,6220,6220
1526434970,6108,6108
1526436180,6086,6086
1526437871,6086,6086
1526438598,6074,6074
1526440480,6046,6046
1526442234,6012,6012
1526443848,5993,5993
1526445763,5926,5926
1526447108,5934,5934
1526448465,5953,5953
1526449372,5875,5875
1526451052,5896,5896
1526452119,5917,5917
1526453439,5889,5889
1526454638,5894,5894
1526455852,5877,5877
1526456572,5896,5896
1526457406,5927,5927
1526458478,5905,5905
1526459308,5927,5927
1526460169,5902,5902
1526462074,5899,5899
1526463751,5852,5852
1526464632,5870,5870
1526465668,5887,5887
1526466930,5899,5899
1526469287,5884,5884
1526470458,5816,5816
1526471573,5849,5849
1526472867,5845,5845
1526474553,5829,5829
1526475769,5818,5818
1526477138,5846,5846
1526478151,5807,5807
1526479845,5794,5794
1526481745,5835,5835
1526483167,5853,5853
1526485348,5831,5831
1526486207,5859,5859
1526488106,5855,5855
1526488956,5815,5815
1526489790,5835,5835
1526490923,5828,5828
1526492559,5802,5802
1526493400,5817,5817
1526494540,5807,5807
1526495325,5824,5824
1526496942,5753,5753
1526498135,5764,5764
1526498909,5779,5779
1526501414,5730,5730
1526502540,5753,5753
1526504389,5661,5661
1526506123,5683,5683
1526507692,5693,5693
1526508945,5627,5627
1526511553,5487,5487
1526512782,5504,5504
1526514037,5463,5463
1526516086,5426,5426
1526517753,5357,5357
1526519678,5358,5358
1526521246,5335,5335
1526522192,5370,5370
1526523289,5346,5346
1526524541,5331,5331
1526525743,5388,5388
1526526962,5395,5395
1526527726,5425,5425
1526528554,5370,5370
1526529853,5349,5349
1526531317,5381,5381
1526532997,5387,5387
1526534081,5384,5384
1526535362,5366,5366
1526536538,5371,5371
1526537682,5358,5358
