DateTime,AddedIPs,RemovedIPs
1526244040,92,22
1526245537,93,27
1526246061,23,2
1526247321,47,36
1526248818,67,33
1526251339,82,43
1526252724,46,34
1526253935,43,1
1526256865,79,40
1526258418,36,34
1526260459,34,14
1526261722,23,36
1526263833,51,47
1526264901,22,3
1526266612,25,32
1526267729,18,61
1526269124,28,23
1526271329,49,25
1526272120,15,0
1526272939,17,44
1526273779,29,0
1526274882,24,21
1526276263,20,27
1526278225,29,26
1526280144,37,27
1526280982,15,0
1526282057,31,42
1526282901,11,0
1526283745,13,44
1526284582,11,0
1526285659,26,48
1526287344,140,49
1526289257,716,21
1526290523,432,51
1526291718,289,11
1526292862,67,30
1526293696,19,2
1526295380,22,39
1526296526,17,23
1526297717,231,40
1526298925,432,0
1526300064,239,29
1526300897,12,1
1526301754,12,42
1526304502,44,20
1526306180,32,28
1526307297,18,51
1526308606,24,21
1526309784,13,11
1526310864,16,22
1526312420,44,37
1526313380,93,3
1526314523,79,24
1526316144,186,50
1526318059,199,27
1526318903,42,4
1526320585,37,38
1526321662,31,20
1526322849,18,38
1526323349,20,0
1526324720,34,26
1526326944,95,68
1526327780,25,1
1526328920,31,24
1526330454,41,43
1526332461,45,16
1526333302,36,0
1526334978,49,35
1526336059,17,42
1526337319,32,37
1526338525,9,3
1526339625,20,15
1526340920,21,30
1526342120,37,8
1526343319,79,16
1526344822,57,16
1526346860,30,13
1526348550,33,12
1526349957,17,45
1526352016,39,35
1526353540,20,27
1526354727,16,0
1526356269,12,27
1526357427,14,33
1526358634,26,18
1526359347,8,8
1526360736,20,24
1526362948,32,29
1526363779,10,1
1526364861,11,16
1526366423,22,52
1526368457,22,8
1526369719,22,27
1526370983,25,0
1526372058,36,56
1526373627,18,43
1526375658,43,9
1526376920,23,38
1526378019,44,1
1526379319,10,43
1526380821,20,77
1526381779,20,1
1526382857,7,12
1526384544,33,27
1526385720,21,9
1526386463,14,0
1526387296,8,0
1526388142,15,21
1526388980,11,1
1526390057,21,11
1526391744,20,23
1526392598,9,3
1526393659,15,13
1526394919,15,44
1526395344,5,0
1526396180,9,1
1526397324,10,32
1526398846,14,30
1526399782,15,0
1526400920,19,29
1526402544,58,29
1526405298,43,20
1526406145,11,41
1526406978,24,1
1526408903,47,25
1526410223,19,69
1526410861,12,41
1526412503,34,0
1526413344,11,50
1526416099,52,48
1526417780,30,51
1526418922,20,36
1526419699,6,0
1526420807,12,42
1526422229,37,28
1526423296,11,0
1526424150,11,48
1526425532,26,42
1526426898,13,1
1526427743,17,40
1526429443,26,27
1526430687,26,26
1526431823,11,1
1526432179,9,0
1526433263,12,36
1526434097,15,0
1526434946,9,47
1526436138,20,10
1526437853,16,33
1526438571,10,17
1526440463,22,28
1526442210,24,30
1526443838,15,49
1526445743,25,43
1526447078,25,19
1526448441,12,0
1526449356,11,39
1526451024,21,28
1526452104,15,0
1526453428,15,55
1526454625,12,12
1526455825,12,38
1526456552,6,0
1526457389,6,0
1526458464,21,76
1526459297,14,1
1526460150,6,59
1526462061,24,126
1526463739,13,759
1526464621,11,1
1526465657,30,412
1526466918,19,402
1526468126,12,198
1526469266,24,473
1526470437,18,128
1526471562,20,1
1526472704,12,39
1526474540,42,41
1526475738,32,36
1526477119,58,0
1526478140,16,30
1526479818,36,56
1526481736,36,35
1526483144,20,42
1526485338,41,107
1526486184,18,0
1526488096,23,329
1526488943,16,72
1526489779,16,0
1526490899,29,28
1526492549,27,49
1526493384,20,0
1526494522,72,39
1526495302,54,0
1526496925,66,68
1526498119,41,31
1526498898,24,0
1526501097,52,73
1526502517,37,0
1526504370,30,117
1526506102,27,2
1526507679,22,48
1526508928,20,26
1526511543,63,83
1526512772,13,3
1526514023,35,109
1526516072,36,35
1526517739,37,48
1526519662,32,14
1526521226,36,51
1526522182,10,2
1526523262,16,30
1526524523,17,17
1526525724,17,0
1526526940,13,15
1526527709,8,1
1526528541,3,60
1526529835,36,21
1526531300,14,0
1526532981,24,35
1526534063,13,46
1526535350,20,21
1526536522,17,13
1526537661,20,26
1526539221,31,43
1526540725,16,29
1526542107,16,3
1526542939,11,65
1526543780,25,32
1526544868,26,32
1526546122,38,23
1526547318,28,14
1526548520,23,46
1526549304,11,0
1526550546,26,29
1526552057,21,24
1526552897,15,1
1526554303,33,39
1526555656,8,34
1526556538,3,0
1526557349,22,38
1526558182,10,0
1526559322,11,40
1526560944,17,46
1526562325,24,21
1526563819,23,32
1526565049,34,7
1526566459,17,16
1526568140,17,38
1526568979,10,0
1526570059,10,24
1526571465,24,52
1526573658,33,53
1526574497,10,0
1526576183,16,32
1526577258,20,23
1526578427,37,35
1526579728,16,12
1526580858,23,20
1526582126,18,27
1526582540,6,0
1526583733,33,43
1526585095,16,0
1526586321,11,56
1526587646,13,14
1526589749,40,33
1526591659,35,33
1526593343,18,25
1526594180,21,0
1526595263,7,42
1526597778,67,32
1526598926,26,15
1526600424,14,38
1526602227,38,33
1526602457,5,0
1526603302,14,2
1526604618,13,31
1526605824,16,23
1526606904,31,1
1526608166,14,35
1526609419,31,18
1526611342,56,15
1526612181,15,1
1526613260,21,19
1526614383,9,17
1526614953,8,16
1526615788,3,0
1526616858,14,27
1526618101,10,26
1526618545,27,0
1526619378,4,0
1526621299,78,26
1526622985,58,33
1526624141,9,14
1526624900,10,0
1526626219,21,32
1526627666,27,11
1526629339,17,43
1526631025,34,15
1526632944,22,28
1526633784,13,1
1526634857,20,23
1526636151,44,53
1526637658,7,23
1526638826,14,1
1526640140,9,50
1526641306,38,23
1526642442,28,0
1526643623,11,37
1526644584,8,0
1526645727,20,24
1526647338,400,77
1526648534,475,31
1526650099,20,2
1526651722,16,45
1526652920,25,16
1526654059,15,23
1526655539,14,31
1526656458,19,1
1526657299,7,1
1526658449,15,37
1526659831,12,35
1526661322,16,30
1526662518,12,15
1526663724,10,19
1526665229,11,50
1526667326,29,34
1526668516,23,29
1526669738,21,10
1526670930,23,35
1526672122,20,33
1526672539,6,0
1526673728,11,38
1526674892,19,2
1526675300,10,0
1526676141,230,43
1526678062,48,14
1526679753,29,53
1526680580,9,1
1526681661,17,20
1526682838,28,41
1526684177,14,13
1526686097,29,28
1526687251,12,49
1526688862,14,24
1526689697,9,0
1526690538,6,42
1526692459,25,17
1526694139,21,42
1526696060,20,20
1526696902,10,1
1526697743,4,33
1526699662,16,39
1526701150,13,15
1526703261,27,35
1526704938,24,37
1526706862,18,28
1526708544,20,46
1526709378,17,0
1526710472,26,18
1526712321,43,25
1526713260,9,17
1526714906,21,0
1526715747,12,48
1526716576,4,0
1526717656,12,25
1526718498,8,1
1526720121,26,38
1526721258,18,23
1526722562,17,34
1526724920,33,46
1526726425,25,39
1526728457,24,24
1526730025,37,39
1526730983,7,0
1526732124,14,19
1526732900,26,0
1526735658,40,72
1526736919,15,18
1526737337,9,11
1526738181,8,1
1526739325,20,21
1526740938,16,31
1526742857,26,22
1526743704,7,2
1526744541,11,32
1526746224,18,24
1526747422,15,30
1526748981,25,26
1526750904,17,20
1526752527,25,38
1526753663,37,44
1526754501,13,1
1526755341,14,34
1526756185,16,1
1526757321,12,11
1526758835,24,38
1526760259,20,30
1526761530,13,0
1526762723,13,24
1526764015,22,28
1526764468,6,3
1526765304,26,1
1526766985,26,40
1526768132,13,42
1526769740,19,40
1526771123,20,35
1526772325,23,0
1526773533,28,23
1526775020,53,20
1526776852,40,50
1526778859,26,32
1526780539,22,34
1526781893,27,48
1526783256,15,2
1526784927,28,44
1526786065,13,8
1526786911,41,1
1526787745,11,27
1526789300,18,38
1526790499,18,1
1526791820,18,75
1526793260,19,54
1526794115,11,1
1526794950,5,22
1526795780,10,0
1526796941,22,24
1526798428,70,24
1526799926,45,18
1526801156,19,1
1526802329,33,62
1526803553,22,26
1526804063,6,0
1526804904,10,3
1526805744,13,28
1526807676,37,72
1526808500,11,1
1526809340,25,30
1526811257,47,45
1526812523,29,29
1526813740,16,9
1526814864,58,13
1526816437,41,33
1526818221,61,860
1526819438,16,46
1526821827,42,28
1526823032,21,27
1526825668,41,18
1526826500,17,2
1526828190,40,33
1526829324,19,23
1526830942,21,20
1526831788,15,2
1526832926,11,12
1526833702,16,1
1526835380,23,23
1526836529,12,22
1526837299,11,2
