DateTime,Entries,UniqueIPs
1526244040,5340,5340
1526245537,5406,5406
1526246061,5427,5427
1526247321,5438,5438
1526248818,5472,5472
1526251339,5511,5511
1526252724,5523,5523
1526253935,5565,5565
1526256865,5604,5604
1526258418,5606,5606
1526260459,5626,5626
1526261722,5613,5613
1526263833,5617,5617
1526264901,5636,5636
1526266612,5629,5629
1526267729,5586,5586
1526269124,5591,5591
1526271329,5615,5615
1526272120,5630,5630
1526272939,5603,5603
1526273779,5632,5632
1526274882,5635,5635
1526276263,5628,5628
1526278225,5631,5631
1526280144,5641,5641
1526280982,5656,5656
1526282057,5645,5645
1526282901,5656,5656
1526283745,5625,5625
1526284582,5636,5636
1526285659,5614,5614
1526287344,5705,5705
1526289257,6400,6400
1526290523,6781,6781
1526291718,7059,7059
1526292862,7096,7096
1526293696,7113,7113
1526295380,7096,7096
1526296526,7090,7090
1526297717,7281,7281
1526298925,7713,7713
1526300064,7923,7923
1526300897,7934,7934
1526301754,7904,7904
1526304502,7928,7928
1526306180,7932,7932
1526307297,7899,7899
1526308606,7902,7902
1526309784,7904,7904
1526310864,7898,7898
1526312420,7905,7905
1526313380,7995,7995
1526314523,8050,8050
1526316144,8186,8186
1526318059,8358,8358
1526318903,8396,8396
1526320585,8395,8395
1526321662,8406,8406
1526322849,8386,8386
1526323349,8406,8406
1526324720,8414,8414
1526326944,8441,8441
1526327780,8465,8465
1526328920,8472,8472
1526330454,8470,8470
1526332461,8499,8499
1526333302,8535,8535
1526334978,8549,8549
1526336059,8524,8524
1526337319,8519,8519
1526338525,8525,8525
1526339625,8530,8530
1526340920,8521,8521
1526342120,8550,8550
1526343319,8613,8613
1526344822,8654,8654
1526346860,8671,8671
1526348550,8692,8692
1526349957,8664,8664
1526352016,8668,8668
1526353540,8661,8661
1526354727,8677,8677
1526356269,8662,8662
1526357427,8643,8643
1526358634,8651,8651
1526359347,8651,8651
1526360736,8647,8647
1526362948,8650,8650
1526363779,8659,8659
1526364861,8654,8654
1526366423,8624,8624
1526368457,8638,8638
1526369719,8633,8633
1526370983,8658,8658
1526372058,8638,8638
1526373627,8613,8613
1526375658,8647,8647
1526376920,8632,8632
1526378019,8675,8675
1526379319,8642,8642
1526380821,8585,8585
1526381779,8604,8604
1526382857,8599,8599
1526384544,8605,8605
