DateTime,AddedIPs,RemovedIPs
1523857359,0,1
1523860970,2,0
1523863741,1,0
1523864860,0,1
1523933139,0,1
1523935732,2,0
1523937404,1,0
1523958092,0,1
1523966865,0,1
1523969802,1,0
1523974258,0,1
1523975740,1,0
1523978078,0,1
1523981740,1,0
1523984877,1,1
1524003309,1,0
1524006344,0,1
1524017454,1,0
1524020198,0,3
1524022968,3,0
1524031845,0,1
1524033394,0,1
1524035152,1,0
1524037377,1,0
1524040553,0,1
1524044748,0,2
1524047858,1,0
1524051352,0,1
1524055370,1,1
1524060897,0,1
1524084702,1,0
1524107151,0,3
1524113447,1,0
1524122941,0,0
1524130843,0,1
1524132911,0,1
1524135342,1,0
1524139860,0,1
1524141757,6,0
1524155408,0,1
1524166958,1,0
1524194081,0,3
1524196616,3,0
1524204676,0,1
1524212936,1,0
1524215603,0,1
1524219280,0,1
1524251191,1,0
1524255059,0,1
1524263462,0,1
1524269391,1,1
1524282167,4,0
1524291296,1,0
1524310855,0,1
1524311986,2,0
1524348949,3,0
1524364959,0,1
1524366242,0,2
1524370254,0,1
1524372167,2,0
1524373556,2,0
1524387947,0,2
1524397367,1,0
1524398621,1,0
1524404570,0,1
1524405403,3,0
1524409859,1,0
1524414518,2,0
1524429758,1,0
1524447702,1,0
1524450522,1,0
1524452802,0,3
1524454892,3,0
1524460552,2,0
1524461749,1,0
1524464100,1,0
1524481435,0,1
1524484595,0,2
1524485679,1,0
1524487416,0,1
1524508549,1,0
1524521734,1,0
1524531417,1,0
1524537066,1,0
1524541804,1,1
1524543180,0,3
1524544296,0,1
1524545876,2,0
1524550486,1,0
1524563798,1,0
1524567982,0,1
1524569340,3,0
1524570212,0,1
1524574675,1,0
1524575881,0,2
1524577251,0,1
1524584825,0,2
1524586360,1,0
1524597354,1,0
1524598887,0,1
1524611252,1,0
1524617011,1,0
1524624098,0,3
1524627975,1,0
1524633375,1,0
1524636540,0,1
1524643851,0,1
1524645788,0,1
1524647509,5,0
1524653790,1,1
1524654936,0,1
1524656560,0,1
1524659315,4,0
1524660989,1,0
1524673721,2,0
1524675334,1,0
1524678166,0,1
1524691715,1,0
1524706885,1,0
1524708395,6,0
1524715000,1,0
1524716139,0,1
1524717956,0,2
