DateTime,AddedIPs,RemovedIPs
1526464053,2,9
1526465012,0,5
1526465972,2,3
1526466692,1,5
1526467412,3,5
1526468133,2,4
1526468852,2,4
1526469811,3,6
1526470772,4,2
1526471732,1,9
1526472692,3,7
1526473652,4,7
1526474612,0,7
1526476052,3,7
1526476772,1,2
1526477492,1,4
1526478212,2,5
1526478932,3,2
1526479651,0,6
1526480371,5,8
1526481093,3,11
1526481813,3,7
1526482772,3,13
1526483491,4,4
1526484213,3,5
1526484932,2,7
1526485651,4,3
1526486612,3,8
1526487333,0,6
1526488772,5,12
1526489492,2,1
1526490213,1,5
1526491173,2,10
1526491891,1,4
1526492612,2,3
1526493332,2,6
1526494052,0,8
1526495013,2,7
1526495972,4,4
1526496932,4,11
1526497892,2,4
1526498853,2,8
1526499811,3,2
1526501252,5,7
1526502212,0,3
1526502932,1,3
1526503651,1,4
1526504612,2,3
1526505573,1,5
1526506532,6,11
1526507492,4,11
1526508452,3,3
1526509412,2,2
1526512292,6,7
1526513012,9,3
1526513731,16,44
1526514692,27,5
1526515652,23,7
1526516612,37,3
1526517572,32,7
1526518532,25,3
1526519493,22,4
1526520211,14,2
1526520931,9,3
1526521652,16,2
1526522373,9,4
1526523332,11,4
1526524292,39,3
1526525253,11,5
1526526215,8,18
1526527171,31,12
1526528132,9,2
1526529091,5,2
1526530052,9,3
1526531012,13,8
1526531972,7,5
1526532932,6,7
1526533892,5,2
1526534611,7,0
1526535331,5,2
1526536051,5,2
1526536772,6,2
1526537731,13,34
1526538693,4,24
1526539651,10,7
1526540611,27,6
1526541571,6,2
1526542292,6,2
1526543011,8,4
1526543734,12,26
1526544452,7,5
1526545411,59,3
1526546372,12,4
1526547331,8,6
1526548292,10,3
1526549012,6,8
1526549731,6,6
1526550451,9,4
1526551172,9,5
1526552132,25,0
1526553092,17,5
1526553812,7,5
1526554532,12,3
1526555252,5,7
1526555972,7,1
1526556931,7,5
1526557892,24,6
1526558852,11,4
1526559573,6,4
1526560292,15,1
1526561012,5,3
1526561971,6,6
1526563411,26,7
1526564132,7,7
1526564852,5,2
1526565813,6,7
1526566773,4,7
1526567732,4,7
1526568691,4,4
1526569652,2,3
1526570611,5,6
1526571571,2,3
1526572531,1,3
1526573491,6,1
1526574452,3,4
1526575412,2,9
1526576371,2,4
1526577333,4,3
1526578292,3,3
1526579252,4,6
1526580212,2,6
1526581172,3,2
1526582132,1,4
1526583092,3,14
1526584052,0,7
1526584772,1,0
1526585492,5,4
1526586211,1,3
1526586933,0,4
1526587891,1,2
1526588612,0,2
1526589332,2,3
1526590051,3,3
1526590772,1,6
1526591733,3,2
1526592692,2,5
1526593652,2,6
1526594613,2,6
1526595572,4,3
1526596291,10,3
1526598213,3,6
1526598932,3,4
1526599932,0,4122
1526600611,4110,3
1526601333,1,12
1526602052,3,14
1526602772,3,10
1526603733,1,28
1526604692,3,19
1526605653,2,14
