DateTime,Entries,UniqueIPs
1526464053,6408,6408
1526465012,6403,6403
1526465972,6402,6402
1526466692,6398,6398
1526467412,6396,6396
1526468133,6394,6394
1526468852,6392,6392
1526469811,6389,6389
1526470772,6391,6391
1526471732,6383,6383
1526472692,6379,6379
1526473652,6376,6376
1526474612,6369,6369
1526476052,6365,6365
1526476772,6364,6364
1526477492,6361,6361
1526478212,6358,6358
1526478932,6359,6359
1526479651,6353,6353
1526480371,6350,6350
1526481093,6342,6342
1526481813,6338,6338
1526482772,6328,6328
1526483491,6328,6328
1526484213,6326,6326
1526484932,6321,6321
1526485651,6322,6322
1526486612,6317,6317
1526487333,6311,6311
1526488772,6304,6304
1526489492,6305,6305
1526490213,6301,6301
1526491173,6293,6293
1526491891,6290,6290
1526492612,6289,6289
1526493332,6285,6285
1526494052,6277,6277
1526495013,6272,6272
1526495972,6272,6272
1526496932,6265,6265
1526497892,6263,6263
1526498853,6257,6257
1526499811,6258,6258
1526501252,6256,6256
1526502212,6253,6253
1526502932,6251,6251
1526503651,6248,6248
1526504612,6247,6247
1526505573,6243,6243
1526506532,6238,6238
1526507492,6231,6231
1526508452,6231,6231
1526509412,6231,6231
1526512292,6230,6230
1526513012,6236,6236
1526513731,6208,6208
1526514692,6230,6230
1526515652,6246,6246
1526516612,6280,6280
1526517572,6305,6305
1526518532,6327,6327
1526519493,6345,6345
1526520211,6357,6357
1526520931,6363,6363
1526521652,6377,6377
1526522373,6382,6382
1526523332,6389,6389
1526524292,6425,6425
1526525253,6431,6431
1526526215,6421,6421
1526527171,6440,6440
1526528132,6447,6447
1526529091,6450,6450
1526530052,6456,6456
1526531012,6461,6461
1526531972,6463,6463
1526532932,6462,6462
1526533892,6465,6465
1526534611,6472,6472
1526535331,6475,6475
1526536051,6478,6478
1526536772,6482,6482
1526537731,6461,6461
1526538693,6441,6441
1526539651,6444,6444
1526540611,6465,6465
1526541571,6469,6469
1526542292,6473,6473
1526543011,6477,6477
1526543734,6463,6463
1526544452,6465,6465
1526545411,6521,6521
1526546372,6529,6529
1526547331,6531,6531
1526548292,6538,6538
1526549012,6536,6536
1526549731,6536,6536
1526550451,6541,6541
1526551172,6545,6545
1526552132,6570,6570
1526553092,6582,6582
1526553812,6584,6584
1526554532,6593,6593
1526555252,6591,6591
1526555972,6597,6597
1526556931,6599,6599
1526557892,6617,6617
1526558852,6624,6624
1526559573,6626,6626
1526560292,6640,6640
1526561012,6642,6642
1526561971,6642,6642
1526563411,6661,6661
1526564132,6661,6661
1526564852,6664,6664
1526565813,6663,6663
1526566773,6660,6660
1526567732,6657,6657
1526568691,6657,6657
1526569652,6656,6656
1526570611,6655,6655
1526571571,6654,6654
1526572531,6652,6652
1526573491,6657,6657
1526574452,6656,6656
1526575412,6649,6649
1526576371,6647,6647
1526577333,6648,6648
1526578292,6648,6648
1526579252,6646,6646
1526580212,6642,6642
1526581172,6643,6643
1526582132,6640,6640
1526583092,6629,6629
1526584052,6622,6622
1526584772,6623,6623
1526585492,6624,6624
1526586211,6622,6622
1526586933,6618,6618
1526587891,6617,6617
1526588612,6615,6615
1526589332,6614,6614
1526590051,6614,6614
1526590772,6609,6609
1526591733,6610,6610
1526592692,6607,6607
1526593652,6603,6603
1526594613,6599,6599
1526595572,6600,6600
1526596291,6607,6607
1526598213,6604,6604
1526598932,6603,6603
1526599932,2481,2481
1526600611,6588,6588
1526601333,6577,6577
1526602052,6566,6566
1526602772,6559,6559
1526603733,6532,6532
1526604692,6516,6516
1526605653,6504,6504
1526606613,6492,6492
1526607571,6484,6484
1526608532,6475,6475
1526609492,6471,6471
1526610451,6430,6430
1526611171,6431,6431
1526611892,6426,6426
1526612614,6425,6425
1526613333,6436,6436
1526613754,6435,6435
1526614467,6433,6433
1526615252,6430,6430
1526616212,6422,6422
1526617173,6414,6414
1526618133,6406,6406
1526619093,6402,6402
1526620052,6393,6393
1526621011,6390,6390
1526621972,6387,6387
1526622692,6380,6380
1526623413,6376,6376
1526624132,6400,6400
1526624852,6414,6414
1526625812,6413,6413
1526626772,6406,6406
1526627732,6386,6386
1526628692,6384,6384
1526629652,6377,6377
