DateTime,AddedIPs,RemovedIPs
1514776770,182,107
1514798695,101,107
1514820768,133,129
1514843918,124,82
1514865894,145,103
1514887974,118,78
1514909946,157,90
1514931868,217,106
1514953715,221,87
1514975816,201,78
1514997861,125,62
1515020116,145,67
1515042056,156,63
1515064115,185,163
1515086501,157,138
1515109020,200,145
1515131063,150,176
1515153216,160,114
1515175313,152,119
1515197157,159,122
1515219511,66,145
1515241707,127,118
1515263570,130,137
1515285720,150,145
1515308147,107,195
1515330063,143,137
1515352146,140,125
1515374206,130,143
1515396493,162,151
1515418754,230,91
1515440671,93,99
1515463105,153,101
1515485065,109,114
1515507195,146,78
1515529076,105,116
1515551078,156,154
1515573178,113,195
1515595240,110,134
1515617291,98,148
1515639187,119,211
1515661289,104,223
1515683314,122,261
1515705447,81,222
1515727726,130,291
1515749818,108,231
1515771886,122,219
1515793959,116,226
1515816147,109,214
1515838395,128,95
1515860460,148,204
1515882824,88,195
1515904973,201,227
1515927168,242,151
1515949333,244,222
1515971656,283,214
1515994028,198,192
1516015993,223,216
1516038031,240,272
1516059902,154,98
1516081977,53,162
1516103827,102,121
1516125687,124,182
1516147716,162,120
1516169613,119,187
1516191890,104,134
1516214115,118,137
1516236339,137,86
1516258310,111,125
1516280180,137,104
1516302290,108,122
1516324573,114,85
1516346693,102,122
1516369015,132,94
1516391030,121,114
1516412930,117,110
1516434986,97,101
1516456914,89,101
1516479194,89,142
1516501251,109,79
1516523113,86,209
1516545151,116,221
1516567016,87,181
1516589057,81,275
1516610933,78,192
1516632991,143,327
1516654882,106,354
1516677361,129,216
1516699249,101,80
1516721558,147,130
1516743935,136,157
1516765983,131,186
1516788041,113,163
1516809914,127,127
1516832259,107,131
1516854252,150,172
1516876125,110,123
1516898178,191,196
1516920269,185,150
1516942152,174,148
1516964206,105,124
1516986108,168,168
1517008050,141,123
1517029952,141,146
1517052036,106,96
1517073887,140,110
1517095951,147,83
1517118046,110,112
1517140114,154,94
1517162199,216,119
1517184179,192,83
1517206167,173,71
1517228205,162,51
1517250050,144,159
1517272103,189,91
1517293983,150,90
1517316034,173,67
1517338142,233,145
1517360202,297,97
1517382084,203,106
1517404354,213,97
1517426209,194,111
1517448268,217,102
1517470368,141,132
1517492808,133,84
1517515014,97,206
1517537075,47,141
1517559178,31,137
1517581245,228,84
1517603308,166,125
1517625410,223,106
1517647459,141,90
1517669320,92,94
1517691184,44,103
1517713694,47,102
1517735814,19,77
1517758131,95,140
1517780204,44,119
1517802276,24,146
1517824388,20,117
1517846493,26,389
1517868512,27,129
1517890374,40,152
1517912442,83,117
1517934532,86,140
1517956917,71,171
1517978917,103,312
1518000983,84,240
1518022852,90,255
1518044716,136,265
1518066776,107,317
1518088839,157,176
1518110681,147,135
1518132929,259,125
1518155114,249,65
1518177153,143,36
1518199088,160,284
1518221102,154,175
1518243141,215,244
1518265490,122,178
1518287855,142,165
1518309904,224,60
1518331983,241,70
1518354089,240,27
1518376117,138,121
1518398210,56,76
1518420271,77,42
1518442113,137,32
1518464194,87,36
1518486752,146,31
1518508891,30,46
1518531173,42,101
1518553377,45,98
1518575373,39,81
1518597396,27,102
1518619487,38,101
1518641545,65,90
1518663686,100,159
1518685729,41,121
1518707830,26,166
1518729858,114,122
1518751758,119,275
1518774048,38,273
1518796439,40,170
1518818770,59,197
1518840787,181,183
1518862825,40,214
1518884672,34,123
1518906759,42,146
1518929006,34,267
1518951151,37,178
1518973007,38,292
1518995842,142,176
1519017877,129,46
1519039970,151,100
1519061827,315,172
1519083885,349,99
1519105790,309,206
1519127784,222,43
1519149746,121,45
1519171731,121,48
1519193676,108,43
1519216212,112,36
1519238197,106,86
1519260249,76,92
1519282353,108,116
1519304208,128,55
1519326112,237,40
1519349043,201,164
1519371144,179,142
1519393057,131,38
1519415068,96,72
1519437259,84,90
1519459288,58,182
1519481332,112,40
1519503628,108,45
1519525490,59,34
1519547554,35,33
1519569631,36,31
1519592120,30,42
1519614090,38,93
1519636111,33,102
1519658112,28,106
1519680058,28,264
1519702117,37,303
1519724175,44,297
1520077719,107,2704
1520099800,48,245
1520121686,67,214
1520143796,46,143
1520165779,52,81
1520187891,28,80
1520209944,90,78
1520231856,35,75
1520253888,66,62
1520276193,64,93
1520298092,47,58
1520320120,242,76
1520342194,265,82
1520364262,231,0
1520386368,126,0
1520408496,164,0
1520430494,207,0
1520452620,127,0
1520474535,151,0
1520496771,154,0
1520518850,129,0
1520540916,148,0
1520562800,144,0
1520584835,134,0
1520606690,130,0
1520628771,138,0
1520651087,208,0
1520673172,210,0
1520695296,164,80
1520717574,158,22
1520739416,223,41
1520761459,135,22
1520783562,118,26
1520805687,139,17
1520828075,108,39
1520850300,159,24
1520872768,165,32
1520894931,127,24
1520916989,139,24
1520938918,75,116
1520960892,62,10414
1520982994,88,143
1521005078,80,65
1521027154,83,94
1521049239,117,118
1521071099,32,86
1521093136,60,109
1521115022,109,108
1521136881,120,101
1521158921,67,99
1521181078,9,119
1521203059,25,97
1521225156,20,107
1521247240,31,111
1521269326,29,170
1521291387,25,191
1521313479,27,147
1521335327,48,140
1521357407,27,241
1521379487,18,142
1521401915,28,136
1521424125,27,155
1521446476,17,128
1521468762,42,173
1521490729,28,216
1521512660,23,177
1521534756,11,213
1521557064,39,106
1521578909,50,73
1521600997,49,142
1521622885,28,129
1521644906,26,145
1521667086,110,165
1521689077,124,56
1521711368,125,95
1521733258,140,151
1521755298,117,201
1521777276,159,121
1521799853,92,15
1521822027,114,30
1521844103,155,26
1521865951,150,40
1521888031,131,32
1521910119,127,41
1521932006,90,41
1521954027,55,42
1521975867,122,34
1521997861,90,18
1522019799,138,28
1522042005,100,33
1522063957,96,18
1522086033,72,38
1522108119,122,37
1522130188,114,27
1522152133,96,15
1522174348,72,23
1522196213,74,43
1522218331,93,29
1522240490,96,16
1522262440,74,14
1522284288,108,75
1522306351,77,90
1522328198,74,90
1522350053,77,105
1522372139,72,92
1522394208,110,130
1522416292,99,66
1522438178,39,75
1522460213,81,119
1522482284,85,130
1522504370,92,101
1522526520,97,115
1522548533,95,89
