DateTime,AddedIPs,RemovedIPs
1514776770,10718,539
1514798695,378,10739
1514820768,10871,385
1514843918,385,10865
1514865894,10617,392
1514887974,360,10634
1514909946,10922,363
1514931868,641,10853
1514953715,10737,631
1514975816,585,10781
1514997861,10806,586
1515020116,555,10807
1515042056,625,541
1515064115,11045,583
1515086501,604,11050
1515109020,10786,594
1515131063,547,10825
1515153216,10935,565
1515175313,565,10925
1515197157,10667,558
1515219511,230,10739
1515241707,10966,217
1515263570,477,10930
1515285720,10666,459
1515308147,374,10701
1515330063,10997,378
1515352146,503,10949
1515374206,10613,526
1515396493,562,10600
1515418754,10974,553
1515440671,234,11036
1515463105,10557,249
1515485065,349,10549
1515507195,10778,342
1515529076,322,10802
1515551078,10631,316
1515573178,336,10619
1515595240,10774,337
1515617291,260,10797
1515639187,10485,260
1515661289,281,10489
1515683314,10538,261
1515705447,229,10560
1515727726,10499,224
1515749818,279,10499
1515771886,10782,264
1515793959,276,10786
1515816147,10460,293
1515838395,296,10448
1515860460,10817,270
1515882824,209,10850
1515904973,10713,200
1515927168,532,10649
1515949333,548,556
1515971656,10794,512
1515994028,457,10818
1516015993,11199,438
1516038031,696,11158
1516059902,10527,744
1516081977,167,10607
1516103827,10846,176
1516125687,337,10827
1516147716,10571,333
1516169613,351,10561
1516191890,10821,365
1516214115,297,10820
1516236339,10493,284
1516258310,277,10522
1516280180,10924,274
1516302290,284,10910
1516324573,10469,295
1516346693,268,10463
1516369015,10881,256
1516391030,304,10882
1516412930,10472,303
1516434986,243,10495
1516456914,10773,215
1516479194,237,10790
1516501251,10386,236
1516523113,237,10390
1516545151,10832,246
1516567016,220,10825
1516589057,10351,233
1516610933,174,10348
1516632991,10897,163
1516654882,218,10897
1516677361,10418,237
1516699249,213,10400
1516721558,10734,208
1516743935,283,10717
1516765983,10424,290
1516788041,294,10446
1516809914,10822,265
1516832259,264,10837
1516854252,10490,260
1516876125,246,10505
1516898178,10954,231
1516920269,403,10936
1516942152,10509,408
1516964206,255,10533
1516986108,406,253
1517008050,10457,379
1517029952,333,10479
1517052036,10732,306
1517073887,314,10755
1517095951,10469,328
1517118046,301,10461
1517140114,10799,298
1517162199,506,10781
1517184179,10535,472
1517206167,352,10582
1517228205,10803,337
1517250050,297,10803
1517272103,10576,300
1517293983,378,10568
1517316034,10526,356
1517338142,587,10532
1517360202,10850,508
1517382084,596,10855
1517404354,10770,605
1517426209,609,10777
1517448268,10837,603
1517470368,419,10870
1517492808,10533,462
1517515014,318,10538
1517537075,10271,375
1517559178,103,10291
1517581245,10949,81
1517603308,498,10838
1517625410,10820,499
1517647459,477,10826
1517669320,10503,514
1517691184,174,10563
1517713694,10329,183
1517735814,91,10352
1517758131,10533,86
1517780204,173,10494
1517802276,10258,197
1517824388,86,10276
1517846493,10253,84
1517868512,107,10257
1517890374,10252,105
1517912442,301,10248
1517934532,10395,268
1517956917,225,10403
1517978917,10447,228
1518000983,290,10442
1518022852,252,290
1518044716,10494,245
1518066776,325,10487
1518088839,10574,317
1518110681,347,10567
1518132929,10776,315
1518155114,605,10738
1518177153,10471,636
1518199088,464,10502
1518221102,10514,462
1518243141,540,10519
1518265490,10439,536
1518287855,335,10474
1518309904,10747,309
1518331983,457,10724
1518354089,10715,456
1518376117,355,10705
1518398210,10394,399
1518420271,228,10370
1518442113,10531,256
1518464194,232,10526
1518486752,10670,223
1518508891,108,10718
1518531173,10268,111
1518553377,112,10271
1518575373,10232,111
1518597396,101,10247
1518619487,10341,90
1518641545,218,10332
1518663686,10457,208
1518685729,152,10457
1518707830,10238,161
1518729858,438,10231
1518751758,10462,396
1518774048,84,10513
1518796439,10353,94
1518818770,200,10270
1518840787,10595,259
