DateTime,AddedIPs,RemovedIPs
1525758029,37,32
1525761856,39,36
1525763783,51,35
1525765699,43,49
1525767609,26,47
1525769535,21,29
1525771453,18,22
1525773628,32,18
1525775540,17,31
1525777718,38,16
1525779616,27,34
1525781557,32,28
1525783464,36,34
1525785379,15,38
1525789221,41,15
1525791147,7,38
1525794976,26,8
1525796897,39,24
1525798831,15,40
1525800740,16,14
1525802671,19,17
1525806749,18,21
1525808914,45,16
1525810820,20,46
1525812743,8,21
1525814657,41,9
1525816582,19,41
1525819109,18,18
1525821139,33,17
1525823060,37,32
1525825229,42,36
1525829065,38,43
1525832888,40,37
1525835065,13,41
1525836989,13,15
1525838924,27,12
1525840813,41,24
1525842743,21,44
1525844656,52,19
1525846585,50,50
1525848490,49,53
1525850408,40,51
1525852336,32,39
1525856173,26,30
1525858090,9,31
1525860269,9,10
1525862183,20,9
1525864094,17,19
1525866271,42,15
1525868706,32,39
1525870584,16,35
1525872506,36,15
1525874429,17,35
1525876605,20,17
1525878515,31,20
1525880427,20,31
1525882383,41,23
1525884287,37,40
1525886443,20,39
1525888344,27,18
1525890265,38,23
1525892188,12,43
1525894108,41,12
1525896033,25,39
1525897946,19,25
1525899879,17,22
1525901793,30,16
1525903719,21,27
1525905561,15,22
1525907547,43,15
1525909457,42,41
1525911877,27,41
1525914026,31,30
1525915936,24,31
1525917867,19,24
1525920015,28,19
1525921948,19,28
1525923876,42,22
1525926016,26,40
1525927935,19,25
1525929857,51,21
1525931775,14,52
1525933689,45,14
1525937782,26,45
1525939941,29,23
1525941860,34,31
1525943770,18,34
1525945695,41,16
1525947616,12,45
1525949535,25,11
1525951453,44,24
1525953367,18,43
1525955310,45,20
1525957242,24,44
1525961077,34,22
1525963233,22,33
1525967068,12,26
1525969242,23,12
1525971145,15,23
1525973066,41,13
1525975235,16,41
1525977146,18,18
1525979071,19,17
1525984826,12,19
1525988668,50,12
1525990596,34,51
1525992736,25,32
1525994905,46,26
1525997323,31,43
1525999227,10,33
1526005479,42,11
1526007388,21,39
1526009301,42,24
1526011238,38,42
1526013401,15,34
