DateTime,AddedIPs,RemovedIPs
1526406264,320,156
1526407225,304,211
1526408186,549,295
1526409386,416,274
1526410344,228,198
1526411310,205,208
1526412276,215,239
1526413220,312,223
1526414180,116,212
1526416382,445,540
1526417804,255,47
1526418992,597,373
1526419945,686,235
1526420900,641,178
1526422111,524,2033
1526423300,179,255
1526424272,288,262
1526425228,186,309
1526426182,219,23
1526427147,117,71
1526428094,234,288
1526429068,200,244
1526430019,267,175
1526430986,198,219
1526431964,299,616
1526432922,156,134
1526433858,217,13
1526434819,342,488
1526435781,139,235
1526436765,381,361
1526437693,37,5
1526438677,333,472
1526439625,31,105
1526440588,335,312
1526441551,164,401
1526442497,187,27
1526443466,67,250
1526444420,215,216
1526445389,238,260
1526446334,133,25
1526447305,243,263
1526448258,130,170
1526449229,210,322
1526450178,112,180
1526451143,214,224
1526452109,112,210
1526453071,320,215
1526454031,51,198
1526454982,301,211
1526455946,170,211
1526456898,338,484
1526457882,109,19
1526458815,208,42
1526459788,187,36
1526460738,129,165
1526461711,118,102
1526462659,155,227
1526463621,322,390
1526464578,82,18
1526465544,87,174
1526466493,369,446
1526467473,443,55
1526468416,398,188
1526469386,298,144
1526470359,230,94
1526471305,186,62
1526472278,94,62
1526473228,77,32
1526474186,83,35
1526475141,58,31
1526476112,55,13
1526477070,50,57
1526478020,55,12
1526478994,169,74
1526479937,333,272
1526480892,204,287
1526481877,174,226
1526482841,184,244
1526483781,194,240
1526484736,190,285
1526485714,196,318
1526486683,180,328
1526488856,616,1334
1526489772,151,16
1526490750,267,626
1526491697,196,40
1526492701,304,699
1526493622,164,12
1526494589,370,1059
1526495557,209,29
1526496501,261,261
1526497465,244,208
1526498417,261,240
1526499408,236,412
1526500342,195,122
1526501315,250,438
1526502280,319,46
1526503215,289,349
1526504211,200,342
1526505155,170,18
1526506107,526,168
1526507081,941,148
1526508034,622,1668
1526508984,510,220
1526510644,297,319
1526512376,376,429
1526513295,210,169
1526514262,225,220
1526515220,184,228
1526516196,281,267
1526517139,251,194
1526518106,249,276
1526519059,222,281
1526520023,187,150
1526520995,217,261
1526521938,167,124
1526522896,260,390
1526523863,208,75
1526524814,255,326
1526525807,119,63
1526526744,256,338
1526527701,169,147
1526528678,248,192
1526529641,156,45
1526530576,198,191
1526531550,142,299
1526532493,189,113
1526533469,183,220
1526534415,189,93
1526535403,197,223
1526536336,151,93
1526537325,182,225
1526538255,196,100
1526539223,236,284
1526540176,142,43
1526541171,230,269
1526542092,124,61
1526543087,188,298
1526544027,187,151
1526544991,281,385
1526545939,208,238
1526546903,173,144
1526547867,187,178
1526548816,277,258
1526549803,227,319
1526550742,137,100
1526551712,187,81
1526552662,249,374
1526553613,135,335
1526554598,182,397
1526555545,276,642
1526556497,167,233
1526557461,236,154
1526558453,182,97
1526559646,258,176
1526560578,153,34
1526561539,226,70
1526562519,162,129
1526563475,247,83
1526564423,221,352
1526565379,98,15
1526566350,251,817
1526567292,89,18
1526568259,146,202
1526569237,91,135
1526570180,234,155
1526571137,357,325
1526572107,443,73
1526573059,344,192
1526574021,517,570
1526574988,97,3
1526575939,81,131
1526576897,86,183
1526577870,93,212
1526578816,78,268
1526579775,85,187
1526580748,77,292
1526581698,145,290
1526582656,302,264
1526583631,167,239
1526584577,199,303
1526585563,177,326
1526586492,135,271
1526587470,172,335
1526588415,175,465
1526589400,154,362
1526590336,132,188
1526591300,154,204
1526592261,165,197
1526593225,668,275
1526594189,706,170
1526595153,763,1961
1526596092,417,397
1526598376,378,343
1526599459,186,191
1526600417,161,257
1526601391,177,167
1526602345,196,282
1526603296,192,233
1526604266,207,264
1526605222,214,219
1526606192,260,293
1526607137,194,266
1526608107,176,161
1526609068,175,246
1526610025,230,230
1526610976,200,226
1526611958,158,149
1526612897,200,290
1526613876,241,213
1526614813,213,318
1526615796,180,195
1526616741,236,230
1526617709,210,150
1526618662,190,276
1526619631,215,222
1526620573,190,225
1526621547,138,232
1526622494,150,172
1526623494,192,196
1526624414,148,235
1526625381,236,245
1526626336,154,181
1526627303,120,230
1526628266,141,161
1526629230,143,289
1526630180,110,194
1526631153,141,234
1526632094,140,157
1526633067,136,133
1526634044,144,235
1526634995,237,264
1526635936,234,194
1526636920,499,150
1526637865,97,219
1526638824,118,248
1526639784,107,56
1526640743,160,132
1526641698,137,242
1526642671,98,188
1526643615,82,303
1526644601,62,225
1526647042,283,553
1526647962,147,236
1526648935,159,227
1526649869,205,31
1526650843,215,305
1526651774,156,26
1526652751,221,454
1526653697,152,296
1526654684,127,106
1526655645,137,210
1526656828,365,252
1526657776,264,361
1526658763,290,372
1526659970,365,470
1526660893,180,53
1526661877,284,61
1526662818,193,46
1526663785,293,54
1526664738,216,37
1526665713,270,46
1526666910,298,42
1526667865,247,150
1526668813,343,447
1526669789,330,225
1526670750,249,145
1526671702,222,146
1526672668,245,140
1526673619,234,117
1526674586,248,128
1526675541,228,132
1526676505,274,140
1526677461,183,159
1526678412,305,150
1526679392,381,163
1526680337,1103,124
1526681309,541,244
1526682270,251,2035
1526683457,348,347
1526684416,231,34
1526685465,313,185
1526686599,255,148
1526687555,223,170
1526688506,283,196
1526689467,304,158
1526690416,262,165
1526691391,300,155
1526692354,235,156
1526693292,260,143
1526694274,284,159
1526695237,241,155
1526696203,276,186
1526697385,299,294
1526698341,184,26
1526699305,291,283
1526700268,223,28
1526701213,261,180
1526702191,227,159
1526703174,274,312
1526704098,195,41
1526705060,192,148
1526706022,191,308
1526706989,199,283
1526707943,173,24
1526708897,236,294
1526709885,190,30
1526710838,243,234
1526711777,203,27
1526712732,254,138
1526713714,232,260
1526714689,300,148
1526715614,192,29
1526716579,265,116
1526717573,183,245
1526718496,217,167
1526719462,201,34
1526720424,180,107
1526721385,242,240
1526722339,227,591
