DateTime,Entries,UniqueIPs
1526406264,93024,93024
1526407225,93010,93010
1526408186,93077,93077
1526409386,93055,93055
1526410344,93051,93051
1526411310,93014,93014
1526412276,93028,93028
1526413220,93008,93008
1526414180,92947,92947
1526416382,92925,92925
1526417804,92843,92843
1526418992,93158,93158
1526419945,93675,93675
1526420900,94214,94214
1526422111,93573,93573
1526423300,93520,93520
1526424272,93516,93516
1526425228,93473,93473
1526426182,93506,93506
1526427147,93439,93439
1526428094,93434,93434
1526429068,93370,93370
1526430019,93454,93454
1526430986,93367,93367
1526431964,93320,93320
1526432922,93348,93348
1526433858,93407,93407
1526434819,93394,93394
1526435781,93342,93342
1526436765,93244,93244
1526437693,93248,93248
1526438677,93162,93162
1526439625,93073,93073
1526440588,93087,93087
1526441551,93030,93030
1526442497,93021,93021
1526443466,92935,92935
1526444420,92948,92948
1526445389,92904,92904
1526446334,92867,92867
1526447305,92848,92848
1526448258,92834,92834
1526449229,92786,92786
1526450178,92739,92739
1526451143,92695,92695
1526452109,92646,92646
1526453071,92639,92639
1526454031,92585,92585
1526454982,92564,92564
1526455946,92592,92592
1526456898,92601,92601
1526457882,92550,92550
1526458815,92550,92550
1526459788,92488,92488
1526460738,92414,92414
1526461711,92350,92350
1526462659,92341,92341
1526463621,92276,92276
1526464578,92208,92208
1526465544,92134,92134
1526466493,92125,92125
1526467473,92108,92108
1526468416,92065,92065
1526469386,92067,92067
1526470359,92063,92063
1526471305,92062,92062
1526472278,92129,92129
1526473228,92141,92141
1526474186,92136,92136
1526475141,92135,92135
1526476112,92117,92117
1526477070,92079,92079
1526478020,92071,92071
1526478994,92048,92048
1526479937,92103,92103
1526480892,92164,92164
1526481877,92126,92126
1526482841,92075,92075
1526483781,92130,92130
1526484736,92140,92140
1526485714,92112,92112
1526486683,92150,92150
1526488856,92239,92239
1526489772,92243,92243
1526490750,92281,92281
1526491697,92341,92341
1526492701,92358,92358
1526493622,92422,92422
1526494589,92467,92467
1526495557,92476,92476
1526496501,92540,92540
1526497465,92559,92559
1526498417,92592,92592
1526499408,92576,92576
1526500342,92620,92620
1526501315,92586,92586
1526502280,92635,92635
1526503215,92707,92707
1526504211,92651,92651
1526505155,92680,92680
1526506107,93082,93082
1526507081,93938,93938
1526508034,94511,94511
1526508984,93743,93743
1526510644,93782,93782
1526512376,93794,93794
1526513295,93837,93837
1526514262,93874,93874
1526515220,93870,93870
1526516196,93883,93883
1526517139,93898,93898
1526518106,93917,93917
1526519059,93938,93938
1526520023,93979,93979
1526520995,93986,93986
1526521938,94002,94002
1526522896,94053,94053
1526523863,94114,94114
1526524814,94149,94149
1526525807,94101,94101
1526526744,94173,94173
1526527701,94209,94209
1526528678,94245,94245
1526529641,94245,94245
1526530576,94259,94259
1526531550,94253,94253
1526532493,94268,94268
1526533469,94278,94278
1526534415,94308,94308
1526535403,94332,94332
1526536336,94362,94362
1526537325,94372,94372
1526538255,94396,94396
1526539223,94414,94414
1526540176,94444,94444
1526541171,94471,94471
1526542092,94499,94499
1526543087,94486,94486
1526544027,94508,94508
1526544991,94573,94573
1526545939,94619,94619
1526546903,94666,94666
1526547867,94695,94695
1526548816,94754,94754
1526549803,94796,94796
1526550742,94812,94812
1526551712,94810,94810
1526552662,94841,94841
1526553613,94853,94853
1526554598,94863,94863
1526555545,94925,94925
1526556497,94880,94880
1526557461,94934,94934
1526558453,94935,94935
1526559646,94949,94949
1526560578,94963,94963
1526561539,95056,95056
1526562519,95049,95049
1526563475,95053,95053
1526564423,95060,95060
1526565379,95005,95005
1526566350,95014,95014
1526567292,95002,95002
1526568259,94986,94986
1526569237,94953,94953
1526570180,94966,94966
1526571137,95034,95034
1526572107,95027,95027
1526573059,95019,95019
1526574021,95018,95018
1526574988,95048,95048
1526575939,95053,95053
1526576897,95067,95067
1526577870,95069,95069
1526578816,95064,95064
1526579775,95072,95072
1526580748,95098,95098
1526581698,95121,95121
1526582656,95171,95171
1526583631,95176,95176
1526584577,95101,95101
1526585563,95038,95038
1526586492,94986,94986
1526587470,94942,94942
1526588415,94878,94878
1526589400,94770,94770
1526590336,94625,94625
1526591300,94496,94496
1526592261,94340,94340
1526593225,94730,94730
1526594189,94487,94487
1526595153,94998,94998
1526596092,94810,94810
1526598376,94703,94703
1526599459,94617,94617
1526600417,94677,94677
1526601391,94609,94609
1526602345,94526,94526
1526603296,94505,94505
1526604266,94417,94417
1526605222,94269,94269
1526606192,94126,94126
1526607137,93885,93885
1526608107,93756,93756
1526609068,93681,93681
1526610025,93594,93594
1526610976,93522,93522
1526611958,93254,93254
1526612897,93036,93036
1526613876,92950,92950
1526614813,92793,92793
1526615796,92688,92688
1526616741,92631,92631
1526617709,92470,92470
1526618662,92504,92504
1526619631,92406,92406
1526620573,92303,92303
1526621547,92115,92115
1526622494,92156,92156
1526623494,91968,91968
1526624414,92005,92005
1526625381,91952,91952
1526626336,91899,91899
1526627303,91874,91874
1526628266,91827,91827
1526629230,91680,91680
1526630180,91600,91600
1526631153,91584,91584
1526632094,91600,91600
1526633067,91549,91549
1526634044,91443,91443
1526634995,91423,91423
1526635936,91404,91404
1526636920,91382,91382
1526637865,91312,91312
1526638824,91325,91325
1526639784,91341,91341
1526640743,91341,91341
1526641698,91291,91291
1526642671,91284,91284
1526643615,91215,91215
1526644601,91198,91198
1526647042,91102,91102
1526647962,91064,91064
1526648935,91068,91068
1526649869,91036,91036
1526650843,91037,91037
1526651774,91074,91074
1526652751,90948,90948
1526653697,90996,90996
1526654684,90956,90956
1526655645,90927,90927
1526656828,90867,90867
1526657776,90931,90931
1526658763,90810,90810
1526659970,90757,90757
1526660893,90591,90591
1526661877,90588,90588
1526662818,90412,90412
1526663785,90386,90386
1526664738,90226,90226
1526665713,90194,90194
1526666910,90140,90140
1526667865,90066,90066
1526668813,89989,89989
1526669789,89992,89992
1526670750,89986,89986
1526671702,89968,89968
1526672668,89992,89992
1526673619,89932,89932
1526674586,89953,89953
1526675541,89916,89916
1526676505,89909,89909
1526677461,89830,89830
1526678412,89794,89794
1526679392,89893,89893
1526680337,90872,90872
1526681309,90020,90020
1526682270,89985,89985
1526683457,89969,89969
1526684416,89928,89928
1526685465,89915,89915
1526686599,89792,89792
1526687555,89728,89728
1526688506,89793,89793
1526689467,89672,89672
1526690416,89750,89750
1526691391,89714,89714
1526692354,89710,89710
1526693292,89683,89683
1526694274,89677,89677
1526695237,89665,89665
1526696203,89631,89631
1526697385,89562,89562
1526698341,89561,89561
1526699305,89516,89516
1526700268,89481,89481
1526701213,89440,89440
1526702191,89462,89462
1526703174,89402,89402
1526704098,89445,89445
1526705060,89398,89398
1526706022,89402,89402
1526706989,89346,89346
1526707943,89350,89350
1526708897,89322,89322
1526709885,89244,89244
1526710838,89231,89231
1526711777,89298,89298
1526712732,89300,89300
1526713714,89206,89206
1526714689,89210,89210
1526715614,89243,89243
1526716579,89209,89209
1526717573,89144,89144
1526718496,89180,89180
1526719462,89054,89054
1526720424,89106,89106
1526721385,89088,89088
1526722339,89046,89046
1526723297,89060,89060
1526724290,89034,89034
1526725214,89069,89069
1526726185,89041,89041
1526727142,88974,88974
1526728107,88986,88986
1526729075,88956,88956
1526730027,88944,88944
1526731016,88871,88871
1526731946,88918,88918
1526732909,88853,88853
1526733885,88835,88835
1526735063,88779,88779
1526736026,88783,88783
1526737001,88771,88771
1526737940,88817,88817
1526738917,88770,88770
1526739866,88769,88769
1526740813,88715,88715
1526741804,88726,88726
1526742740,88663,88663
1526743693,88637,88637
1526744676,88604,88604
1526745624,88545,88545
1526746588,88534,88534
1526747535,88500,88500
1526748513,88506,88506
1526749462,88434,88434
1526750412,88455,88455
1526751405,88418,88418
1526752356,88371,88371
1526753330,88352,88352
1526754263,88349,88349
1526755215,88337,88337
1526756171,88286,88286
1526757163,88282,88282
1526758092,88269,88269
1526759061,88276,88276
1526760021,88219,88219
1526760986,88206,88206
1526761949,88126,88126
1526762894,88123,88123
1526763869,88026,88026
1526764824,88000,88000
1526765775,88401,88401
1526766755,89017,89017
1526767696,87857,87857
1526768658,87884,87884
1526769569,87858,87858
1526770584,87795,87795
1526771563,87783,87783
1526772604,87746,87746
1526773698,87722,87722
1526774663,87673,87673
1526775616,87677,87677
1526776591,87576,87576
1526777532,87651,87651
1526778496,87572,87572
1526779455,87626,87626
1526780419,87583,87583
1526781371,87560,87560
1526782378,87544,87544
1526783293,87553,87553
1526784273,87536,87536
1526785218,87539,87539
1526786186,87506,87506
1526787143,87485,87485
1526788099,87487,87487
1526789073,87453,87453
1526790014,87466,87466
1526790986,87436,87436
1526791935,87449,87449
1526792918,87422,87422
1526793860,87399,87399
1526794817,87372,87372
1526795779,87346,87346
1526796762,87341,87341
1526797699,87294,87294
1526798658,87275,87275
1526799626,87239,87239
1526800579,87268,87268
1526801544,87162,87162
1526802532,87140,87140
1526803465,87124,87124
1526804429,87138,87138
1526805378,87098,87098
1526806347,87060,87060
1526807310,87039,87039
1526808278,86995,86995
1526809217,86964,86964
1526810178,86957,86957
1526811145,86992,86992
1526812097,86977,86977
1526813057,86932,86932
1526814022,86901,86901
1526814990,86903,86903
1526816216,86883,86883
1526817138,86836,86836
1526818101,86796,86796
1526819079,86814,86814
1526820020,86808,86808
1526820977,86778,86778
1526821974,86781,86781
1526823143,86808,86808
1526824095,86796,86796
1526825088,86741,86741
1526826016,86766,86766
1526827220,86708,86708
1526828192,86703,86703
1526829143,86753,86753
1526830095,86771,86771
1526831057,86650,86650
1526832050,86702,86702
1526832989,86578,86578
1526833959,86592,86592
1526834895,86649,86649
1526835865,86552,86552
1526836820,86618,86618
1526837803,86539,86539
1526838737,86509,86509
1526839720,86534,86534
1526840658,86520,86520
1526841617,86513,86513
1526842586,86492,86492
1526843557,86511,86511
1526844495,86450,86450
1526845502,86433,86433
1526846428,86386,86386
1526847386,86410,86410
1526848347,86386,86386
1526849297,86378,86378
1526850264,86344,86344
1526851218,86341,86341
1526852207,86431,86431
1526853140,87409,87409
1526854113,85613,85613
1526855077,85570,85570
1526856149,85515,85515
1526857982,85503,85503
1526858893,85443,85443
1526859870,85442,85442
1526860823,85404,85404
1526861815,85363,85363
1526862742,85278,85278
1526863700,85264,85264
1526864673,85231,85231
1526865629,85261,85261
1526866604,85258,85258
1526867545,85217,85217
1526868495,85212,85212
1526869462,85191,85191
1526870416,85217,85217
1526871397,85214,85214
1526872338,85219,85219
1526873328,85253,85253
1526874283,85265,85265
1526875263,85270,85270
1526876179,85294,85294
1526877146,85234,85234
1526878100,85255,85255
1526879086,85261,85261
1526880013,85251,85251
1526880989,85320,85320
1526881937,85305,85305
1526882924,85246,85246
1526883855,85294,85294
1526884827,85263,85263
1526885777,85319,85319
1526886781,85310,85310
1526887692,85305,85305
1526888670,85327,85327
1526889625,85237,85237
1526890581,85258,85258
1526891540,85286,85286
1526892557,85186,85186
1526893461,85224,85224
1526894419,85199,85199
1526895385,85140,85140
1526896367,85176,85176
1526897301,85120,85120
