DateTime,AddedIPs,RemovedIPs
1526406264,1129,1130
1526407225,839,882
1526408186,1789,1728
1526409386,1460,1385
1526410344,749,746
1526411310,627,641
1526412276,704,699
1526413220,1168,1178
1526414180,283,300
1526416382,1431,1404
1526417804,1082,1120
1526418992,1261,1262
1526419945,644,606
1526420900,616,593
1526422111,1933,2014
1526423300,573,570
1526424272,1011,977
1526425228,668,676
1526426182,843,862
1526427147,573,588
1526428094,722,744
1526429068,672,693
1526430019,903,941
1526430986,783,774
1526431964,651,723
1526432922,622,725
1526433858,587,587
1526434819,901,941
1526435781,358,346
1526436765,1508,1382
1526437693,163,185
1526438677,1227,1263
1526439625,94,116
1526440588,1283,1288
1526441551,473,496
1526442497,856,830
1526443466,69,71
1526444420,781,771
1526445389,1128,1143
1526446334,569,538
1526447305,938,926
1526448258,334,330
1526449229,870,886
1526450178,372,380
1526451143,899,878
1526452109,357,358
1526453071,1186,1174
1526454031,69,75
1526454982,1101,1092
1526455946,310,265
1526456898,1009,967
1526457882,486,501
1526458815,1088,1082
1526459788,755,737
1526460738,457,463
1526461711,689,684
1526462659,883,891
1526463621,1438,1444
1526464578,416,428
1526465544,333,345
1526466493,1893,1895
1526467473,1715,1893
1526468416,1389,1320
1526469386,1036,1119
1526470359,510,486
1526471305,341,283
1526472278,206,196
1526473228,151,150
1526474186,167,160
1526475141,111,116
1526476112,141,166
1526477070,131,129
1526478020,125,106
1526478994,649,690
1526479937,1467,1507
1526480892,807,784
1526481877,711,733
1526482841,606,624
1526483781,639,660
1526484736,508,517
1526485714,647,669
1526486683,629,614
1526488856,1853,1933
1526489772,572,546
1526490750,704,720
1526491697,833,810
1526492701,832,867
1526493622,635,649
1526494589,907,942
1526495557,762,792
1526496501,719,692
1526497465,771,747
1526498417,863,859
1526499408,936,985
1526500342,933,865
1526501315,1085,1031
1526502280,1459,1512
1526503215,1118,1118
1526504211,640,652
1526505155,693,701
1526506107,694,656
1526507081,916,883
1526508034,597,604
1526508984,1943,2025
1526510644,1097,1080
1526512376,1120,1096
1526513295,686,658
1526514262,803,798
1526515220,513,490
1526516196,935,921
1526517139,647,646
1526518106,764,756
1526519059,823,783
1526520023,685,708
1526520995,780,812
1526521938,532,512
1526522896,803,807
1526523863,715,702
1526524814,699,707
1526525807,449,430
1526526744,827,824
1526527701,558,587
1526528678,903,932
1526529641,687,657
1526530576,667,698
1526531550,480,464
1526532493,768,799
1526533469,721,695
1526534415,674,679
1526535403,723,711
1526536336,540,527
1526537325,596,609
1526538255,748,738
1526539223,803,810
1526540176,628,607
1526541171,768,769
1526542092,499,515
1526543087,749,803
1526544027,704,688
1526544991,848,806
1526545939,647,597
1526546903,670,635
1526547867,778,767
1526548816,964,937
1526549803,747,707
1526550742,530,522
1526551712,994,955
1526552662,888,870
1526553613,268,257
1526554598,638,641
1526555545,933,952
1526556497,674,720
1526557461,1003,1074
1526558453,712,806
1526559646,866,893
1526560578,614,750
1526561539,777,636
1526562519,781,794
1526563475,708,704
1526564423,414,427
1526565379,473,503
1526566350,553,594
1526567292,507,555
1526568259,634,689
1526569237,349,398
1526570180,853,922
1526571137,1132,1172
1526572107,1855,1872
1526573059,1392,1420
1526574021,1916,1865
1526574988,210,194
1526575939,147,153
1526576897,141,149
1526577870,138,146
1526578816,89,76
1526579775,123,98
1526580748,101,99
1526581698,465,484
1526582656,1323,1388
1526583631,615,586
1526584577,698,611
1526585563,619,580
1526586492,488,474
1526587470,520,517
1526588415,586,585
1526589400,522,545
1526590336,546,566
1526591300,612,637
1526592261,631,639
1526593225,642,603
1526594189,680,636
1526595153,757,724
1526596092,1883,2016
1526598376,1441,1425
1526599459,778,776
1526600417,588,580
1526601391,748,737
1526602345,693,716
1526603296,664,653
1526604266,653,681
1526605222,722,727
1526606192,768,772
1526607137,533,510
1526608107,690,695
1526609068,516,497
1526610025,711,701
1526610976,728,722
1526611958,643,677
1526612897,695,687
1526613876,702,697
1526614813,759,749
1526615796,693,697
1526616741,787,791
1526617709,547,546
1526618662,784,784
1526619631,1018,1051
1526620573,774,764
1526621547,655,675
1526622494,643,626
1526623494,784,807
1526624414,633,631
1526625381,878,881
1526626336,570,563
1526627303,518,543
1526628266,600,650
1526629230,660,665
1526630180,460,491
1526631153,576,616
1526632094,706,750
1526633067,670,718
1526634044,582,602
1526634995,1157,1229
1526635936,971,1030
1526636920,1649,1761
1526637865,368,134
1526638824,604,637
1526639784,665,592
1526640743,467,398
1526641698,294,247
1526642671,227,196
1526643615,168,158
1526644601,144,139
1526647042,626,624
1526647962,361,368
1526648935,436,411
1526649869,895,890
1526650843,664,654
1526651774,677,648
1526652751,567,529
1526653697,443,411
1526654684,383,352
1526655645,374,360
1526656828,1012,994
1526657776,668,676
1526658763,905,897
1526659970,1047,1023
1526660893,622,617
1526661877,896,905
1526662818,708,712
1526663785,964,984
1526664738,751,772
1526665713,937,928
1526666910,1077,1092
1526667865,868,881
1526668813,1043,1043
1526669789,1062,1036
1526670750,822,823
1526671702,724,735
1526672668,766,776
1526673619,766,769
1526674586,804,787
1526675541,750,726
1526676505,861,830
1526677461,679,713
1526678412,812,822
1526679392,858,857
1526680337,1090,1017
1526681309,1867,1967
1526682270,970,972
1526683457,1151,1137
1526684416,825,821
1526685465,1071,1082
1526686599,920,874
1526687555,866,854
1526688506,1092,1075
1526689467,1240,1272
1526690416,910,908
1526691391,1103,1110
1526692354,906,912
1526693292,1011,988
1526694274,1124,1147
1526695237,994,997
1526696203,956,960
1526697385,1062,1070
1526698341,722,717
1526699305,815,812
1526700268,762,774
1526701213,942,946
1526702191,834,839
1526703174,767,766
1526704098,896,903
1526705060,768,741
1526706022,639,612
1526706989,823,817
1526707943,744,717
1526708897,898,927
1526709885,755,746
1526710838,828,826
1526711777,800,790
1526712732,984,988
1526713714,805,785
1526714689,993,951
1526715614,835,823
1526716579,1079,1050
1526717573,718,694
1526718496,904,890
1526719462,925,896
1526720424,684,669
1526721385,1024,993
1526722339,717,693
1526723297,1370,1345
1526724290,1206,1176
1526725214,1218,1246
1526726185,644,707
1526727142,727,760
1526728107,964,1008
1526729075,948,986
1526730027,934,940
1526731016,906,907
1526731946,1070,1092
1526732909,856,914
1526733885,828,845
1526735063,850,865
1526736026,966,974
1526737001,634,644
1526737940,559,579
1526738917,853,842
1526739866,519,538
1526740813,653,650
1526741804,575,584
1526742740,525,552
1526743693,653,657
1526744676,597,595
1526745624,507,510
1526746588,712,712
1526747535,829,849
1526748513,740,732
1526749462,761,765
1526750412,881,878
1526751405,727,723
1526752356,843,877
1526753330,818,805
1526754263,816,822
1526755215,735,721
1526756171,747,751
1526757163,925,916
1526758092,805,812
1526759061,728,733
1526760021,559,578
1526760986,715,723
1526761949,765,767
1526762894,573,590
1526763869,575,573
1526764824,681,692
1526765775,841,817
1526766755,683,652
1526767696,716,674
1526768658,1935,2024
1526769569,941,937
1526770584,617,632
1526771563,773,754
1526772604,1027,1030
1526773698,738,733
1526774663,779,778
1526775616,763,769
1526776591,859,858
1526777532,910,917
1526778496,1052,1044
1526779455,842,869
1526780419,1144,1167
1526781371,833,859
1526782378,934,911
1526783293,930,918
1526784273,813,811
1526785218,708,730
1526786186,972,991
1526787143,754,765
1526788099,928,944
1526789073,1198,1177
1526790014,783,802
1526790986,915,924
1526791935,865,864
1526792918,879,902
1526793860,697,709
1526794817,603,594
1526795779,663,676
1526796762,709,682
1526797699,671,665
1526798658,644,633
1526799626,603,623
1526800579,646,679
1526801544,460,476
1526802532,623,618
1526803465,839,797
1526804429,669,629
1526805378,694,689
1526806347,630,629
1526807310,713,709
1526808278,829,840
1526809217,699,704
1526810178,690,705
1526811145,831,818
1526812097,591,604
1526813057,421,430
1526814022,480,482
1526814990,702,695
1526816216,920,922
1526817138,844,855
1526818101,664,673
1526819079,794,797
1526820020,750,744
1526820977,731,777
1526821974,875,897
1526823143,1027,985
1526824095,874,825
1526825088,795,762
1526826016,767,755
1526827220,1150,1148
1526828192,808,799
1526829143,1065,1061
1526830095,884,893
1526831057,961,960
1526832050,1003,1010
1526832989,1104,1126
1526833959,1085,1076
1526834895,1182,1182
1526835865,1240,1215
1526836820,1396,1439
1526837803,861,848
1526838737,955,949
1526839720,775,773
1526840658,770,763
1526841617,1003,1014
1526842586,865,880
1526843557,925,922
1526844495,653,647
1526845502,1053,1058
1526846428,833,845
1526847386,1179,1196
1526848347,888,914
1526849297,921,912
1526850264,918,928
1526851218,853,898
1526852207,1018,1040
1526853140,1072,989
1526854113,1842,1955
1526855077,839,843
1526856149,1047,1060
1526857982,1536,1573
1526858893,849,895
1526859870,978,1020
1526860823,855,865
1526861815,1121,1063
1526862742,982,958
1526863700,962,991
1526864673,857,916
1526865629,1224,1259
1526866604,1136,1170
1526867545,1181,1181
1526868495,989,992
1526869462,1038,1058
1526870416,1129,1139
1526871397,1063,1040
1526872338,1112,1112
1526873328,1465,1479
1526874283,1279,1278
1526875263,1340,1331
1526876179,902,917
1526877146,1148,1190
1526878100,1099,1263
1526879086,898,938
1526880013,833,779
1526880989,1116,1056
1526881937,1201,1164
1526882924,1474,1443
1526883855,1905,1890
1526884827,1794,1833
1526885777,1433,1460
1526886781,804,789
1526887692,589,584
1526888670,590,578
1526889625,587,599
1526890581,820,841
1526891540,742,757
1526892557,638,642
1526893461,620,637
1526894419,698,709
1526895385,814,834
1526896367,509,500
1526897301,899,899
