DateTime,Entries,UniqueIPs
1526406264,4668,4668
1526407225,4625,4625
1526408186,4686,4686
1526409386,4761,4761
1526410344,4764,4764
1526411310,4750,4750
1526412276,4755,4755
1526413220,4745,4745
1526414180,4728,4728
1526416382,4755,4755
1526417804,4717,4717
1526418992,4716,4716
1526419945,4754,4754
1526420900,4777,4777
1526422111,4696,4696
1526423300,4699,4699
1526424272,4733,4733
1526425228,4725,4725
1526426182,4706,4706
1526427147,4691,4691
1526428094,4669,4669
1526429068,4648,4648
1526430019,4610,4610
1526430986,4619,4619
1526431964,4547,4547
1526432922,4444,4444
1526433858,4444,4444
1526434819,4404,4404
1526435781,4416,4416
1526436765,4542,4542
1526437693,4520,4520
1526438677,4484,4484
1526439625,4462,4462
1526440588,4457,4457
1526441551,4434,4434
1526442497,4460,4460
1526443466,4458,4458
1526444420,4468,4468
1526445389,4453,4453
1526446334,4484,4484
1526447305,4496,4496
1526448258,4500,4500
1526449229,4484,4484
1526450178,4476,4476
1526451143,4497,4497
1526452109,4496,4496
1526453071,4508,4508
1526454031,4502,4502
1526454982,4511,4511
1526455946,4556,4556
1526456898,4598,4598
1526457882,4583,4583
1526458815,4589,4589
1526459788,4607,4607
1526460738,4601,4601
1526461711,4606,4606
1526462659,4598,4598
1526463621,4592,4592
1526464578,4580,4580
1526465544,4568,4568
1526466493,4566,4566
1526467473,4388,4388
1526468416,4457,4457
1526469386,4374,4374
1526470359,4398,4398
1526471305,4456,4456
1526472278,4466,4466
1526473228,4467,4467
1526474186,4474,4474
1526475141,4469,4469
1526476112,4444,4444
1526477070,4446,4446
1526478020,4465,4465
1526478994,4424,4424
1526479937,4384,4384
1526480892,4407,4407
1526481877,4385,4385
1526482841,4367,4367
1526483781,4346,4346
1526484736,4337,4337
1526485714,4315,4315
1526486683,4330,4330
1526488856,4250,4250
1526489772,4276,4276
1526490750,4260,4260
1526491697,4283,4283
1526492701,4248,4248
1526493622,4234,4234
1526494589,4199,4199
1526495557,4169,4169
1526496501,4196,4196
1526497465,4220,4220
1526498417,4224,4224
1526499408,4175,4175
1526500342,4243,4243
1526501315,4297,4297
1526502280,4244,4244
1526503215,4244,4244
1526504211,4232,4232
1526505155,4224,4224
1526506107,4262,4262
1526507081,4295,4295
1526508034,4288,4288
1526508984,4206,4206
1526510644,4223,4223
1526512376,4247,4247
1526513295,4275,4275
1526514262,4280,4280
1526515220,4303,4303
1526516196,4317,4317
1526517139,4318,4318
1526518106,4326,4326
1526519059,4366,4366
1526520023,4343,4343
1526520995,4311,4311
1526521938,4331,4331
1526522896,4327,4327
1526523863,4340,4340
1526524814,4332,4332
1526525807,4351,4351
1526526744,4354,4354
1526527701,4325,4325
1526528678,4296,4296
1526529641,4326,4326
1526530576,4295,4295
1526531550,4311,4311
1526532493,4280,4280
1526533469,4306,4306
1526534415,4301,4301
1526535403,4313,4313
1526536336,4326,4326
1526537325,4313,4313
1526538255,4323,4323
1526539223,4316,4316
1526540176,4337,4337
1526541171,4336,4336
1526542092,4320,4320
1526543087,4266,4266
1526544027,4282,4282
1526544991,4324,4324
1526545939,4374,4374
1526546903,4409,4409
1526547867,4420,4420
1526548816,4447,4447
1526549803,4487,4487
1526550742,4495,4495
1526551712,4534,4534
1526552662,4552,4552
1526553613,4563,4563
1526554598,4560,4560
1526555545,4541,4541
1526556497,4495,4495
1526557461,4424,4424
1526558453,4330,4330
1526559646,4303,4303
1526560578,4167,4167
1526561539,4308,4308
1526562519,4295,4295
1526563475,4299,4299
1526564423,4286,4286
1526565379,4256,4256
1526566350,4215,4215
1526567292,4167,4167
1526568259,4112,4112
1526569237,4063,4063
1526570180,3994,3994
1526571137,3954,3954
1526572107,3937,3937
1526573059,3909,3909
1526574021,3960,3960
1526574988,3976,3976
1526575939,3970,3970
1526576897,3962,3962
1526577870,3954,3954
1526578816,3967,3967
1526579775,3992,3992
1526580748,3994,3994
1526581698,3975,3975
1526582656,3910,3910
1526583631,3939,3939
1526584577,4026,4026
1526585563,4065,4065
1526586492,4079,4079
1526587470,4082,4082
1526588415,4083,4083
1526589400,4060,4060
1526590336,4040,4040
1526591300,4015,4015
1526592261,4007,4007
1526593225,4046,4046
1526594189,4090,4090
1526595153,4123,4123
1526596092,3990,3990
1526598376,4006,4006
1526599459,4008,4008
1526600417,4016,4016
1526601391,4027,4027
1526602345,4004,4004
1526603296,4015,4015
1526604266,3987,3987
1526605222,3982,3982
1526606192,3978,3978
1526607137,4001,4001
1526608107,3996,3996
1526609068,4015,4015
1526610025,4025,4025
1526610976,4031,4031
1526611958,3997,3997
1526612897,4005,4005
1526613876,4010,4010
1526614813,4020,4020
1526615796,4016,4016
1526616741,4012,4012
1526617709,4013,4013
1526618662,4013,4013
1526619631,3980,3980
1526620573,3990,3990
1526621547,3970,3970
1526622494,3987,3987
1526623494,3964,3964
1526624414,3966,3966
1526625381,3963,3963
1526626336,3970,3970
1526627303,3945,3945
1526628266,3895,3895
1526629230,3890,3890
1526630180,3859,3859
1526631153,3819,3819
1526632094,3775,3775
1526633067,3727,3727
1526634044,3707,3707
1526634995,3635,3635
1526635936,3576,3576
1526636920,3464,3464
1526637865,3698,3698
1526638824,3665,3665
1526639784,3738,3738
1526640743,3807,3807
1526641698,3854,3854
1526642671,3885,3885
1526643615,3895,3895
1526644601,3900,3900
1526647042,3902,3902
1526647962,3895,3895
1526648935,3920,3920
1526649869,3925,3925
1526650843,3935,3935
1526651774,3964,3964
1526652751,4002,4002
1526653697,4034,4034
1526654684,4065,4065
1526655645,4079,4079
1526656828,4097,4097
1526657776,4089,4089
1526658763,4097,4097
1526659970,4121,4121
1526660893,4126,4126
1526661877,4117,4117
1526662818,4113,4113
1526663785,4093,4093
1526664738,4072,4072
1526665713,4081,4081
1526666910,4066,4066
1526667865,4053,4053
1526668813,4053,4053
1526669789,4079,4079
1526670750,4078,4078
1526671702,4067,4067
1526672668,4057,4057
1526673619,4054,4054
1526674586,4071,4071
1526675541,4095,4095
1526676505,4126,4126
1526677461,4092,4092
1526678412,4082,4082
1526679392,4083,4083
1526680337,4156,4156
1526681309,4056,4056
1526682270,4054,4054
1526683457,4068,4068
1526684416,4072,4072
1526685465,4061,4061
1526686599,4107,4107
1526687555,4119,4119
1526688506,4136,4136
1526689467,4104,4104
1526690416,4106,4106
1526691391,4099,4099
1526692354,4093,4093
1526693292,4116,4116
1526694274,4093,4093
1526695237,4090,4090
1526696203,4086,4086
1526697385,4078,4078
1526698341,4083,4083
1526699305,4086,4086
1526700268,4074,4074
1526701213,4070,4070
1526702191,4065,4065
1526703174,4066,4066
1526704098,4059,4059
1526705060,4086,4086
1526706022,4113,4113
1526706989,4119,4119
1526707943,4146,4146
1526708897,4117,4117
1526709885,4126,4126
1526710838,4128,4128
1526711777,4138,4138
1526712732,4134,4134
1526713714,4154,4154
1526714689,4196,4196
1526715614,4208,4208
1526716579,4237,4237
1526717573,4261,4261
1526718496,4275,4275
1526719462,4304,4304
1526720424,4319,4319
1526721385,4350,4350
1526722339,4374,4374
1526723297,4399,4399
1526724290,4429,4429
1526725214,4401,4401
1526726185,4338,4338
1526727142,4305,4305
1526728107,4261,4261
1526729075,4223,4223
1526730027,4217,4217
1526731016,4216,4216
1526731946,4194,4194
1526732909,4136,4136
1526733885,4119,4119
1526735063,4104,4104
1526736026,4096,4096
1526737001,4086,4086
1526737940,4066,4066
1526738917,4077,4077
1526739866,4058,4058
1526740813,4061,4061
1526741804,4052,4052
1526742740,4025,4025
1526743693,4021,4021
1526744676,4023,4023
1526745624,4020,4020
1526746588,4020,4020
1526747535,4000,4000
1526748513,4008,4008
1526749462,4004,4004
1526750412,4007,4007
1526751405,4011,4011
1526752356,3977,3977
1526753330,3990,3990
1526754263,3984,3984
1526755215,3998,3998
1526756171,3994,3994
1526757163,4003,4003
1526758092,3996,3996
1526759061,3991,3991
1526760021,3972,3972
1526760986,3964,3964
1526761949,3962,3962
1526762894,3945,3945
1526763869,3947,3947
1526764824,3936,3936
1526765775,3960,3960
1526766755,3991,3991
1526767696,4033,4033
1526768658,3944,3944
1526769569,3948,3948
1526770584,3933,3933
1526771563,3952,3952
1526772604,3949,3949
