DateTime,Entries,UniqueIPs
1526397614,5740,5746
1526398603,5748,5754
1526399555,5740,5746
1526400531,5742,5748
1526401455,5742,5748
1526402415,5744,5750
1526403375,5735,5741
1526404345,5748,5754
1526405303,5732,5738
1526406261,5735,5741
1526407221,5749,5755
1526408183,5735,5741
1526409383,5748,5754
1526410340,5743,5749
1526411307,5745,5751
1526412273,5740,5746
1526413217,5739,5745
1526414176,5720,5726
1526416379,5687,5693
1526417801,5723,5729
1526418988,5713,5719
1526419942,5693,5699
1526420896,5682,5688
1526422107,5693,5699
1526423297,5670,5676
1526424269,5711,5717
1526425224,5679,5685
1526426179,5704,5710
1526427143,5685,5690
1526428091,5694,5699
1526429065,5677,5682
1526430015,5678,5683
1526430983,5658,5663
1526431960,5594,5599
1526432918,5572,5577
1526433854,5664,5669
1526434815,5653,5659
1526435777,5652,5658
1526436761,5614,5620
1526437690,5619,5625
1526438674,5563,5568
1526439622,5549,5554
1526440585,5529,5532
1526441548,5481,5484
1526442494,5539,5542
1526443463,5525,5528
1526444417,5536,5539
1526445386,5501,5504
1526446331,5543,5546
1526447302,5534,5537
1526448254,5545,5548
1526449226,5531,5534
1526450175,5502,5505
1526451140,5514,5517
1526452106,5513,5516
1526453068,5501,5505
1526454028,5502,5506
1526454979,5525,5528
1526455943,5531,5535
1526456895,5471,5475
1526457877,5473,5477
1526458811,5482,5486
1526460735,5444,5448
1526461708,5395,5399
1526463618,5344,5348
1526465541,5295,5298
1526466490,5233,5236
1526468413,5223,5226
1526469383,5218,5221
1526470356,5262,5265
1526471302,5357,5360
1526472275,5373,5376
1526473225,5411,5414
1526474181,5451,5454
1526475138,5455,5458
1526476109,5489,5492
1526477067,5457,5459
1526478017,5495,5497
1526478991,5500,5502
1526479934,5490,5492
1526480889,5493,5495
1526481874,5486,5488
1526482838,5505,5507
1526483778,5500,5502
1526484733,5499,5501
1526485711,5498,5500
1526486680,5483,5485
1526488853,5465,5467
1526489768,5483,5485
1526490747,5431,5433
1526491694,5461,5463
1526492697,5421,5423
1526493619,5441,5443
1526494586,5398,5400
1526495553,5425,5427
1526496497,5420,5422
1526497462,5413,5415
1526498414,5415,5417
1526499405,5405,5407
1526500339,5393,5395
1526501312,5355,5357
1526502277,5381,5383
1526503211,5324,5326
1526504207,5293,5295
1526505153,5323,5325
1526506104,5332,5334
1526507078,5335,5337
1526508030,5304,5306
1526508981,5306,5308
1526510640,5309,5311
1526512373,5286,5288
1526513292,5316,5318
1526514258,5293,5296
1526515217,5293,5296
1526516194,5263,5266
1526517136,5299,5302
1526518103,5254,5258
1526519055,5213,5216
1526520020,5215,5218
1526520992,5202,5205
1526521934,5226,5229
1526522893,5221,5224
1526523859,5216,5220
1526524810,5193,5197
1526525803,5191,5195
1526526741,5177,5181
1526527698,5166,5170
1526528675,5177,5181
1526529638,5193,5198
1526530574,5179,5185
1526531546,5169,5175
1526532490,5169,5176
1526533466,5157,5168
1526534411,5166,5177
1526535400,5156,5167
1526536333,5176,5187
1526537322,5194,5205
1526538252,5196,5207
1526539220,5193,5204
1526540173,5225,5236
1526541168,5241,5253
1526542089,5250,5262
1526543084,5239,5251
1526544024,5254,5266
1526544988,5306,5318
1526545936,5345,5357
1526546899,5382,5394
1526547864,5400,5412
1526548812,5444,5456
1526549800,5477,5489
1526550739,5497,5509
1526551708,5510,5524
1526552659,5526,5543
1526553610,5548,5565
1526554595,5482,5499
1526555541,5355,5372
1526556494,5249,5265
1526557458,5202,5218
1526558450,5175,5190
1526559643,5093,5108
1526561536,5135,5152
1526562516,5060,5077
1526563472,5046,5064
1526564420,5006,5024
1526566347,4939,4957
1526568255,4902,4920
1526569234,4872,4890
1526570177,4818,4836
1526571134,4756,4774
1526572104,4759,4777
1526573056,4765,4783
1526574017,4687,4704
1526574985,4734,4751
1526575935,4762,4779
1526576894,4758,4775
1526577867,4782,4799
1526578813,4774,4791
1526579772,4801,4818
1526580745,4791,4808
1526581695,4785,4802
1526582653,4792,4809
1526583628,4810,4827
1526584573,4789,4806
1526585560,4777,4794
1526586489,4772,4789
1526587467,4748,4765
1526588411,4731,4748
1526589397,4746,4763
1526590332,4720,4737
1526591297,4707,4724
1526592258,4699,4716
1526593222,4697,4714
1526594186,4675,4693
1526595150,4679,4697
1526596089,4658,4676
1526598373,4690,4708
1526599456,4708,4726
1526600413,4713,4731
1526601388,4723,4741
1526602343,4726,4744
1526603293,4713,4731
1526604262,4713,4731
1526605219,4762,4780
1526606189,4768,4786
1526607134,4774,4792
1526608104,4777,4795
1526609065,4786,4804
1526610022,4827,4845
1526610973,4845,4863
1526611955,4846,4864
1526612893,4842,4860
1526613873,4823,4841
1526614810,4781,4799
1526615793,4809,4827
1526616738,4771,4789
1526617706,4785,4803
1526618659,4753,4771
1526619627,4756,4774
1526620570,4736,4754
1526621544,4719,4737
1526622491,4722,4740
1526623491,4715,4733
1526624411,4722,4740
1526625377,4716,4734
1526626333,4712,4731
1526627300,4680,4699
1526628261,4643,4662
1526629227,4609,4628
1526630177,4591,4610
1526631150,4582,4601
1526634041,4583,4602
1526634992,4584,4603
1526635932,4585,4604
1526636918,4586,4605
1526637861,4591,4610
1526638821,4627,4646
1526639781,4677,4696
1526640740,4763,4783
1526641695,4807,4827
1526642668,4793,4813
1526643612,4721,4741
1526644597,4627,4647
1526647039,4577,4594
1526647959,4567,4584
1526648931,4568,4584
1526649866,4594,4610
1526650840,4568,4585
1526651770,4586,4603
1526652748,4547,4562
1526653694,4542,4556
1526654681,4533,4546
1526655642,4519,4532
1526656823,4534,4548
1526657773,4532,4546
1526658759,4538,4552
1526659966,4526,4539
1526660890,4519,4532
1526661874,4512,4525
1526662815,4504,4517
1526663782,4501,4514
1526664735,4512,4525
1526665710,4523,4536
1526666907,4528,4541
1526667862,4545,4558
1526668810,4545,4558
1526669786,4548,4561
1526670746,4545,4559
1526671699,4540,4554
1526672665,4541,4555
1526673616,4541,4555
1526674582,4553,4567
1526675538,4557,4571
1526676502,4545,4559
1526677458,4537,4551
1526678409,4527,4541
1526679389,4523,4537
1526680334,4517,4531
1526681306,4484,4499
1526682267,4495,4510
1526683454,4472,4487
1526684413,4505,4520
1526685461,4502,4517
1526686595,4520,4535
1526687552,4516,4531
1526688502,4503,4518
1526689464,4516,4531
1526690413,4505,4520
1526691387,4511,4526
1526692351,4490,4505
1526693289,4494,4509
1526694271,4495,4509
1526695234,4498,4513
