DateTime,AddedIPs,RemovedIPs
1526401455,28,18
1526402415,38,54
1526403375,20,64
1526404345,39,55
1526405303,23,44
1526406261,35,32
1526407221,34,51
1526408183,22,62
1526409383,42,54
1526410340,22,50
1526411307,30,50
1526412273,28,36
1526413217,26,55
1526414176,24,33
1526416379,67,118
1526417801,36,95
1526418988,36,32
1526419942,32,81
1526420896,30,22
1526422107,45,52
1526423297,28,54
1526424269,64,93
1526425224,25,59
1526426179,25,14
1526427143,3,71
1526428091,36,25
1526429065,12,90
1526430015,41,0
1526430983,44,93
1526431960,36,64
1526432918,3,0
1526433854,92,51
1526434815,40,67
1526435777,14,97
1526436761,39,183
1526437690,5,7
1526438674,32,190
1526439622,4,73
1526440585,51,83
1526441548,10,111
1526442494,58,78
1526443463,4,52
1526444417,64,95
1526445386,21,94
1526446331,42,17
1526447302,40,34
1526448254,27,43
1526449226,32,77
1526450175,10,70
1526451140,40,78
1526452106,23,55
1526453068,43,56
1526454028,1,6
1526454979,35,63
1526455943,63,33
1526456895,36,36
1526457877,2,41
1526458811,9,23
1526459785,0,51
1526460735,0,34
1526461708,0,57
1526462656,0,33
1526463618,0,48
1526464575,0,43
1526465541,0,65
1526466490,0,44
1526467470,0,38
1526468413,18,51
1526469383,23,23
1526470356,83,32
1526471302,118,90
1526472275,67,0
1526473225,63,20
1526474181,61,38
1526475138,38,37
1526476109,34,33
1526477067,24,31
1526478017,38,18
1526478991,24,38
1526479934,27,19
1526480889,35,0
1526481874,24,74
1526482838,22,87
1526483778,35,0
1526484733,30,34
1526485711,18,50
1526486680,13,0
1526488853,71,87
1526489768,18,28
1526490747,22,13
1526491694,30,0
1526492697,32,56
1526493619,20,0
1526494586,21,46
1526495553,27,48
1526496497,20,0
1526497462,25,24
1526498414,29,31
1526499405,24,58
1526500339,28,0
1526501312,19,60
1526502277,26,35
1526503211,13,0
1526504207,18,73
1526505153,30,24
1526506104,35,36
1526507078,32,25
1526508030,9,0
1526508981,32,54
1526510640,50,66
1526512373,50,64
1526513292,49,0
1526514258,36,54
1526515217,40,58
1526516194,45,56
1526517136,53,68
1526518103,46,69
1526519055,43,74
1526520020,46,32
1526520992,37,56
1526521934,51,59
1526522893,54,36
1526523859,21,0
1526524810,31,50
1526525803,23,104
1526526741,44,0
1526527698,26,15
1526528675,34,60
1526529638,27,21
1526530574,38,46
1526531546,21,40
1526532490,18,24
1526533466,25,22
1526534411,31,29
1526535400,32,37
1526536333,34,49
1526537322,34,40
1526538252,23,9
1526539220,30,64
1526540173,34,25
1526541168,30,47
1526542089,27,16
1526543084,0,56
1526544024,28,39
1526544988,52,15
1526545936,39,63
1526546899,37,12
1526547864,18,49
1526548812,45,29
1526549800,35,12
1526550739,21,14
1526551708,15,39
1526552659,21,35
1526553610,22,34
1526554595,25,41
1526555541,32,0
1526556494,3,63
1526557458,16,0
1526558450,26,39
1526559643,35,56
1526561536,85,36
1526562516,9,72
1526563472,12,21
1526565376,0,57
1526567289,0,19
1526568255,0,23
1526569234,0,27
1526570177,0,18
1526571134,1,29
1526572104,3,18
1526573056,8,32
1526574017,32,39
1526574985,47,30
1526575935,32,46
1526576894,33,27
1526577867,35,20
1526578813,33,21
1526579772,40,20
1526580745,27,22
1526581695,24,29
1526582653,28,26
1526583628,32,33
1526584573,18,26
1526585560,31,11
1526586489,18,20
1526587467,20,28
1526588411,18,36
1526589397,23,29
1526590332,15,36
1526591297,22,43
1526592258,25,56
1526593222,27,28
1526594186,18,34
1526595150,34,33
1526596089,22,38
1526598373,61,75
1526599456,29,22
1526600413,32,0
1526601388,28,23
1526602343,47,61
1526603293,40,51
1526604262,35,41
1526605219,49,58
1526606189,71,92
1526607134,53,30
1526608104,33,39
1526609065,47,61
1526610022,53,53
1526610973,44,31
1526611955,23,55
1526612893,31,51
1526613873,34,41
1526614810,33,32
1526615793,30,42
1526616738,24,30
1526617706,17,46
1526618659,19,0
1526619627,15,49
1526620570,30,35
1526621544,16,59
1526622491,25,0
1526623491,23,68
1526624411,25,0
1526625377,33,38
1526626333,21,97
1526628261,0,39
1526629227,0,61
1526630177,0,51
1526631150,0,38
1526633063,0,37
1526634041,1,37
1526634992,1,43
1526635932,1,9
1526636918,1,0
1526637861,5,25
1526638821,36,22
1526639781,50,59
1526640740,91,42
1526641695,70,37
1526642668,43,15
1526643612,33,33
1526644597,27,27
1526647039,108,91
1526647959,35,20
1526648931,34,16
1526649866,26,7
1526650840,35,14
1526651770,18,0
1526652748,35,62
1526653694,28,0
1526654681,25,41
1526655642,21,22
1526656823,38,6
1526657773,16,0
1526658759,24,34
1526659966,20,97
1526660890,17,49
1526661874,30,40
1526662815,25,78
1526663782,32,42
1526664735,28,34
1526665710,24,18
1526666907,25,47
1526667862,31,26
1526668810,27,27
1526669786,26,27
1526670746,19,36
1526671699,18,28
1526672665,20,29
1526673616,20,49
1526674582,33,31
1526675538,31,47
1526676502,13,54
1526677458,20,41
1526678409,26,29
1526679389,23,47
1526680334,11,34
1526681306,12,42
1526682267,27,39
1526683454,32,35
1526684413,33,46
1526685461,32,52
1526686595,45,112
1526687552,24,63
1526688502,45,0
1526689464,42,108
1526690413,52,0
1526691387,55,76
1526692351,54,39
1526693289,43,86
1526694271,50,53
1526695234,44,57
1526696200,38,55
1526697381,26,52
1526698338,33,43
1526699302,23,36
1526700265,23,55
1526701210,47,63
1526702188,28,11
1526703171,40,72
1526704095,18,0
1526705057,32,42
1526706019,20,27
1526706986,27,44
1526707939,32,8
1526708894,24,37
1526709882,31,82
1526710835,24,40
1526711774,39,0
1526712729,14,22
1526713710,24,73
1526714686,32,1
1526715611,11,0
1526716575,38,44
1526717570,18,81
1526718493,21,0
1526719458,24,96
1526720421,18,0
1526721382,27,32
1526722336,31,31
1526723294,30,23
1526724287,27,45
1526725211,22,21
1526726182,21,36
1526727139,11,37
1526728104,30,20
1526729072,12,26
1526730024,32,20
1526731013,6,35
1526731943,23,17
1526732906,18,46
1526733881,19,27
1526735060,17,33
1526736023,26,27
1526736998,26,19
1526737937,9,0
1526738914,24,45
1526739863,13,10
1526740810,18,45
1526741801,23,34
1526742737,20,44
1526743690,6,8
1526744673,25,55
1526745621,14,71
1526746585,21,57
1526747532,23,38
1526748510,12,20
1526749459,9,52
1526750409,31,26
1526751402,29,105
1526752353,16,105
1526753327,28,68
1526754260,17,51
1526755212,27,56
1526756168,18,54
1526757160,25,50
1526758089,22,43
1526759058,15,32
1526760018,17,54
1526760983,10,51
1526761945,30,52
1526762891,9,21
1526763866,20,39
1526764821,23,38
1526765772,20,42
1526766752,22,24
1526767693,11,39
1526768654,22,29
1526769566,26,45
1526770581,17,33
1526771560,29,20
1526772600,28,42
1526773695,26,31
1526774660,40,47
1526775613,45,35
1526776588,47,77
1526777529,43,0
1526778493,61,89
1526779452,37,0
1526780416,45,62
1526781368,10,15
1526782375,54,74
1526783290,40,37
1526784270,32,28
1526785214,20,11
1526786183,41,55
1526787140,31,32
1526788096,19,13
1526789069,16,42
1526790011,34,26
1526790983,29,51
1526791932,16,26
1526792914,30,33
1526793856,21,33
1526794814,16,35
1526795776,18,28
1526796758,25,24
1526797695,23,34
1526798654,20,25
1526799622,23,38
1526800576,13,13
1526801540,11,45
1526802529,20,26
1526803462,40,26
1526804426,30,20
1526805374,32,33
1526806344,23,33
1526807306,16,29
1526808274,17,36
1526809214,16,15
1526810175,18,21
1526811140,32,18
1526812094,30,27
1526813053,16,18
1526814019,16,27
1526814987,26,9
1526816213,28,32
1526817134,18,20
1526818098,28,28
1526819076,36,20
1526820016,20,17
1526820974,16,18
1526821971,27,34
1526823139,38,25
1526824091,10,15
1526825085,22,38
1526826012,21,14
1526827216,29,55
1526828188,22,34
1526829138,24,0
1526830092,15,13
1526831054,21,50
1526832047,12,0
1526832986,13,67
1526833955,31,19
1526834892,8,0
1526835862,15,53
1526836816,17,0
1526837800,27,48
1526838733,19,0
1526839717,22,37
1526840655,14,29
1526841614,24,21
1526842582,8,21
1526843554,20,24
1526844492,8,19
1526845499,13,23
1526846425,18,24
