DateTime,AddedIPs,RemovedIPs
1526400531,29,28
1526401455,28,18
1526402415,38,35
1526403375,20,36
1526404345,39,41
1526405303,23,33
1526406261,35,30
1526407221,34,42
1526408183,22,23
1526409383,42,41
1526410340,22,25
1526411307,30,32
1526412273,28,27
1526413217,26,34
1526414176,24,40
1526416379,67,57
1526417801,36,70
1526418988,36,49
1526419942,32,26
1526420896,30,29
1526422107,45,40
1526423297,28,30
1526424269,64,47
1526425224,25,46
1526426179,25,27
1526427143,3,19
1526428091,36,58
1526429065,12,40
1526430015,41,75
1526430983,44,17
1526431960,36,90
1526432918,3,85
1526433854,92,44
1526434815,40,50
1526435777,14,27
1526436761,39,59
1526437690,5,25
1526438674,32,54
1526439622,4,25
1526440585,51,58
1526441548,10,37
1526442494,58,23
1526443463,4,10
1526444417,64,51
1526445386,21,31
1526446331,42,17
1526447302,40,33
1526448254,27,22
1526449226,32,42
1526450175,10,14
1526451140,40,16
1526452106,23,21
1526453068,43,33
1526454028,1,2
1526454979,35,13
1526455943,63,18
1526456895,36,11
1526457877,2,13
1526458811,9,0
1526462656,0,1
1526463618,0,2
1526464575,0,1
1526466490,0,2
1526468413,18,91
1526469383,23,159
1526470356,83,110
1526471302,118,63
1526472275,67,54
1526473225,63,65
1526474181,61,52
1526475138,38,41
1526476109,34,55
1526477067,24,29
1526478017,38,25
1526478991,24,40
1526479934,27,37
1526480889,35,30
1526481874,24,37
1526482838,22,30
1526483778,35,54
1526484733,30,37
1526485711,18,26
1526486680,13,2
1526488853,71,111
1526489768,18,4
1526490747,22,37
1526491694,30,11
1526492697,32,41
1526493619,20,13
1526494586,21,37
1526495553,27,30
1526496497,20,21
1526497462,25,14
1526498414,29,39
1526499405,24,43
1526500339,28,23
1526501312,19,44
1526502277,26,35
1526503211,13,8
1526504207,18,41
1526505153,30,35
1526506104,35,33
1526507078,32,29
1526508030,9,39
1526508981,32,30
1526510640,50,43
1526512373,50,29
1526513292,49,11
1526514258,36,27
1526515217,40,18
1526516194,45,44
1526517136,53,53
1526518103,46,35
1526519055,43,0
1526520020,46,65
1526520992,37,47
1526521934,51,30
1526522893,54,38
1526523859,21,12
1526524810,31,26
1526525803,23,22
1526526741,44,35
1526527698,26,53
1526528675,34,75
1526529638,27,2
1526530574,38,62
1526531546,21,3
1526532490,18,51
1526533466,25,12
1526534411,31,50
1526535400,32,33
1526536333,34,22
1526537322,34,30
1526538252,23,18
1526539220,30,39
1526540173,34,24
1526541168,30,32
1526542089,27,37
1526543084,0,34
1526544024,28,18
1526544988,52,9
1526545936,39,0
1526546899,37,0
1526547864,18,0
1526548812,45,0
1526549800,35,0
1526550739,21,0
1526551708,15,0
1526552659,21,0
1526553610,22,0
1526554595,25,4
1526555541,32,26
1526556494,3,57
1526557458,16,105
1526558450,26,121
1526559643,35,78
1526560575,0,143
1526561536,169,24
1526562516,9,45
1526563472,12,34
1526564420,0,29
1526565376,0,31
1526566347,0,37
1526567289,0,39
1526568255,0,34
1526569234,0,35
1526570177,0,35
1526571134,1,22
1526572104,3,18
1526573056,8,18
1526574017,32,33
1526574985,47,24
1526575935,32,37
1526576894,33,33
1526577867,35,35
1526578813,33,17
1526579772,40,13
1526580745,27,20
1526581695,24,14
1526582653,28,27
1526583628,32,23
1526584573,18,21
1526585560,31,23
1526586489,18,19
1526587467,20,20
1526588411,18,21
1526589397,23,27
1526590332,15,25
1526591297,22,28
1526592258,25,36
1526593222,27,27
1526594186,18,17
1526595150,34,44
1526596089,22,16
1526598373,61,55
1526599456,29,35
1526600413,32,27
1526601388,28,28
1526602343,47,58
1526603293,40,29
1526604262,35,63
1526605219,49,49
1526606189,71,75
1526607134,53,39
1526608104,33,50
1526609065,47,40
1526610022,53,36
1526610973,44,28
1526611955,23,32
1526612893,31,20
1526613873,34,24
1526614810,33,33
1526615793,30,31
1526616738,24,32
1526617706,17,16
1526618659,19,20
1526619627,15,27
1526620570,30,35
1526621544,16,28
1526622491,25,23
1526623491,23,47
1526624411,25,31
