DateTime,Entries,UniqueIPs
1526400531,2879,2879
1526401455,2889,2889
1526402415,2892,2892
1526403375,2876,2876
1526404345,2874,2874
1526405303,2864,2864
1526406261,2869,2869
1526407221,2861,2861
1526408183,2860,2860
1526409383,2861,2861
1526410340,2858,2858
1526411307,2856,2856
1526412273,2857,2857
1526413217,2849,2849
1526414176,2833,2833
1526416379,2843,2843
1526417801,2809,2809
1526418988,2796,2796
1526419942,2802,2802
1526420896,2803,2803
1526422107,2808,2808
1526423297,2806,2806
1526424269,2823,2823
1526425224,2802,2802
1526426179,2800,2800
1526427143,2784,2784
1526428091,2762,2762
1526429065,2734,2734
1526430015,2700,2700
1526430983,2727,2727
1526431960,2673,2673
1526432918,2591,2591
1526433854,2639,2639
1526434815,2629,2629
1526435777,2616,2616
1526436761,2596,2596
1526437690,2576,2576
1526438674,2554,2554
1526439622,2533,2533
1526440585,2526,2526
1526441548,2499,2499
1526442494,2534,2534
1526443463,2528,2528
1526444417,2541,2541
1526445386,2531,2531
1526446331,2556,2556
1526447302,2563,2563
1526448254,2568,2568
1526449226,2558,2558
1526450175,2554,2554
1526451140,2578,2578
1526452106,2580,2580
1526453068,2590,2590
1526454028,2589,2589
1526454979,2611,2611
1526455943,2656,2656
1526456895,2681,2681
1526457877,2670,2670
1526458811,2679,2679
1526462656,2678,2678
1526463618,2676,2676
1526464575,2675,2675
1526466490,2673,2673
1526468413,2600,2600
1526469383,2464,2464
1526470356,2437,2437
1526471302,2492,2492
1526472275,2505,2505
1526473225,2503,2503
1526474181,2512,2512
1526475138,2509,2509
1526476109,2488,2488
1526477067,2483,2483
1526478017,2496,2496
1526478991,2480,2480
1526479934,2470,2470
1526480889,2475,2475
1526481874,2462,2462
1526482838,2454,2454
1526483778,2435,2435
1526484733,2428,2428
1526485711,2420,2420
1526486680,2431,2431
1526488853,2391,2391
1526489768,2405,2405
1526490747,2390,2390
1526491694,2409,2409
1526492697,2400,2400
1526493619,2407,2407
1526494586,2391,2391
1526495553,2388,2388
1526496497,2387,2387
1526497462,2398,2398
1526498414,2388,2388
1526499405,2369,2369
1526500339,2374,2374
1526501312,2349,2349
1526502277,2340,2340
1526503211,2345,2345
1526504207,2322,2322
1526505153,2317,2317
1526506104,2319,2319
1526507078,2322,2322
1526508030,2292,2292
1526508981,2294,2294
1526510640,2301,2301
1526512373,2322,2322
1526513292,2360,2360
1526514258,2369,2369
1526515217,2391,2391
1526516194,2392,2392
1526517136,2392,2392
1526518103,2403,2403
1526519055,2446,2446
1526520020,2427,2427
1526520992,2417,2417
1526521934,2438,2438
1526522893,2454,2454
1526523859,2463,2463
1526524810,2468,2468
1526525803,2469,2469
1526526741,2478,2478
1526527698,2451,2451
1526528675,2410,2410
1526529638,2435,2435
1526530574,2411,2411
1526531546,2429,2429
1526532490,2396,2396
1526533466,2409,2409
1526534411,2390,2390
1526535400,2389,2389
1526536333,2401,2401
1526537322,2405,2405
1526538252,2410,2410
1526539220,2401,2401
1526540173,2411,2411
1526541168,2409,2409
1526542089,2399,2399
1526543084,2365,2365
1526544024,2375,2375
1526544988,2418,2418
1526545936,2457,2457
1526546899,2494,2494
1526547864,2512,2512
1526548812,2557,2557
1526549800,2592,2592
1526550739,2613,2613
1526551708,2628,2628
1526552659,2649,2649
1526553610,2671,2671
1526554595,2692,2692
1526555541,2698,2698
1526556494,2644,2644
1526557458,2555,2555
1526558450,2460,2460
